fra,baw,eng
3. Tousser et éternuer dans le creux de son bras.,"3. Kə nkwe, njinnə a mɔm nìkwe ghò.",3. Cough and sneeze into the crook of your arm. 
4. Eviter de manger de la viande crue et de toucher des animaux vivants.,"4. Kɨ̀ inɔɔ yə̀ bɨ lɔɔ i kɨ ni ne mbi ni mphɔ, i mbe kɨ mɨnɔɔ ǹkubə̀.",4. Avoid eating raw meat and touching live animals.
5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.,5. Kɨ ni ntim nkumtə̀ ŋwè wə̀ tə̀ a kwee mbəgə njiinə. ,5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.,6. Kɨ bə̀ ni mbwo nchyatə̀ nə̂ʼətə atu kə fɨ achyatə ntsoo. ,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
7. Eviter les rassemblements.,7. Bə kə’ ntseetə ghaʼtə.,7. Avoid gatherings. 
8. Limiter ses déplacements.,8. Binni kɨ tibɔ̀gɔ ngii.,8. Restrict movement.
9. Se tenir informé et vérifier la source de ses informations.,"9. Bə̀ lɔɔsə atu a no mɨ̀nwɔ me mɨ chəə, kə mbe za adiʼi yə mɨ fe wù.",9. Keep informed and verify the source of information.
Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :,Ànɔɔyə fu gho gè təfu àghɔɔ wù a gàga gho  Tefu gho teʼe ləŋsi ghɔɔ dze: -         Kəʼə nibee bə̀ nkumtə -         Kə nee ndyə -         Tɔgɔ 1510 i nkwè ǹtəə a mbuu docta kə gho tɔŋ mɨndeŋ me a noo.,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.","Ndza ǹkuʼu sewe, ǹchùʼ dàŋ sini ndzwe, la bɨ bii lɔ᷆ɔ ni nchuʼu yi a tum tum.  Nwè ntsàm toʼoni ni noo yi mbe ntòʼònì nə byə bə̀ yə kumtə yì.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque",,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
,,"Anwɔ̀ɔ yə ghò teʼe mɨ̀ zaà a nɔ àghɔɔ yə adzwì abè bə̀ tɔg̀ɔ̀ ni CORONAVIRUS kə̀ ni COVID-19  © CABTAL, 2020 "
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                         SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  ","Anwɔ̀ɔ yə ghò teʼe mɨ̀ zaà a nɔ àghɔɔ yə adzwì abè bə̀ tɔg̀ɔ̀ ni CORONAVIRUS kə̀ ni COVID-19  Cameroon Association for Bible Translation and Literacy  Anwɔ̀ɔ yə ghò teʼe mɨ̀ zaà a nɔ àghɔɔ yə adzwì abè bə̀ tɔg̀ɔ̀ ni CORONAVIRUS kə̀ ni COVID-19                             MƗ̀ TSÈTÌ MƗ̀NWƆƆ  - Àghɔɔ wu (coronavirus) - Bə̀bəə kaʼa àghɔɔ wù azàŋsi ngàga a wə̀ - Bɨ̀ məndum mɨ zà ngə̀ àghɔ wù dzwi a nò ŋwè - Loʼowə̀ bu àghɔɔ wù a lèm - Ìloʼo mɨ̀ tòʼònì ni ìno yò - Ànwɔɔ yə̀ fu ghò gè tə̀fu àghɔɔ wù a gàgà ghò     p.2  p.3  p.4  p.5 p.6  p.8  Àghɔɔ wu (coronavirus)  Àghɔɔ wu (COVID-19) tə bɨ bè ntɔgə̀ ni COVID-19, là àghɔɔ fi. A mbəə la no ŋwɨ̀ clìsì (31 december, 2019) a làʼà China tə̀ bɨ̀ nchyəmbì i shɨgə̀ a nɔ  àghɔɔ wù. A dzà là no ŋwɨ̀, kə̀ nò àkwe tə̀ngtì kàʼa a jwìlə̀ ŋwè. Àghɔɔ wù zaalì a nò ìtùm ghàʼannì a mbì wè. Bɨ bì tìni zà ngə̀ àghɔɔ wù a lwoo là ìfə̀ lə̀.   Bɨ̀təŋkaŋ bə̀  Ŋwè wə tə aghɔɔnə nʼaghɔɔ ntim Bə̀bəə̀ kàꞋa àghɔɔ wù zàŋsì ngàgà a wə̀  Bwò àghɔɔ fì ze a gàgà a ŋwè ntsàm. Ìlwè bə̀, nì bə̀bəə̀ tə̀ bɨ̀ ghɔ̀nə̀ nʼàkwe ndzòʼò, àlèbə̀ ghàʼa, diatetes, nʼàghɔɔ ntìm. Yə̀ bə̀bəə̀ tə̀ fù àghɔɔ zè lòtì fɨ̀ ǹgə̀ʼə a mbuu bù naa tìkaŋ.   -nò ŋimni no -nikɔɔ  -àkwe zhubɨ̀li -zàŋnì no Bɨ̀ mə̀ndùm mɨ̀ zà ngə àghɔɔ wù dzwì à nò ŋwè  Àghɔɔ fì zè tə̀ dzà lè a dzwe laa nò ŋimni no, àkwe zhubɨ̀li, ìzàŋnì no, ni nìkɔɔ. Ngang ghɔɔ wù chɨ̀gɨ tèʼe zàŋnì no, ŋwɨ̀ ntɨɨ, ìshwìʼìnì mɨ̀lwi nì kìm ntòŋ kə̀ luʼusi. Bəə chɨ̀gɨ̀ bɨ beʼe àghɔɔ zè, i mbɔ̀ɔnì tingə̀ buu kwè mɨ̀fù.  Ŋwè wə teʼe akwe LoꞋowə̀ bù àghɔɔ wu à lèm  Àghɔɔ fì zè kaʼa lèmsì tì bə̀bəə bɨ̀ tèʼe àghɔɔ wù. Bwò ŋwè wə̀ teʼe àghɔɔ wù a kwè kə̀ njinni, boo bɨ djum bə̀chɨ̀gɨ bɨ feekɨ a ntsoo yì kə̀ a mɨ̀lwɨ yi te bù ŋwè Kwè ajwè wù kaʼa a beè ǹkwe àghɔɔ zè. Kə̀ te fù boo bɨ djum bè bɨ fè kəə noo àkə̀, ŋwè dza ǹkùm nì mbwɔ mi, mbɨʼɨ nkum imii mi, nìlwi yi kə̀ ntsoo yi, à bèʼè àghɔɔ wù.     IloꞋo mɨ̀ toꞋònì ni ìnò yò 1. Toʼònə̀ mɨ̀ kə̀ ǹkum imii moo, nìlwi yo ni ntsoo gho.  2. Suu mbwɔ moo àmbò tsàm ni nìki, ni ntsa ŋwaʼa wə bɨ nɨŋtə̀, i ti zi nʼa tsəʼə ŋwaʼa.  3. Kə nkwe, njinnə a mɔm nìkwe ghò.  4. Kɨ̀ inɔɔ yə̀ bɨ lɔɔ i kɨ ni ne mbi ni mphɔ, i mbe kɨ mɨnɔɔ ǹkubə̀.     5. Kɨ ni ntim nkumtə̀ ŋwè wə̀ tə̀ a kwee mbəgə njiinə.   6. Kɨ bə̀ ni mbwo nchyatə̀ nə̂ʼətə atu kə fɨ achyatə ntsoo.   7. Bə kə’ ntseetə ghaʼtə.  8. Binni kɨ tibɔ̀gɔ ngii.  9. Bə̀ lɔɔsə atu a no mɨ̀nwɔ me mɨ chəə, kə mbe za adiʼi yə mɨ fe wù. Ànɔɔyə fu gho gè təfu àghɔɔ wù a gàga gho  Tefu gho teʼe ləŋsi ghɔɔ dze: -         Kəʼə nibee bə̀ nkumtə -         Kə nee ndyə -         Tɔgɔ 1510 i nkwè ǹtəə a mbuu docta kə gho tɔŋ mɨndeŋ me a noo.  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Ndza ǹkuʼu sewe, ǹchùʼ dàŋ sini ndzwe, la bɨ bii lɔ᷆ɔ ni nchuʼu yi a tum tum.  Nwè ntsàm toʼoni ni noo yi mbe ntòʼònì nə byə bə̀ yə kumtə yì.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroun                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Anwɔ̀ɔ yə ghò teʼe mɨ̀ zaà a nɔ àghɔɔ yə adzwì abè bə̀ tɔg̀ɔ̀ ni CORONAVIRUS kə̀ ni COVID-19  © CABTAL, 2020 "
