gbj,eng
ତର୍‍କେ ତର୍ ସାବୁନ୍ ବୁଡ଼ମ୍ ତିତି ଗୁୟତିଗୁସୁ ସପା ସୁତୁରା ଡେମନେନ୍‍ ।,
ସାବୁନ୍ ବୁଡମ୍ ତିତି’ ୮ ପର୍‍କାର୍‍ ତର୍‍କେ ତର୍‍ ଗୁଇତି ଡୁତୁ । କାମ୍ ଡେମ’ନୁ ତିର୍‍ଗି ତିତି’ ଗୁଇତିଗୁସୁ ସପା ସୁତର୍‍ ଡୁ ଦର୍‍କାର୍‍ । ସରଙ୍ଗ୍‍ ସିରିଙ୍ଗ୍ ଡୁଗୁନୁ ଲକ୍‍ନୁବ’ ଉଜିସୁ ଆଣ୍ଡେୟ୍‍ଗୁ ପିଙ୍ଗିନା ପିଙ୍ଗିନୁ ଦପ୍‍ରେ ତିତି’ ଗୁଇତିଗୁ ଡା’ କିମାନ୍‍ଗୁସୁ ଡିଏନ୍’ବ ଗାଗାୟ୍ ଦର୍‍କାର୍  ।,"Wash your hands 8 ways with soap as shown in the picture. After doing an outdoor job, wash your hands. If you visit people with a fever, you have to wash your hands or preferably take a bath before you enter your house. (Please do a demo of washing hands infront your group)"
 ନଜିର୍‍ନୁ ତୁମ’ ମି ମିୟ’ ମ’ବ ଆର୍‍ତାରାମ୍ ଗୁନେନ୍। ,
"ନିଜର୍‍ନୁ ତୁମ‘, ମି‘ ମିୟ’ ମ’ବ ଇମାର୍‍ ତିତି ବୁଡମ୍‍ ଆରତାରାମ୍‍ଗୁନେନ୍‍ । ନକ୍‍ଲାୟ୍‍ ନିମାନ୍‌ ବାବ୍‍ରେ ଗ’ନେନ୍‍ ।","Avoid touching your face, mouth, nose and eyes since COVID-19 could, in fact, be spread through your unwsahed hands. Keep your nails short and trim them often."
"କୁକଲ୍ ମୟି’ ଆକ୍‍ସିଙ୍ଗ୍ ବେଲା ତୁମବ ମିୟ’ ମି’ବ ରୁମାଲ୍‍, ପଟୋୟ ଉରାନା କପର ବୁଡ଼ମ୍ ଚୁଟେୟ୍‍ଗୁସୁ କୁକ୍ ଡମ୍ଆନେନ୍ ",
କକlଲ୍‌  ମୟି’ ଆସିଙ୍ଗ୍‍ ବେଲା ତୁମବ’ ମିୟ’ ମି’ବ ରୁମାଲ୍‍ ଉରାନା କପର୍‍ ବୁଡ଼ମ୍ ଚୁଟେୟ୍‍ଗୁସୁ  କୁ‘ଡମ୍‍ଆନେନ୍‍ ।,"If you cough or sneeze, cover your face with a handkerchief or cough or sneeze into your upper sleeve, not your hands."
"ରୁଅଁ, କକଲ୍ ଉରାନା ଆକ୍‍ସିଙ୍ଗ୍ ଡେଡେମ୍‍ନୁ ଲକ୍‍ନୁ ଡିକ୍‍ ଚ ଆତ୍ ସୁଲଙ୍ଗ ଡୁ ଦର୍‍କାର୍‍ । ",
ଲକ୍‍ନେନୁ ବୁଡମ୍‍ ସାର୍‍ଲଙ୍ଗୁନୁ ବେଲା ଚ ପୁଟୁ ସୁଲଙ୍ଗ୍ ଡୁ ଦର୍‍କାର୍ ।,"When you speak to people, keep 6 feet distance."
ବିନ୍ ଲକ ନୁ ବୁଡ଼ମ୍ ତିତି ଆର ମିସାଅରନନ୍  । ,
 ବିନ୍ ଲକ୍‍ନୁ ବୁଡ଼ମ୍ ତିତି ଆର୍‍ମିସାଅନେନ୍  । ସୁଲଙ୍ଗ୍‍ବ’ ଡୁଗୁସୁ ଲକ୍‍ନେନ୍‍ଲାୟ୍‍ ଜୁଆର୍ ଡେମ‘ସୁ ସାର୍‍ଲଙ୍ଗ୍‍ଆନେନ୍‍ ।,Don’t give a handshake to known or unknown people. Keep a distance and do namaskar.
ବ’ ବ’ ଜାଗାବ ଲକ୍  ରୁନ୍‍ଡେୟ୍‍ତନେନ୍‍ ତୁ  ଇତକାଙ୍ଗ୍‍ ଜାଗା ଡିକ୍ ସୁଲଙ୍ଗ୍ ଡୁକାନେନ୍‍,
ଆଟ୍‍ବ’ ଉରା’ନା ବେସି ଲକ୍‍ନେନ୍‍ ରୁଣ୍ଡେୟ୍‍ଗୁନୁ ମିଟିଙ୍ଗ୍‍ ଡେଡେମ୍‍ନୁ ଜାଗାବ’ ଆରିଗୁନେନ୍ ।,Stay away from marketplaces where people gather in large numbers or any other places people gather and keep your physical distance.
"ସବୁବେଲା ଲକ୍‍ନେନ୍ ବ’ବ’ ଜାଗାବ ଲେୟ୍‍ତନେନ୍‍ ତୁ ଜାଗାଏଲ୍‍ ଆର୍‍ବିକ୍‍ତିର’ନେନ୍ । ପାନ୍, ଗୁଡାକୁ ସମ’ସୁ ଏକେ ଅତୁ ଆର୍‍ବିକ୍‍ତିର‘ନେନ୍‍ ।",Don’t spit in the common places. Don’t eat Pan and other tobacco items and then spit everywhere.
ଗଜ୍‍ଗା,
" ଜଦିଜଦି ବ’ସା ଲକ୍‍ଲାଲୟ୍ ବେସି ବବ୍‍ ଇସି, ସରଙ୍ଗ୍, କକଲ୍, ସେରା’ ମୁନାଙ୍ଗ୍‍ ଡେଡେମ୍‍ନୁ ଜାନାପାଡ଼େୟ୍’ଗୁନା ମାୟ୍‍ନୁ ଡିକ୍‍ ସୁଲଙ୍ଗ୍ ଡୁ ଦରକାର୍ , ଇତ’କାଙ୍ଗ୍‍ ଲକ୍‍ନେନ୍‍ଲେୟ୍‍ ଆଶା ଦିଦିନୁବ’ ଉରା’ନା ସାର୍‍କାର୍ ମେଡିକାଲ୍‍ବ’ ଉୟ୍‍ପୁଲାୟ୍‍ ସୁନ୍‍ନେନ୍।","If you see a person with high fever or shaking chills, headache, coughing and diarrhea, keep your distance. Inform ASHA DIDI or inform the block medical hospital."
କରନା ମର୍‍ଡି ମିର’ ଲକ୍ ଆକ୍ସିଙ୍ଗୁନା ଉଆର’ନା କକ୍‍ଲେୟ୍‍ ବେଲା ଉପ୍‍ଡେୟ୍‍ଗୁନୁ ଲାଲ୍‌ ଡିକ୍‍ ବିନ୍‍ ଲକ୍ ଲାୟ୍ ପିଙ୍ଗ୍‍ତ । ମିୟ ବିନ୍ ଲକ୍ ପୁନ୍‍ଡେୟ୍‍ଗୁନୁ ଉଲାଲ୍ ଡିକ୍‍ ପିଙ୍ଗ୍‍ତ   କେନା ମର୍‍ଡି ଡେଙ୍ଗୁନୁ ଲକ୍  କକ୍‍ଲେୟ୍‍ଗୁନୁ ବେଲା ବିନ୍‍ବିନ୍ ଦିନ୍‍ସୁ ତପ୍‍ନାଙ୍ଗ୍ ମ’ବ’ ମର୍‍ତୁନାଲ୍‍ନୁ କରବା କୁର୍‍ମି ଉୟ୍‍ତ । ନିମାନ୍‍ ଲକ୍‍ ତୁ ଦିନ୍‍ସୁଲାୟ୍‍ ତାରାମ’ସୁ ତିତିଲାୟ୍ ତୁମ’ବ ଉରାନା ମ’ବ ତାରାମ୍‍ଗୁନା ଆମାୟ୍‍ସା ତୁ ମର୍‍ଡି ପିଙ୍ଗ୍‍ତ ।,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth."
ପେନୁ ଜାଗାବ’ କରନା ମର୍‍ଡି ଡୁଗୁନା ଡିଏନ୍‍ନୁ ଦିନ୍‍ସୁନେନ୍‍ଲାୟ୍‍ ଗରଣ୍ଡାବ’ ସାବୁନ୍‍ ସଲସୁ   ସପା ଡେଡେମ୍‍ ଡୁତୁ  ।,"If your area is infected with COVID-19, please make Clean and disinfect high-touch surfaces daily in household common areas through soap or bleech (e.g. tables, hard-backed chairs, doorknobs, light switches, phones, tablets, touch screens, remote controls, keyboards, handles, desks, toilets, sinks)  If a separate bathroom is not available, the bathroom should be cleaned and disinfected after each use by an ill person. If this is not possible, the caregiver should wait as long as practical after use by an ill person to clean and disinfect the high-touch surfaces "
ଡିଏନ୍‍ ଡିକେ ତୁର୍‍ଗୁନା ମିୟ’ ଉମ୍‍ବ’ ଉଜିନାସା ଉର୍‍ମାଲ୍ ଉରା’ନା ମେଡିକାଲ୍ ମାସ୍‍ ତଲ୍‍ଗୁସୁ ଉୟ୍‍ ଡୁଡୁ । ଡିଏନ୍‍ବ’ ଆଣ୍ଡେୟ୍‍ଗୁନୁ ଦାପ୍‍ରେ ନିମାନ୍‍ ଡେମ’ ତିତି ଗୁତିଆନେନ୍‍ । ମାଲାୟ୍‍ ସାବୁନ୍‍ ବୁଡମ୍‍ ସପା ଡେଡେମ୍‍ ଡୁତୁ ମିୟ ନାନାବ’ ଉସର୍ ଡୁତୁ । ମୟ ନିଙ୍ଗ୍ ମାସ୍ ତଲ୍‍ଗୁନିଙ୍ଗ୍ ଡୁତୁ ଡିୟସୁ ଲକ୍‍ନେନୁ ବୁନ୍ଦେ ଉୟ୍‍ ଆର୍‍ଡେମା ।,"If you go out of the house, make sure to wear a mask or tie a handkerchief to cover your face. Wash your mask and dry it every day. The cloth face cover is not a substitute for social distancing."
"ନାୟ୍‍ନୁ ନେରିବ’ ସକ୍ତି ମିଲେୟ୍ ପୁଲାୟ୍ ବୁରନ୍‍କାଙ୍ଗ୍ ମା’ନେନ୍ , ପଲ୍ମୁଲ୍ ମିୟ ଆ’ଡଙ୍ଗ୍‍ ମିୟ ଗିସିଙ୍ଗ୍ ସେଲି ସସମ୍ ଡୁତୁ । ମିୟ ଡ’ସା ନିମାନ୍ ଇଡି ଡୁତୁ ।  ଏ ସବୁ ମା’ନେନ୍‍ଲାୟ ଆଟ୍‍ଡିକା ରିଅଁନୁ ଦପ୍‍ରେ ମିର’ ଗାମ୍‍ଲାବ ଡା’ ରିଅଁ ଦୁଇ ସାମ୍‍ସା ବିତିକ୍‍ ମିସାସୁ ମା’ଲାୟ୍ କଡେ ମିନିଟ୍‍ ଜବାଲେଅସୁ ଗୁଇଡା  ଡୁତୁ ।","Proper nutrition and hydration are vital. People who eat a well-balanced diet tend to be healthier with stronger immune systems and lower risk of chronic illnesses and infectious diseases like COVID-19. So you should eat a variety of fresh and unprocessed foods every day to get the vitamins, minerals, dietary fibre, protein and antioxidants your body needs. Drink enough water. It is advisable to soak fruits and vegetables in warm water that has one or two teaspoons of salt for twenty minutes or soak them with a solution of vinegar and water for 20 minutes."
କୁଲିବ’ ଉୟ୍‍ ଡିଅନା ତୁ ଜାଗବ’ କରନା ମର୍‍ଡି  ଡୁଡୁକି ଉରା’କି  ବୁଜେୟ୍‍ଗୁସୁ ଉୟ୍‍ ଡୁତୁ। ମାତର୍‍ ନିଜର୍  ଜାଗାବ ଡୁଗୁସୁ କାମାନି ଡେଡେମ୍‍ନୁ ବଲ୍‌ ମାଙ୍ଗ୍‍ଡେମ୍ ଡୟନା ବେସି ଲକ୍  ମଡ ମଡ ଗଡ୍‍ଏଲ୍‌ ଏ କରନା ମର୍‍ଡିବ’ ଗୟ୍‍ଗୁଇଜିନେନ୍ ଡୁତୁ।,"If you are planning to go for labour work, look for government directives or ask people who know about the place whether it is safe for you to travel. But it is  better for you to stay in your village and do some work or business because many cities have gotten infected with the Corona virus, and many people are dying every day."
,"FACTS ABOUT COVID-19  (Please read this before the group discussion, use these questions to check the group unrstood the content) 1. What is COVID-19?  COVID-19 is a disease caused by a new strain of coronavirus. ‘CO’ stands for corona, ‘VI’ for virus, and ‘D’ for disease. Formerly, this disease was referred to as ‘2019 novel coronavirus’ or ‘2019-nCoV.’ The COVID-19 virus is a new virus linked to the same family of viruses as Severe Acute Respiratory Syndrome (SARS) and some types of common cold.                            2. What are the symptoms of COVID-19?  Symptoms can include fever, cough and shortness of breath. In more severe cases, infection can cause pneumonia or breathing difficulties. More rarely, the disease can be fatal. These symptoms are similar to the flu (influenza) or the common cold, which are a lot more common than COVID-19. This is why testing is required to confirm if someone has COVID-19. 3. How does COVID-19 spread?  The virus is transmitted through direct contact with respiratory droplets of an infected person (generated through coughing and sneezing). Individuals can also be infected from and touching surfaces contaminated with the virus and touching their face (e.g., eyes, nose, mouth). The COVID-19 virus may survive on surfaces for several hours, but simple disinfectants can kill it.      4. Who is most at risk?    Older people, and people with chronic medical conditions, such as diabetes and heart disease, appear to be more at risk of developing severe symptoms.  As this is a new virus, we are still learning about how it affects children. We know it is possible for people of any age to be infected with the virus, but so far there are relatively few cases of COVID-19 reported among children. This is a new virus and we need to learn more about how it affects children. The virus can be fatal in rare cases, so far mainly among older people with pre-existing medical conditions. 5. What is the treatment for COVID-19?  There is no currently available vaccine for COVID-19. However, many of the symptoms can be treated and getting early care from a healthcare provider can make the disease less dangerous. There are several clinical trials that are being conducted to evaluate potential therapeutics for COVID-19.               6. How can the spread of COVID-19 be slowed down or prevented? As with other respiratory infections like the flu or the common cold, public health measures are critical to slow the spread of illnesses. Public health measures are everyday preventive actions that include: ✓ staying home when sick; ✓ covering mouth and nose with flexed elbow or tissue when coughing or sneezing. Dispose of used tissue immediately; ✓ washing hands often with soap and water; and ✓ cleaning frequently touched surfaces and objects. As we learn more about COVID-19 public health officials may recommend additional actions. (Courtesy: https://www.unicef.org/india/)"
"ପ୍ରବୁ ସତ୍‌ମାପୃ ଅନିଙ୍ଗ୍‌ ନିମାନ୍‌ଡେମ ବଙ୍ଗ୍‌ବଙ୍ଗ୍‌ନୁ ରକିଆକାରି 1 ବ' ଲକ୍ ସବୁନୁ ଡିକ୍ ମଡ଼କାଙ୍ଗ୍ ସତ୍‌ମାପୃନୁ ରକିଆବ ଡୁଲଙ୍ଗ୍, ମାୟ୍‌'ନୁ ତୁ ସବୁନୁ ଡିକ୍‌ ବପୁକାଙ୍ଗ୍‌ ସତ୍‌ମାପୃନୁ ଜତନ୍‌ରେ ନିମାନ୍ ବାବ୍‌ରେ ଡୁଲଙ୍ଗ୍‌। 2 ନିଙ୍ଗ୍ ପ୍ରବୁ ସତ୍‌ମାପୃନୁ ବିସୟ୍‌ରେ ସୁନ୍‌ତୁନିଙ୍ଗ୍, ମାୟ୍‌'ଅ ନିଙ୍ଗ୍‌ନୁ ରକିଆକାରି ମିୟ' ମାୟ୍‌'ଅ ବିପଦ୍ ମର୍ ପିଙ୍ଗିସୁ ନିମାନ୍ ଡୁନୁ ଜାଗା ମୁନାଙ୍ଗ୍‌। ମାୟ୍‌'ଅ ନିଙ୍ଗ୍‌ନୁ ସତ୍‌ମାପୃ ମାୟ୍‌'ନୁବ ନିଙ୍ଗ୍‌ନୁ ଆସାବର୍‌ସା ଡୁତୁ। 3 ମାଙ୍ଗ୍‌ଡେମ୍ ଡିୟ'ନା ମାୟ୍‌' ଅନମ୍‌ଲାୟ୍ ମର୍‌ତୁନାଲ୍‌ନୁ ସବୁ ପାନ୍‌ଦ୍‌ ଡିକ୍ ମିୟ' ଗଗୟ'ନୁ ସବୁ ରଗ୍ ଡିକ୍ ରକିଆ ଡେମ୍‌ତୁ। 4 ପିଡ଼ିକ୍ ଏରାନ୍ ନିଜର୍ ଅ'ଅନ୍‌ନେନ୍‌ଲାୟ୍ ନିଜର୍ ଡେନା ବୁଡ଼ମ୍ ଡାଲସୁ ରକିଆ ଡେମ ବଙ୍ଗ୍‌ତ, ତୁ ଇତ ମାୟ୍‌' ଅନମ୍‌ଲାୟ୍ ମାଙ୍ଗ୍‌ସା ଅସୁବିଦା ମର୍ ପିପିଙ୍ଗ୍‌ଲାୟ୍ ରକିଆଡେମ'ସୁ ବଙ୍ଗ୍‌ତୁ ମିୟ' ନମ୍ ମାୟ୍‌'ନୁ ଡେନା ଜକ୍‌ତ ବିପଦ୍ ଉରା'ଗୁସୁ ନିମାନ୍ ବାବ୍‌ରେ ଡୁଲଙ୍ଗ୍‌ନମ୍ ମିୟ' ମାୟ୍‌'ନୁ ସତ୍‌କାଙ୍ଗ୍ ଜିଦ୍‌ ଢାଲ ମୁନାଙ୍ଗ୍‌ ଅନମ୍ ରକିଆ ଡେମ୍‌ତୁ। 5 ନମ୍ ନୟ୍' ବେଲାନୁ ବିନ୍‌ବିନ୍ ରକମ୍‌ନୁ ବିପଦ୍‌ଲାୟ୍ ଆର୍‌ ବୁତଙ୍ଗୁ ମିୟ' ସିମିନ୍‌ବେଲା ଶତ୍‌ରୁନେନୁ ଅ'ଅମ୍‌ ମୁନାଙ୍ଗ୍ ପିପିଙ୍ଗ୍‌ନୁ ବିପଦ୍‌ଲାୟ୍ ଆର୍ ବୁତଙ୍ଗୁ, 6 ନୟ୍‌'ବ ପିପିଙ୍ଗ୍‌ନୁ ମଡ଼୍‌ମଡ଼ି ଉରାନା ସିମିନ୍‌ବେଲା ନସ୍‌ଟ ଡେଡେମ୍‌ଲାୟ୍ ପିପିଙ୍ଗ୍‌ନୁ ରଗ୍‌ ବିସୟ୍‌ରେ ଆର୍‌ବୁତଙ୍ଗୁ। 7 ନମ୍‌ନୁ ବୁନ୍‌ଦେ ଅଜାର୍ ଅଜାର୍ ଶତ୍‌ରୁନେନ୍‌ ମିୟ' ନମ୍‌ନୁ ଏତମ୍ ତିତି ବୁନ୍‌ଦେ ଦସ୍ ହଜାର୍ ଲକ୍ ଗୟ୍‌'ଲଙ୍ଗ୍‌ନେନ୍, ମାତର୍ ତୁନୁ ନମ୍‌ନୁ ବୁନ୍‌ଦେ ଆର୍‌ପିଙ୍ଗ୍‌ଆ। 8 ମିୟ' ଦୁସ୍‌ଟ ଲକ୍‌ନେନ୍ ପାଏୟ୍‌ଗୁନୁ ତୁ ଦନ୍‌ଡ୍‌ଲାୟ୍‌ ନିଜର୍ ମ' ବୁଡ଼ମ୍‌ ଜୁତୁନମ୍‌। 9 ପ୍ରବୁ ସତ୍‌ମାପ୍‌ରୁଅ ଡେଙ୍ଗୁନି ବିପଦ୍ ଉରାଗୁସୁ ନିମାନ୍‌ ଡୁନୁ ଜାଗା ମୁନାଙ୍ଗ୍‌। ଜଦି ନମ୍ ସତ୍‌ମାପ୍‌ରୁଲାୟ୍ ନିଜର୍ ବିପଦ୍ ଉରାନୁ ଜାଗା ଡେମ୍‌ତୁ ନମ୍ ଡିୟ'ନା, 10 ଅନମ୍‌ଲାୟ୍ ମାଙ୍ଗ୍‌ସା ବିପଦ୍ ଆର୍‌ଗଟେୟା, ମିୟ' ମାଙ୍ଗ୍‌ସା ମଡ଼୍‌ମଡ଼ି ନମ୍‌ନୁ ଡିଏନ୍ ବୁନ୍‌ଦେ ଆର୍‌ପିଙ୍ଗ୍‌ଆ। 11 ମାଙ୍ଗ୍‌ଡେମ୍ ଡିୟ'ନା ପ୍ରବୁ ସତ୍‌ମାପୃ ସବୁବେଲା ମିୟ' ନମ୍ ବ'ସା ଉଜି'ନାସା ଅନମ୍‌ଲାୟ୍ ରକିଆ ଡେଡେମ୍‌ଲାୟ୍ ନିଜର୍ ଦୁତ୍‌ନେନ୍‌ଲାୟ୍ ଆଦେସ୍ ବେତୁ। 12 ନମ୍‌ନୁ ସୁସୁଙ୍ଗ୍ ବିରେନ୍‌ବ ମର୍ ବଙ୍ଗ୍‌ବଙ୍ଗ୍‌ପୁଲାୟ୍ ସତ୍‌ମାପୃନୁ ଦୁତ୍‌ନେନ୍ ନିଜର୍ ତିତି ଅଡ଼େୟ୍‌ତୁନେନ୍। 13 ନମ୍ ସିଅଁ ଡୁର୍‌କା ମିୟ' ବିସ୍‌କାଙ୍ଗ୍ ବୁଡ଼୍‌ବୁୟ୍‌' ତବ୍‌ନାଙ୍ଗ୍ ଆଙ୍ଗ୍‌ସୁଙ୍ଗ୍‌ଲଙ୍ଗ୍‌ନମ୍‌। ନମ୍‌ ଅଡ଼ୁବ୍‌କାଙ୍ଗ୍ ସିଅଁ ଡୁର୍‌କା ମିୟ' ବିସ୍‌କାଙ୍ଗ୍ ବୁଡ଼୍‌ବୁୟ୍‌ଲାୟ୍ ପାଦ୍ ସୁସୁଙ୍ଗ୍ ବୁଡ଼ମ୍ ରିଡ଼ାବ୍‌ତୁନମ୍‌। 14 ପ୍ରବୁ ସତ୍‌ମାପୃ ସୁନ'ନି, ବ' ଲକ୍‌ନେନ୍‌ ଅନିଙ୍ଗ୍‌ ଆଲାଦ୍ ଡେମ'ନେନ୍‌ନି, ନିଙ୍ଗ୍‌ ଅମାୟ୍‌'ନେନ୍ ରକିଆ ଡେମ୍‌ତୁନିଙ୍ଗ୍‌। ମାଙ୍ଗ୍‌ଡେମ୍ ଡିୟ'ନା ମାୟ୍‌'ନେନ୍‌ ନିଙ୍ଗ୍‌ନୁବ ଆସାବର୍‌ସା ଡେମ ଡୁତୁନେନ୍‌। 15 ମାୟ୍‌'ନେନ୍ ଜେଡେବେଲା ଅନିଙ୍ଗ୍‌ ଆୟ୍‌ତୁନେନ୍, ନିଙ୍ଗ୍‌ ତୁ ବେଲା ଅମାୟ୍‌'ନେନ୍‌ଲାୟ୍ ଉତର୍ ବେତୁନିଙ୍ଗ୍‌। ମିୟ' ଦୁକ୍‌ବେଲା ମାୟ୍‌'ନେନୁ ବୁଡ଼ମ୍ ଡୁଗୁ ରକିଆ ଡେମ'ସୁ ଅମାୟ୍‌'ନେନ୍‌ଲାୟ୍ ମଡ଼ ଅବ୍‌ଡେମ୍‌ତୁନିଙ୍ଗ୍‌। 16 ନିଙ୍ଗ୍‌ ଅମାୟ୍‌'ନେନ୍‌ଲାୟ୍ ପୁରସ୍‌କାର୍ ମୁନାଙ୍ଗ୍ ବେସିଦିନ୍ ବୁର୍‌ଲାୟ୍ ବେତୁନିଙ୍ଗ୍‌ ମିୟ' ବିପଦ୍ ଉରାଗୁସୁ ନିମାନ୍ ଡୁ ପୁଲାୟ୍ ବେତୁନିଙ୍ଗ୍‌।","Psalm 91 New Living Translation (NLT) 1 Those who live in the shelter of the Most High     will find rest in the shadow of the Almighty. 2 This I declare about the Lord: He alone is my refuge, my place of safety;     he is my God, and I trust him. 3 For he will rescue you from every trap     and protect you from deadly disease. 4 He will cover you with his feathers.     He will shelter you with his wings.     His faithful promises are your armor and protection. 5 Do not be afraid of the terrors of the night,     nor the arrow that flies in the day. 6 Do not dread the disease that stalks in darkness,     nor the disaster that strikes at midday. 7 Though a thousand fall at your side,     though ten thousand are dying around you,     these evils will not touch you. 8 Just open your eyes,     and see how the wicked are punished. 9 If you make the Lord your refuge,     if you make the Most High your shelter, 10 no evil will conquer you;     no plague will come near your home. 11 For he will order his angels     to protect you wherever you go. 12 They will hold you up with their hands     so you won’t even hurt your foot on a stone. 13 You will trample upon lions and cobras;     you will crush fierce lions and serpents under your feet! 14 The Lord says, “I will rescue those who love me.     I will protect those who trust in my name. 15 When they call on me, I will answer;     I will be with them in trouble.     I will rescue and honor them. 16 I will reward them with a long life     and give them my salvation.” "
,"Here are 6 questions that may be used for the reflection time tomorrow. Please feel free to make changes:  1. What does a person have to do to dwell in the shelter of the most high ?  2. What are 4 names for God, in verses 1 and 2 and what do they reveal about God  ?  3. Is God's protection available to everyone ? Why or why not ? verses 9, 10  4. Does the promise of protection in this Psalm, and in v 10, mean that one who puts their trust in God, will be exempt from disaster, harm, pressure and problems ? (2 Corinthians 11:23-28, 12:7-10, Romans 8:16-18, 28, 31, 35-39)  5. What is the worst kind of evil that can ever befall you ? What is your understanding of God's protection ?   6. According to Psalm 91, what is your part in experiencing God's deliverance and protection ?    7. Can we experience God's protection by being careless and not taking precautions ?"
