lts,wms,eng,ind
,Masketle ugumgegenano motomgetkegele bokge ephalo bage amit kawemoge. ,,
,Gogo masketle bokgegenggegele sanun ka. Masketle ugumgenano satle duminuk laphalondoe. ,,
,Sendok kuakga ,,
,Amit ,,
,Bap ,,
,Nayop ,,
,Handokge egepkup-egepkup kenuna ,,
,"Andemowo, bilin sendokgo, okdimo, handokgomanepwe ketopdak-ketopdak monaget.",,
,"Bisit munggupkane gogo kelopkalilo bisit mungguwo ewe lawonagetoe, lapnamatkegetle ka emanuna.  ",,
,"Lapkitmonamatkegetle, aptop gelendetle bisit munggupka goyo manlingga bakbet katombetnuna. ",,
,AP,,
,Ap kanamalo topka ,,
,Andenamalo topka ,,
,Gogo bisitle alipkup satkup sabungga ogopnuna… ,,
,Batgotop ,,
,Wambembetik hinbalingga nambo! ,,
,Kitanggutlo lukge tulepon luk tatalokga etakgo katkenakna!,,
,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
,Obat dagonano hinggenamokdeno manggop takgo luk kanetopdik: ,,
,"Kitanggutlo takbukman: Buku komik nombone yayun kitanggutla asinggp hiwagilonggup wambemomopsigindik. Gupwe yayune tembetik, nombono lukge alipkup satkup lapkitmalenggegle, yayun kitanggut talokge wambemomat. Referensi: Komik nombephalono COVID-19 sigino luk ewe yanggumalembone kogeno 28 Februari 2020 getbono buku tagemgup nekilep epka lawo oplawo ugumalembo.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi kitanggut: Komik nombone PDFka okmalembone nombephalo lawomoge: https://gumroad.com/weimankowart  Komik lawomowo yandit: Nombono Komikge gupwe wasi lawomat. Whatsapp kanggoyo Face Book talokga lapelo, ap talokgup, sekola talokgup, keleman talokgupka hetago kinggopmompsigindik.  Komik nombone dagatmomalo topwe tagemgupwo luk nombe hetago katkenak:  1. Komik top nombono bagetle laphamoget.  2. Komik nombone halonano tagetka takbikmomop sigindikdoe. 3. FB talokga dagatmomopkegele, nombono hitkup oknu: @weimankowart (IG), koyo link instagram.com/weimankow  Odo luk kitanggula hetago lapkitmomopwe  Nombono situpka luk hanotna kan: comicsforgood@gmail.com ",,
,,Diterjemahkan dalam Bahasa Wambon Kenon oleh Wambon Dumut,
,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
,,"Created by Weiman Kow, instagram: weimankow",
Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,"Virus Koronatak    Virus Koronane andagamondik komegemat eptage gogopwe dominugo luk nombongga sanggomo katkenaknantak  KOMEGEGE  Bonop  Kalit  Kelop  Kute etomat  Hinbalino kap Yayuno kap  Nemamo asin selenggetkandige viruse komegemat Wambemo kamgenakna.  Kamge 2 metetkenaknandik  asin asinamalo walokge dano gogopwe lawogettoe. 1 2m-0,5m Ahi!!  Golo gogopwe hetaknano kapwe Apyokgup koyo hiwagilokgup koyo yayunggup kegetle nemanuna:  Yagoptage masketle nandakna. Emanunano  yagopwe hiwagilokdik  goyo apyokdik ewe masket topka asinano sinimo manggopwe lawontakdoe. 2 Matetik *SROOT* KOYO Nombono kapwe epmo yayune tembetik, do ego andit wambemomopsigi masket haloge. Viruskola lawatbono kapwe tepwe lapbesanmono goge katkenagettoendik, ego yayune kamo lapkomemomoge.  Mitkuptage, awopdikga  yayunggup denopwe gogopwe amokgolo,  matet baline kap dagit talokge kanaget.  Andemop simbit  Hinbalino kap  Taksi topka lapdimo elan  Halik tombot  Tisu  Oktdim  Elektronik ambat  Masket mote besan nemet talok  Halik talokgo lapdiman  Mous  Botpen  Aptop gelendet  Yago bisit  Emandik, yayuno kapko walokge nombenbep taloga lawomoge…  Emamane gogop mitkupwe yayumonamat. Koyo gogp sinimo manggopko kelopkalit  Koyo kelopwe lawo hopkotman  Gogopwe manggopdoega, ewo mane baunbelo dako ga kelopkalit,  Matetbaline ewo imakeman ambatle sabungga goyo baikilin okga goyo alkoholo okga  ogogopnunandikga viruse tembetkemoge.  Viruse kenonggo imakeman ambat taloga bageno kitipke satkemo satkelopwe 24ke motomgemoge.  Sabun nombemanyepmo viruse haloganuna. Ewoptakgolo, datlo lapkitman epdikge matetkayan  Sabungga ogoknonagano nombephalonggen. Sabun Bisit munggup  Gogo kelopkalitle laphetkonage.(Koyo awopko kelopkalitkup laphetkonaget.) Emamomopkegetle bisitle sabungga ogokmonagano bokge tembetkendik.  “Kawetbono talomo” gome ligenano motomgemogen yepkentak.  Bisit muktop  Kogeno 20 detikgentak  Bisit talon kakmontop  Bisit atat mimbanggup okgok betik  Bisitle andagambetik okgokmogenano bokge tembetkemat?  Lapwalenggegetle wasi sabungga bisit ogoknuna.  Masketla mote besane lawonaget  Walok hotgon  Masketle ugumgegenano motomgetkegele bokge ephalo bage amit kawemoge.  Gogo masketle bokgegenggegele sanun ka. Masketle ugumgenano satle duminuk laphalondoe.  Sendok kuakga  Amit  Bap  Nayop  Handokge egepkup-egepkup kenuna  Andemowo, bilin sendokgo, okdimo, handokgomanepwe ketopdak-ketopdak monaget. Bisit munggupkane gogo kelopkalilo bisit mungguwo ewe lawonagetoe, lapnamatkegetle ka emanuna.   Lapkitmonamatkegetle, aptop gelendetle bisit munggupka goyo manlingga bakbet katombetnuna.  AP Ap kanamalo topka  Andenamalo topka  Gogo bisitle alipkup satkup sabungga ogopnuna…  Batgotop  Sabun Wambembetik hinbalingga nambo!  Wambembetik hinbalingga nambo!  Sabun Kitanggutlo lukge tulepon luk tatalokga etakgo katkenakna! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020) ""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020) Obat dagonano hinggenamokdeno manggop takgo luk kanetopdik:  Kitanggutlo takbukman: Buku komik nombone yayun kitanggutla asinggp hiwagilonggup wambemomopsigindik. Gupwe yayune tembetik, nombono lukge alipkup satkup lapkitmalenggegle, yayun kitanggut talokge wambemomat. Referensi: Komik nombephalono COVID-19 sigino luk ewe yanggumalembone kogeno 28 Februari 2020 getbono buku tagemgup nekilep epka lawo oplawo ugumalembo.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi kitanggut: Komik nombone PDFka okmalembone nombephalo lawomoge: https://gumroad.com/weimankowart  Komik lawomowo yandit: Nombono Komikge gupwe wasi lawomat. Whatsapp kanggoyo Face Book talokga lapelo, ap talokgup, sekola talokgup, keleman talokgupka hetago kinggopmompsigindik.  Komik nombone dagatmomalo topwe tagemgupwo luk nombe hetago katkenak:  1. Komik top nombono bagetle laphamoget.  2. Komik nombone halonano tagetka takbikmomop sigindikdoe. 3. FB talokga dagatmomopkegele, nombono hitkup oknu: @weimankowart (IG), koyo link instagram.com/weimankow  Odo luk kitanggula hetago lapkitmomopwe  Nombono situpka luk hanotna kan: comicsforgood@gmail.com  Virus Koronatak        ","About Coronavirus                                                                                      About Coronavirus  Diterjemahkan dalam Bahasa Wambon Kenon oleh Wambon Dumut Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org Created by Weiman Kow, instagram: weimankow    ",Tentang Virus Corona                                                                                      Tentang Virus Corona        
