spa,dig,eng
,"Njira nono ya kuolaga virusi vino ni kutsukutsa mikono,na sabuni,jiki au spriti.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
,Virusi vina weza kukala hai kpwa masaa.,"Viruses can last for quite a few hours on objects,"
,Sabuni.,soap
,malagizo,precautions
,Ndiyo mana nvinono kulunga mambo gano.,Which is why it is also good to follow these
,Tsukutsa na sabuni hadi hipha.,wash with soap up to here
,sabuni,soap
,Chisugudi.,elbow
,"Usidzigute uso wala usigute wa myao,napho nlazima ugute uso phanhi tsukutsa mikono vinono.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
,muda wakutosha kuimba fungu ra kpwandza ra wira wa taifa.,Enough time to sing “Happy Birthday” twice
,Tsini ya kombe,under the nails
,Kpwa sekunde 20,for 20 seconds
,Kahikahi ya vyala,between the fingers
,Tsukutsa nyuma ya mpkwono ,wash the back of your hands
,Vinono nviphi,What is thoroughly?
,"Napho ukaiguta usikale na wasiwasi, tsukutsa mikono na sabuni","If you did, don't worry. Just wash your hands with soap after."
,Usigute uphande wakondze wa maskiyo.,"Also, don't touch the outside of the mask if you can."
,Vidzitoni.,droplets
,Maski nkuhenda vidudu napho ichivwalwa sana.,*Bacteria grows on the insides of your mask if you wear them too long
,"Tsupha maski napho ina mahemahe ama ikakala chafu, usivwale maski kutsupa siku mwenga.",Throw away masks once they feel gross. Don't wear them for more than a day!
,Humira chidziko cha kuephurira.,Use a serving spoon
,mwana,Baby
,Baba,Daddy
,Mayo,Mommy
,Chila mwenga akale na tauliye.,Everyone gets their own towel
,"Msirye chakurya sahani mwenga, msihumire tauli mwenga.","Do not share food, utensils, cups, towels."
,Kpwa kuweza kuguta uso na chisukusuku ata uchijeza.,You can't touch your face with your elbow even if you tried
,Humira chisukusuku ama bega kuvugula miryango.,"Open & close doors with your elbows or shoulders instead of hands, if possible."
,Kaya.,Home
,Uchila kpwatu kpwenye atu anji. ,and after being out in the public
,Ndo urye,Before you eat
,Tsukutsa mikono na sabuni. ,Always wash your hands with soap…
,Mwisho,"And finally,"
,Chila mwenga akale salama,"Stay safe, everyone!"
,Read the articles for more tips!,Read the articles for more tips!
,"3.    “This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
,"2.    “The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020)","""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)"
,"1.    “How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020)","""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020"
,,Main references for medical info:
,,"Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com"
,,"Images on pages Front Cover, 1–18 by Weiman Kou, © 2020 Weiman Kou. CC BY-NC-SA 4.0. Image on page 19 by SIL LEAD, Inc.. CC0 1.0."
,,Translated in Chidigo by Lawi Mwakaole
,,"Created by Weiman Kow, instagram: weimankow"
Sobre el Coronavirus                                                                                      Sobre el Coronavirus        ,"Dzula ya virusi vya korona    Kuna chitu chimwenga ufwaacho kumanya dzulu ya virusi vya korona. CHINA ENEA Mromoni Pulani Matsoni vichikuinjira Mutu asiye na virusi vya korona. Mutu mwenye virusi vya korona Virusi nkuenea napho vidzitoni vya mahe. Dzivwehe kanda.Kala mita 2 kure kpwa usifikirwe na vidzitoni. 1 Mita 2 Achuuu! Uchiona mutu  anakolola/anapiga myasa, unaweza kutsambula ku: Mphe maski kpwa achikolola ama achipiga myasa asiambukize ayae. 2 santa ama Pengine siye mkpwongo anadzirinda tu Atu anjina ni akongo na taonyesa dalili za korona ele anaweza kuambukiza. Usikale phatu phenye atu anji kpwa kumanya niani ariye mkpwongo. vidziko Mutu asiye na virusi. Vyuma vya kugbwira garini Viunde vya kubofya kpwenye lifti.V Karatasi vikombe Vifwaya vya chidijitali Uphande wa kondze wa maskiyo. Vyuma vya kugbwira  napho unapanda ngazi za gorofa. Chiunde cha kompyuta chakuolohera. kalamu Vitasa vya miryango Mikono Marazanjina mahe ga mutu mkpwongo nkuguta kpwatu kpwanjina… unaweza kukala akongo. Ama uso wa mutu umendzaye Ufwikitse matso Uchiguta vitu hivyo bila kumanya alafu ugute uso, Njira nono ya kuolaga virusi vino ni kutsukutsa mikono,na sabuni,jiki au spriti. Virusi vina weza kukala hai kpwa masaa. Sabuni. malagizo Ndiyo mana nvinono kulunga mambo gano. Tsukutsa na sabuni hadi hipha. sabuni Chisugudi. Usidzigute uso wala usigute wa myao,napho nlazima ugute uso phanhi tsukutsa mikono vinono. muda wakutosha kuimba fungu ra kpwandza ra wira wa taifa. Tsini ya kombe Kpwa sekunde 20 Kahikahi ya vyala Tsukutsa nyuma ya mpkwono  Vinono nviphi Napho ukaiguta usikale na wasiwasi, tsukutsa mikono na sabuni Usigute uphande wakondze wa maskiyo. Vidzitoni. Maski nkuhenda vidudu napho ichivwalwa sana. Tsupha maski napho ina mahemahe ama ikakala chafu, usivwale maski kutsupa siku mwenga. Humira chidziko cha kuephurira. mwana Baba Mayo Chila mwenga akale na tauliye. Msirye chakurya sahani mwenga, msihumire tauli mwenga. Kpwa kuweza kuguta uso na chisukusuku ata uchijeza. Humira chisukusuku ama bega kuvugula miryango. Kaya. Uchila kpwatu kpwenye atu anji.  Ndo urye Tsukutsa mikono na sabuni.  Mwisho sabuni Chila mwenga akale salama Chila mwenga akale salama sabuni Read the articles for more tips! 3.    “This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) 2.    “The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020) 1.    “How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020)   Dzula ya virusi vya korona        ","About Coronavirus    There's only ONE thing ﻿you need to understand about how a coronavirus SPREADS Mouth Nose Eyes Get into your Healthy Person Sick Person The virus spreads when ﻿these droplets Keep your distance.﻿2m will keep you safe from large droplets. 1 2m Achoo! So if you see someone who is visibly coughing/sneezing/sick you can choose to: Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby. 2 Thank you﻿*sniffles* OR, Maybe she's not sick, just protecting herself People who are infected can show no symptoms, but are still﻿infectious And in general, it's a good idea to avoid crowds, because you don't know who might be sick. Chopsticks Healthy person Train straps Lift buttons Tissues Cups Digital devices & even on the outside of your face mask Stair bannisters Mouse Pens Door knobs Their hands However, sometimes a sick person's saliva can get on other things… you might all fall sick. or your loved one's face rub eyes And if you do touch any of these things by accident, and then touch your face, and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol. Viruses can last for quite a few hours on objects, soap precautions Which is why it is also good to follow these wash with soap up to here soap elbow Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first. Enough time to sing “Happy Birthday” twice under the nails for 20 seconds between the fingers wash the back of your hands What is thoroughly? If you did, don't worry. Just wash your hands with soap after. Also, don't touch the outside of the mask if you can. droplets *Bacteria grows on the insides of your mask if you wear them too long Throw away masks once they feel gross. Don't wear them for more than a day! Use a serving spoon Baby Daddy Mommy Everyone gets their own towel Do not share food, utensils, cups, towels. You can't touch your face with your elbow even if you tried Open & close doors with your elbows or shoulders instead of hands, if possible. Home and after being out in the public Before you eat Always wash your hands with soap… And finally, soap Stay safe, everyone! Stay safe, everyone! soap Read the articles for more tips! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020) ""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020 Main references for medical info: Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com About Coronavirus Images on pages Front Cover, 1–18 by Weiman Kou, © 2020 Weiman Kou. CC BY-NC-SA 4.0. Image on page 19 by SIL LEAD, Inc.. CC0 1.0.  Translated in Chidigo by Lawi Mwakaole Created by Weiman Kow, instagram: weimankow    "
