eng,xmg,fra
Elderly person,Ŋɔŋ wɛ́ a kɛ pé ngəkód nɛ́,Personne âgée
Person with a heart condition or disease,"Ŋɔŋ wɛ́ a tséʼé ghɔŋɔndzɔʼ nɛ́, nkii ngâ tsyó mbziʼe ghɔŋ mbəb ye nɛ́",Personne cardiaque ou souffrant de maladie
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Pɔŋ pɛ́ tɛ̂mbɛ ghɔŋ yéré bgáá wɔ́b nɛ́  Kɔŋɔ pɔŋ náá, mbɛ pɛ mɔ́ŋ, tɛ̂mbɛ virʉsə fé yɔŋ ké gbáá wɔ́b gbâ. Pɔŋ pɛ́ pɔ́b ghəkód nɛ́, pwɛ́ pɔŋ pɛ́ pɔ́b tséʼé taʼ ghɔŋ yɛ́ a shʉyɛ́ mbəb pɔ́b, njʉ́  ghɔŋ yɛ́ a fubɔ́ ŋɔŋ fúb nɛ́, ghɔŋ súkaa, pɛ ghɔŋɔndzɔʼ, ghɔŋ taŋsíyɔŋ nɛ́, a tsóó njʉ́ tɛ̂mbɛ virʉsə yéré zhyɛ́ ghɔŋ yéré zhyɛ́ wɔ́b ne no nɛ́.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
Fever Fatigue,-ghɔŋɔfóó -káŋá,- Fièvre - Fatigue
Dry cough Muscle aches and pains,-kpéé zəbé -zuʼɔ ywoʼɔ mbəb,- Toux sèche - Douleurs musculaires
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Kiŋi ghɔŋ yéré  Kiŋi pɛ́ a nyoʼo ngâ Koronavirʉsə mbəb ŋɔŋ nɛ́, fwɛ́ ye mépɔd : ghɔŋɔfóó, kpéé zəbé, káŋá, zuʼɔ ywoʼɔ mbəb. Pétsyó ghaŋaghɔŋ tsé ndzoʼo nyʉʼɛ́ mbəb, tswəhé mɔ́b móʼ mbó ntshʉyi, ntséʼé zuʼɔ́ yɔŋ pwɛ́ kuwɛ. A pɛ́ mbəb pétsyó pɔŋ tsyó kiŋi tsé mbe nyoʼo pó, pɔ́b ke mbɛ́ yɔ́b pé shʉʼʉ. Záá pɔŋ fwo kii nɔ́ tsyó fwo.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
Person with a cough,Ŋɔŋ wɛ́ a tséʼé kpéé nɛ́,Personne qui tousse
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Mbziʼe njʉ́ Koronavirʉsə záʼá gbaa ŋɔŋ nɛ́                                             KOVÍD-19 zaʼa mbəb pɔŋ pɛ́ virʉsə mbəb pɔ́b nɛ́ mgbǎ pɔŋ. Nkhoʼyɛ́ ŋɔŋ wɛ́ ghɔŋ yéré mbəb nɛ́ pé tɛ́ kpéé, kii ntsiyɛ́ nɛ́, pɛ tsetsaʼ tə twɔ́ ndzó tswəhé mé pwɛ́ ntswee yé. A pɛ́ɛ́ yɛ́ ŋɔŋ zhʉ̌yi, tsetsáʼ tə yéré kuŋɔ ntswee ye nɛ́, mbǒ Koronavirʉsə gbaa wé. A pɛ́ɛ́ yɛ́ ŋɔŋ kébe yɔ́b yɛ́ tsetsáʼ tə yéré vɔ ndúŋú nɛ́, mbó kébé míí mé, tswəhé mé nkii ngâ ntswee ye nɛ́, mbǒ tɛ̂mbɛ a gbáá wé.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Tɛ̂mbɛ pé ywóʼó níŋ?,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1. Puŋ zhaŋa ne nkébene míí múŋ, tswəhé múŋ nkii ngâ ntswee wúŋ. ","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,2. Puŋ sǒ mbwó ne ntsəndzə́ ne ntsəhe wɛ́ a tsɛ́ tsɛ́ nɛ́. Mbó sébé né tááwere yáŋme.,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
3. Cough and sneeze into the crook of your arm. ,3. Puŋ kpéé mbó ntsiyɛ́ɛ́ ndzó pɔrɔ́pwó.,3. Tousser et éternuer dans le creux de son bras.
4. Avoid eating raw meat and touching live animals.,4. Puŋ ndɛ pfód ndzab pʉ́ʉ́ kii pó kebé mwɔ́paʼ ne pwo.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,"5. Puŋ ŋɔŋ wɛ́ a tsé kpee kii tsé ntsiyɛ nɛ́ tsɛ tsɛ́, wo tsɛ́ɛ́ ne taʼ ntaa kpee. ",5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Kii puŋ ndɛ ntseʼɛ́ ŋɔŋ ne pwó. Puŋ tseʼɛ́ mbəb yuŋ pé ne ntswee kii ngâ ne tó.,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
7. Avoid gatherings. ,7. Puŋ zhaŋa pé ywoʼ pɛ́ pé terɛ yóʼó zááme nɛ́.,7. Eviter les rassemblements.
8. Restrict movement.,8. Puŋ ndɛ tsé nyi zááme.,8. Limiter ses déplacements.
9. Keep informed and verify the source of information.,"9. Puŋ zoʼo pésaʼankɔ́, mbó tshʉyi ntaʼa tsí pésaʼankɔ́ wéré shʉʼʉ.",9. Se tenir informé et vérifier la source de ses informations.
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,"Nkhoʼyɛ́ a kɛ gbaa ŋɔŋ nɛ́, pe zhiyɛ́ɛ́ níŋ?  A pe yɛ́ puŋ kɛ́ tsé nyóʼó pɛ kiŋi nɛ́: -        Puŋ zhaŋa ywoʼ yɛ́ pɔŋ yóʼó nɛ́. -        Puŋ ghɔrɔ́ ndáb puŋ. -        Puŋ fú 1510 mbó ntíí kpee ndúŋú meno pɛ́ pɛ ndɔŋɔ́taa tsɔ́ ne puŋ nɛ́. Tɛ̂mbɛ puŋ pó fú:",Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","    Kaʼtɛ mbaŋa ndzebe, tsyó fwo yɛ́ tɛ̌mbɛ pé pɛ́d KOVÍD-19 núŋ nɛ́ yóʼó pó. Tsʉ́ʼmbé pɛ ntsɛsəhó tsé ntaʼa fwo yɛ́ tɛ̂mbɛ pé pɛ́d ghɔŋ yéré núŋ nɛ́.             A zɔŋɔ ngâ mbɛwɔ̌ pfiyeb mbəb ye njʉ́ a zɔŋɔ nɛ́, ngiyɛ́ njʉ́ pé tsəhó nɛ́, mbǒ Koronavirʉsə gbaa wé pó. Nkʉ́rʉ́, a pó ngiyɛ ngâ pɔŋ pɛ́ pú pɔ́b tɔbɔ no nɛ́, kii yɔŋ ghɔŋ ndɛ gbáá wɔ́b.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Nkéʼne pɛ ndii tsəhó ntʉ̌ŋme pɛ́ a ndzó ŋweʼe yɔŋ nɛ́  Ghɔŋ yɛ́ a fubɔ́ ŋɔŋ fúb nɛ́ : ghɔŋ yéré pé tɛ gbáá ŋɔŋ a zhəyɛ zhəyɛ́ kékáŋ. Ngiyɛ́ njʉ́ pé tsəhó nɛ́: nkaŋ, ntîne kpee ndúŋú meno pɛ́ pé tsəhó ngâ pe zhyɛ́ nkhoʼyɔŋ nɛ́. Ghɔŋ súkaa: ghɔŋ yɛ́ a ndɛ mbɔrɔ́ gbaa ŋɔŋ mbǒ súkaa záá ndzɔʼɔ ntsihe mé nɛ́. Tswəhé tshʉ́yí: a nkhoʼyɛ́ tswəhé ŋɔŋ ntshʉ́yí tsəhe nɛ́. Mépɔd: ghɔŋ yɛ́ a zhyɛ́ tswəhé ŋɔŋ tshʉyí tshʉ́yí nɛ́. Ghɔŋ taŋsiyɔŋ : nkhoʼyɛ́ ndzɔʼ gbíí kaʼatɛ tsihe yúŋɔ ndzó pɛ shʉʉ nɛ́. Ghɔŋ: métsəʼé. Tɛ̂mbɛ a gbaa: ŋɔŋ wɛ́ tɛ̂mbɛ a fɛrɛ́ ngɔŋ nɛ́. Kiŋi ghɔŋ: kiŋi, yɔ́ʼɔ́ ghɔŋ Virʉsə : yɔ́b yɛ́ a fɛ́ ghɔŋ nɛ́ Ŋɔŋ wɛ́ tɛmbɛ a fɛ́d ndɔ́ɔ́ ghɔŋ nɛ́ : a kɔrɔ pɔŋ pɛ́ tsihe mɔ́b kɛ pɔ́d nɛ́, ntsɛ́ɛ́ ne ngɔ̌ŋne","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
,,"Meno pɛ́ a zɔŋɔ ngâ puŋ zɛ́ ndúŋú Koronavirʉsə yɛ́ pé ke mbó fú ne KOVÍD-19 nɛ́  © CABTAL, 2020"
