fra,bwt,eng
,Mɔ awə̌ a wɔ́ŋí nyambɛ̂ a nlə́m,Person with a heart condition or disease
,"Baʼ ábə́ nyambɛ̂ anin a tíngání ɛ wáli  Kɛ́n ɛ kɔ́nə́ ɛ nínán ɛ tingání ɛ kutan baʼ bá kɔ́l ɛsə́sə̌n. Batína na baʼ ábə́ bá mə̌ ɛ́ wɔ́ŋ biyəmblan bí nyambɛ̂ (ngə nyambɛ̂ a pəmi, nyambɛ̂ a bɔmbɔ́, nyambɛ̂ a nlə́m, nyambɛ̂ a makǐ ámə́ má pulu) bá míndí ngə baʼ ábə́ njí kɛ́n ɛ nínan ɛ kwilí bɔ́ á nyǔ bá kfún nkfulu n nə̂n.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
,-Ɛfi -Wukɔmbakɔm (nyǔ ɛ̌ ləŋ wə á tin),Fever Fatigue
,-Ɛkwɛ́sí ɛ́ kínjyə na wuwa wú maka má nyǔ,Dry cough Muscle aches and pains
,"Biyəmblan  Biyəmblan bí kɛ́n ɛ Koróna bí dí mulinlin ngə bí ngɔ́nkɛlɛ: Nkfulu, ɛfi , ɛkfwɛ́sí ɛ nkínjyə́, wuwa wú maka má nyǔ, wukɔ́mbɔ́kɔm, baʼ ábə́ bá kfulu bafɔ́ bá wú wuwa, dwi álə́ lí pə́ŋí, ɛbɔm, yɔndɔmbwá, wusán. Baʼ báfɔ́ ká nyambɛ̂ anin a mə̌ bɔ́  ɛ kutan, bá míndí bwǎm. Baʼ jǐta bá pwi ká bá núŋiyǎ mə̌.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
,Mɔ a wə̌ á wɔŋí ɛkwɛ́sí,Person with a cough
,"Likutan lí kɛ́n ɛ koróna Baʼ ábə́ bá wúŋí COVID-19, bɔ́ bá kután baʼ bápə́pə̌. Wə́ti mɔ awə̌ ǎ kfulu a shə́mú, ǎ pə́njí matɔ́tɔ́ má  bikwən á bə́ bí fí mɔ́ á dwî na á nsu. Njí baʼ bá núŋí pə́mi ɛyə̌ matɔ́tɔ́ mâ má díní átin, kɛ́n ɛ koróna ɛ tíngání bɔ́ ɛ kutan. Wə́ti mɔ a nyɔtí yǔm ɛ́yə́ matɔ́tɔ́ mâ má mə́ní ɛ kutan ti a kanání ɛkɛ́ á mǐ, á dwí, na á nsu, nyambɛ̂ anin a tingání mɔ́ ɛ kutan.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
,Yə̌ ɛ́yə́ sí lɔ́líní ɛ bwə nána nyambɛ̂ a nínán a si kután sə́,How to protect yourself
,"1. Sí si nyɔtí mî, madwî na misu mí sə.","1. Avoid touching eyes, nose, mouth."
,2. Sí wû makɛ́ má sə ɛtî tɛ́ na sɔ́pí na madí ámə́ má sáŋí. Ti sí fyákú mɔ́ ná táwili ɛyə̌ ɛ sáŋí.,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
,"3. Sí Kfwɛ́sí, sí shɛ́mu á  libɔ́ŋ lí ɛkɛ́ átin.",3. Cough and sneeze into the crook of your arm. 
,"4. Sí si dyá nyam ɛ pínyə́; sí si nyɔti ka pə́ nyam ɛ́yə́ ɛ dí wə́ á lungɛ́. Ndé njí sí nyɔ́tí yɔ́, sí lɔ́lí ɛ wulí makɛ́ má sə́ á fâ á shí á shí.",4. Avoid eating raw meat and touching live animals.
,5. Sí si wútán mɔ awə̌ ǎ kwɛ́si tɔ awə̌ ǎ shə́mu. ,5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
,6. Sì si sambán pə́ baꞌ na makɛ́. ,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
,7. Sí si kə̌ á fə́ limuti lí díní.,7. Avoid gatherings. 
,8. Sí máku miyə́ngə́.,8. Restrict movement.
,"9. Sí wánan á li kwisí ndúm tɛngɛnɛ yə̌ ɛ́yə́ ɛ́ bwəlan, ndé si lɔ́lí ɛ wasí á fə́ ndúm ɛni ɛ fíní.",9. Keep informed and verify the source of information.
,"Yə̌ sí tíngání ɛ bwə njí nyambɛ̂ anín a kutání sə́? Njí sí wɔ́ŋí Biyəmblan bî:   - Sí si wɔ́kɔ́n á nyǔ na baʼ bápə́pə̌.   - Sí dyɛ̂ á mandáʼ má sə.   - Sí bəŋ nsɔŋgí n tɛlɛfónə 1510, ti sí nanní yə̌ ɛ́yə́ dɔ́kíta a pɔŋíní sə.  Misɔŋgí mí tɛlɛfónə mípə́pə̌ mɔ́ mínán:",What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
,"Kə́ŋ ti wúyə́ bwə̌ bú shiyǎ á bə́ bú tíngání ɛ́ ma nyambɛ̂ a CÓVID-19, ndé bajanya bá dí wə̂ ɛ́ wasí manjí álí nyítí bwə̌ bú mbímbí. Mɔ na mɔtɛ́ a lɔlí ɛ nuŋ púndá, a díshí pə́ nyǔ, a bwə misam ámə́ mí sungɛ́ mɔ́ na litúmbá lí mɔ na basún bá mɔ.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
,,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
,,"Yə̌ ɛ́yə́ sí lɔ́líní ɛ bî  tɛ́ngɛnɛ KORÓNAVAYRUSƏ tɔ̂ COVID-19  © CABTAL, 2020 "
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ,"Yə̌ ɛ́yə́ sí lɔ́líní ɛ bî  tɛ́ngɛnɛ KORÓNAVAYRUSƏ tɔ̂ COVID-19  Cameroon Association for Bible Translation and Literacy  Yə̌ ɛ́yə́ sí lɔ́líní ɛ bî  tɛ́ngɛnɛ KORÓNAVAYRUSƏ tɔ̂ COVID-19                  MATƆTI MÁ MBYÁ - Korónvayrɔsə - Baʼ ábə́ nyambɛ̌ a tingání ɛ wáli - Biyəmblan  - Likutan lí kɛ́n ɛ koróna - Yə̌ ɛ́yə́ sí lɔ́líní ɛ bwə nána nyambɛ̂ a nínán a si kután sə́ - Yə̌ sí tíngání ɛ bwə njí nyambɛ̂ anín a kutání sə́?     p.2 p.3 p.4 p.5  p.6   p.8  Korónavarusə tɔ̂ COVID-19, ɛ́ dí kɛ́n ɛ kɔ́nə́. Ɛtî ɛ́ wusuwə ɛ́yə́ ndúm ɛ nyítíní tɛ́ngɛnɛ nyambɛ̂ anín ɛ́ bílí á ɛkumbu ɛ́ Chǐna, á madû 31 má December, 2019. Nyambɛ̂ anín a wɔ́ŋí biyəmblan ngə bí ŋgɔ́nkɛlɛ, a tingání pə́ mɔ ɛ bulu njí a dí mɔ á nyǔ bwám bwam. A mə́ ɛ kután baʼ á bikumbu jǐta á nkí n shiyə̌. Mɔ ká fɔ́ a bíyǎ á fə́ nyambɛ̂ anin a fíní.   Batína  Mɔ awə̌ a wɔ́ŋí nyambɛ̂ a nlə́m Baʼ ábə́ nyambɛ̂ anin a tíngání ɛ wáli  Kɛ́n ɛ kɔ́nə́ ɛ nínán ɛ tingání ɛ kutan baʼ bá kɔ́l ɛsə́sə̌n. Batína na baʼ ábə́ bá mə̌ ɛ́ wɔ́ŋ biyəmblan bí nyambɛ̂ (ngə nyambɛ̂ a pəmi, nyambɛ̂ a bɔmbɔ́, nyambɛ̂ a nlə́m, nyambɛ̂ a makǐ ámə́ má pulu) bá míndí ngə baʼ ábə́ njí kɛ́n ɛ nínan ɛ kwilí bɔ́ á nyǔ bá kfún nkfulu n nə̂n.   -Ɛfi -Wukɔmbakɔm (nyǔ ɛ̌ ləŋ wə á tin)  -Ɛkwɛ́sí ɛ́ kínjyə na wuwa wú maka má nyǔ Biyəmblan  Biyəmblan bí kɛ́n ɛ Koróna bí dí mulinlin ngə bí ngɔ́nkɛlɛ: Nkfulu, ɛfi , ɛkfwɛ́sí ɛ nkínjyə́, wuwa wú maka má nyǔ, wukɔ́mbɔ́kɔm, baʼ ábə́ bá kfulu bafɔ́ bá wú wuwa, dwi álə́ lí pə́ŋí, ɛbɔm, yɔndɔmbwá, wusán. Baʼ báfɔ́ ká nyambɛ̂ anin a mə̌ bɔ́  ɛ kutan, bá míndí bwǎm. Baʼ jǐta bá pwi ká bá núŋiyǎ mə̌.  Mɔ a wə̌ á wɔŋí ɛkwɛ́sí Likutan lí kɛ́n ɛ koróna Baʼ ábə́ bá wúŋí COVID-19, bɔ́ bá kután baʼ bápə́pə̌. Wə́ti mɔ awə̌ ǎ kfulu a shə́mú, ǎ pə́njí matɔ́tɔ́ má  bikwən á bə́ bí fí mɔ́ á dwî na á nsu. Njí baʼ bá núŋí pə́mi ɛyə̌ matɔ́tɔ́ mâ má díní átin, kɛ́n ɛ koróna ɛ tíngání bɔ́ ɛ kutan. Wə́ti mɔ a nyɔtí yǔm ɛ́yə́ matɔ́tɔ́ mâ má mə́ní ɛ kutan ti a kanání ɛkɛ́ á mǐ, á dwí, na á nsu, nyambɛ̂ anin a tingání mɔ́ ɛ kutan.     Yə̌ ɛ́yə́ sí lɔ́líní ɛ bwə nána nyambɛ̂ a nínán a si kután sə́ 1. Sí si nyɔtí mî, madwî na misu mí sə.  2. Sí wû makɛ́ má sə ɛtî tɛ́ na sɔ́pí na madí ámə́ má sáŋí. Ti sí fyákú mɔ́ ná táwili ɛyə̌ ɛ sáŋí.  3. Sí Kfwɛ́sí, sí shɛ́mu á  libɔ́ŋ lí ɛkɛ́ átin.  4. Sí si dyá nyam ɛ pínyə́; sí si nyɔti ka pə́ nyam ɛ́yə́ ɛ dí wə́ á lungɛ́. Ndé njí sí nyɔ́tí yɔ́, sí lɔ́lí ɛ wulí makɛ́ má sə́ á fâ á shí á shí.     5. Sí si wútán mɔ awə̌ ǎ kwɛ́si tɔ awə̌ ǎ shə́mu.   6. Sì si sambán pə́ baꞌ na makɛ́.   7. Sí si kə̌ á fə́ limuti lí díní.  8. Sí máku miyə́ngə́.  9. Sí wánan á li kwisí ndúm tɛngɛnɛ yə̌ ɛ́yə́ ɛ́ bwəlan, ndé si lɔ́lí ɛ wasí á fə́ ndúm ɛni ɛ fíní. Yə̌ sí tíngání ɛ bwə njí nyambɛ̂ anín a kutání sə́? Njí sí wɔ́ŋí Biyəmblan bî:   - Sí si wɔ́kɔ́n á nyǔ na baʼ bápə́pə̌.   - Sí dyɛ̂ á mandáʼ má sə.   - Sí bəŋ nsɔŋgí n tɛlɛfónə 1510, ti sí nanní yə̌ ɛ́yə́ dɔ́kíta a pɔŋíní sə.  Misɔŋgí mí tɛlɛfónə mípə́pə̌ mɔ́ mínán:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Kə́ŋ ti wúyə́ bwə̌ bú shiyǎ á bə́ bú tíngání ɛ́ ma nyambɛ̂ a CÓVID-19, ndé bajanya bá dí wə̂ ɛ́ wasí manjí álí nyítí bwə̌ bú mbímbí. Mɔ na mɔtɛ́ a lɔlí ɛ nuŋ púndá, a díshí pə́ nyǔ, a bwə misam ámə́ mí sungɛ́ mɔ́ na litúmbá lí mɔ na basún bá mɔ.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Yə̌ ɛ́yə́ sí lɔ́líní ɛ bî  tɛ́ngɛnɛ KORÓNAVAYRUSƏ tɔ̂ COVID-19  © CABTAL, 2020 "
