spa,zgh,eng
,Kull iğğen\t s lfuṭet nnes,Everyone gets their own towel
,"Wel ttnemili-d s Učču, Tirukan , Ṭṭwasi(Aqbuc), Lleffeṭ.","Do not share food, utensils, cups, towels."
,Wel tzemmr-d at-tmusd udem nnem/k s tiɣmert nnem/k,You can't touch your face with your elbow even if you tried
,"Arr d aqqes tiwwura s tiɣmert ɣen iɣil muc s ifassen, ukan dis mammek.","Open & close doors with your elbows or shoulders instead of hands, if possible."
,Taddart,Home
,D lemmi  tissi-d berra g uɣlad,and after being out in the public
,Qbel učču,Before you eat
,Ssird-t ifassen nnwen s Ṣṣabun…,Always wash your hands with soap…
,G uneggaru,"And finally,"
,Rret Lbal nnwen/t !,"Stay safe, everyone!"
,Γɣer imegrad i ugar isemtar !,Read the articles for more tips!
,"“This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)  Γɣer imegrad i ugar isemtar !","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
,"“The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report. (Jan 25, 2020)","""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)"
,"“How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020)","""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020"
,Tamselɣut tadasilant i taywalt tadawsant:,Main references for medical info:
,"Tazmilt Timernant: irray n lbal s uɣus s Kumik d tɣawsa ɣers asemday g asbeddi a guda n waṭṭanen ama Fluwenza d tameslaɣt, d ilaq uɣus kull ass g ussan nneɣ, d ula wel tella lluhef\arwas. Timselɣa: Talɣut g Kumik tus-d seg tikazt n COVID-19 al 28 Furar 2020,d adasil n Talɣut nnes seg kraḍt Timselɣa tidhat.     https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Talɣut Timernant: Afulyu n PDF seg Kumik a yella i usahwi f umellal dahat: https://gumroad.com/weimankowart  Tamyedrawt n Tamnirt: Kumik a yella f umellal i kull i usebleg g uskar uqqin d f ubrid n  Whatsapp d Telegram, d usehhwi f umellal i useggiz am Akerḍa i yiman nnem\k d usinan g tiddar, tinmal\iɣerbaz d timlilin n twuri. Lemmi at-tig-d ssis tamyedrawt, ig g lbal i 3 n tiɣawsiwin:1) wel ittṣara kull icckel g iẓrag n Ikumiken lemmi at-tig-d sis tamyedrawt.2)Ikumiken ca i usexdem nnesn g usenfar asenzan 3)g uskar uqqin, ari isem n umeslal g FB s @weimankowart, g IG s @weimankow (IG), ɣen ari iqqin\asmel instagramcom/weimankow I usemres iṭen, enki tabraṭt i:comicsforgood@gmail.com","Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com"
,,"Images on pages Front Cover, 1–18 by Weiman Kou, © 2020 Weiman Kou. CC BY-NC-SA 4.0. Image on page 19 by SIL LEAD, Inc.. CC0 1.0."
,,Translators: Madghis Bouzakhar & Houda Khzam
,,"Created by Weiman Kow, instagram: weimankow"
Sobre el Coronavirus                                                                                       Sobre el Coronavirus        ,"Γef Avirus n Kuruna    Dis tɣawsa IĞĞET a bac at-takzed ɣef mammek Avirus n kuruna ITTCENTEL Imi nnem/k Tinzert nnem/k Tiṭṭawin nnem/k Ittawwaṭ g Bnadem d Aṣbiḥ Bnadem d Amaṭun Avirus ittcentel lemmi yella g tnuzzut(Tikuffa) Ğğ jar-am/k ag n 2 miter 1 2 miter Attsu ! Lemmi ad tteẓr-d iğğen/t ittban-d fellas akutti/anuzzi/d maṭṭun ttnejjm-d : Uc-as a Tamaskt. T/inejjem sis at/ykutt ɣen at/yenzzu dis d wel aṭurri iṭnin ɣer dis-nnes 2 Tanemmirt a *tiḥiṭṭa* ΓEN Waqila nettat ca ttmaṭunt, ɣer terra labl f yiman nnes Iwdan lli uṭṭnen wel ittban-d dis aṭṭan, welyuc ttsawaṭen gwaṭṭan D rni fellas, taktit tezzɛam  ac seg agejluṭ (guda n iwdan), maɣer wel tessn-d mant dis t/yella t/yuṭen. Tiqecqac Bnadem d Aṣbiḥ Tiddriwin n Cmendfir Taṭbilt n Usensir Lklineks Ṭṭwasi (Aqbuc) Allal Umḍin D rrni I lli yella berra n tamaskt nnem/k Tidderiwin Tafekrunt (Aselkim) Iɣunab Fus n tawwurt Ifassen nnes Dis mak, ittṣara d Amaḍun s tikufsa nnes tassnt-d f tiɣawsiwin… Waqil ad ttaṭnum ukkul nnwen\t ɣen f udem n tayri nnem/k Aḥukki n tiṭṭawin iṣar d ttmuss-d seg tiɣawsiwin tidhat saht, d sdeffr-as ttmused udem nnem/k, D tɣawsa  iğğet tnejjem aten-tesfeḍ s usired nnes s ṣṣabun, tasemellalt, ɣen iɣisem. Virus inejjem itteqqima yella f tɣawsa  ugar timirt Ṣṣabun Irray n Lbal D ayed i matta d tasbiḥt taḍfrawt tad Ssird s ṣṣabun al tiɣmert ṣṣabun tiɣmert Ttmusset-c udem nnem/k (ɣen udem ḥad iṭen) wel dis-c mammek, ssird-t ifassen nnem/k s ṣṣabun s Taneṭṭuft. Gget n luɣed i yinig “Tafaska n ulul “ sent tikwal S addu iccaren Ag 20 tisinin Jar iṭuṭan Ssird s denneg fus nnem/k Matta nettat Taneṭṭuft ? Wel ttqeqet-c kan iṣar ttmuss-tt. S deffer ssird ifassen nnem/k s ṣṣabun Rrni fellas, ukan dis mammek wel at-tmussd tamaskt s fus. tanuzzut Tabaktirit ttekker jaj g tamaskt nnem/k lemmi at-tirṭd sis guda. Zzref-tt kull tamaskt lemmi at-semdid sis. Wel at-tirṭd ugar iğğewass ! Ig s uɣenjay Aneɛnuc Baba Yemma Kull iğğen\t s lfuṭet nnes Wel ttnemili-d s Učču, Tirukan , Ṭṭwasi(Aqbuc), Lleffeṭ. Wel tzemmr-d at-tmusd udem nnem/k s tiɣmert nnem/k Arr d aqqes tiwwura s tiɣmert ɣen iɣil muc s ifassen, ukan dis mammek. Taddart D lemmi  tissi-d berra g uɣlad Qbel učču Ssird-t ifassen nnwen s Ṣṣabun… G uneggaru Ṣṣabun Rret Lbal nnwen/t ! Rret Lbal nnwen/t ! Ṣṣabun Γɣer imegrad i ugar isemtar ! “This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)  Γɣer imegrad i ugar isemtar ! “The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report. (Jan 25, 2020) “How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020) Tamselɣut tadasilant i taywalt tadawsant:  Tazmilt Timernant: irray n lbal s uɣus s Kumik d tɣawsa ɣers asemday g asbeddi a guda n waṭṭanen ama Fluwenza d tameslaɣt, d ilaq uɣus kull ass g ussan nneɣ, d ula wel tella lluhef\arwas. Timselɣa: Talɣut g Kumik tus-d seg tikazt n COVID-19 al 28 Furar 2020,d adasil n Talɣut nnes seg kraḍt Timselɣa tidhat.     https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Talɣut Timernant: Afulyu n PDF seg Kumik a yella i usahwi f umellal dahat: https://gumroad.com/weimankowart  Tamyedrawt n Tamnirt: Kumik a yella f umellal i kull i usebleg g uskar uqqin d f ubrid n  Whatsapp d Telegram, d usehhwi f umellal i useggiz am Akerḍa i yiman nnem\k d usinan g tiddar, tinmal\iɣerbaz d timlilin n twuri. Lemmi at-tig-d ssis tamyedrawt, ig g lbal i 3 n tiɣawsiwin:1) wel ittṣara kull icckel g iẓrag n Ikumiken lemmi at-tig-d sis tamyedrawt.2)Ikumiken ca i usexdem nnesn g usenfar asenzan 3)g uskar uqqin, ari isem n umeslal g FB s @weimankowart, g IG s @weimankow (IG), ɣen ari iqqin\asmel instagramcom/weimankow I usemres iṭen, enki tabraṭt i:comicsforgood@gmail.com Γef Avirus n Kuruna        ","About Coronavirus    There's only ONE thing ﻿you need to understand about how a coronavirus SPREADS Mouth Nose Eyes Get into your Healthy Person Sick Person The virus spreads when ﻿these droplets Keep your distance.﻿2m will keep you safe from large droplets. 1 2m Achoo! So if you see someone who is visibly coughing/sneezing/sick you can choose to: Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby. 2 Thank you﻿*sniffles* OR, Maybe she's not sick, just protecting herself People who are infected can show no symptoms, but are still﻿infectious And in general, it's a good idea to avoid crowds, because you don't know who might be sick. Chopsticks Healthy person Train straps Lift buttons Tissues Cups Digital devices & even on the outside of your face mask Stair bannisters Mouse Pens Door knobs Their hands However, sometimes a sick person's saliva can get on other things… you might all fall sick. or your loved one's face rub eyes And if you do touch any of these things by accident, and then touch your face, and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol. Viruses can last for quite a few hours on objects, soap precautions Which is why it is also good to follow these wash with soap up to here soap elbow Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first. Enough time to sing “Happy Birthday” twice under the nails for 20 seconds between the fingers wash the back of your hands What is thoroughly? If you did, don't worry. Just wash your hands with soap after. Also, don't touch the outside of the mask if you can. droplets *Bacteria grows on the insides of your mask if you wear them too long Throw away masks once they feel gross. Don't wear them for more than a day! Use a serving spoon Baby Daddy Mommy Everyone gets their own towel Do not share food, utensils, cups, towels. You can't touch your face with your elbow even if you tried Open & close doors with your elbows or shoulders instead of hands, if possible. Home and after being out in the public Before you eat Always wash your hands with soap… And finally, soap Stay safe, everyone! Stay safe, everyone! soap Read the articles for more tips! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020) ""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020 Main references for medical info:  Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com About Coronavirus Images on pages Front Cover, 1–18 by Weiman Kou, © 2020 Weiman Kou. CC BY-NC-SA 4.0. Image on page 19 by SIL LEAD, Inc.. CC0 1.0.  Translators: Madghis Bouzakhar & Houda Khzam Created by Weiman Kow, instagram: weimankow    "
