eng,hna,fra
Elderly person,Məsər hidi,Personne âgée
Person with a heart condition or disease,Hidi tə bə məc tən nəf səku Hidi tə bə məc tə kəsəm,Personne cardiaque ou souffrant de maladie
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Hidiyi məkul kə jaŋ məc taŋ bərtiɗ  Ka vi kul kə jaŋ məc lawayaŋ taŋ. Məsər hidiyi  a bə hidiyi tə bə məc parpar iyi məna : asma, məc tə sukar, məc tən nəf, taŋsiyoŋ, ŋ hidiyi wa, məc taŋ ŋ kə ɗalaŋ tə tuwah didiya.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
Fever Fatigue,-Talaŋ kərap -Təɓəl,- Fièvre - Fatigue
Dry cough Muscle aches and pains,-Kərcah mə holhol -Kəsəm dəm bədakaytaŋ,- Toux sèche - Douleurs musculaires
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Kətəf kəsəŋ məc taŋ  Kətəf kəsəŋ məc taŋ a njə məna tə kəsiɓir: talaŋ kərap, kərcah mə holhol, kəsəm dəm bədakaytaŋ, təɓəl. Hidi mə daldal məndiyi, iyi ndi zlim tuwah ŋ kəsəm tətaŋ, a ndi nak cur, cur a ndi kwar, mə ngərləm ndi dəm abə ŋvəla. Hidi məndiyi iyi bə məc taŋ ama kətəf kəsəŋ məc taŋ ɗasəku iyi ɗamɗama. Njə baytaŋ tə hidiyi ndi mbəl tə taŋ matak mənjivek mə səŋsəŋ.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
Person with a cough,Hidi mə ndi kərcah,Personne qui tousse
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Zlaŋ tə məc tə Koronavirus  KOVID-19 a ndi zlana arə hidi lə məc tə virus za. Ŋge hidi tə bə məc taŋ a kərcah ra, seku a ɗə gwel ra, kərcah abə məzligiŋ mə ndi ndah nə ma abə cur ŋgəŋ za. Ŋge hidi kə sliɓ kərcah abə məzligiŋ tə hidi lə koronavirus tə za, ŋkə zlanaŋ taŋ. Ŋgə hidi kə mbəlem səkəŋ tə bə məc tə koronavirus za, abə duwuŋ mbeŋ kə mbəlem nje, cur seku ma ŋgəŋ, ŋkə məl taŋ.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Kə njar talaŋ vaŋgay?,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1. Hineŋ gər kə mbəlem nje, cur abə ma səku.","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,2. Hineŋ baŋ ra abə yim mə kwarkwar abə sabuna. Abə duwuŋ taŋ hineŋ takwaɗ ra ka abə məsər rəkut tə kweɗek.,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
3. Cough and sneeze into the crook of your arm. ,3. Hineŋ kə kərcah abə kə ɗəgwel a gədaŋ toktokos ra.,3. Tousser et éternuer dans le creux de son bras.
4. Avoid eating raw meat and touching live animals.,4. Hineŋ gərə kə ɓam zli tə bə nje səku. Hineŋ njar talaŋ tə kineŋ abə zli damu abə tə idiyi.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5. Hinəŋ njə gudək gudək səkəŋ tə zlak ngaz ŋta abə hidi məndi kərcah abə məndi ɗəgweliyi. ,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Hinəŋ gər kə ɗe mbeli abə ra səku. Hinəŋ kə kaf ra kə ɗə mbeli seku abə ma.,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
7. Avoid gatherings. ,7. Hinəŋ gər kə tos didiya səku.,7. Eviter les rassemblements.
8. Restrict movement.,8. Hinəŋ gər kə tal kafkay kafkay səku.,8. Limiter ses déplacements.
9. Keep informed and verify the source of information.,9. Hineŋ teh zləm ŋ ləbar tə məc taŋ məna iyi kə giz ra.,9. Se tenir informé et vérifier la source de ses informations.
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,Ŋgə məc tə kə məlah za haŋ kə ɗal vaŋgay?  Ŋgə hinəŋ kəsəŋ za hinəŋ bə məc taŋ : - Hinəŋ gər kə njə bər hidiyi səku. - Hineŋ nja kə ida tə kineŋ. - Hineŋ ɗefeŋ ma ŋ 1510 abə hineŋ zeɓ mə tə dokter iyi. Lamba par iyi baha :  ,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Ha mənje weciŋ, mənjivek kə mbəl hidi tə bə Kovid-19 ɗasku, ama dokter iyi gər mənjivek tə ra kə lim kə mbəl hidiyi.  Ka vi mə məl bərŋgəzl ŋgəŋ kə njar talaŋ ŋgəŋ abə hidiyi bədakaytaŋ.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Zləgam mə tuwah kə səŋ   Asma: məc kə nəp abə tuwah. Zeɓ ma: zeɓ mə tə dokter iyi. Məc tə sukar: məc tə sukar didiya ŋ bəmbəz. Kwar tə cur: məc mə ndi vəl kwar tə cur. Daldal: hidi tə bə məc taŋ. Kəsiɓir: məc, kəsiɓir. Taŋsiyoŋ: məc mə ndi tak bəmbəz kə kwar kəsəm ɗamɗama. Məc: məc mə gaygay mə ndi zlaŋ didiya. Hidi mə daldal: hidi tə ɓe məc. Mə ndi vah: məc mə tak tok Virus: mə ndi vəl məc taŋ. Kukuɗ: ɓəɓəleŋ ɗasku.","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
,,"Səkəŋ tə taŋ kəsəŋ a talaŋ məc tə KORONAVIRUS səku KOVID-19 © CABTAL, 2020"
"What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                           SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  ","Səkəŋ tə taŋ kəsəŋ a talaŋ məc tə KORONAVIRUS səku KOVID-19  Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation  Səkəŋ tə taŋ kəsəŋ a talaŋ məc tə KORONAVIRUS səku KOVID-19                  TALAŊ TƏ ZLƏGAM IYI - Koronavirus - Hidi məkul kə jaŋ məc taŋ bərtiɗ - Kətəf kəsəŋ məc taŋ - Zlaŋ tə məc tə Koronavirus - Kə njar talaŋ vaŋgay? - Ŋgə məc tə kə məlah za haŋ kə ɗal vaŋgay? - Zləgam mə tuwah kə səŋ    p.2 p.3 p.4 p.5 p.6  p.8 p.9 Koronavirus  Koronavirus waciŋ, iyi ndi yə kə Kovid-19 baha, məc lawayaŋ. Tiz taŋ a wa nə hayak tə Sinə za ŋ təra tə Nəwel, va 2019. Kətəf kəsəŋ məc tə Koronavirus a njə ŋgə məc tə kəsiɓir. Kul kə jə hidi, ŋgə mə vahi za kəsəm. Mə cakwayi za ŋ məŋ hayak bədakaytaŋ. Wa tə məc taŋ njə vaŋgay hidiyi səŋ səku.   Məsər hidi  Hidi tə bə məc tən nəf səku Hidi tə bə məc tə kəsəm Hidiyi məkul kə jaŋ məc taŋ bərtiɗ  Ka vi kul kə jaŋ məc lawayaŋ taŋ. Məsər hidiyi  a bə hidiyi tə bə məc parpar iyi məna : asma, məc tə sukar, məc tən nəf, taŋsiyoŋ, ŋ hidiyi wa, məc taŋ ŋ kə ɗalaŋ tə tuwah didiya.   -Talaŋ kərap -Təɓəl  -Kərcah mə holhol -Kəsəm dəm bədakaytaŋ Kətəf kəsəŋ məc taŋ  Kətəf kəsəŋ məc taŋ a njə məna tə kəsiɓir: talaŋ kərap, kərcah mə holhol, kəsəm dəm bədakaytaŋ, təɓəl. Hidi mə daldal məndiyi, iyi ndi zlim tuwah ŋ kəsəm tətaŋ, a ndi nak cur, cur a ndi kwar, mə ngərləm ndi dəm abə ŋvəla. Hidi məndiyi iyi bə məc taŋ ama kətəf kəsəŋ məc taŋ ɗasəku iyi ɗamɗama. Njə baytaŋ tə hidiyi ndi mbəl tə taŋ matak mənjivek mə səŋsəŋ.  Hidi mə ndi kərcah Zlaŋ tə məc tə Koronavirus  KOVID-19 a ndi zlana arə hidi lə məc tə virus za. Ŋge hidi tə bə məc taŋ a kərcah ra, seku a ɗə gwel ra, kərcah abə məzligiŋ mə ndi ndah nə ma abə cur ŋgəŋ za. Ŋge hidi kə sliɓ kərcah abə məzligiŋ tə hidi lə koronavirus tə za, ŋkə zlanaŋ taŋ. Ŋgə hidi kə mbəlem səkəŋ tə bə məc tə koronavirus za, abə duwuŋ mbeŋ kə mbəlem nje, cur seku ma ŋgəŋ, ŋkə məl taŋ.     Kə njar talaŋ vaŋgay? 1. Hineŋ gər kə mbəlem nje, cur abə ma səku.  2. Hineŋ baŋ ra abə yim mə kwarkwar abə sabuna. Abə duwuŋ taŋ hineŋ takwaɗ ra ka abə məsər rəkut tə kweɗek.  3. Hineŋ kə kərcah abə kə ɗəgwel a gədaŋ toktokos ra.  4. Hineŋ gərə kə ɓam zli tə bə nje səku. Hineŋ njar talaŋ tə kineŋ abə zli damu abə tə idiyi.     5. Hinəŋ njə gudək gudək səkəŋ tə zlak ngaz ŋta abə hidi məndi kərcah abə məndi ɗəgweliyi.   6. Hinəŋ gər kə ɗe mbeli abə ra səku. Hinəŋ kə kaf ra kə ɗə mbeli seku abə ma.  7. Hinəŋ gər kə tos didiya səku.  8. Hinəŋ gər kə tal kafkay kafkay səku.  9. Hineŋ teh zləm ŋ ləbar tə məc taŋ məna iyi kə giz ra. Ŋgə məc tə kə məlah za haŋ kə ɗal vaŋgay?  Ŋgə hinəŋ kəsəŋ za hinəŋ bə məc taŋ : - Hinəŋ gər kə njə bər hidiyi səku. - Hineŋ nja kə ida tə kineŋ. - Hineŋ ɗefeŋ ma ŋ 1510 abə hineŋ zeɓ mə tə dokter iyi. Lamba par iyi baha :    699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Ha mənje weciŋ, mənjivek kə mbəl hidi tə bə Kovid-19 ɗasku, ama dokter iyi gər mənjivek tə ra kə lim kə mbəl hidiyi.  Ka vi mə məl bərŋgəzl ŋgəŋ kə njar talaŋ ŋgəŋ abə hidiyi bədakaytaŋ. Zləgam mə tuwah kə səŋ   Asma: məc kə nəp abə tuwah. Zeɓ ma: zeɓ mə tə dokter iyi. Məc tə sukar: məc tə sukar didiya ŋ bəmbəz. Kwar tə cur: məc mə ndi vəl kwar tə cur. Daldal: hidi tə bə məc taŋ. Kəsiɓir: məc, kəsiɓir. Taŋsiyoŋ: məc mə ndi tak bəmbəz kə kwar kəsəm ɗamɗama. Məc: məc mə gaygay mə ndi zlaŋ didiya. Hidi mə daldal: hidi tə ɓe məc. Mə ndi vah: məc mə tak tok Virus: mə ndi vəl məc taŋ. Kukuɗ: ɓəɓəleŋ ɗasku.  ","Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19  Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation  Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19 Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home   Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                                                     SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  Səkəŋ tə taŋ kəsəŋ a talaŋ məc tə KORONAVIRUS səku KOVID-19 © CABTAL, 2020"
