eng,gbj
ପଠନ ଯୋଜନା  ଶିକ୍ଷକଙ୍କ ପାଇଁ ୧. ଛାତ୍ରଛାତ୍ରୀମାନଙ୍କ ନିମନ୍ତେ ପାଠ କରି ଦିଅନ୍ତୁ।  ୨. ସବୁ ଛାତ୍ରଛାତ୍ରୀଙ୍କ ସହିତ ମିଶି ଏକାଠି ପାଠକରନ୍ତୁ।  ୩. ଛାତ୍ରଛାତ୍ରୀମାନଙ୍କୁ ଉତ୍ସାହିତ କରିବାକୁ ପ୍ରତି ଛାତ୍ର ବା ଛାତ୍ରୀଙ୍କୁ ଜଣକୁ ଥରେ ଲେଖାଏଁ ପାଠ କରାନ୍ତୁ।  ୪. ପ୍ରତି ଛାତ୍ର ବା ଛାତ୍ରୀ ପାଠ କରୁଥିବା ସମୟରେ ଅନ୍ୟ ଛାତ୍ରଛାତ୍ରୀମାନେ ତାଙ୍କୁ ଦେଖନ୍ତୁ। (ପ୍ରତି ଛାତ୍ର ବା ଛାତ୍ରୀ ଆଗକୁ ଆସି କାହାଣୀ ଦେଖାଇ ପାଠକରି ପାରନ୍ତି)।  ୫. ସବୁ ଛାତ୍ରଛାତ୍ରୀମାନଙ୍କ ସହିତ ମିଶି ଏକାଠି ପାଠକରନ୍ତୁ। ,
"କୋରୋନା ଭାଇରସ ଦ୍ୱାରା ହେଉଥିବା ଏହି ମହାମାରୀ ଚାଇନା ନାମକ ଦେଶରେ ପ୍ରଥମେ ଆରମ୍ଭ ହେଲା, ତାପରେ ସେଠାରୁ ଅନ୍ୟ ଦେଶଗୁଡ଼ିକୁ ବ୍ୟାପିଲା। ଏହି ରୋଗରେ ଆକ୍ରାନ୍ତ ଅନ୍ୟ ଦେଶର ଲୋକମାନଙ୍କ ଦ୍ୱାରା ଏହା ଆମ ଦେଶ ଭାରତକୁ ଆସିଲା। ପରେ ସେମାନେ ନ ଜାଣି ଏହି ରୋଗ ଆମ ଅଞ୍ଚଳକୁ ଆଣିଲେ ଓ ଏହି ରୋଗ ଏବେ ଅନ୍ୟମାନଙ୍କୁ ହେଉଅଛି। ଏହିପରି କୋରୋନା ରୋଗ ଆକ୍ରାନ୍ତ ହୋଇଥିବା ଲୋକମାନଙ୍କ ଦ୍ୱାରା ଭାରତର ବିଭିନ୍ନ ଅଞ୍ଚଳକୁ ଏହା ବ୍ୟାପୁଅଛି। ଏହି କୋରୋନା-୧୯ ରୋଗ ଦ୍ୱାରା ବ୍ୟାପୁଥିବା ମହାମାରୀକୁ ରୋକିବା ପାଇଁ ଭାରତ ସରକାର ଭାରତର ଲୋକମାନଙ୍କ ସକ୍ରିୟ ସହଯୋଗରେ ଆବଶକୀୟ ସମସ୍ତ ପଦକ୍ଷେପ ନେଉଛନ୍ତି। କୋରୋନା-୧୯ ଭାଇରସ ଦ୍ୱାରା ସମଗ୍ର ପୃଥିବୀରେ ଏକ ଲକ୍ଷରୁ ଅଧିକ ଲୋକ ମୃତ୍ୟୁବରଣ କଲେ। କିନ୍ତୁ, ଯଦି ଆମ୍ଭେମାନେ ଜାଗ୍ରତ ରହିବା ଓ ଯେଉଁ ବିଷୟଗୁଡ଼ିକ ଦ୍ୱାରା ଆମ୍ଭେମାନେ ସୁସ୍ଥ ରହିପାରିବା ସେସବୁ ପାଳନ କରିବା, ତେବେ ଆମ୍ଭେମାନେ ଏହି ରୋଗରୁ ଦୂରରେ ରହିପାରିବା ଓ ଅନ୍ୟମାନଙ୍କୁ ମଧ୍ୟ ଏହି ରୋଗରେ ଆକ୍ରାନ୍ତ ହେବାଠାରୁ ରକ୍ଷାକରି ପାରିବା। ",
"A pandemic disease caused by Corona virus started in China and spread to other countrires from there.  It came to India from these infected people who came to India from other countires, later they brought this disease unknowingly and spread it to others. Thus, Corona spread rapidly through infected people in different parts of India.Government of India is taking all necessary steps to face the challenge and threat posed by the growing pandemic of COVID-19 the Corona Virus with active support of the people of India. More than a lakh died around the world  due to COVID-19. But, If we are careful and keep hygienic habits, we can stay away from this disease and save others from infection.",
ଆମ୍ଭେମାନେ ନିଜକୁ କୋଭିଡ-୧୯ ରୋଗରୁ ସୁରକ୍ଷାକରିବାକୁ କଅଣ କରିବା ଆବଶ୍ୟକ? ,
What do we need to do to protect ourselves from COVID-19? ,
"ଚିତ୍ରରେ ଦେଖାଇଦିଆଯାଇଥିବା ପରି ଆପଣଙ୍କର ହାତ ସାବୁନରେ ୮ ପ୍ରକାରରେ ଧୂଅନ୍ତୁ। ବାହାରେ କାର୍ଯ୍ୟକରି ଘରକୁ ଫେରିବା ପରେ, ଆପଣଙ୍କର ହାତ ଧୂଅନ୍ତୁ। ଯଦି ଜ୍ୱର ହେଉଥିବା ଲୋକକୁ ଆପଣ ଦେଖିବାକୁ ଯାଇଛନ୍ତି, ତେବେ ଆପଣଙ୍କ ଘରେ ପସିବା ଆଗରୁ ହାତ ଧୂଅନ୍ତୁ ବା ଗାଧୋଇପକାନ୍ତୁ। (କିପରି ହାତ ଧୋଇବାକୁ ହେବ ତାହା ଆପଣଙ୍କ ଦଳର ଲୋକମାନଙ୍କୁ ଦେଖାନ୍ତୁ)। ",
"ଆପଣଙ୍କ ହାତରେ ଆପଣଙ୍କର ମୁହଁ, ପାଟି, ନାକ, ଏବଂ ଆଖିକୁ ଛୁଅନ୍ତୁ ନାହିଁ, କାରଣ କୋଭିଡ-୧୯ ରୋଗ ଆପଣଙ୍କ ଅଧୂଆ ହାତ ଦ୍ୱାରା ବ୍ୟାପିପାରେ। ଆପଣଙ୍କର ନଖ ଛୋଟ ଛୋଟ ରଖନ୍ତୁ, ଆଉ ସଦାବେଳେ ନଖ କାଟନ୍ତୁ। ",
"Avoid touching your face, mouth, nose and eyes since COVID-19 could, in fact, be spread through your unwsahed hands. Keep your nails short and trim them often.",
ଆପଣ କାଶିବା ବା ଛିଙ୍କିବା ସମୟରେ ଆପଣଙ୍କର ମୁହଁକୁ ହାତରେ ନ ଢାଙ୍କି ରୁମାଲ ବା କହୁଣୀ ଦ୍ୱାରା ଢାଙ୍କନ୍ତୁ। ,
"If you cough or sneeze, cover your face with a handkerchief or cough or sneeze into your upper sleeve, not your hands.",
ଆପଣ ଅନ୍ୟ ଲୋକମାନଙ୍କ ସହିତ କଥାବାର୍ତ୍ତା କରିବା ସମୟରେ ୬ ଫୁଟ ଦୁରରେ ରୁହନ୍ତୁ। ,
"When you speak to people, keep 6 feet distance.",
ଆପଣ ଜାଣିଥିବା ବା ଜାଣି ନ ଥିବା ଲୋକମାନଙ୍କ ସହିତ ହାତ ମିଳାନ୍ତୁ ନାହିଁ। ସେମାନଙ୍କଠାରୁ ଦୂରରେ ରହି ନମସ୍କାର କରନ୍ତୁ। ,
Don’t give a handshake to known or unknown people. Keep a distance and do namaskar.,
ବହୁ ଲୋକ ଜମା ହେଉଥିବା ହାଟ କିମ୍ବା ସ୍ଥାନଠାରୁ ଦୂରରେ ରୁହନ୍ତୁ। ,
Stay away from marketplaces where people gather in large numbers or any other places people gather and keep your physical distance.,
"ସର୍ବସାଧାରଣ ସ୍ଥାନରେ ଛେପ ପକାନ୍ତୁ ନାହିଁ। ପାନ, ନାସ, ଖଇନି, ପୁଡ଼ିଆ, ପାନ ମସଲା ଇତ୍ୟାଦି ଖାଆନ୍ତୁ ନାହି କିମ୍ବା ଛେପ ଏଣେ ତେଣେ ପକାନ୍ତୁ ନାହିଁ। ",
Don’t spit in the common places. Don’t eat Pan and other tobacco items and then spit everywhere. ,
"ବହୁତ ଜ୍ୱର ହେଉଥିବା, ଶୀତରେ ଥରୁଥିବା, ବହୁତ ମୁଣ୍ଡ ବଥା ହେଉଥିବା, କାଶୁଥିବା କିମ୍ବା ପତଳା ଝାଡ଼ା ହେଉଥିବା ବ୍ୟକ୍ତିଙ୍କୁ ଯଦି ଆପଣ ଦେଖନ୍ତି, ତେବେ ତାଙ୍କଠାରୁ ଦୂରରେ ରୁହନ୍ତୁ। ତାଙ୍କ ବିଷୟରେ ଆଶା ଦିଦିଙ୍କୁ ବା ବ୍ଲକର ମେଡିକାଲକୁ ଜଣାନ୍ତୁ। ",
"If you see a person with high fever or shaking chills, headache, coughing and diarrhea, keep your distance. Inform ASHA DIDI or ANM or inform the block medical hospital. it is advised 14 days of quarantine for people who are having such symtops. Quarantine people who may have come in contact with other Covid-19 patient.  ",
"ଯେଉଁ ଲୋକମାନେ କୋଭିଡ-୧୯ ଦ୍ୱାରା ଆକ୍ରାନ୍ତ ହୋଇଛନ୍ତି ସେମାନଙ୍କଠାରୁ ଅନ୍ୟ ଲୋକମାନେ ଆକ୍ରାନ୍ତ ହୋଇପାରନ୍ତି। କୋଭିଡ-୧୯ ଦ୍ୱାରା ଆକ୍ରାନ୍ତ ହୋଇଥିବା ଲୋକ କାଶିଲେ ବା ନିଶ୍ୱାସ ଛାଡ଼ିଲେ, ସେହି ଲୋକର ଛେପ ବା ନାକରୁ ପାଣି ଅଳ୍ପ ବୁନ୍ଦା ପଡ଼ିଲେ ସେଥିରୁ ଏହି ରୋଗ ବ୍ୟାପିଥାଏ। ସେହି ଲୋକର ଛେପ ବା ନାକରୁ ପଡ଼ିଥିବା ପାଣିରେ ଥିବା ଭାଇରସ ସେହି ଲୋକର ଚାରିପଟେ ଥିବା ଜିନିଷ ବା ଭୂମିରେ ପଡ଼ିଥାଏ। ସେହି ଜିନିଷ ବା ଭୂମି ଅନ୍ୟ ଲୋକମାନେ ଛୁଇଁବା ପରେ ନିଜର ଆଖି, ନାକ ବା ପାଟି ଛୁଇଁଲେ ସେମାନଙ୍କୁ ଏହି କୋଭିଡ-୧୯ ରୋଗ ହୋଇଥାଏ। ",
"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth.",
"ଯଦି ଅଲଗା ଗାଧୂଆଘର ନାହିଁ, ତେବେ ରୋଗାଗ୍ରସ୍ଥ ଲୋକ ପ୍ରତି ଥର ବ୍ୟବହାର କରିବା ପରେ, ସେସବୁ ସଫା କରିବା ଉଚିତ୍‍ ଓ ସେସବୁ ଯେପରି ସଂକ୍ରମଣ ହେବ ନାହିଁ ସେହି ବ୍ୟବସ୍ଥା କରିବା ଉଚିତ୍‍।  ଯଦି ଏପରି କରିବା ସମ୍ଭବ ହେଉ ନାହିଁ, ତେବେ, ରୋଗାଗ୍ରସ୍ଥ ବ୍ୟକ୍ତି ବ୍ୟବହାର କରିବା ପରେ, ତାହା ପରିସ୍କାର କରିବା ଓ ସେସବୁ ଯେପରି ସଂକ୍ରମଣ ହେବ ନାହିଁ ସେହି ବ୍ୟବସ୍ଥା କରିବା ଯାଏଁ, ଯତ୍ନ ନେଉଥିବା ବ୍ୟକ୍ତିଙ୍କୁ ଅପେକ୍ଷା କରିବାକୁ ହେବ।  ଯଦି ଆପଣ ନିଜ ଘରୁ ବାହାରକୁ ଯାଉଛନ୍ତି, ତେବେ ନିଶ୍ଚିତ ଭାବରେ ମାସ୍କ ପିନ୍ଧନ୍ତୁ କିମ୍ବା ଆପଣଙ୍କ ମୁହଁରେ ରୁମାଲ ବାନ୍ଧନ୍ତୁ। ଆପଣଙ୍କର ମାସ୍କକୁ ପ୍ରତି ଦିନ ଧୂଅନ୍ତୁ ଓ ଶୁଖାନ୍ତୁ। ଆପଣ ମାସ୍କ ପିନ୍ଧିଲେ ବା ମୁହଁରେ ରୁମାଲ ବାନ୍ଧିଲେ ମଧ୍ୟ ସାମାଜିକ ଦୂରତା ରଖନ୍ତୁ। ",
"If your area is infected with COVID-19, please make Clean and disinfect high-touch surfaces daily in household common areas through soap or bleech (e.g. tables, hard-backed chairs, doorknobs, light switches, phones, tablets, touch screens, remote controls, keyboards, handles, desks, toilets, sinks)  If a separate bathroom is not available, the bathroom should be cleaned and disinfected after each use by an ill person. If this is not possible, the caregiver should wait as long as practical after use by an ill person to clean and disinfect the high-touch surfaces ",
"ଯଦି ଆପଣ ନିଜ ଘରୁ ବାହାରକୁ ଯାଉଛନ୍ତି, ତେବେ ନିଶ୍ଚିତ ଭାବରେ ମାସ୍କ ପିନ୍ଧନ୍ତୁ କିମ୍ବା ଆପଣଙ୍କ ମୁହଁରେ ରୁମାଲ ବାନ୍ଧନ୍ତୁ। ଆପଣଙ୍କର ମାସ୍କକୁ ପ୍ରତି ଦିନ ଧୂଅନ୍ତୁ ଓ ଶୁଖାନ୍ତୁ। ଆପଣ ମାସ୍କ ପିନ୍ଧିଲେ ବା ମୁହଁରେ ରୁମାଲ ବାନ୍ଧିଲେ ମଧ୍ୟ ସାମାଜିକ ଦୂରତା ରଖନ୍ତୁ। ",
"If you go out of the house, make sure to wear a mask or tie a handkerchief to cover your face. Wash your mask and dry it every day. The cloth face cover is not a substitute for social distancing.",
"ଉପଯୁକ୍ତ ଖାଦ୍ୟ ଖାଇବା ଓ ଯଥେଷ୍ଟ ପାଣି ପିଇବା ଅତି ଜରୁରି ଅଟେ। ଯେଉଁମାନେ ଉତ୍ତମ ସନ୍ତୁଳିତ ଖାଦ୍ୟ ଖାଆନ୍ତି, ସେମାନଙ୍କର ରୋଗ ପ୍ରତିରୋଧକ ଶକ୍ତି ଅଧିକ ଥାଏ। ପୁଣି ସେମାନେ କୋଭିଡ୍- ୧୯ ପରି ରୋଗରେ ଆକ୍ରାନ୍ତ ହେବାର ସମ୍ଭାବନା ଅତି କମ୍‍ ଥାଏ। ତେଣୁ ଆପଣ ପ୍ରତି ଦିନ ବିଭିନ୍ନ ପ୍ରକାରର ସତେଜ ଓ ପ୍ରକ୍ରିୟାକରଣ କରାଯାଇନଥିବା ଖାଦ୍ୟ ଖାଆନ୍ତୁ, ଯେପରି ଆପଣ ଆପଣଙ୍କର ଶରୀର ଆବଶ୍ୟକ କରୁଥିବା ଭିଟାମିନ୍‍, ଖଣିଜଦ୍ରବ୍ୟ, ଖାଦ୍ୟଜନିତ ତନ୍ତୁ, ପ୍ରୋଟିନ୍‍ ଏବଂ ଅକ୍ସିଡେଣ୍ଟାଲ ରୋଧକ ପାଇବେ। ଯଥେଷ୍ଟ ପାଣି ପିଅନ୍ତୁ। ଉଷୁମ ପାଣିରେ ଗୋଟିଏ କିମ୍ବା ଦୁଇ ଚାମୁଚ ଲୁଣ ପକାଇ ଫଳ ଓ ପନିପରିବାକୁ କୋଡ଼ିଏ ମିନିଟ ଯାଏଁ ବୁଡ଼ାଇରଖନ୍ତୁ। କିମ୍ବା ଭିନେଗାର୍‍କୁ ପାଣିରେ ମିଶାଇ ସେଥିରେ ଫଳ ଓ ପନିପରିବାକୁ କୋଡ଼ିଏ ମିନିଟ ଯାଏଁ ବୁଡ଼ାଇ ରଖନ୍ତୁ। ",
"Proper nutrition and hydration are vital. People who eat a well-balanced diet tend to be healthier with stronger immune systems and lower risk of chronic illnesses and infectious diseases like COVID-19. So you should eat a variety of fresh and unprocessed foods every day to get the vitamins, minerals, dietary fibre, protein and antioxidants your body needs. Drink enough water. It is advisable to soak fruits and vegetables in warm water that has one or two teaspoons of salt for twenty minutes or soak them with a solution of vinegar and water for 20 minutes.",
"ଯଦି ଆପଣ ମଜୁରୀ କାର୍ଯ୍ୟ କରିବାକୁ ଯିବାକୁ ଚାହାନ୍ତି, ତେବେ ସେ ବିଷୟରେ ସରକାର କଅଣ ନିର୍ଦ୍ଦେଶ ଦେଇଛନ୍ତି ତାହା ଜାଣନ୍ତୁ କିମ୍ବା ସେହି ସ୍ଥାନକୁ ଯିବା ନିରାପଦ ନା ନାହିଁ ତାହା ଜାଣିଥିବା ଲୋକକୁ ପଚାରନ୍ତୁ। କିନ୍ତୁ, ଆପଣ ନିଜ ଗ୍ରାମରେ ରହି କିଛି କାର୍ଯ୍ୟ ବା ବ୍ୟବସାୟ କରିବା ଭଲ ଅଟେ, କାରଣ ଏବେ ବହୁ ସହର କୋରୋନା ଭାଇରସ୍‍ ରୋଗରେ ଆକ୍ରାନ୍ତ ଅଟେ, ପୁଣି ବହୁ ଲୋକ ପ୍ରତି ଦିନ ମୃତ୍ୟୁବରଣ କରୁଛନ୍ତି। ",
"If you are planning to go for labour work, look for government directives or ask people who know about the place whether it is safe for you to travel. But it is  better for you to stay in your village till govement declares for you to travel and do some work or business because many cities have gotten infected with the Corona virus, and many people are dying every day.",
"FACTS ABOUT COVID-19  (Please read this before the group discussion, use these questions to check the group unrstood the content) 1. What is COVID-19?  COVID-19 is a disease caused by a new strain of coronavirus. ‘CO’ stands for corona, ‘VI’ for virus, and ‘D’ for disease. Formerly, this disease was referred to as ‘2019 novel coronavirus’ or ‘2019-nCoV.’ The COVID-19 virus is a new virus linked to the same family of viruses as Severe Acute Respiratory Syndrome (SARS) and some types of common cold.                            2. What are the symptoms of COVID-19?  Symptoms can include fever, cough and shortness of breath. In more severe cases, infection can cause pneumonia or breathing difficulties. More rarely, the disease can be fatal. These symptoms are similar to the flu (influenza) or the common cold, which are a lot more common than COVID-19. This is why testing is required to confirm if someone has COVID-19. 3. How does COVID-19 spread?  The virus is transmitted through direct contact with respiratory droplets of an infected person (generated through coughing and sneezing). Individuals can also be infected from and touching surfaces contaminated with the virus and touching their face (e.g., eyes, nose, mouth). The COVID-19 virus may survive on surfaces for several hours, but simple disinfectants can kill it.      4. Who is most at risk?    Older people, and people with chronic medical conditions, such as diabetes and heart disease, appear to be more at risk of developing severe symptoms.  As this is a new virus, we are still learning about how it affects children. We know it is possible for people of any age to be infected with the virus, but so far there are relatively few cases of COVID-19 reported among children. This is a new virus and we need to learn more about how it affects children. The virus can be fatal in rare cases, so far mainly among older people with pre-existing medical conditions. 5. What is the treatment for COVID-19?  There is no currently available vaccine for COVID-19. However, many of the symptoms can be treated and getting early care from a healthcare provider can make the disease less dangerous. There are several clinical trials that are being conducted to evaluate potential therapeutics for COVID-19.               6. How can the spread of COVID-19 be slowed down or prevented? As with other respiratory infections like the flu or the common cold, public health measures are critical to slow the spread of illnesses. Public health measures are everyday preventive actions that include: ✓ staying home when sick; ✓ covering mouth and nose with flexed elbow or tissue when coughing or sneezing. Dispose of used tissue immediately; ✓ washing hands often with soap and water; and ✓ cleaning frequently touched surfaces and objects. As we learn more about COVID-19 public health officials may recommend additional actions. (Courtesy: https://www.unicef.org/india/)",
