jmx,spa,eng
Míí kue̱ꞌe̱ yóꞌo kuvi koo‑ña̱ nta̱a̱ u̱vi̱ ki̱í nu̱ú ña̱ꞌa.,Los virus pueden durar hasta 48 horas en objetos.,"Viruses can last for quite a few hours on objects,"
na̱má,jabón,soap
ña̱ kasa‑ún,precauciones,precautions
"Ña̱ ná ntïku̱n‑ña̱ iinka‑na̱ á mií‑ún, ña̱ yóꞌo kúú","Para evitar contagios,﻿sigue estas",Which is why it is also good to follow these
ntaꞌá ti̱kuíi iin sáa﻿nta̱a̱ yóꞌo,lávate﻿hasta aquí,wash with soap up to here
ko̱nto̱ ntaꞌá,codo,elbow
"Këꞌé‑ún nu̱ú‑ún (á nu̱ú iinka‑na̱).﻿Átu xíninúꞌu kasa‑ún‑ña̱, xíná ka va̱ꞌa va̱ꞌa ntaꞌá‑ún ti̱kuíi.","No toques tu cara (o la de alguién más).﻿Si tienes que hacerlo, primero lávate muy bien las manos.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
​​​ ,"El tiempo suficiente para cantar ""Happy Birthday"" dos veces",Enough time to sing “Happy Birthday” twice
ti̱xin chîín‑ún,debajo las uñas,under the nails
nu̱ú o̱ko̱ segundo,por 20 segundos,for 20 seconds
mǎꞌñu ntuku ntaꞌá‑ún,entre los dedos,between the fingers
ntakatia sa̱tá ntaꞌá‑ún,lava la parte de atrás,wash the back of your hands
¿Na̱xa ku̱va ntaꞌá‑ún ti̱kuíi?,¿Cómo lavarse muy bien las manos?,What is thoroughly?
ntaꞌnti,"Si lo hiciste, no te procupes. Solamente lávate bien las manos con jabón después.","If you did, don't worry. Just wash your hands with soap after."
Ra tïin‑ún sa̱tá﻿míí ña̱ ntási yuꞌú‑ún ikán átu ná kuvi.,"Además, no toques el exterior del cubrebocas si puedes evitarlo.","Also, don't touch the outside of the mask if you can."
"Átu ti̱in‑ún‑ña̱, va̱ꞌa va̱ꞌa ntaꞌá‑ún ti̱kuíi xíꞌin na̱má va.",gotas,droplets
"Átu kua̱ꞌá ki̱í ná kuntaka̱a̱‑ña̱ yuꞌú‑ún, kuvi koo ña ya̱kua̱ ini‑ña̱.","Si usas por mucho tiempo el mismo cubrebocas, puede acumular bacterias en el interior.",*Bacteria grows on the insides of your mask if you wear them too long
"Sákana míí ña̱ ntási yuꞌú‑ún﻿ikán ña̱ ya̱kua̱ nu̱ú kuayo.﻿Ná küntaka̱a̱‑ña̱ yuꞌú‑ún nu̱ú kua̱ꞌá ki̱í.﻿Iin ki̱í va ná kuntaka̱a̱‑ña̱ yuꞌú‑ún, ra sama‑ña̱.",Tira los cubrebocas que estén sucios.﻿¡No los uses más de un día!,Throw away masks once they feel gross. Don't wear them for more than a day!
Ná koo síín﻿iin kuchára﻿ña̱ taan‑ún ña̱ꞌa.,Usa una chuchara especial para servir,Use a serving spoon
lěe,nene,Baby
paá,papi,Daddy
maá,mami,Mommy
Ná koo tuvaya iin iin‑na̱.,Cada quién tiene su propia toalla,Everyone gets their own towel
"Täxi too‑ún ña̱ꞌá xíxi‑ún, kuchára‑ún, vaso‑ún, á tuvaya‑ún ntáꞌa iinka‑na̱.","No compartas comida, cubiertos, vasos o toallas.","Do not share food, utensils, cups, towels."
"Sáa chi, nii na̱xa ka ná kúu‑ún, küvi ví tiin‑ún nu̱ú‑ún xíꞌin ko̱nto̱ ntaꞌá‑ún.","Ni es posible tocarte la cara con los codos, por más que lo intentes.",You can't touch your face with your elbow even if you tried
Kuná xíꞌin chikasi yéꞌe xiꞌin so̱ko̱‑ún á xíꞌin ko̱nto̱ ntaꞌá‑ún﻿ña̱ ná käsa‑ún‑ña̱ xíꞌin ntaꞌá‑ún.,Abre y cierra las puertas con tus hombros o codos.﻿Evitar usar las manos.,"Open & close doors with your elbows or shoulders instead of hands, if possible."
veꞌe,Hogar,Home
tá xa̱ nti̱kó‑ún ntáa ka míí nu̱ú ni̱xa̱ꞌa̱n‑ún,y después de estar en la calle,and after being out in the public
tá xa̱ ná kuxi‑ún,antes de comer,Before you eat
Iin ku̱u‑ún ntaꞌá‑un ti̱kuíi xíꞌin na̱má ...,Siempre lávate las manos con jabón ...,Always wash your hands with soap…
"Nu̱ú ntíꞌi,","Finalmente,","And finally,"
¡Ntiꞌi‑ntó kuntiaa‑ntó mií‑ntó!,"¡Cuídense, todos!","Stay safe, everyone!"
Káꞌvi artículo yóꞌo ná kunta̱a̱ chá ka ini‑ún,Lee estos artículos para mayor información.,Read the articles for more tips!
"""This animation shows how far your sneeze can actually travel"" xa̱ꞌá Chia Yi Hou and Andrea Schmitz, nu̱ú Business Insider. (Jan 21, 2020)","""This animation shows how far your sneeze can actually travel"" por Chia Yi Hou, en Business Insider﻿(21 de enero de 2020)","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
"""The Wuhan Virus: How to stay safe"", xa̱ꞌá Laurie Garrett, nu̱ú Foreign Policy, Report.﻿(25 de enero de 2020)","""The Wuhan Virus: How to stay safe"", por Laurie Garrett, en Foreign Policy, Repert.﻿(25 de enero de 2020)","""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)"
"""How to avoid the coronavirus? Wash your hands"" xa̱ꞌá Elizabeth Sosenthal, nu̱ú The New York Times, Opinion. (28 de enero de 2020)","""How to avoid the coronavirus? Wash your hands"" por Elizabeth Sosenthal, en The New York Times, Opinion. (28 de enero de 2020)","""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020"
Nu̱ú ta̱va‑nti̱ ña̱ yóꞌo,Principales referencias médicas:,Main references for medical info:
"Notas adicionales: Las precauciones higiénicas en este cómic son eficaces para prevenir muchas otras infecciones comunes cómo la gripe y el resfriado, y deben ser aplicados en la vida diaria, incluso cuando no hay una epidemia. ﻿Referencias: La información en este cómic se basa en lo que sabemos del COVID19 hasta el 28 de febrero de 2020, y principalmente de estas tres referencias:﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10﻿Información adicional: Una versión en PDF del cómic está disponible para su descarga gratuita aquí: ﻿https://gumroad.com/weimankowart Directrices para compartir: Este cómic es gratuito para que el público en general lo comparta en línea y a través de Whatsapp y Telegram, y las descargas son gratuitas para imprimirlas como carteles (pósters) para uso personal y educativo en hogares, escuelas y lugares de trabajo. Cuando compartan, por favor recuerden estos 3 puntos: 1) No se permite de ninguna manera editar los cómics cuando se compartan 2) Los cómics no pueden ser usados para ningún proyecto comercial 3) Si en línea, acrediten al creador en FB etiquetando @weimankowart, en IG etiquetando @weimankow (IG), o proporcionando un enlace a instagram com/weimankow Para todos los demás usos, por favor envíe una solicitud a: comicsforgood@gmail.com ﻿(Esta página fue traducido por Cristóbal con la ayuda de DeepL)","Notas adicionales:  Las precauciones higiénicas en este cómic son eficaces para prevenir muchas otras infecciones comunes como la gripe y el resfriado, y deben ser aplicados en la vida diaria, incluso cuando no hay una epidemia.﻿﻿﻿Referencias: La información en este cómic se basa en lo que sabemos del COVID19 hasta el 28 de febrero de 2020, y principalmente de estas tres referencias:﻿﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html﻿﻿https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/﻿﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10﻿﻿﻿﻿Información adicional: Una versión en PDF del cómic está disponible para su descarga gratuita aquí:﻿﻿https://gumroad.com/weimankowart﻿ Directrices para compartir: Este cómic es gratuito para que el público en general lo comparta en línea y a través de Whatsapp y Telegram, y las descargas son gratuitas para imprimirlas como carteles (pósters) para uso personal y educativo en hogares, escuelas y lugares de trabajo.Cuando compartan, por favor recuerden estos 3 puntos:﻿﻿1) No se permite de ninguna manera editar los cómics cuando se compartan﻿﻿2) Los cómics no pueden ser usados para ningún proyecto comercial﻿3) Si en línea, acrediten al creador en FB etiquetando @weimankowart, en IG etiquetando @weimankow (IG), o proporcionando un enlace a instagram com/weimankow ﻿Para todos los demás usos, por favor envíe una solicitud a: comicsforgood@gmail.com﻿﻿(Está página fue traducido por Cristóbal con la ayuda de DeepL) ","Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVI 019 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-1O Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com"
,"Ilustraciones por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. Escrito por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0.",
,Traducido al mixto por: Ernesto Altamirano Palacios y Valentín Ramirez Morelos,
,Creado por Weiman Kow instagram: weimankow fb: weimankowart,
