sea,eng
"Sengoi de kinyik Covid-19 hotleh kigei ku bilek de aseg. Amen hal ajeh pek dapat, kek hotleh akigei nyak ju mai kilek, sekurang-kurangnye 2 meter inyaknak.  Amen iarik bor, mai de nyik ajeh boleh bijaga ku luar deg. Selaen ajeh, tempat atau kawasan ginei ha mai de nyik ru mai de pek nyik buleh bipisahkan ya abat atau ya perabot.  Buleh juga nailukes garisan jarak 2 meter dea garisan ajeh kitulog naiingat anaijaga jarak enai ju mai kilek.","The sick person needs to be in a separate room, or, if that is not possible, as far away from the others as possible -- at least two meters.  If the weather allows, they can be cared for outside, or separate the area where the sick people stay with sheets or furniture.  Drawing a two meter line to remind people to stay away can be helpful."
"Amen lebeh ju nuurag de nyik, enai buleh naigei ku tempat atau ku bilek de sama, ru pek perlu naigei aseg.","If there is more than one ill person, they can all stay in the same area, and do not have to stay far apart."
"Tuntop moh ru empag de naipakei hotleh hari-hari bisuj ya sabon, ru bitil ku pengrag.",Face masks should be washed daily with soap and water and dried in the sun if possible. 
Care ha Jaga Mai de Pek Nyik Terok,Home Care for Someone with Mild Sickness
"Mai de nyik hotleh naigei nutempat ru pek naipercip majeh-manen dea pek naiog nyaknik enai kijekjog nu mai kilek ku kateh deg de sama. Mai de nyik hotleh selalu nailog tuntop moh ru empag jap kali mong mai de sihat rek beng enai.  Amen buleh, pintu ru tingkap hotleh sentiase bibuka dea pinoi ju luar kimuj nu madeg ru mong aliran udare de bor ku kateh deg.  Mai de nyik buleh naicak ma taleh jenis caknak, ru enai hotleh naingot jeoi teu, lebeh kurang 2 liter nuarik ha mai raknak, icuntohjeh bagei ha teh, teu, pelek, ru sup. Ngeknot de seep buleh kitulog nairasa lebeh bor.  Enai hotleh pek naikungsi caknak ru mai kilek. Mai de siksuj pingat-mangkok hotleh naisuj teg enai aberseh ya sabon telas dij naisiksuj. Dikdij sampah hotleh biceop ku kateh plasteg, plasteg ajeh bibeg, ru bitot.  Panadol buleh kitulog pekurang bengket berog ru penghot berog. Penteng untok engkejoi arahan ju kakitangan Kesihatan ha bageiharok icare ru merip ijengoi ha cak penglai ajeh.","The sick person or people should stay in one area and not move around to avoid spreading the sickness to other people in the house. The sick person should wear a mask any time someone who is not sick is near them.  If possible, open a door or window to the outside of the house to keep air moving.  They are allowed to eat all foods. They need to drink a lot of fluids, about 2 liters each day if the sick person is an adult. Tea, water, fruits, and soup are all helpful. Hot drinks and hot water may help them to feel better.  They should have their own dishes and not share them. The person washing the dishes should be careful to wash his or her hands afterwards. Any trash should be kept in a bag, then tied up and burned.  Paracetamol, Aspirin (ASA, Acetyl Salicylic Acid) and Ibuprofen are medications that can help with fever and pain. It is important to follow the directions of a health worker to give the correct amount of medicine."
"Telas nenumom ajeh kihol ju tandas atau ju bilek mahnuh, setiap pemukaan hotleh bisuj ya sabon, teutame ceknap pembuka pintu ru kui pili. Dijdij ajeh ru inerasi atau abat de biguna sebagei penyental hotleh selalu bisuj juga. ","Whenever the person uses the toilet or bathroom, all surfaces should be wiped with disinfectant, especially door handles, water taps. Wash surfaces and wash cleaning cloths often."
Care ha Jaga Mai de Nyik Terok,Home Care for the Very Sick Person or People
"Kebanyakkan mai akan naibor telas memerip arik nainyik. Enai hot naiaseg diri liknai ju mai kilek sekurang-kurang 14 arik ju mase mula-mula nainyik. Telas ajeh, enai buleh begaol ru mai kilek amen pek naikereg selame 24 jam.  Tapi, sesetengah mai de naikena Covid-19 nainyik ihat terok.  Tanda-tanda nyaknik de ihat terok: ●      Susah naiha-belehem. ●      Bengket berog. ●      Pek betol naibekelaku atau naibepiker. ●      Naibor sekejap, tapi telas ajeh nainyik gumaken terok.  Amen mong mai de mong tanda-tanda de bagei ajeh, amen buleh enai hot abien nu klinik atau hospitel. ","Most people recover from the illness after a few days. They need to stay away from other people for at least 14 days after they first feel sick. After that, they can be with other people if they have been without a fever for 24 hours.  But some people get very ill with COVID-19.  Signs of more severe sickness: ●      Difficulty breathing ●      High fever ●      If they are not behaving or thinking normally. ●      If the person starts to get well, and then gets         worse again.  If someone has these signs, they should be taken to a health care facility if possible. "
"Amen engkek tepakse engkejaga mai de nyik ku padeg, adeh memerip pekara de buleh kitulog engkek:",If you must care for a very ill person at home here are some ways to help:
"• Amen buleh, semanj tulog ju pekerjak Kesihatan de mong ku komuniti engkek. • Ingat, jaga diri liengkek canuk sebelom mula engkeha-jaga mai de nyik. Logleh tuntop moh ru empag bile engkeperek nu mai de nyik, ru kot mase de cukop untok engkecakcak ru engkeberihat. • Mai de nyik ajeh pek lalu naiha-belehem ru nairasa sengoh. Amen buleh, engkek hotleh mong besama ru enai. Engkek akan engkebeh sengoi ajeh gulebeh kisengoh amen engkeperneng liengkek sedeh atau sengoh juga. Belwalleh ru care de lembot, ru petenangleh ha enai ru care engkepasal perasaan cemas enai ajeh doh kigo pelahat-lahat. • Pek buleh mong bok-bok pen de besueg ha mai de nyik ajeh kerana hisengoh nyaknik ajeh doh jekjog nu enai, ru enai juga naiog nyaknik enai ajeh kijekjog nu mai kilek.","• Get help from a Community Health Worker if possible.  • Remember to care for yourself: wear a mask when near the sick person, and take time to eat and rest.  • Many sick people get very short of breath, and feel afraid. Stay with the person if possible. It will make the sick person more afraid if you show that you are upset. Talk calmly to them, and comfort them by saying that the feeling of panic will get better.   • No visitors should come near the patient because they might get sick and spread the illness."
"Mai de nyik ajeh hotleh bidek ku bilek de mong aliran udare de bor, rek beng tingkap, atau ku tempat de buleh nairasa pinoi. Pinoi buleh kitulog nairasa senang naiha-belehem. Enai juga buleh bidek ku luar deg, janji taleh enai ajeh nyak ju mai kilek ru pek biperek ya bok-bok pen.","Keep the patient in a well-ventilated room, near a window or where they can feel air blowing on them. Fresh air will help them breathe better. They can be outside too, if they won’t be in contact with other people."
"Selalu tulog enai tukar care daknak. Amen naijaga, tulog enai dea naidak kekkop memerip taleh iluniu de mampu naibeh, kerana hal ajeh buleh kitulog senang naiha-belehem.","Help them change positions regularly. When they are awake, help them lie on their stomach for a while if they can. This helps their lungs work better."
"Salah satu care de buleh kitulog: Butol Tenghol  Beh butol tenghol ru tulog enai guna butol ajeh lei 5 nu 7 kali nuarik. Adeh icare ha beh butol tenghol ajeh:  - Butol plasteg de biasa taleh (butol teu mineral, atau lain-lain) - Strow cereg - Teu biasa  Isi butol ajeh ya teu.  Isi strow ku kateh butol ajeh lebeh kurang 5 cm ku kateh teu butol ajeh.  Buleh engkebeg atau engkegam strow ajeh nu butol ajeh, tapi amen pek payah pen pek ma. ","One Way to Help: a Bubble Bottle  Make a bubble bottle and help them use it 5 to 7 times per day. To make a bubble bottle you will need:  - A simple bottle (empty soda bottle etc.) - A long straw - Clean, non-sparkling water  Fill the bottle with clean water.  Put the straw in the bottle until it is about 5 cm deep in the water.  It may be helpful to attach the straw to the bottle with some tape or string, but this is not necessary."
"Or mai de nyik ajeh kitarek inapas, telas ajeh kitehol nu kateh strow ajeh memerip iluniu de buleh kiterhan, ru kek hotleh kitehol lei ilehem kihol nu kateh teu de mong ku kateh butol ajeh.  Jap kali kibeh, mai de nyik ajeh hotleh kitehol lei 5 nu 10 kali. Kek hotleh kiulag beh hal ajeh lei 5 nu 7 kali nuarik.","Instruct the patient to take a deep breath, then put the straw in his/her mouth and exhale as long as possible through the straw, blowing bubbles in the water of the bottle.  The patient should do this about 5 to 10 times in a row, about 5-7 times a day."
Care ha Jaga Mai de ya Kaha-bor,Home Care as a Person Gets Better
"Peingat ha mai de tengah nyik ajeh, berog enai kikot mase de liu untok kaha-jadi kuat semula. Pegalak enai dea naicakcak ru naibesenam, amen buleh gek pen pek ma.  Telas 14 arik, amen ya pek naikereg telas 24 jam, ajeh kira ya slamat amen naiha-begaol ru mai kilek ru pek akan naiog nyaknik Covid-19 kijekjog nu mai kilek.  Hiha-bor ju nyaknik ajeh akan kikot mase de liu, jadi tulog mai de nyik nai ajeh naipanei bile ya mong tanda-tanda naiha-bor ju nyaknik ajeh.","For people who have been ill, remind them it may take a long time to regain strength. Encourage them to eat and exercise as much as they can, even if it seems like very little.  After 14 days, if they have not had a fever for at least 24 hours, if it safe for them to be with other people and will not spread the sickness  Recovery can take a long time: help them notice small  signs that they are getting better."
Pekare Utam,Key Points
"• Mimang pek mustahel amen hiha-jaga mai nyik Covid-19 ku padeg. • Jenaga ha mai nyik ku padeg perlu kerjasame dikdij mai ku kateh pringak ajeh. • Pekerjak Kesihatan ku kateh komuniti ru mai kilek de mong ku kateh komuniti ajeh buleh naiog sokongan ru galakkan hamapen pek dapat naitulog secare langsong. • Sebaiknye mai de nyik COVID-19 adeh bijaga ku hospitel. Tapi amen pek dapat, perkara-perkara de ya bipasal ku bop adeh buleh kitulog hibeh mai de nyik ajeh selese, ru hitulog naijadi bor ju nyaknik ajeh.","• Home care is possible.  • Home care involves the whole family.  • Community Health Workers and other people in the community can provide needed support and encouragement even though they may not be able to give direct care.  • When people get very sick with COVID-19, they are best cared for in the hospital. When that is not possible, the activities described in this book can make them more comfortable while they are sick, and can help many of them recover. "
