tth,lao,eng
,ເຊື້ອໄວຣັສກໍສາມາດຢູ່ເປັນເວລາ ຫຼາຍ ຊົວໂມງໃນສິ່ງຂອງ...,"Viruses can last for quite a few hours on objects,"
,ສະບູ,soap
,ປະການ,precautions
,ດັ່ງນັ້ນເຮົາຄວນຈະຕິດຕາມ ຄຳແນະນຳ,Which is why it is also good to follow these
,   ລ້າງຈົນ      ຮອດຈຸດນີ້,wash with soap up to here
,ຂໍ້ແຂນ,elbow
,"ຢ່າຈັບຫຼືສໍາຜັດໃບໜ້າຂອງຕົນເອງ, ຫຼືໃບໜ້າຜູ້ອື່ນ. ຖ້າຈໍາເປັນຈັບ, ລ້າງມືໃຫ້ສະອາດກ່ອນ.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
,ຄືເວລາພໍທີ່ຈະຮ້ອງເພງ ແຮັບພີເບິດເດ ໄດ້2ເທື່ອ.,Enough time to sing “Happy Birthday” twice
,ໃນເລັບມື,under the nails
,ໃຊ້ເວລາ20 ວິນາທີ,for 20 seconds
,ລະຫວ່າງນີ້ວມື,between the fingers
,ລ້າງຫຼັງມື,wash the back of your hands
,ຄໍາວ່າ ລ້າງມືໃຫ້ສະອາດກໍຫມາຍຄວາມວ່າ ແນວໃດ?,What is thoroughly?
,"ແຕ່ຖ້າສົມມຸດວ່າ ຈັບແລ້ວກໍ ບໍ່ເປັນຫຍັງ, ມີແຕ່ຕ້ອງໄປລ້າງມື ໂດຍໃຊ້ສະບູ.","If you did, don't worry. Just wash your hands with soap after."
,"ອີກເລື່ອງໜຶ່ງ, ຄືຖ້າເປັນໄປ ໄດ້ ຢ່າຈັບທາງນອກ ໜ້າກາກ.","Also, don't touch the outside of the mask if you can."
,ຢອດ,droplets
,"ຖ້າໃສ່ດົນໂພດ, ເຊື້ອສາມາດສະສົມຕິດ ທາງໃນໜ້າກາກໄດ້.",*Bacteria grows on the insides of your mask if you wear them too long
,ຖ້າໜ້າກາກເປື້ອນແລ້ວ ຈົ່ງເອົາໄປ ຖິ້ມ. ຢ່າເກັບໄວ້     ຢ່າເອົາມາໃສ່ຫຼາຍກວ່າມື້ດ່ຽວເດີ້!,Throw away masks once they feel gross. Don't wear them for more than a day!
,ໃຊ້ຈອງຕັກ,Use a serving spoon
,ລູກ,Baby
,ພໍ່,Daddy
,ແມ່,Mommy
,ທຸກຄົນມີຜ້າເຊັດ ຂອງໃຜມັນ.,Everyone gets their own towel
,"ຢ່າຮ່ວມແບ່ງອາຫານຈານດ່ຽວ ຫຼືບ່ວງສ້ອມ, ຈອກ, ຫຼືຜ້າເຊັດ.","Do not share food, utensils, cups, towels."
,ບໍ່ສາມາດເອົາຂໍ້ແຂນ ມາສຳຜັດໃບໜ້າໄດ້!,You can't touch your face with your elbow even if you tried
,"ຖ້າເປັນໄປໄດ້ ຈົ່ງເປີດປິດປະຕູໂດຍ ຂໍ້ແຂນຫຼືບ່າ, ແທນທີ່ຈະຈັບໂດຍມື.","Open & close doors with your elbows or shoulders instead of hands, if possible."
,ເຮືອນເຮົາ,Home
,ຫຼັງຈາກໄປນອກເຮືອນ,and after being out in the public
,ກ່ອນທີ່ຈະ ກິນເຂົ້າ,Before you eat
,ຈົ່ງລ້າງມືໂດຍສະບູ ທຸກໆເທື່ອ...,Always wash your hands with soap…
,ສຸດທ້າຍ,"And finally,"
,ຮັກສາຕົວ ໃຫ້ ປອດໄພເດີ້!,"Stay safe, everyone!"
,ໃຫ້ອ່ານໜັງສື່ນີ້ ຖ້າຢາກໄດ້ຄຳແນະນຳອີກ!,Read the articles for more tips!
,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)","""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)"
,"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020)","""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020"
,ຂໍຄວາມມາຈາກ:,Main references for medical info:
,,"Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVI 019 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-1O Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com"
,,"Created by Weiman Kow, instagram: weimankow"
ເລື່ອງປ້ອງກັນຕົວຈາກ ໄວຣັສໂຄໂລນາ                                                                                      ເລື່ອງປ້ອງກັນຕົວຈາກ ໄວຣັສໂຄໂລນາ        ,"ເລື່ອງປ້ອງກັນຕົວຈາກ ໄວຣັສໂຄໂລນາ    ມີສິ່ງທີ່ທຸກຄົນຄວນເຂົ້າໃຈ ກ່ຽວກັບການແຜ່ລະບາດ ຂອງໄວຣັສ  ໂຄໂລນາ ປາກ ຮູດັງ ຕາ ເຂົົ້າໃນ        ຜູ້ສະບາຍດີ ຜູເປັນໄຂ້ ໄວຣັສນັ້ນສາມາດແຜ່ໄປ ຕິດຄົນອື່ນເມື່ອຜູຕິດເຊື້ອໄອ ຫຼືຈາມ, ແລ້ວຢອດເຫຼົ່ານີ້ ຈົ່ງຮັກສາລະຍະຫ່າງເດີ້! ປະມານ2ແມັດ ຈະຊ່ວຍປ້ອງກັນຕົວ ຈາກຢອດເຫຼົ່ານັ້ນ. 1 2ແມັດ ໄອຈາມ ດັ່ງນັ້ນຖ້າສົົມມຸດທ່ານເຫັນຄົນທີ່ໄອຈາມ, ມີສິ່ງທີ່ຕ້ອງເຮັດຄື: ເອົາໜ້າກາກໃຫ້ຄົນນັ້ນ. ເຂົາຈຶ່ງຈະສາມາດໄອ ຫຼືຈາມໃສ່ໜ້າກາກ ແລ້ວບໍ່ຖືກໃສ່ຜູ້ໃກ້ຄຽງ. 2 ຂໍຂອບໃຈຫຼາຍ ຫຼືວ່າ ຜູ້ນີ້ອາດຈະຍັງສະບາຍດີຢູ່,    ມີແຕ່ຢາກປ້ອງກັນຕົວ. ບາງເທື່ອຈະມີຄົນທີ່ຕິດເຊື້ອແລ້ວ, ແຕ່ບໍ່ສະແດງອາການ ໂດຍທົວໄປ ໃຫ້ຫຼີກເວັ້ນຈາກຝູງຊົນກໍດີກວ່າ, ເພາະເຮົາບໍ່ຮູ້ວ່າ  ຜູ້ໃດບໍ່ສະບາຍ. ໄມ້ຖູ່ ຄົນ ສະບາຍດີ ທີ່ຈັບ ກະດຸມຫ້ອງລິບ ກະດາດທິດຊູ ຈອກ ໂທລະສັບ ຫຼືຄອມ ແມ່ນແຕ່ທາງນອກ ໜ້າກາກຂອງທ່ານ. ພະນັກຂັ້ນໄດ ເມົາສ໌ ປາກກາ ລູກປິດປະຕູ ມືຂອງຄົນນັ້ນ ຢ່າງໃດກໍຕາມ ບາງເທື່ອນຳລາຍຂອງຄົນ ທີ່ເປັນໄຂ້     ອາດຈະຕິດສິ່ງຂອງ ຕ່າງໆ.., ທຸກຄົນອາດຈະຕິດເຊື້ອໄດ້. ຫຼືສໍາຜັດໃບໜ້າ ຂອງຜູ້ໃນ ຄອບ ຄົວ... ຂະຍີ້ຕາ ຖ້າສົມມຸດວ່າ ທ່ານຈັບສິ່ງຂອງເຫຼົ່ານີ້ ແລ້ວກໍຈັບໃບໜ້າຂອງທ່ານ... ສະນັ້ນ ຖ້າຈະກໍາຈັດກໍຕ້ອງເອົາສະບູ, ຢາຟອກຂາວ, ຫຼືແອລກໍຮໍ ມາລ້າງຫຼືເຊັດ. ເຊື້ອໄວຣັສກໍສາມາດຢູ່ເປັນເວລາ ຫຼາຍ ຊົວໂມງໃນສິ່ງຂອງ... ສະບູ ປະການ ດັ່ງນັ້ນເຮົາຄວນຈະຕິດຕາມ ຄຳແນະນຳ    ລ້າງຈົນ      ຮອດຈຸດນີ້ ສະບູ ຂໍ້ແຂນ ຢ່າຈັບຫຼືສໍາຜັດໃບໜ້າຂອງຕົນເອງ, ຫຼືໃບໜ້າຜູ້ອື່ນ. ຖ້າຈໍາເປັນຈັບ, ລ້າງມືໃຫ້ສະອາດກ່ອນ. ຄືເວລາພໍທີ່ຈະຮ້ອງເພງ ແຮັບພີເບິດເດ ໄດ້2ເທື່ອ. ໃນເລັບມື ໃຊ້ເວລາ20 ວິນາທີ ລະຫວ່າງນີ້ວມື ລ້າງຫຼັງມື ຄໍາວ່າ ລ້າງມືໃຫ້ສະອາດກໍຫມາຍຄວາມວ່າ ແນວໃດ? ແຕ່ຖ້າສົມມຸດວ່າ ຈັບແລ້ວກໍ ບໍ່ເປັນຫຍັງ, ມີແຕ່ຕ້ອງໄປລ້າງມື ໂດຍໃຊ້ສະບູ. ອີກເລື່ອງໜຶ່ງ, ຄືຖ້າເປັນໄປ ໄດ້ ຢ່າຈັບທາງນອກ ໜ້າກາກ. ຢອດ ຖ້າໃສ່ດົນໂພດ, ເຊື້ອສາມາດສະສົມຕິດ ທາງໃນໜ້າກາກໄດ້. ຖ້າໜ້າກາກເປື້ອນແລ້ວ ຈົ່ງເອົາໄປ ຖິ້ມ. ຢ່າເກັບໄວ້     ຢ່າເອົາມາໃສ່ຫຼາຍກວ່າມື້ດ່ຽວເດີ້! ໃຊ້ຈອງຕັກ ລູກ ພໍ່ ແມ່ ທຸກຄົນມີຜ້າເຊັດ ຂອງໃຜມັນ. ຢ່າຮ່ວມແບ່ງອາຫານຈານດ່ຽວ ຫຼືບ່ວງສ້ອມ, ຈອກ, ຫຼືຜ້າເຊັດ. ບໍ່ສາມາດເອົາຂໍ້ແຂນ ມາສຳຜັດໃບໜ້າໄດ້! ຖ້າເປັນໄປໄດ້ ຈົ່ງເປີດປິດປະຕູໂດຍ ຂໍ້ແຂນຫຼືບ່າ, ແທນທີ່ຈະຈັບໂດຍມື. ເຮືອນເຮົາ ຫຼັງຈາກໄປນອກເຮືອນ ກ່ອນທີ່ຈະ ກິນເຂົ້າ ຈົ່ງລ້າງມືໂດຍສະບູ ທຸກໆເທື່ອ... ສຸດທ້າຍ ສະບູ ຮັກສາຕົວ ໃຫ້ ປອດໄພເດີ້! ຮັກສາຕົວ ໃຫ້ ປອດໄພເດີ້! ສະບູ ໃຫ້ອ່ານໜັງສື່ນີ້ ຖ້າຢາກໄດ້ຄຳແນະນຳອີກ! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020) ""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020) ຂໍຄວາມມາຈາກ:  ເລື່ອງປ້ອງກັນຕົວຈາກ ໄວຣັສໂຄໂລນາ        ","About Coronavirus    There's only ONE thing ﻿you need to understand about how a coronavirus SPREADS Mouth Nose Eyes Get into your Healthy Person Sick Person The virus spreads when ﻿these droplets Keep your distance.﻿2m to 0.5m will keep you safe from large droplets. 1 2m-0.5m Achoo! So if you see someone who is visibly coughing/sneezing/sick you can choose to: Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby 2 Thank you﻿*sniffles* OR, Maybe she's not sick, just protecting herself People who are infected can show no symptoms, but are still﻿infectious And in general, it's a good idea to avoid crowds, because you don't know who might be sick. chopsticks Healthy person Train straps Lift buttons Tissues Cups Digital devices & even on the outside of your face mask Stair bannisters Mouse Pens Door knobs Their hands However, sometimes a sick person's saliva can get on other things… you might all fall sick. or your loved one's face rub eyes And if you do touch any of these things by accident, and then touch your face, and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol. Viruses can last for quite a few hours on objects, soap precautions Which is why it is also good to follow these wash with soap up to here soap elbow Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first. Enough time to sing “Happy Birthday” twice under the nails for 20 seconds between the fingers wash the back of your hands What is thoroughly? If you did, don't worry. Just wash your hands with soap after. Also, don't touch the outside of the mask if you can. droplets *Bacteria grows on the insides of your mask if you wear them too long Throw away masks once they feel gross. Don't wear them for more than a day! Use a serving spoon Baby Daddy Mommy Everyone gets their own towel Do not share food, utensils, cups, towels. You can't touch your face with your elbow even if you tried Open & close doors with your elbows or shoulders instead of hands, if possible. Home and after being out in the public Before you eat Always wash your hands with soap… And finally, soap Stay safe, everyone! Stay safe, everyone! soap Read the articles for more tips! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020) ""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020 Main references for medical info: Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVI 019 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-1O Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com About Coronavirus    Created by Weiman Kow, instagram: weimankow    "
