,tvs,eng
68,"Bhandu bhasitang’are kijo, bhia bhya kulia, ndemwa, taulo.",
69,Usiidima kukunda bhusho bhwako na kikokor chako naetee ukateghesha zee.,
70,Kaja uidima shindika mlango ujughuke na kikokora chako kana kituro. Usishindike na mikono yako.,
71,Kaa,
72,na gheri twafuma kutorana na bhandu.,
73,Kabula tusimele kijo,
74,Misi yose tuoje mikono yetu na sabuni…,
75,"Tiricho tusiibhae ibhi,",
77,Kila mmwezu wetu aikae mashoghwe,
80,Soma bhitamo ibhi upate malosha!,
81,"“This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ",
82,"“The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020). ",
83,"“How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020).",
84,Hala tuidima tukapata malosha ama ma bhurighiti:,
85,"Wanga ya malosha ama: Malosha ama hena fana ja kusekija meoho metulosha wanga ya bhiambu bhya COVID19 sabhundu bhandu bhabhitwarija mhaka tarehe 28/02/2020. Malosha ama bhandu bhamapata  kubhetia na: https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Elimu ya kukumbia hena bhila tutwarije: Malosha ama ma fana ja kusekija mewaho pia na  PDF na uidima kuma’down load’ bhesho hena mtandao wa https://gumroad.com/weimankowart  Maghanyo igheri tutang’ara malosha ama: Malosha ama ma fana ja kusekija ni ma  bhesho bhandu bhatang’are hena mitandao ja Whatsapp na Telegram. Uidima pia ukamapata bhesho hena kungola bhibhuri bhya posters ja kulosha bhandu kaa, hena masukulu na ndimeni. Igheri utang’ara malosha ama hena mitandao wasembwa ukumbuke maaghanyo ama matatu: 1) Usikoranye kila chtamwa hena zia yoyose. 2) Malosha ama esimakutagha esa kukumazia hena zia yoyose. 3) Ukaoka ukundie kuhiria kindu chochose ndima ii shigha mwenye ndima atwarije hena FB  kubhetia mitandao iji: @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow. Ukakunda kuhiria kindu chochose ndima ii kindu ukundike kuhira ni kusemba uingwe ngalo iyo ni mwenye hena mtandao wa:comicsforgood@gmail.com",
88,,Bible Translation & Literacy E.A
89,,"Translated by Matayo Tariwoi M., Daniel Kichogha M. & Mathias Letiaki A."
90,,"Created by Weiman Kow, instagram: weimankow"
95,"Malosha  wanga ya bhiambu bhya Korona  Translated by Matayo Tariwoi M., Daniel Kichogha M. & Mathias Letiaki A.  Hena tiki kindu KIMWE ukundike kutwarija bhundu bhiambu bya korona  BHINARARIA Momo Fua Meso Bhiingia kubhetia na Mndu mzima bee Mndu muwaji Bhiambu bhinararia igheri  mate hai lukoho luna bhiambu Kuikaa hae naye. Bhueza bhwa kusongeriana mashoghwe bhwa mita 2 bhukukinda na mate ma lukoho. 1 Mita 2 Eeepya! Hena hubho ukambhona mndu ekoha pada/ebigha fua/ebhonekana muaji uidima: Muinge kitambaa cha kuchunga fua na momo.﻿ Bheidima kukohia kana kubigha fua na cho, na kubhakinda na bhiambu bhandu bhose bheoho afuhi nabho. 2 Haika pada ﻿*ejutia ifufa* Kana Hengi esi muwaji, eteoho ekukinda tiki Bhandu bhebhabhiwa bheidima bhasibhonyanye mibhonire  ya ndwari, kake bhena luidimo lwa kiambu  Na hena ibhi bhyose tuidima tukaghamba iti ni chedi mndu akubhike hae na mbotu ya bhandu, amu usiidima kutwarija iti niani eidima kuoka muaji. Bhitunga majegho Mndu mzima bee Mikwa ja igari la moshi “Bhifungo, bhya lifuti’ Malalu ma ‘tissue’ Bhikombe Bhia bhya kijiditali Naetee mbai ya shighati ya kitambaa chako cha kujibha fua na momo. Mishighi ya ngazi Mkono wa kompiyuta Kalamu Chabi ja lughwi Mikono yabho Kake naetee hubho, hena igheri mate ma mndu muwaji meidima mekaoka na bhindu ibhi… muidima bhose kuoka bhawaji. kana kubhagura bhakundwa bhako bhusho, usighise meso, Na ukakunda bhindu ibhi usibharirie, na ade ugure bhusho bhwako, na zia yedi tiki ya kubhikenja ni kuoja bhia ibhyo na sabuni, bhikuruta ikwe, kana bhiengeji. Bhiambu bhiidima kuoka moo hena masaa matare  bhireoho na bhia Sabuni Bhila twaaghanywa Ichi nicho kindu kioho kiinga tughambe iti ni chedi kuyoa iti tuoho turateria   Oja nezo na sabuni mhaka aha. Sabuni Kikokora Usigure bhusho bhwako. (Kana bhusho bhwa mndu ungi.) Na ikaoka iti nire ugure bhusho, oja ini nezo mikono yako na sabuni. Igheri lifishie kubhina kibhini cha ‘Izirihiwa msi wa Kubhoneka’ ndekero keeri. Sii ya ngombe Hena sekunde 20 Ghati na ghati ya bhichaa Oja mghongo wa maghaza mako Kuoja nezo ni kuketa ze? Ukakunda  usiituke. Oja tiki mikono yako na sabuni. Kaja uidima usikunde mbai ya shighati ya kijibha fua na momo chako. Mate mena bhiambu Bhiini bhya Bakitiria bhinamea  mbai ya ndeni ya bhijibha fua na momo bhikadokwa igheri ieza Bhijibha fua na momo bhidokwe tiki hena msi mmwe!  Ade  bhibhiritwe handu eho bhisiidima kukundwa ni ungi. Taha kijo na upao Mwana Papa Iya Kila mndu aoke na taulo yakwe Bhandu bhasitang’are kijo, bhia bhya kulia, ndemwa, taulo. Usiidima kukunda bhusho bhwako na kikokor chako naetee ukateghesha zee. Kaja uidima shindika mlango ujughuke na kikokora chako kana kituro. Usishindike na mikono yako. Kaa na gheri twafuma kutorana na bhandu. Kabula tusimele kijo Misi yose tuoje mikono yetu na sabuni… Tiricho tusiibhae ibhi, Sabuni Kila mmwezu wetu aikae mashoghwe Kila mmwezu wetu aikae mashoghwe Sabuni Soma bhitamo ibhi upate malosha! “This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)  “The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020).  “How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020). Hala tuidima tukapata malosha ama ma bhurighiti: Wanga ya malosha ama: Malosha ama hena fana ja kusekija meoho metulosha wanga ya bhiambu bhya COVID19 sabhundu bhandu bhabhitwarija mhaka tarehe 28/02/2020. Malosha ama bhandu bhamapata  kubhetia na: https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Elimu ya kukumbia hena bhila tutwarije: Malosha ama ma fana ja kusekija mewaho pia na  PDF na uidima kuma’down load’ bhesho hena mtandao wa https://gumroad.com/weimankowart  Maghanyo igheri tutang’ara malosha ama: Malosha ama ma fana ja kusekija ni ma  bhesho bhandu bhatang’are hena mitandao ja Whatsapp na Telegram. Uidima pia ukamapata bhesho hena kungola bhibhuri bhya posters ja kulosha bhandu kaa, hena masukulu na ndimeni. Igheri utang’ara malosha ama hena mitandao wasembwa ukumbuke maaghanyo ama matatu: 1) Usikoranye kila chtamwa hena zia yoyose. 2) Malosha ama esimakutagha esa kukumazia hena zia yoyose. 3) Ukaoka ukundie kuhiria kindu chochose ndima ii shigha mwenye ndima atwarije hena FB  kubhetia mitandao iji: @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow. Ukakunda kuhiria kindu chochose ndima ii kindu ukundike kuhira ni kusemba uingwe ngalo iyo ni mwenye hena mtandao wa:comicsforgood@gmail.com Malosha  wanga ya bhiambu bhya Korona        ","About Coronavirus                                                                                      About Coronavirus  Bible Translation & Literacy E.A Translated by Matayo Tariwoi M., Daniel Kichogha M. & Mathias Letiaki A. Created by Weiman Kow, instagram: weimankow    "
