fra,bwt,eng
,"Biyemblan Biyɛmblan bya dulagh dya coronavirus bi yɔ mulɛmlɛm na si ɛbomb, mubonji, ɛkosi ya ɛ fɛghɛsi, na missis mya mya wa na di jɛ. Doŋgo dya bat ba wɛl mulagh ba wɛl buwa, na ɛbomb ya etigh mot ɔ dyo, na ɛbom ya ese fɛghɛs. Na buwa bwa etogha ngom. Na dinya dibi dya maki. Ditu dya bat ko kana ba ma wɛl dulagh mɛn, ba si wɛl eyɛmblan nde ba yɔ lɛ. Ditu bá pu esiba na ba bolan mel.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
,Mot na ekosi,Person with a cough
,"Ditombis dya dulagh dya coronavirus COVID-19: dulagh din wan dyá tombɛlɛn na bat ɔ nyol a na bat ba ba wɛli dulagh mɛn, ba vutɛn bapɛ ba ba si wɛli. Na mot a vul ɛkosi ko a simi ma byom bya bya nyet mɔ ɔ dyo na mujum byo bi yɔ dulagh mɛn. Na mot a nɔŋg ɛfu ya mot am koso ekosi, ko di simi dulagh dinu difit di wali mot mɛn. Na mot a myeti yom ya dualgh di ma bandam wɔ, tɛ a myɛti mǐs ɛmawɛ, dyo ɛdyawɛ ko mujum ɛmwawɛ, dulagh dinu di fiti di wali mɔ.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
,Waŋgo ɔ fiti di kombɛn nyol ɛyawɛ,How to protect yourself
,"1.  Bol na ɔ si myɛti mǐs,dyo na mujumb ɛmawɛ. ","1. Avoid touching eyes, nose, mouth."
,"2. Yofo maka bité na bité, na sɔpi na mali ma ma yagha, tɛ ɔ tiso na tahili ya esaŋgi.",2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
,3. Ɔ koso na di simi ɔ ɛpapagh ɛyawɛ.,3. Cough and sneeze into the crook of your arm. 
,4. Bol na osi dya nyam ɛpéyn na di myeti biyɛmbɛ bya bi yɔ loŋgɛ.,4. Avoid eating raw meat and touching live animals.
,"5. Ɔ si vutɛn mot wa a koso na wa a simi, ɔ mima mita mwɔgh. ",5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
,"6. Ɔ si somɛn bat na maka, ɔ byawan bat na di nughi dya molo kona mujumb. ",6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
,7. Si si yɛlagh ɔ matan.,7. Avoid gatherings. 
,8. Si mima fumfogh si si kɛndɛ kɛndɛ.,8. Restrict movement.
,9. Si kɛg si baghɛ na di waso myaŋgo mya mya fu ditɛŋgɛn coronavirus.,9. Keep informed and verify the source of information.
,"Njɛmɛ ɔ fiti di bol, na ɔ wɛl dulagh dinu  Na ɔ yɛmbi na ɔ mɔ wɛl dulagh mɛn: -         Ɔ si yɛlagh ɔ fatɛn ya bat -         Mima ɔ nadw ɛyawɛ -         Ɔ fiŋgil 1510 tɛ ɔ nan malɛf ma dokta. Ɔ fiŋgil misɔŋgi min wan:",What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
,Kɛntɛ jɛ bwla bwa di puli dulagh dya covid-19 bu sey. Nde bat ba bugha di wasio manjɛ ma di sagh mel ɔ di puli bat. Mot musus a wɛl di nɔŋg jangamɛn ɔ di tati nyol ɛyawɛ na dulagh di bey din na bat b aba vuten mɔ ni di si wali bɔ.,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
,,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
,,"Njɛmɛ mot a wɛl di baghɛ ditɛŋgɛn dulagh dya CORONAVIRUS na COVID-19 © CABTAL, 2020 "
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ,"Njɛmɛ mot a wɛl di baghɛ ditɛŋgɛn dulagh dya CORONAVIRUS na COVID-19   Cameroon Association for Bible Translation and Literacy  Njɛmɛ mot a wɛl di baghɛ ditɛŋgɛn dulagh dya CORONAVIRUS na COVID-19                        NJƐMƐ MOT A WƐL - Coronavirus - Bat ba dulagh di ma kwɛl ɔ nyol - Biyemblan - Ditombis dya dulagh dya coronavirus - Waŋgo ɔ fiti di kombɛn nyol ɛyawɛ - Njɛmɛ ɔ fiti di bol, na ɔ wɛl dulagh dinu    p.2 p.3 p.4 p.5 p.6  p.8  Coronavirus wa ba baghɛ na si COVID-19, dulagh di kɔlɔn. Ba na kolɛ di byana di botɛ ɔ mu ma lal na yogh, ɔ ngɔnd ya mandindɛn, ɔ mwa bikoli biba na dyɔm na dibugh (2019) Dulagh mɛn di wɛl ɛyɛmblan ya ɛkosi na ɛbomb tɛ di fiti di yɛlan mot ɔ mujumb mwa mudimb. Dulagh mɛn di ma kawɛn ɔ miki jita mya mika mwase. Bibotedi bya dulagh din wan di  si bilɛni.   Mot a ma jind  Mot wa a wɛl dulagh dya mulɛm Bat ba dulagh di ma kwɛl ɔ nyol  Nyɔŋgɔn ɛsus ba fiti di wɛl dulagh di kɔlɔn din. Bat ba ma jind, na  bat ba ba ma wɛl mulagh na si dulagh dyo ɔ sɔ so pɛmi lɛ, na dulagh dya fikpa na dulagh dya mulɛm, na dulagh dya maki ma kundil ɔ molo mwa mot mɔ ma befi jita na ma tani dulkagh dibey din dya ba fiŋgil na coronavirus.   -Mubonji -Di jɛ dya nyol  -Ekosi ya ɛfɛghɛsi-Missis mya mya wa Biyemblan Biyɛmblan bya dulagh dya coronavirus bi yɔ mulɛmlɛm na si ɛbomb, mubonji, ɛkosi ya ɛ fɛghɛsi, na missis mya mya wa na di jɛ. Doŋgo dya bat ba wɛl mulagh ba wɛl buwa, na ɛbomb ya etigh mot ɔ dyo, na ɛbom ya ese fɛghɛs. Na buwa bwa etogha ngom. Na dinya dibi dya maki. Ditu dya bat ko kana ba ma wɛl dulagh mɛn, ba si wɛl eyɛmblan nde ba yɔ lɛ. Ditu bá pu esiba na ba bolan mel.  Mot na ekosi Ditombis dya dulagh dya coronavirus COVID-19: dulagh din wan dyá tombɛlɛn na bat ɔ nyol a na bat ba ba wɛli dulagh mɛn, ba vutɛn bapɛ ba ba si wɛli. Na mot a vul ɛkosi ko a simi ma byom bya bya nyet mɔ ɔ dyo na mujum byo bi yɔ dulagh mɛn. Na mot a nɔŋg ɛfu ya mot am koso ekosi, ko di simi dulagh dinu difit di wali mot mɛn. Na mot a myeti yom ya dualgh di ma bandam wɔ, tɛ a myɛti mǐs ɛmawɛ, dyo ɛdyawɛ ko mujum ɛmwawɛ, dulagh dinu di fiti di wali mɔ.     Waŋgo ɔ fiti di kombɛn nyol ɛyawɛ 1.  Bol na ɔ si myɛti mǐs,dyo na mujumb ɛmawɛ.   2. Yofo maka bité na bité, na sɔpi na mali ma ma yagha, tɛ ɔ tiso na tahili ya esaŋgi.  3. Ɔ koso na di simi ɔ ɛpapagh ɛyawɛ.  4. Bol na osi dya nyam ɛpéyn na di myeti biyɛmbɛ bya bi yɔ loŋgɛ.     5. Ɔ si vutɛn mot wa a koso na wa a simi, ɔ mima mita mwɔgh.   6. Ɔ si somɛn bat na maka, ɔ byawan bat na di nughi dya molo kona mujumb.   7. Si si yɛlagh ɔ matan.  8. Si mima fumfogh si si kɛndɛ kɛndɛ.  9. Si kɛg si baghɛ na di waso myaŋgo mya mya fu ditɛŋgɛn coronavirus. Njɛmɛ ɔ fiti di bol, na ɔ wɛl dulagh dinu  Na ɔ yɛmbi na ɔ mɔ wɛl dulagh mɛn: -         Ɔ si yɛlagh ɔ fatɛn ya bat -         Mima ɔ nadw ɛyawɛ -         Ɔ fiŋgil 1510 tɛ ɔ nan malɛf ma dokta. Ɔ fiŋgil misɔŋgi min wan:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Kɛntɛ jɛ bwla bwa di puli dulagh dya covid-19 bu sey. Nde bat ba bugha di wasio manjɛ ma di sagh mel ɔ di puli bat. Mot musus a wɛl di nɔŋg jangamɛn ɔ di tati nyol ɛyawɛ na dulagh di bey din na bat b aba vuten mɔ ni di si wali bɔ.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P. O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Njɛmɛ mot a wɛl di baghɛ ditɛŋgɛn dulagh dya CORONAVIRUS na COVID-19 © CABTAL, 2020 "
