,fra,mnf,eng
49,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.,5.     Zəʼtè àwê a mbɨ̧ wòt tàa nkɔ̀ɔ mè ntsèènà la mbɔŋe ane èmaʼà wemɔ̀ʼ. ,5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.,"6.     À ka me zì àbu ntsàʼtà wòt. Me ntsàʼte wû ane ètsə̂, ko à mɨ̀ʼɨ̀ wû àtsə ayê.",6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53,7. Eviter les rassemblements.,7.     Ka me ghǎ adzìʼi èbù̧ù̧tè.,7. Avoid gatherings. 
55,8. Limiter ses déplacements.,8.     Ka me gha̧a̧ nyaŋ. ,8. Restrict movement.
57,9. Se tenir informé et vérifier la source de ses informations.,9.     Nyɔʼta meko mènə̀ nàa ntsèà la nè àdziʼa èdzə̀à la.,9. Keep informed and verify the source of information.
58,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :,"Àghɨa àa ghɨ̌, naà à bɔ àghɔa ngaa la.  Àyea nê yê bɔŋ à: - À kâ me ghaa ànget bòt. - Me tseke a lob. - Tɔ 1510 mè me ghɨ̀ àghɨa ngàŋ ndɨk è shu la. Ye bènumbà betsiʼa à tɔ la:",What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.","Bɔ bakà zìʼì mbɔ̀ èghɨbə aghɔ̧̀a KOVIK-19 àfɨ̀ʼ yaa, ka bɔɔjuŋ èlaʼ a ngɔ̀ŋ àà nyɔʼtà nkɨà èghɨbə yùà.  Waa wa bɔ ndɨ tàa kɨ èlu̧ a màmbaaba vi nè bòt bɔ̀ wu angèt zi la.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque",,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,,"Àghɨa à bɔ ndɨ àa ko ane ànəa kòlonavȩlùs kò KOVIK-19  © CABTAL, 2020 "
68,"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                         SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  ","Àghɨa à bɔ ndɨ àa ko ane ànəa kòlonavȩlùs kò KOVIK-19  Cameroon Association for Bible Translation and Literacy  Àghɨa à bɔ ndɨ àa ko ane ànəa kòlonavȩlùs kò KOVIK-19                     ÀGhƗA ÀA ÈBÊM LA  - Kòlona vȩlùs - Bòt betsiʼa a ba̧ awɔb la - Àghɨa  àa nyɨ̀ʼta nê wòt bɔ la - Ndɨ àa ngȩ̀ȩ̀nà la - Ndɨ betsiʼa à bààbe awê la - Àghɨa àa ghɨ̌, na à ye nê ye bɔ la    p.2 p.3 p.4 p.5 p.6 p.8  Kòlonavȩlùs  Kòlonavȩlùs elen tò ko wu KOVIK-19 la, wu àghɔ̧a fi. Bɔ li mbɨ̀ ndzə ànəa yuà a Chȩnà ane èli 31 èŋu Kèsɔŋ 2019. Eghɨ àa nyɨ̀ʼta la àa mbɨ̀ʼɨ tèdzitsə, ngu eko bùŋe wòt. A nyǐ a èbeme èlaʼ nyaŋ a sitsǎʼ ŋàà. Bɔ bakà zìʼì nko àdziʼa àghɔ̧a ngaa à dzə̀à la.   Bɔjuŋ  Wòt ta bɔ àghɔ̧ a èntɨ̧ɨ̧ vi la Bòt betsiʼa a ba̧ awɔb la  Àghɔ̧ fi yàà a file ba̧ bòt ane mengùʼ tsa tsa. Bɔjuŋ nè bòt bɔ bɔ èghɔ̧ yu àa ngɨ̀à wòt yèènà kekaŋ la, nè àghɔ̧a shukà, nè àyea èntɨ̧ɨ̧, mě nè aghɔ̧̀a àlo̧ nyaŋ la e file nyàŋè bɔ yùà.   - Sɔ̧̀ɔ̧̀nà - Èka̧a̧  - Àkɔɔ yuube Àghɨa  àa nyɨ̀ʼta nê wòt bɔ la   Àghɨa àa nyɨ̀ʼta nê wòt bɔ Kòlona vilus la àa mbɨʼɨ àghɔ̧a kèfùʼ. Wu sɔ̧̀ɔ̧̀nà, nè àkɔɔ yuube, nè ènyit saa, nè èka̧a̧. Èbeko nè bòt àghɔ̧ e bɔ ènyit saa, nè ba̧a̧te tedzi te ghɨ̌ wòt kà tsi ngua ndzèènà la, nè tèdzitsə, nè àmɨɨta àtɔŋ mě nè èsa̧a̧. Bòt ko àa ngɨ̀ bɔ àghɔ̧ mbɔŋ ka à ka wua nyɨ̀ʼtâ. Bɔ̀ɔ̀ ngɨ̀ bɔ wu awɔb ntsɔ̧̀. Bòt ko àa ngɨ bɔ pem kâ jɨ èghɨbə.  Wòt tà bɔ àkɔɔ la Ndɨ KOVIK-19 nàa ngȩ̀ȩ̀nà la  KOVIK-19 nàà ntsèà ane bòt bɔ bɔ la ka ngà ane ebeko. Wòt tà bɔ la nàa ngɨ̀ tà kɔɔ kò ètsèène leʼ e tsè ane èdzi tò kò ètsə̂ tò leʼ nkwèntê ane wekô nè wòt. Ŋut yeena tètap tu, kòlonavilus wu ba̧ atò. Wòt bà̧à̧ta tètap tu, bà̧à̧te àghɨa zi, kò èdzi li leʼ, kò ètsə̂ vi leʼ, ko taa bɔ àghɔ̧a mbɔŋ.     Ndɨ betsiʼa à bààbe awi la 1.     Ka me ba̧a̧te àghɨa yê nè èdzi le mě nè ètsə̂ wê.   2.     Me shùù èbu bê àfɨ̀ʼ àgème nè èshu bɔ̂ mèleb nàa ntsèà la.  3.     Me kɔɔ mè ntsèèna ànget jùŋàbu yê.  4.     Ka me kwele nyà̧ kà bɔ la̧ ntsɔ̧ kò mbà̧à̧ta anyà̧ èpfə la leʼ. À bà̧à̧tâ, à shùù èbu bê ntsɔ̧̀ nè èshû mě nè mèleb nàa ntsèà la.     5.     Zəʼtè àwê a mbɨ̧ wòt tàa nkɔ̀ɔ mè ntsèènà la mbɔŋe ane èmaʼà wemɔ̀ʼ.   6.     À ka me zì àbu ntsàʼtà wòt. Me ntsàʼte wû ane ètsə̂, ko à mɨ̀ʼɨ̀ wû àtsə ayê.  7.     Ka me ghǎ adzìʼi èbù̧ù̧tè.  8.     Ka me gha̧a̧ nyaŋ.   9.     Nyɔʼta meko mènə̀ nàa ntsèà la nè àdziʼa èdzə̀à la. Àghɨa àa ghɨ̌, naà à bɔ àghɔa ngaa la.  Àyea nê yê bɔŋ à: - À kâ me ghaa ànget bòt. - Me tseke a lob. - Tɔ 1510 mè me ghɨ̀ àghɨa ngàŋ ndɨk è shu la. Ye bènumbà betsiʼa à tɔ la:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Bɔ bakà zìʼì mbɔ̀ èghɨbə aghɔ̧̀a KOVIK-19 àfɨ̀ʼ yaa, ka bɔɔjuŋ èlaʼ a ngɔ̀ŋ àà nyɔʼtà nkɨà èghɨbə yùà.  Waa wa bɔ ndɨ tàa kɨ èlu̧ a màmbaaba vi nè bòt bɔ̀ wu angèt zi la.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P. O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Àghɨa à bɔ ndɨ àa ko ane ànəa kòlonavȩlùs kò KOVIK-19  © CABTAL, 2020 "
