,eng,mxu,fra
29,"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Mandza ga eɗe-mawala  Mandza ga eɗe-mawala ʉwe hinne ma andza aka ga aman, cukfari, uslo ya vava awal ecefukwa. Ezle eɗe-mawala ŋa ma hoendoer agzatal, manda ekʉle yam ohoɗ ezle kelema kini ma ambakva da tala tike lele ezle kelemaŋa tamblaba zeya ahaf ene.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
31,Person with a cough,Mbre na atatah,Personne qui tousse
32,"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Mahalavara eɗe-mawala ʉwe hinne  Eɗe-mawala ʉwe hinne ma mbiyez tahlavara afa ezle ana tikera afalaŋa mbrena ikera atatah bi ucah esleɓ bi amaɗ uciva kaka idifikʉre ma, azavara bi afakal ahal aka iɗiŋa ana ekefiŋire amazavara cek vaɗ tangaba itəlefiŋire ahal ifire bi aka mamma atakalva eɗe-mawala nehe vaɗ.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
37,How to protect yourself,Ahawa na macufava haway?,Comment se protéger ?
38,"1. Avoid touching eyes, nose, mouth.","1. Cufumva ya mitəlefiŋire ahal afa ire, ara hoendoer ava, aka mamma.","1. Eviter de se toucher les yeux, le nez, la bouche."
40,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,2. Balam ahal ara sapuna ara yam ennde ana agazmagəza gramfaba yam afa ahal ara pitike acazlaraka.,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
42,3. Cough and sneeze into the crook of your arm. ,3. Tataham bida ucaham a hoɗ ya ahal ava.,3. Tousser et éternuer dans le creux de son bras.
44,4. Avoid eating raw meat and touching live animals.,"4. Kahpaɗam uslo mirire da, ka baɗam fatalara ahal afa azlam gənaw da.",4. Eviter de manger de la viande crue et de toucher des animaux vivants.
49,5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,"5. Taŋgaba mbarŋa aka tatah ma, ŋganam faŋa va mige aka ucah kini. ",5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
51,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Ka giɗimva use a halava halava da. Gimva use ara mige ɗiŋa godogo bi ara mʉde desl.,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
53,7. Avoid gatherings. ,7. Ka gayamkabava da. ,7. Eviter les rassemblements.
55,8. Restrict movement.,8. Ka rawam kaba dik-dik da.,8. Limiter ses déplacements.
57,9. Keep informed and verify the source of information.,9. Deyemaŋ mʉde shʉmva yam a mʉdeva lele. Səlam aslam yana kwatar eslire gata magas.,9. Se tenir informé et vérifier la source de ses informations.
58,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,"Afalaŋa idemawala aksa kwala ta kege ahaway?  - Taŋgaba kecənefaŋara afa eɗe-mawala ma, kehɗifiŋire afa mbərŋa da. - Kacəkaɗa agam ava ko - Zala lamba 1510 dikel sləme aka eɗe ana zal dawtar ama ɗəmawkwara. Lemerʉ gamənda a hinne ana kazala cik:",Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
60,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Ha tina ma, ahaf ya eɗe-mawala ʉwe hinne ma, a nida ama dakwtar oŋgoŋgoɗa takahba ta tatakalva ya membelliŋara mbiyeza. Wa tuksaba amahba yana ta madzadzal ta migʉkuburo.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
65,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Maŋganaba kwatar magəla   Asəmə: iɗemawala adva ga masafa yana macəkakaba mbərŋa. Makwara: maɗmakabava. Diyabetə: iɗemawala yana sukwar ishiɓe avava, imizeva. Hœndœr magəza: amaɗ yana agəzara a hœndœr ava. Zal yana aza iɗemawala: matakalavara iɗemawala, mazavara iɗemawala. Taŋsiyoŋ: masaɓakala ga imez yana irewa avava. Zal iɗemawala: matakalavara iɗemawala, mazavara iɗemawala. Vɨrus: iɗemawala. Kefkef: kefkef enera ndzəɗa aka iɗemawala da.","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
67,,,"Eɗena kasəlam anɗəva ga eɗe-mawala ʉwe ana tazala Kovid-19 © CABTAL, 2020"
68,"What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                           SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  ","Eɗe ana kəsəlam adəva ga eɗe-mawala ya na tazala koronavirʉs.  Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation  Eɗe ana kəsəlam adəva ga eɗe-mawala ya na tazala koronavirʉs.                                GUDUGOŊA  - Eɗe-mawala - Ezle yana tandza kef tatakalva ndoŋ - Mandza ga eɗe-mawala - Mahalavara eɗe-mawala ʉwe hinne - Ahawa na macufava haway? - Afalaŋa idemawala aksa kwala ta kege ahaway? - Maŋganaba kwatar magəla.    p.2 p.3 p.4 p.5 p.6   p.8 p.9 Eɗe-mawala  Korona eɗe-mawala ʉwe ana tazala kovid-19 eene eɗe-mawala hinne ma, ebe ira aka haŋ ga shinwa ana ehndze tatakalva afa vaɗ 31 desambər 2019 ta ndzayara ata amaɗ awara kəshem afalaŋa ike zeɓ zeɓ. Eɗe-mawalaŋa ehliva a lardava cici eɗe ana awara eɗe-mawala ŋa ma tasal da. Tatakalvara dzika tam.   Ezle maɗəka yana tikera viya dik  Ezle yana taka cakara cicihe ara Eɗe-mawala Ezle yana tandza kef tatakalva ndoŋ   Ezle ana eɗe-mawala amagastal ndoŋ zire mbiyez mige viya gaŋa eme kini ma eɗe-mawala ʉwe hinne amagas naɗ oŋgwaŋa ma, ezle ana tikera eɗemawal ya ɓərov, masafa ara cicəhe, eɗe-mawala ya sukor dik avava, ezle nehe ma eɗe-mawala gatala amasaɓakatal aɗaba ga eɗe-mawala ʉwe hinne.   -Cukfari -Micifuko  -Amaɗ saflahlah -Mawala ga uslo ya vava Mandza ga eɗe-mawala  Mandza ga eɗe-mawala ʉwe hinne ma andza aka ga aman, cukfari, uslo ya vava awal ecefukwa. Ezle eɗe-mawala ŋa ma hoendoer agzatal, manda ekʉle yam ohoɗ ezle kelema kini ma ambakva da tala tike lele ezle kelemaŋa tamblaba zeya ahaf ene.  Mbre na atatah Mahalavara eɗe-mawala ʉwe hinne  Eɗe-mawala ʉwe hinne ma mbiyez tahlavara afa ezle ana tikera afalaŋa mbrena ikera atatah bi ucah esleɓ bi amaɗ uciva kaka idifikʉre ma, azavara bi afakal ahal aka iɗiŋa ana ekefiŋire amazavara cek vaɗ tangaba itəlefiŋire ahal ifire bi aka mamma atakalva eɗe-mawala nehe vaɗ.     Ahawa na macufava haway? 1. Cufumva ya mitəlefiŋire ahal afa ire, ara hoendoer ava, aka mamma.  2. Balam ahal ara sapuna ara yam ennde ana agazmagəza gramfaba yam afa ahal ara pitike acazlaraka.  3. Tataham bida ucaham a hoɗ ya ahal ava.  4. Kahpaɗam uslo mirire da, ka baɗam fatalara ahal afa azlam gənaw da.     5. Taŋgaba mbarŋa aka tatah ma, ŋganam faŋa va mige aka ucah kini.   6. Ka giɗimva use a halava halava da. Gimva use ara mige ɗiŋa godogo bi ara mʉde desl.  7. Ka gayamkabava da.   8. Ka rawam kaba dik-dik da.  9. Deyemaŋ mʉde shʉmva yam a mʉdeva lele. Səlam aslam yana kwatar eslire gata magas. Afalaŋa idemawala aksa kwala ta kege ahaway?  - Taŋgaba kecənefaŋara afa eɗe-mawala ma, kehɗifiŋire afa mbərŋa da. - Kacəkaɗa agam ava ko - Zala lamba 1510 dikel sləme aka eɗe ana zal dawtar ama ɗəmawkwara. Lemerʉ gamənda a hinne ana kazala cik:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Ha tina ma, ahaf ya eɗe-mawala ʉwe hinne ma, a nida ama dakwtar oŋgoŋgoɗa takahba ta tatakalva ya membelliŋara mbiyeza. Wa tuksaba amahba yana ta madzadzal ta migʉkuburo. Maŋganaba kwatar magəla   Asəmə: iɗemawala adva ga masafa yana macəkakaba mbərŋa. Makwara: maɗmakabava. Diyabetə: iɗemawala yana sukwar ishiɓe avava, imizeva. Hœndœr magəza: amaɗ yana agəzara a hœndœr ava. Zal yana aza iɗemawala: matakalavara iɗemawala, mazavara iɗemawala. Taŋsiyoŋ: masaɓakala ga imez yana irewa avava. Zal iɗemawala: matakalavara iɗemawala, mazavara iɗemawala. Vɨrus: iɗemawala. Kefkef: kefkef enera ndzəɗa aka iɗemawala da.  ","﻿sur le  CORONAVIRUS   Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation  ﻿sur le  CORONAVIRUS  Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home   Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                                                     SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  Eɗena kasəlam anɗəva ga eɗe-mawala ʉwe ana tazala Kovid-19 © CABTAL, 2020"
