,fra,lns,eng
23,,"Wír ve kév kí yòʼ dzəə̀n  Yàsí wo fíy və̀n kù koó wir dzə̀m, a ŋgàywìr, à wánlè. Wù koó ŋgày sé wìr, kí fòy fóyin. Kù dzə̀ sá mo kí dzəə̀n fo wìr ve á sí ker nyar símóʼ sí moo, kighiísí ke nsaŋ ki, yàsí woo dàábetìr, yàsí shilìv, e lì yàsí mensə me koʼón mè.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
26,,-Kinjàʼ -Dór,Fever Fatigue
28,,-Kighiísí ke yumér kí -Wún wo waméné,Dry cough Muscle aches and pains
29,,"Vifiʼìr  Vifiʼìr vé sòv njoŋ vi shwínen vé ayàsí vee moo, kishwimnèn, kinjàʼ, kighiísíi ke yumér kí, à dóri. Sòv njoŋ koó wír ámóʼó, wúné wàa nyar, yúyi wàa fìnèn, vibum vi wàa səy, kilòŋ kí taàm, kìn bvə́me wàa dù. Sòv njoŋ koó ámóʼó vee wír, áwune wàa dzə kév kijuŋ, la vifiʼìr ví yòʼ a dìn. Kùʼùn wìr dzə̀, aá lo, á bònén fó sòv njoŋ, a bó yòʼ dzə̀ wìr kìíy ji sà fèr kfə́ə shìv siné á.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,,Wìr wo wù kiísi,Person with a cough
32,,"Mo dzə̀ sòv njoŋ tùmsín  Sòv njoŋ-19 dzə̀ yàsí, a wù lo fo wìr wo wù sí kérí, wù tùmsín e wír ámóʼó. Wìr wo wù sí kér yàsí və̀n kiísi, mesásáy me viliì mè fəə̀ fó shuù. Wù shémé, mesásáy me vibùm mè fəə̀ fó yuy. A wìr kùm kifá ke mesásáy mèn mè laʼamen shó e wóo, e kfə̀n lì wó yee shooy, e kùm sí, kìn yúy, à shúu, bo yàsí və̀n tùmsín ne. ","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,,Mo dzə̀ à kiŋsìn kitú ké,How to protect yourself
38,,"1. Lá à yòʼ a wàʼrì, a dù e kiwó ki é si, kìn é yuy, ǎ shuù.","1. Avoid touching eyes, nose, mouth."
40,,"2. Kú a wàʼrì, a sù wó yée e shuvi e mendzə̀v me mè léŋ leŋén, kìn me mè fəə́ fəə́n fo kifa.",2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,,"3. À lóo kiisí, kìn à shém shemén, a bvə̀n kóy, e sə̀tí shuu kìn yúy yé sho.",3. Cough and sneeze into the crook of your arm. 
44,,"4. Lá à yòʼ a kfər nyám e kó. À yén nyám, a yì gháné, làa yòʼ a səʼ wó e wùn wó.",4. Avoid eating raw meat and touching live animals.
49,,"5. Wìr lóo kiisí, kìn wù shém shemén e wò ghaŋ, à kù fò ntàm sho moo kóy e mòʼón bèy. ",5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51,,"6. Lá à yòʼ dzə́ə a shàʼtì wír, a fo kiwó. Kú a shàʼtì, a dzə̀ e shúu kìn e kitú kí. ",6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53,,7. Ku bàʼàr virə́ʼ vidzə̀m ve wíri táti fo vi.,7. Avoid gatherings. 
55,,"8. Bàʼàr gháne, bánlà é kitu ke kinyò keé shií.",8. Restrict movement.
57,,"9. Á dzətí asáʼkaá, yii bèy à yú kinyo, à tàr ji sà kù dzə̀ suuyrú á.",9. Keep informed and verify the source of information.
58,,"A yàsí və̀n koò ne wò, a yèe?  A vifiʼìr ví lo, a dìn wún e wò wùn: -          À wàa baʼàr wíri fó a tumér -          À gòʼ é lav, e làa yòʼ a ghan. -          À kùm tàádòm e mfìʼ yee jii 1510, a jùmrì kinyo ke wù tír wò ji à yii. Mfìʼ símóʼ se dzə̀ à kùm sí dzə̀ jii:",What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,,"Wìr dzə̀m kér fó a tiy e wun shwin, a jùmrì dzə́ə see sí dzəə̀n réŋ se dzə̀ wù kìŋsìn kitú kfə́ shó, e kìŋsìn sa wír vee wun ghaŋ. ","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,,,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,,"Kinyo ke à kér fó kiíy kùm yàsí woo Sòv Njoŋ-19  © CABTAL, 2020 "
68,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ,"Kinyo ke à kér fó kiíy kùm yàsí woo Sòv Njoŋ-19  Cameroon Association for Bible Translation and Literacy  Kinyo ke à kér fó kiíy kùm yàsí woo Sòv Njoŋ-19                               VITÚ VE VINYÒ  - Sòv Njoŋ - Wír ve kév kí yòʼ dzəə̀n - Vifiʼìr - Mo dzə̀ sòv njoŋ tùmsín - Mo dzə̀ à kìŋsìn kitú ké - A yàsí və̀n koò ne wò, a yèe?      p.2 p.3 p.4 p.5 p.6 p.8  Sòv Njoŋ  Sòv njoŋ, wo bàraʼ kfə̀n yoŋ sa jii, COVID-19 və̀n dzə̀ yásí, a bó wù yòʼ-oò sì. Vé-eè tòmbìy, e yù léŋ yàsí və̀n, a dzə̀ fó Càáyínà, kishiíy 31 fo ŋwee Ntinèn Saàr, e kiya kee 2019. Vifíʼìr vé yàsí və̀n vi dzə̀ kishwimnèn kee fìn yúy, é yí wáa shaà, é kinjàʼ ki shúr, é wúne wáa nyar, a wèŋrì wèŋrìn. Yàsí və̀n túy sóŋ e wìr wùn, laá wáa yen, bo kù sì kpú.Yàsí və̀n ram vitúm vidzə̀m e kitu ke nsay. Bó á yóʼ ne kìíy fo wù loòn gheéy.   Wír woo ŋgàywìr  Wír wo wù kér yàsí woo kùm shilív Wír ve kév kí yòʼ dzəə̀n  Yàsí wo fíy və̀n kù koó wir dzə̀m, a ŋgàywìr, à wánlè. Wù koó ŋgày sé wìr, kí fòy fóyin. Kù dzə̀ sá mo kí dzəə̀n fo wìr ve á sí ker nyar símóʼ sí moo, kighiísí ke nsaŋ ki, yàsí woo dàábetìr, yàsí shilìv, e lì yàsí mensə me koʼón mè.   -Kinjàʼ -Dór  -Kighiísí ke yumér kí -Wún wo waméné Vifiʼìr  Vifiʼìr vé sòv njoŋ vi shwínen vé ayàsí vee moo, kishwimnèn, kinjàʼ, kighiísíi ke yumér kí, à dóri. Sòv njoŋ koó wír ámóʼó, wúné wàa nyar, yúyi wàa fìnèn, vibum vi wàa səy, kilòŋ kí taàm, kìn bvə́me wàa dù. Sòv njoŋ koó ámóʼó vee wír, áwune wàa dzə kév kijuŋ, la vifiʼìr ví yòʼ a dìn. Kùʼùn wìr dzə̀, aá lo, á bònén fó sòv njoŋ, a bó yòʼ dzə̀ wìr kìíy ji sà fèr kfə́ə shìv siné á.  Wìr wo wù kiísi Mo dzə̀ sòv njoŋ tùmsín  Sòv njoŋ-19 dzə̀ yàsí, a wù lo fo wìr wo wù sí kérí, wù tùmsín e wír ámóʼó. Wìr wo wù sí kér yàsí və̀n kiísi, mesásáy me viliì mè fəə̀ fó shuù. Wù shémé, mesásáy me vibùm mè fəə̀ fó yuy. A wìr kùm kifá ke mesásáy mèn mè laʼamen shó e wóo, e kfə̀n lì wó yee shooy, e kùm sí, kìn yúy, à shúu, bo yàsí və̀n tùmsín ne.      Mo dzə̀ à kiŋsìn kitú ké 1. Lá à yòʼ a wàʼrì, a dù e kiwó ki é si, kìn é yuy, ǎ shuù.  2. Kú a wàʼrì, a sù wó yée e shuvi e mendzə̀v me mè léŋ leŋén, kìn me mè fəə́ fəə́n fo kifa.  3. À lóo kiisí, kìn à shém shemén, a bvə̀n kóy, e sə̀tí shuu kìn yúy yé sho.  4. Lá à yòʼ a kfər nyám e kó. À yén nyám, a yì gháné, làa yòʼ a səʼ wó e wùn wó.     5. Wìr lóo kiisí, kìn wù shém shemén e wò ghaŋ, à kù fò ntàm sho moo kóy e mòʼón bèy.   6. Lá à yòʼ dzə́ə a shàʼtì wír, a fo kiwó. Kú a shàʼtì, a dzə̀ e shúu kìn e kitú kí.   7. Ku bàʼàr virə́ʼ vidzə̀m ve wíri táti fo vi.  8. Bàʼàr gháne, bánlà é kitu ke kinyò keé shií.  9. Á dzətí asáʼkaá, yii bèy à yú kinyo, à tàr ji sà kù dzə̀ suuyrú á. A yàsí və̀n koò ne wò, a yèe?  A vifiʼìr ví lo, a dìn wún e wò wùn: -          À wàa baʼàr wíri fó a tumér -          À gòʼ é lav, e làa yòʼ a ghan. -          À kùm tàádòm e mfìʼ yee jii 1510, a jùmrì kinyo ke wù tír wò ji à yii. Mfìʼ símóʼ se dzə̀ à kùm sí dzə̀ jii:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Wìr dzə̀m kér fó a tiy e wun shwin, a jùmrì dzə́ə see sí dzəə̀n réŋ se dzə̀ wù kìŋsìn kitú kfə́ shó, e kìŋsìn sa wír vee wun ghaŋ.    ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  PO Box : 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Kinyo ke à kér fó kiíy kùm yàsí woo Sòv Njoŋ-19  © CABTAL, 2020 "
