eng,lfa,fra
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Lɨshyaleŋ ɗɨ́ Kolónavilʉ́s  Fɨlwœ́ fɨ́ ɓə́əŋkɨ́ŋ lə́ Kolónavilʉ́s fə́əshyáleŋ mɨ́ múŋ mɨ́ múŋ. Camiŋ kɨ́ lɨ́lwœ́ akwə́sí, ńsóo lə́ acɨ́mɛ́, ɓə́mə́ywə́ ɓə́lʉ́ŋ nyɨ́ mɨ́ ywíŋ, ńsóo lə́ mɨ́ mwə́ŋ. Á múŋ adəə́ŋ awɔŋzɛɛ́ nɨ lə́ məywə́ miŋ mə́ɗɨ́ŋ nyɨ́ mɨ́ ywíŋ ńsóo lə́ mɨ́ mwə́ŋ, fɨlwœ́ fɨ́lɨ́ lə́ fɨ́shyáa nyɨ́. Á múŋ akwœ́ŋ cwœ́ŋ kɨ́dəə́ŋ kɨ́ zhii anə́ mɨ́ məywə́ miŋ asά miŋ, ajəniŋ á akwœŋ nəmí mɨ́ míí, ńsóo lə́ mɨ́ mwə́ŋ, ńsóo lə́ mɨ́ ywíŋ, fɨlwœ́ fiŋ fɨ́ lɨ́ lə́ fɨshyáa nyɨ́.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Láléeŋ nə́ múŋ alɨ lə́ aɗə́ fɨlwœ́ fɨ́,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1. Kuúkwœŋ míí mɔ́, ńsóo lə́ mwə́ŋ wɨ́ŋkɔ́, ńsóo lə́ ywíŋ ɗɨ́ŋkɔ́ lɨ cααʼ.","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2. Wɨsɨ́ ɓyααʼ ɓɔ́ lə́ shɨ́shœ́ camiŋ kɨ cœŋ mɨ́ mənɨ́ mɨ́ məə́gαα, lɨ swə́ɓə, ájəniŋ wɨtwəsɨ ɓwə́ lɨ tɔ́wɨla anə́ alɨ ntɛ́ŋíŋ.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
3. Cough and sneeze into the crook of your arm. ,"3. A wəə́ŋkwɛ́ŋ lə́ wɨ́kwə́sɨ́, ńsóo lə́ wɨ́cɨ́míŋ, wɨpwé cααʼ kɔ́ɔ́ kɨɓə́ kɨ́ mɨ́ gwéŋgɨɨ́ lə́ wɨɗɔ́kɨ lə́ lɨ mwə́ŋ lɨ ywíŋ ɗɔ́ɔ́.",3. Tousser et éternuer dans le creux de son bras.
4. Avoid eating raw meat and touching live animals.,"4. Kuúɗɨ́ ɓíŋ ɓɨ́ cɨ́ŋcœ́ŋ, kuúkwœŋ kɨ́ɨ nyáŋ yɨ́ yɨ́lɨ́ɨ cɨ́ncœ́ŋ.",4. Eviter de manger de la viande crue et de toucher des animaux vivants.
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,"5. Kuúkwə́ lɨkɛ́ŋ lɨ múŋ anə́ áakwə́sɨ, ńsóo lə́ aáncɨ́miŋ, wɨfóŋ kɨkwáŋ kɨ métle ɓoó, ́sóo ɓə́ɓyɛ́ lə́ lɨ́ wə́ lɨ nyɨ́.",5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,"6. Kuútosɨ́ múŋ lɨ cααʼ, wɨtoosɨ ɓúŋ lɨ mwə́ŋ.",6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
7. Avoid gatherings. ,7. Wɨɗə́ə kwɔ wɨ́ gunɨ.,7. Eviter les rassemblements.
8. Restrict movement.,8. Ɓɨlwə mɨ́ ɓəníá ɓə́ɓiíŋ.,8. Limiter ses déplacements.
9. Keep informed and verify the source of information.,"9. Ɓɨlyáŋ məlée lə́ ɓɨ́wóo ɓɨɓɛ́ŋ ɓɨ ɓəətóleŋ mɨ́ fɨlwœ́ fɨ́, ɓɨkwœ́nα lɨ féé nə́ ɓəɓwə́lə́ ɓiŋ ɓəywíi miŋ.",9. Se tenir informé et vérifier la source de ses informations.
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,"Láléeŋ nə́ múŋ alɨ́ lə́ akɨ ɗɨɨ́ fɨlwœ́ fɨ́ fɨ́shyá má nyɨ́ Á wɨɠyɛ́ lə́ wɨtɨ́ lɨ fɨlwœ́ fiŋ: - Wɨɗə́ ɓúŋ ɓə́mbóo. - Wɨlwə́ mɨ niá. - Wɨɓɨ́lα 1510 mɨ́ nɗɨ́ wɨ́ ɓɔɔ́ŋ, wɨkɨ cwœ́ŋ kɨcœŋ kɨ́ ɓədoótα ɓə́to wə́ə. Wɨlɨ lə́ wɨɓɨ́lα kɨ ɓənʉmeló ɓɨ:",Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Akɛɛ lɨ ɓɨgə́əŋ, ɓuulɨ́ anə́ alɨ́ lə́ abwó filwœ́ fiŋ akáɓá mɨ́. Nsóo fɔ́ɔ́ ɓəɗɨnɗyáŋ ɓaácaléŋ mɨ́ lɨ lɨkyá ɗɨ́ ɓeé yɨcœŋ lə́ ɓə́tániŋ buulɨ́ anə́ alɨ lə́ asyatɨ ɓúŋ fɨlwœ́ fiŋ. Múŋ lɨ múŋ aɠesɛ́ nɨ́ kɨɓœœ́ŋ ntwœ́ wíí, akɨ cwœ́ŋ kɨcœŋ lə́ aɓœ́ŋ lə́ lɨ́ nəmí lɨ́ ɓəlwœ́ ɓɨ́ ɓə́lɨ́ nyɨ́ lɨkɛ́ŋ.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Lɨnɛkɨ ɗɨ míí mɨ́ mə́ɗékɨ lɨwó  Ásmə:  fɨlwœ́ fɨ́ cɔŋzeéŋ Ɓúŋ ɓə́ kɛɛ ɗeeʼ: ɓúŋ ɓɨ́ nyɔ́ fwɛ́ŋ má ɓwə́. Fɨlwœ́: fɨlwœ́ Fɨlwœ́ fɨ́shyá múŋ: camiŋ kɨ́ fɨlwœ́ fɨtɨ́ múŋ mɨ́ nyɔ́. Gríp: fɨlwœ́, kɨfɨ́nfáŋ. Jyabét: fɨlwœ fɨ́ fə́əɗwɛ́ múŋ ɗɨɨ́ sóka acíí má nyɨ́. Kɨshiiléŋkíŋ: kɛɛ lɨfwɛ́ŋ Lə́ɓya lə́: camiŋ kɨ́ fɨlwœ́ fɨ́lɨ́ lə́ fɨɗwɛ́ múŋ lə́ɓya. Lɨɓwɔ́: ɓuulɨ́. Lɨlɨseŋ: ɓƴœ́ŋ ɓɨ́ ɓə́əlɨsɨ lə́ fɨlwœ́ fɨ́tɨ́ múŋ mɨ́ nyɔ́. Lɨlwœ́: múŋ anə́ áalwœ. Nsúndeéŋ: kɨɓɛ́ŋ kɨ ɓə́tó wə́, kɨ́ wɨgəsɛ́ kɨkií. Tansyɔ́ŋ mɓɔ́yíŋ: camiŋ kɨ́ bwáʼ yə́əgά múŋ mɨ́ məshii kɨɗɨ́ɗe. Vilʉ́s: zhii, fɨlwœ́. Ywíŋ ɗɨ́ ɗə́əkɛ: camiŋ kɨ́ bɨnɨ́nwɔ́ ɓə́əkɛ́ múŋ mɨ́ ywíŋ. Zhii atɨ́ múŋ mɨ́ nyɔ́: fɨlwœ́ fɨ́tɨ́ múŋ mɨ́ nyɔ́. ","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
,,"Kɨ́ ɓɨɠəsɛ́ kɨyíi mɨ́ fɨlwœ́ fɨ́ lə́ kolónavilʉ́s (KOVID-19)  © CABTAL, 2020"
