,eng,mmu,fra
22,Person with a heart condition or disease,"Band bánúmaná agá ɔdɛm, gúmén bábɛ́dáŋɔ́naná",Personne cardiaque ou souffrant de maladie
23,"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Band bá kand magɛ́nda  Mfig iyány nyɛ báguadɛgɛn bilunu anyɛ bábayɔ. Inyɛ bágual ká gunúma gá band bá duɔŋ giod ánd gubiɔ́yɛ́kɛnɛn gɔdɔ́mb anány, ta ebe bánúmaná nsuá na nsua ɛgɔnɔ anyɛ (yeél, tiapɛ́t, ta ɛgɔnɔ sá ɔdɛm, atansióŋà).","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,Fever Fatigue,- Gíluúl - Gɛdɔmbɔ,- Fièvre - Fatigue
28,Dry cough Muscle aches and pains,- Gɛgɔ́sɔ́n kand gɛkakɔ - Guɔ́bɔn gudá agá dulaŋa,- Toux sèche - Douleurs musculaires
29,"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Manda médíyenyé ká mfig saman guadɛgɛn mɔnd Manda médíyenyé ká mfig ya Kolónafílis saman guadɛgɛn mɔnd  nyɛ buanda búmoom na má gɛnɔɔ́n, manda mád eme : gíluúl, gɛgɔ́sɔ́n kand gɛkakɔ, guɔ́bɔn gudá agá dulaŋa, gɛdɔmbɔ. Band bómodió guɔ́bɔn nuɔl nɔ́b gudá, mfún igíden, bɛkɔl madɛ́gá madɛ́ga ámaan agá mfún, ekelu ála gudá,  gɛfála guala. Band bómodió nyɛ bágúbianan mfig iyány,  ta buanda búmoom dibídíyé, bɔ́bɔ́ muat lɔb cém.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
31,Person with a cough,Band bɔ́gɔ́súnɔnɔ́,Personne qui tousse
32,"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Nanyá Kolónafilís nyá bágɔ́dɔ́mbɛ́n mɔnd  Band bábiananá KOFÍD-19 bédúmbenyinyé bɔsɔ́gɔ́ mfig. Gɛsɛgɛl mɔnd unúmana mɔ́nugɔ́sɔ́n, ɔ́gɔ ká ugésén, wémi baan bá bité agá niid ɔ́gɔ ká agá mfún ; mɔnd mélúmid, umɛn bité ibiány, mfig ya Kolónafílis nyɛ bágúdɔ́mbɛ́n wɔ́. Mɔnd mébísíd buanda ubú bann bá bité ibiány ségubísíd, wond ubísíd eŋís yág, ta mfún yaga, ɔgɔ́ ká niid nága, mfig iyány sɔ́n nyɛ bágúdɔ́mbɛ́n wɔ́.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
37,How to protect yourself,Nanyá anyá bágúbɛ́nɛ́na ?,Comment se protéger ?
38,"1. Avoid touching eyes, nose, mouth.","1. Budiguófon gubísíden eŋis na munɔ́nɔ, ta mfún, ta niid.","1. Eviter de se toucher les yeux, le nez, la bouche."
40,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2. Búguófon gubɛ́sɔ́ga ɛmbɔ́g na sɔ́bɔ na madɛ́ga obiódinonó agá ɛmbɔ́g, obífuónid ɛmbɔ́g na nábɛ́kɛn unyá begubeg.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
42,3. Cough and sneeze into the crook of your arm. ,3. Ɔgɔ́súnɔ ond egésénen agá ɔmbɛl wá ɔŋɔdigɔn wá ɔmbɔ́g.,3. Tousser et éternuer dans le creux de son bras.
44,4. Avoid eating raw meat and touching live animals.,"4. Adinyánán mɔlɔ́k mádiábá manámban, edibísídén sɔ́n manyam mɔgɔ́s.",4. Eviter de manger de la viande crue et de toucher des animaux vivants.
49,5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5. Búguófon gulɔbɔn gɛnambɛ mɛ́ta mómoom na mɔnd ugɔ́súnɔnɔ́ gúmén ugésénené.,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
51,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,"6. Nudibígélínyigélínyi na ɛmbɔ́g, nubígélínyigelinyi na niid, gúmén nulókonyi  ɛduá.",6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
53,7. Avoid gatherings. ,7. Nudɛbɛ́gɔ́sɛ́gánán giodó giod.,7. Eviter les rassemblements.
55,8. Restrict movement.,8. Nudianda giodó giod.,8. Limiter ses déplacements.
57,9. Keep informed and verify the source of information.,"9. Nugɛ́ndɛ́gan nsɔ́m bénuéŋené, nuond nubide niílín ná sɛ́.",9. Se tenir informé et vérifier la source de ses informations.
58,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,"Buand buófonó mfig mágɔdɔ́mbɛ́n.   Manda médíyenyé ká mɔnd nyɛ na mfig mánɛ́ganɛg ɔgɔwɔ, búguófon ká : - Ɔ́lɔ́bɛn ɔgɔwɔ. - Ɔdibígɔ́dɔ́n bɔsɔ́gɔ́. - Abɛ́lɛ́gɛn inɔmbɔ  1510, ebídenyi  ká mɔnd ugódonyinyó guɔyɔn buanda buófonó gual. Inɔmbɔ símodió esie anyá bágúbɛ́lɛ́gɛn :",Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
60,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Buanyɛ bágual ká búgódinyi KOFÍD-19 mabása búdiánɛ́g, ta anány, bagɔn bá gɛdɔŋ mányá gúbiámba.  Sig mɔnd a gúbianan ká úlɛ́ns gubígɔ́l, wála manda mófonó guala, ubínɔ́na, wond ununa bɔsɔ́gɔ́ bányá agá masiá mág.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
65,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed",,"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
67,,,"Manda má KOLÓNA FILÍS gúmén KOFÍD 19 mófonó gɔlɛns © CABTAL, 2020"
68,"Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19    Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19                           SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  ","Manda má KOLÓNA FILÍS gúmén KOFÍD 19 mófonó gɔlɛns  Giɔ́b gá Kemelún gá Gúdúmbenyi gugál gá Gɔdányá na Gufúnyifunyi megélídié  Manda má KOLÓNA FILÍS gúmén KOFÍD 19 mófonó gɔlɛns              MANDA MÁNYÁ AGÁ MBƆBƆNƆ - Kolónafilís - Band bá kand magɛ́nda - Bulinsi bá gunúma - Nanyá Kolónafilís nyá bágɔ́dɔ́mbɛ́n mɔnd - Nanyá buófonó gubɛ́nɔ́na ? - Giág buófonó gual, gunúma mágɔdɔ́mbɛ́n ?     p.2 p.3 p.4 p.5 p.6 p.8   Kolónafílis bábɛ́laná sɔ́n ká KOFÍD-19, nyɛ gɛŋɛ́lɛŋɔ́siɔ gá mfig. Bómodógí yɛ́ gɛsɛgɛl góbusió agá gɛdɔŋ bábɛ́laná ká Sín, buɔ́s bá 31 bá bilɔndɔ, yɔŋ 2019. Mfig iyány gúnúmanɛn anyɛ ginɔɔ́n, inyɛ bágual yɔɔ́n mɔnd ímámányɛ́ganɛná wɔ́. Inyɛ isálámándán agá bɛdɔŋ bá gus giod. Mɔnd mányɛ udɛlɛnsɛ niílín ná mfig iyány.   Band bá duɔŋ giod  Band bánúmaná agá ɔdɛm, gúmén bábɛ́dáŋɔ́naná Band bá kand magɛ́nda  Mfig iyány nyɛ báguadɛgɛn bilunu anyɛ bábayɔ. Inyɛ bágual ká gunúma gá band bá duɔŋ giod ánd gubiɔ́yɛ́kɛnɛn gɔdɔ́mb anány, ta ebe bánúmaná nsuá na nsua ɛgɔnɔ anyɛ (yeél, tiapɛ́t, ta ɛgɔnɔ sá ɔdɛm, atansióŋà).   - Gíluúl - Gɛdɔmbɔ  - Gɛgɔ́sɔ́n kand gɛkakɔ - Guɔ́bɔn gudá agá dulaŋa Manda médíyenyé ká mfig saman guadɛgɛn mɔnd Manda médíyenyé ká mfig ya Kolónafílis saman guadɛgɛn mɔnd  nyɛ buanda búmoom na má gɛnɔɔ́n, manda mád eme : gíluúl, gɛgɔ́sɔ́n kand gɛkakɔ, guɔ́bɔn gudá agá dulaŋa, gɛdɔmbɔ. Band bómodió guɔ́bɔn nuɔl nɔ́b gudá, mfún igíden, bɛkɔl madɛ́gá madɛ́ga ámaan agá mfún, ekelu ála gudá,  gɛfála guala. Band bómodió nyɛ bágúbianan mfig iyány,  ta buanda búmoom dibídíyé, bɔ́bɔ́ muat lɔb cém.  Band bɔ́gɔ́súnɔnɔ́ Nanyá Kolónafilís nyá bágɔ́dɔ́mbɛ́n mɔnd  Band bábiananá KOFÍD-19 bédúmbenyinyé bɔsɔ́gɔ́ mfig. Gɛsɛgɛl mɔnd unúmana mɔ́nugɔ́sɔ́n, ɔ́gɔ ká ugésén, wémi baan bá bité agá niid ɔ́gɔ ká agá mfún ; mɔnd mélúmid, umɛn bité ibiány, mfig ya Kolónafílis nyɛ bágúdɔ́mbɛ́n wɔ́. Mɔnd mébísíd buanda ubú bann bá bité ibiány ségubísíd, wond ubísíd eŋís yág, ta mfún yaga, ɔgɔ́ ká niid nága, mfig iyány sɔ́n nyɛ bágúdɔ́mbɛ́n wɔ́.     Nanyá anyá bágúbɛ́nɛ́na ? 1. Budiguófon gubísíden eŋis na munɔ́nɔ, ta mfún, ta niid.  2. Búguófon gubɛ́sɔ́ga ɛmbɔ́g na sɔ́bɔ na madɛ́ga obiódinonó agá ɛmbɔ́g, obífuónid ɛmbɔ́g na nábɛ́kɛn unyá begubeg.  3. Ɔgɔ́súnɔ ond egésénen agá ɔmbɛl wá ɔŋɔdigɔn wá ɔmbɔ́g.  4. Adinyánán mɔlɔ́k mádiábá manámban, edibísídén sɔ́n manyam mɔgɔ́s.     5. Búguófon gulɔbɔn gɛnambɛ mɛ́ta mómoom na mɔnd ugɔ́súnɔnɔ́ gúmén ugésénené.  6. Nudibígélínyigélínyi na ɛmbɔ́g, nubígélínyigelinyi na niid, gúmén nulókonyi  ɛduá.  7. Nudɛbɛ́gɔ́sɛ́gánán giodó giod.  8. Nudianda giodó giod.  9. Nugɛ́ndɛ́gan nsɔ́m bénuéŋené, nuond nubide niílín ná sɛ́. Buand buófonó mfig mágɔdɔ́mbɛ́n.   Manda médíyenyé ká mɔnd nyɛ na mfig mánɛ́ganɛg ɔgɔwɔ, búguófon ká : - Ɔ́lɔ́bɛn ɔgɔwɔ. - Ɔdibígɔ́dɔ́n bɔsɔ́gɔ́. - Abɛ́lɛ́gɛn inɔmbɔ  1510, ebídenyi  ká mɔnd ugódonyinyó guɔyɔn buanda buófonó gual. Inɔmbɔ símodió esie anyá bágúbɛ́lɛ́gɛn :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979   699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Buanyɛ bágual ká búgódinyi KOFÍD-19 mabása búdiánɛ́g, ta anány, bagɔn bá gɛdɔŋ mányá gúbiámba.  Sig mɔnd a gúbianan ká úlɛ́ns gubígɔ́l, wála manda mófonó guala, ubínɔ́na, wond ununa bɔsɔ́gɔ́ bányá agá masiá mág.   ","Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19  Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation  Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19 Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home   Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                                                     SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  Manda má KOLÓNA FILÍS gúmén KOFÍD 19 mófonó gɔlɛns © CABTAL, 2020"
