,fra,bfd,eng
32,,"Àjaŋnə Koronavirus dàŋnə̀ aà  KOVID-19 ghû a dàŋnə̀ ŋ̀lo aa a nu ŋù yìi à tswe nɨ nu aa ŋ̀ghɛɛ nɨ anu ŋù yî mɔʼɔ̀. Ŋù nɨ̀tghɔ̀ɔ̀ wa à bə kwɛꞋɛ kə jiinə, boŋ a ŋ̀kwɛ̀ʼɛ̀  ya ka fɛ̀ʼɛ̀  a ntsù kə mɨ lwi bo. Bɛɛ mə ŋu a koontə ɨjiʼikə̀ jya, boŋ m̀bə nɨghɔ̀ɔ̀ nya kuu a nu bo. M̀bə ŋù u mɔɔntə a yoo yii nɨ̀ghɔ̀ɔ̀ nya tswe mə ghu ŋ̀kɨ mbu mɔ̀ɔ̀ntə miʼi mi kə mɨlwî mi kə ntsù yi boŋ mbə a biʼì nɨ̀ghɔ̀ɔ̀ nyâ. ","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,,Àjaŋ yìi mbə ò bɛ m̀bɨ̀ɨ̀ nû yu aà,How to protect yourself
38,,1.     Tsii miʼi mɨ̀lwi nɨ ntsù gho kɨ mɔ̀ɔ̀ntə̀. ,"1. Avoid touching eyes, nose, mouth."
40,,2.      Ka ŋwàŋsə sìʼì nɨ mbo mo nɨ nɨ̀kè bo bɨ ŋ̀ki yìi mə ɨ tsyà. ,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,,3.     Ka ŋkwɛ̀ʼɛ a ghàʼàtə ghò. ,3. Cough and sneeze into the crook of your arm. 
44,,4. Tsùù m̀bà yî mbɨ̀ʼɨ kɨ kurə kə kɨ mɔ̀ɔ̀ntə̀ nɨ nàà.,4. Avoid eating raw meat and touching live animals.
49,,5.     Lǒ tə̀ ambɛ̀ɛ ŋù yìi a kwɛʼɛ kə̀ jiʼinə aa tsǒ metà yǐ mfùùrə̀. ,5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51,,6.     Tsùù bə̂ nɨ mbo ki tsàʼàtə̀. Ka tsàʼàtə bə̂ nɨ ntsù kə̀ à tu yô. ,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53,,7.     Tsii a dɨgə yiì bə̀ tswe ghu ŋghaʼatə aa kɨ ghɛ̀ɛ̀.,7. Avoid gatherings. 
55,,8.     Tsii kɨ təəntə. ,8. Restrict movement.
57,,9.     Ka ŋyuʼutə mɨ̂ŋkɨ̀ɨ̀ la ŋ̀tsɛsə a dɨgə yii ŋkɨ̀ɨ̀ wa lò ghu aà.,9. Keep informed and verify the source of information.
58,,Ànnù yi ghɨrə̀ a noò yìi nɨ̀ghɔ̀ɔ̀ nû tswa mə ghô  Ànnù yi ̂ ghɨ̀rə a noò yiì ò bèʼe nɨ ghɔ̀ɔ̀ nya aà. Lìnsə mə ò bèʼè mə nɨghɔ̀ɔ̀ nya : -          Tsùù a gho atɨtɨɨ̀ bə̀ kɨ tswe. -          Ka ntswe tsiʼi ǹda nda -          Twoŋnə 1510 ŋ̀ghɨrə annù yii dɔktà aa kɛ̀ʼɛ̀ nə a mbo gho aà. Nɨ̀ kɨ ŋtwoŋə ndə̀ŋ ju aà :,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,,Kàa bɨ burətə̀ àfù nɨghɔ̀ɔ̀ nu yə̂ la bɨ̀ dɔktà burə kɨ lɔ̀ɔ̀ afù yǐ sɨ̀gə̀nə̀ a ŋ̀ghurə nɨ̀ghɔ̀ɔ̀ nû ghu. Ŋù nt sɨ̀m ta yə mə yu ghɨrə ànnù yii akuʼu nə aa a mbɛ mbɨ̀ɨ̀ nu yi bo bɨ bə̀ bìi bɨ tswe a mbɛɛ yu aà.,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,,,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,,"ÀNNÙ A ǸZI ǸLOŊƏ KORONA VIRUS KƏ̀ KOVID-19  © CABTAL, 2020 "
68,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ,"ÀNNÙ A ǸZI ǸLOŊƏ KORONA VIRUS KƏ̀ KOVID-19  Cameroon Association for Bible Translation and Literacy  ÀNNÙ A ǸZI ǸLOŊƏ KORONA VIRUS KƏ̀ KOVID-19                         A NLWÌʼISƏ  - Koronavirus - Bə̀ bìi nɨ̀ghɔɔ̀ nû wàŋsə̀ ǹtwa nɨ waa aà - Ɨ̀lìŋsə̀ - Àjaŋnə nɨ̀ghɔ̀ɔ̀ nu dàŋnə̀ aa - Àjaŋ yìi mbə ò bɛ m̀bɨ̀ɨ̀ nû yu aà - Ànnù yi ghɨrə̀ a noò yìi nɨ̀ghɔ̀ɔ̀ nû tswa mə ghô     p.2 p.3 p.4 p.5 p.6  p.8  Koronavirus  Koronavirus, mə bɨ kɨɨ twoŋə nɨ KOVID-19, àa nɨ̀ghɔ̀ɔ̀ ni feè. Ni lɛ mfùù m̀fɛ̀ʼɛ̀ a China a nɨ NJwi mùghûm mitarə̀ ntsù mɔʼɔ̀ a nɨ saŋ kɨrɨsə̀ 2019. ƗꞋ lɨŋsə bə̀ aa tsò ɨjɔ̀ʼɔ̀. Ǹzi nɨ nɨ̀wô Nɨ jàʼarə mə ǹghɛɛ nɨ ntoò toò fàa m̀bî. Kàa à dɨ̀gə̀ yii nɨ̀ghɔ̀ɔ̀ nû ǹlo ghu aà bɨ burə̀ tɨ zî.   Bɨ̀lɨɨ̀  Nɨ̀ghɔ̀ɔ̀ nɨ ǹtɨɨ̀ Bə̀ bìi nɨ̀ghɔɔ̀ nû wàŋsə̀ ǹtwa nɨ waa aà   Bə̀ bɨtsɨ̀m m̀bə bɨ bìʼì nɨ̀ghɔ̀ɔ̀ nî fee ma nû. Bɨ̀ lɨɨ boʼo bə̀  bìi bɨ fuù ǹtswe nɨ mɨ̀ghɔ̀ɔ̀ mìi bɨ sɨ tsuʼu aa tsǒ (àkwɛʼɛ àzwìtə̀, nɨ̀ghɔ̀ɔ̀ nɨ suga, nɨ̀ghɔ̀ɔ̀ nɨ ǹtɨɨ̀, al̀ləə yi kɔ̀ʼɔ̀) ɨ̀jaŋ bə ma jû nɨ̀ghɔ̀ɔ̀ nû wàŋsə̀ ǹtswa nɨ waa aa ŋ̀tɨɨ, ŋ̀tɛɛ ǹzwitə.    -Fibà -Nɨ̀kaà  -Àkwɛʼɛ yî yoorə̂ -Mɨ̀ŋgɨrə̀nɨ̀ mi yàŋnə̀ Ɨ̀lìŋsə̀  Ɨ̀liŋsə koronavirus ju kɨ bə̀ aa tsǒ jɨ ǹjɔ̀ʼɔ̀. Fibà, à kwɛʼɛ yì yoorə, mɨ̀kɨ̀rɨ̀nə̀ mi yaŋnə̀ nɨ̀kaà, bə̀ bi mɔ̀ʼɔ yuʼù nɨ nyàŋə̂ ɨ̀jɔ̀ʼɔ̀ sɨgɨ̀nə̀ nɨ mɨlwî. Ntɔ̀ŋ yaŋə̀ a mî nɨ mɨ̀tswɛ kɨkaŋə a toonsə̀. Kàa bə bimɔʼɔ tswe nɨ nu tɨ yuʼu ni nyaŋe, bə bi ghàʼàntə̀ tɨ̀ɨ̀ tɨ kwɛtə.  Ŋu yiì a kwɛʼɛ Àjaŋnə Koronavirus dàŋnə̀ aà  KOVID-19 ghû a dàŋnə̀ ŋ̀lo aa a nu ŋù yìi à tswe nɨ nu aa ŋ̀ghɛɛ nɨ anu ŋù yî mɔʼɔ̀. Ŋù nɨ̀tghɔ̀ɔ̀ wa à bə kwɛꞋɛ kə jiinə, boŋ a ŋ̀kwɛ̀ʼɛ̀  ya ka fɛ̀ʼɛ̀  a ntsù kə mɨ lwi bo. Bɛɛ mə ŋu a koontə ɨjiʼikə̀ jya, boŋ m̀bə nɨghɔ̀ɔ̀ nya kuu a nu bo. M̀bə ŋù u mɔɔntə a yoo yii nɨ̀ghɔ̀ɔ̀ nya tswe mə ghu ŋ̀kɨ mbu mɔ̀ɔ̀ntə miʼi mi kə mɨlwî mi kə ntsù yi boŋ mbə a biʼì nɨ̀ghɔ̀ɔ̀ nyâ.      Àjaŋ yìi mbə ò bɛ m̀bɨ̀ɨ̀ nû yu aà 1.     Tsii miʼi mɨ̀lwi nɨ ntsù gho kɨ mɔ̀ɔ̀ntə̀.   2.      Ka ŋwàŋsə sìʼì nɨ mbo mo nɨ nɨ̀kè bo bɨ ŋ̀ki yìi mə ɨ tsyà.   3.     Ka ŋkwɛ̀ʼɛ a ghàʼàtə ghò.   4. Tsùù m̀bà yî mbɨ̀ʼɨ kɨ kurə kə kɨ mɔ̀ɔ̀ntə̀ nɨ nàà.     5.     Lǒ tə̀ ambɛ̀ɛ ŋù yìi a kwɛʼɛ kə̀ jiʼinə aa tsǒ metà yǐ mfùùrə̀.   6.     Tsùù bə̂ nɨ mbo ki tsàʼàtə̀. Ka tsàʼàtə bə̂ nɨ ntsù kə̀ à tu yô.   7.     Tsii a dɨgə yiì bə̀ tswe ghu ŋghaʼatə aa kɨ ghɛ̀ɛ̀.  8.     Tsii kɨ təəntə.   9.     Ka ŋyuʼutə mɨ̂ŋkɨ̀ɨ̀ la ŋ̀tsɛsə a dɨgə yii ŋkɨ̀ɨ̀ wa lò ghu aà. Ànnù yi ghɨrə̀ a noò yìi nɨ̀ghɔ̀ɔ̀ nû tswa mə ghô  Ànnù yi ̂ ghɨ̀rə a noò yiì ò bèʼe nɨ ghɔ̀ɔ̀ nya aà. Lìnsə mə ò bèʼè mə nɨghɔ̀ɔ̀ nya : -          Tsùù a gho atɨtɨɨ̀ bə̀ kɨ tswe. -          Ka ntswe tsiʼi ǹda nda -          Twoŋnə 1510 ŋ̀ghɨrə annù yii dɔktà aa kɛ̀ʼɛ̀ nə a mbo gho aà. Nɨ̀ kɨ ŋtwoŋə ndə̀ŋ ju aà :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Kàa bɨ burətə̀ àfù nɨghɔ̀ɔ̀ nu yə̂ la bɨ̀ dɔktà burə kɨ lɔ̀ɔ̀ afù yǐ sɨ̀gə̀nə̀ a ŋ̀ghurə nɨ̀ghɔ̀ɔ̀ nû ghu. Ŋù nt sɨ̀m ta yə mə yu ghɨrə ànnù yii akuʼu nə aa a mbɛ mbɨ̀ɨ̀ nu yi bo bɨ bə̀ bìi bɨ tswe a mbɛɛ yu aà.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P. O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  ÀNNÙ A ǸZI ǸLOŊƏ KORONA VIRUS KƏ̀ KOVID-19  © CABTAL, 2020 "
