lts,abs,eng,ind
,Pake handok satu-satu. ,,
,"Jang makang dari satu piring yang sama, deng jang pake satu alat makang, galas, ka handok sama-sama.  ",,
,Ale seng bisa sonto ale pung muka pake ale pung siku sandiri. Coba sa. ,,
, Salalu usaha par buka ka tutu pintu pake siku ka bahu. ,,
,RUMA,,
,Abis pulang ka ruma ,,
,Pas mau makang ,,
,Salalu cuci ale pung tangang deng sabong ,,
,"Laste, ",,
,Sabong,,
,Jaga ale pung kesehatan!,,
,Baca artikel-artikel di atas par tau cara-cara yang laeng biar seng kana virus!,,
,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
,Referensi paleng penting par informasi medis: ,,
,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
,,Diterjemahkan dalam Bahasa Melayu Ambon Steve Sahuleka ,
,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
,,"Created by Weiman Kow, instagram: weimankow",
Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,"Soal Virus Korona    Cuma SATU hal yang ale parlu mangarti soal bagemana virus Corona  BAJANGKE Mulu   Idong  Mata  Maso ka dalang   Orang yang seng saki  Orang saki  Virus bajangke kalo aer mulu ni tampias  Jaga jarak.  Ale bisa aman dari aer mulu yang tampias tu deng cara jaga jarak 2m.  1 2m-0,5m Haciiinggg!!! Jadi, waktu ale lia orang babatu/barsing/saki, ale bisa:  KASI MASKER PAR DONG. Jadi, dong bisa barsing ka babatu dalang dong pung masker biar orang-orang di pinggir-pinggir seng kana virus. 2 Dangke “Sroot”  KA,  Mangkali dia seng saki. Dia cuma jaga dia pung diri sandiri.  Orang yang su kana penyaki mangkali seng kasi unju tanda-tanda, mar penyaki yang ada di dia tu tetap bisa bajangke par orang laeng.  Labe bai, jang dekat-dekat deng orang banya, tagal ale seng tau kata sapa sa yang ada saki.   Alat-alat makang Orang yang seng saki  Tampa bapegang di kareta  Tombol lift  Tisu  Galas  HP ka laptop  Mala di masker pung bagiang luar Tangang tangga  Mouse komputer  Pena   Gagang pintu  Dong pung tangang  Biar kata bagitu, orang saki pung aer mulu bisa tatempel di... ale dong samua bisa saki. Ka sonto orang-orang yang ale sayang pung muka,  Kuca mata,  Kalo ale seng sangaja sonto barang-barang tadi tu la abis itu ale sonto ale pung muka sandiri,  Cuma ada satu cara yang paleng bagus par kasi ilang virus tu: cuci barang tadi deng sabong, baiklin, ka alkohol.  Virus bisa hidop sampe 24 jam di satu barang.  Sabong  cara-cara ni biar ale seng kana virus. Tagal itu, labe bai iko  Cuci deng sabong sampe di sini. Sabong  Siku  Jang sonto ale pung muka. (Ka sapa sa pung muka.) Kalo memang musti, cuci ale dong pung tangang sampe barsi do deng sabong. Sama deng manyanyi lagu “Happy Birthday” dua kali.  Bawa kuku.  20 detik.  Salekang-salekang jari.  Cuci balakang tangang.  Bagemana cara cuci tangang sampe barsi?  Kalo memang musti sonto, jang pikirang. Capat cuci tangang deng sabong. Jang sonto bagiang luar masker.   Aer mulu yang tampias.  Bakteri bisa tamba banya di bagiang dalang masker kalo ale pake akang talalu lama.  Buang ale pung masker kalo su kotor. Jang pake masker labe dari satu hari.  Pake sendo sayor  Ana  Papa  Mama  Pake handok satu-satu.  Jang makang dari satu piring yang sama, deng jang pake satu alat makang, galas, ka handok sama-sama.   Ale seng bisa sonto ale pung muka pake ale pung siku sandiri. Coba sa.   Salalu usaha par buka ka tutu pintu pake siku ka bahu.  RUMA Abis pulang ka ruma  Pas mau makang  Salalu cuci ale pung tangang deng sabong  Laste,  Sabong Jaga ale pung kesehatan! Jaga ale pung kesehatan! Sabong Baca artikel-artikel di atas par tau cara-cara yang laeng biar seng kana virus! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020) ""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020) Referensi paleng penting par informasi medis:  Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com Soal Virus Korona        ","About Coronavirus                                                                                      About Coronavirus  Diterjemahkan dalam Bahasa Melayu Ambon Steve Sahuleka  Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org Created by Weiman Kow, instagram: weimankow    ",Tentang Virus Corona                                                                                      Tentang Virus Corona        
