eng,xmd,fra
4. Avoid eating raw meat and touching live animals.,4. Hi mba i ɓam zli sə ndeɓek iyi səku. Hi mba i ges a məsəkəŋ mandaham tə abə nje iyi səku.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5. Hi nja walaŋ zaɗ abə hedi mə jənjah wula liŋ abə hedi mə ɗal gwele. ,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,"6. Hi mba i ɗal mbele ndəra abə ndəra səku, ama hi ɗal mbele seh abə nje dap liŋ abə ley huɓəl talaŋ.",6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
7. Avoid gatherings. ,7. Hi yak i kwas talaŋ.,7. Eviter les rassemblements.
8. Restrict movement.,8. Hi yak pik iyi.,8. Limiter ses déplacements.
9. Keep informed and verify the source of information.,"9. Hi zlim Labara lawlaw, ama hi səŋ ndewereŋ tə Labara iyi ta lawlaw.",9. Se tenir informé et vérifier la source de ses informations.
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,"Hwa nda I ɗal əŋgah məc ta kəməlah za seh viŋgey? Əŋgah məsəkəŋ mə giz məc iyi ta, a kəgizehe a wucum təheni seh : - Hi mba I ges abə hedi dakayta iyi səku. - Hi nja a ge a ge. - Hi ɗaf ma əŋ lamba wa 1510 liŋ hi ziber yawa tə hedi mə vəl mənjivek iyi. Lamba par iyi ley ɗaf ma baha:",Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Mənjawa, i kəlim  mənjivek kwa ntaɗ ley mbəl hedi əŋ məc tə KWAVID-19 ta seh halla, ama hedi səndawl tə əŋ hayak iyi i kətəl ley pələk, i limehe mənjivek ley ja məc ta. Kwa viyi mə sla wucum a talaŋ ŋga, mə ɗiy nja ŋga lawlaw ley tak talaŋ ŋga a məc liŋ ley tak hedi tə kelek təkwa iyi a məc ta.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Pəl tə ma mə day fagay iyi    Asthme : Ar məc mə tak nəp, mə nja mbeh səku. Consignes : Ar kataf ley ziber, ŋgəz. Diabète : Ar məc tə sukar tə day əŋ wucum. Écoulement nasal : Ŋcur kəhiyaha. Etre contaminé : Hedi, məc kəməlza za. Grippe : Ar damar. Hypertension : Ar məmbəz mə gwaɗ tə day əŋ wucum, a kəhiy abə fagay. Infecté : Ar məc kəməl hedi za. Infection : Ar məc mə zəv. Patient : Hedi mə dal. Symptômes : məsəkəŋ mə giz məc iyi ta. Traitement : Menjivek ley ja məc iyi ta. Virus : Guŋkuɗ tə məc. Vulnérable : Məsəkəŋ mə dayaŋ fagay ley məl halla. ","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
,,"Məsəkəŋ heni mə nda i səŋ tə a talaŋ KWARAWNAVIRUS, aka səku, KWAVID-19 © CABTAL, 2020"
"What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                           SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  ","Məsəkəŋ heni mə nda i səŋtə a talaŋ KWARAWNAVIRUS, Aka səku, KWAVID-19  Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation  Məsəkəŋ heni mə nda i səŋtə a talaŋ KWARAWNAVIRUS, Aka səku, KWAVID-19                       TALAŊ TƏ MA IYI - Kwarawnavirus  - Hedi iyi fuk, məc ta a gula i məlta - Məsəkəŋ mə giz məc iyi ta - Zəv tə məc kwarawnavirus - Ley tak məc ta seh viŋgey? - Əŋgah məc ta kəməlah za seh, hwa nda i ɗal seh viŋgey? - Pəl tə ma mə day fagay iyi     p.2 p.3 p.4 p.5 p.6  p.8 p.9 Kwarawnavirus  Kwarawnavirus, baha, i kəɗafaŋ ma KWAVID-19, ar guŋkuɗ tə məc lawayaŋ. A mar ley təɗaha seh əŋ hayak tə Sinewa iyi əŋ waŋ 31 tə ntəra tə mənfaɗ tə va 2019. A kətəɗaha əŋ wucum mənaŋ damar (kərcah) a gula i ja hedi, əŋgah məc ta kəɗal za tə day day. Məc ta, kəwuweɗ əŋ məŋhayak fuk. I kəsəŋ mar tə məc ta səku ndagwa.   Hedi tə abə va  Hedi mə zləŋ takwaŋ tə abə  məc Hedi iyi fuk məc ta a məlta za  Hedi səndawl abə mekedek iyi fuk, məc tə guŋkuɗ lawayaŋ ta wa, a məl ta za. Hedi tə abə va iyi liŋ hedi mə nja tə abə məc iyi, mar zlezle (mənaŋ məc mə tak nəp, məc tə sukar tə day əŋ wucum, məc mə dəzl nəf, məc tə məmbəz mə hiy təday əŋ wucum) hedi tə abə məc ta wa əŋ wucum, i dal za madawar madawar məŋgəvday a guŋkuɗ ta wa.   -Wucum kahaw kwak -Təɓəl  -Jənjah wula  hwal muŋgurlum -Dəm tə zli tə wucum iyi Məsəkəŋ mə giz məc iyi  Məsəkəŋ mə giz məc tə KWARAWNAVIRUS seh, mənaŋ məc tə damar: wucum kahaw kwak, jənjah wula hwal muŋgurlum, dəm tə zli tə wucum, təɓəl. Hedi mə dal dakayta iyi i kəzlim dəm, tə ŋcur mə hwal, tə ŋcur mə hiyaha, tə muŋgurlum, aka səku, ŋva la. Hedi dakayta iyi, məc ta kəməlta za lawlaw, ama məc ta kətəɗaha kwa məsəkəŋ mə giz məc ta halla, i mə nji lawlaw. Hedi iyi mbeh səku i kəmbəl, kwa i kəɓət mənjivek halla.  Hedi mə jənjah wula Zəv tə KWARAWNAVIRUS  KWAVID-19 a zəv seh, kar hedi tə abə guŋkuɗ tə KWARAWNAVIRUS. Əŋgah hedi tə abə məc ta, a kəjənjah wula, aka səku, a kəɗal gwele, a kəpir mesleɓ kar pakwam, aka səku, kar ŋcur. Əŋgah mesleɓ ta kətəɗ za əŋ dəməs hedi, mbamba seh, məc ta a zəvaŋ za. Əŋgah hedi kəges za abə məsəkəŋ tə abə mesleɓ tə hedi tə abə məc tə KWARAWNAVIRUS tə a ɗek, abə dawaŋ ta, a ɗef ndəra əŋ nje, əŋ ŋcur, əŋ pakwam, məc ta, a zəvaŋ za.     Ley tak məc ta seh viŋgey ? 1. Heni mba i ɗef ndəra əŋ nje, əŋ ŋcur, əŋ pakwam səku.   2. Hi baŋ ndəra abə yim liŋ abə sapuna (savaŋw).   3. Hi jənjah wula abə ley ɗal gwele əŋ zəv tə madakw ndəra.   4. Hi mba i ɓam zli sə ndeɓek iyi səku. Hi mba i ges a məsəkəŋ mandaham tə abə nje iyi səku.     5. Hi nja walaŋ zaɗ abə hedi mə jənjah wula liŋ abə hedi mə ɗal gwele.   6. Hi mba i ɗal mbele ndəra abə ndəra səku, ama hi ɗal mbele seh abə nje dap liŋ abə ley huɓəl talaŋ.  7. Hi yak i kwas talaŋ.  8. Hi yak pik iyi.  9. Hi zlim Labara lawlaw, ama hi səŋ ndewereŋ tə Labara iyi ta lawlaw. Hwa nda I ɗal əŋgah məc ta kəməlah za seh viŋgey? Əŋgah məsəkəŋ mə giz məc iyi ta, a kəgizehe a wucum təheni seh : - Hi mba I ges abə hedi dakayta iyi səku. - Hi nja a ge a ge. - Hi ɗaf ma əŋ lamba wa 1510 liŋ hi ziber yawa tə hedi mə vəl mənjivek iyi. Lamba par iyi ley ɗaf ma baha:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979   699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Mənjawa, i kəlim  mənjivek kwa ntaɗ ley mbəl hedi əŋ məc tə KWAVID-19 ta seh halla, ama hedi səndawl tə əŋ hayak iyi i kətəl ley pələk, i limehe mənjivek ley ja məc ta. Kwa viyi mə sla wucum a talaŋ ŋga, mə ɗiy nja ŋga lawlaw ley tak talaŋ ŋga a məc liŋ ley tak hedi tə kelek təkwa iyi a məc ta. Pəl tə ma mə day fagay iyi    Asthme : Ar məc mə tak nəp, mə nja mbeh səku. Consignes : Ar kataf ley ziber, ŋgəz. Diabète : Ar məc tə sukar tə day əŋ wucum. Écoulement nasal : Ŋcur kəhiyaha. Etre contaminé : Hedi, məc kəməlza za. Grippe : Ar damar. Hypertension : Ar məmbəz mə gwaɗ tə day əŋ wucum, a kəhiy abə fagay. Infecté : Ar məc kəməl hedi za. Infection : Ar məc mə zəv. Patient : Hedi mə dal. Symptômes : məsəkəŋ mə giz məc iyi ta. Traitement : Menjivek ley ja məc iyi ta. Virus : Guŋkuɗ tə məc. Vulnérable : Məsəkəŋ mə dayaŋ fagay ley məl halla.   ","  Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation   Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home   Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                                                     SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  Məsəkəŋ heni mə nda i səŋ tə a talaŋ KWARAWNAVIRUS, aka səku, KWAVID-19 © CABTAL, 2020"
