,eng,fub,fra
42,,3. Connde malla ɗisle nder newre soɓɓundu mon.,3. Tousser et éternuer dans le creux de son bras.
44,,"4. Taa nyaame kusel keccel, ta meeme boo dabbaaji geeti.",4. Eviter de manger de la viande crue et de toucher des animaux vivants.
49,,5. Ndaayotire baakin meetir gootel bee coondanɗo malla ɗislanɗo fuu. ,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
51,,6. Ndaaye hoofnindirgo juŋngo bee juŋngo. ,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
53,,7. Ndaaye mooɓorɗe mawɗe.,7. Eviter les rassemblements.
55,,8. Uste gaance mon.,8. Limiter ses déplacements.
57,,9. Tefe habaruuji dow ko ɗon saalo e linye iwde habaruuji ɗi’i.,9. Se tenir informé et vérifier la source de ses informations.
58,,Noy waɗugo to nyaw man naŋngi goɗɗo ?  To alaamaaji ɗi’i ɗon mbaŋga haa goɗɗo : - Taa kawte bee yimɓe woɗɓe. - Njooɗe haa saare. - Ewne haa lammba 1510  e tokke anndinolji ɗi mawɓe dokta’en anndinta on:  On mbaawan ewnugo boo haa lammbaaji ɗi’i:,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
60,,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,,"Haa wargo hannde, walaa lekki waawi nyawndugo Kovid-19 ammaa mawɓe lesdi ɗon kaɓda tefugo kurgun maajum. Sey koo moy laato kaliifaajo e sey o huuwtinira sarɗiiji booɗɗi ngam faddaago e faddugo taarde maako. ","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
65,,"Siifa kalimaaji caɗɗi   Cukku: nyawu poofɗe. Anndinolji: umrooje malla sarɗiiji. Nyawu sukar: Nyawu ngu’u ɗon waŋga goɗɗo to sukar ɗuuɗi nder ƴiiƴam goɗɗo. Kine ilan: Margo kine ilanɗe. Ndammba:  nyawu maa ko nanndi bee ndammba. Tansiyon: To semmbe ƴiiƴam ɓesdi nder ɓanndu bee laawol ngol haanaay. Nyawuɗo: Mo nyawu nanŋgi ɗum Nyawu: Ko torrata yimɓe, foti laato ndaaɓowou Nyawuɗo: Marɗo nyawu Alaamaaji: ko hollata nyawu. Kurgun: lekki, magaani. Ngilŋgu: ngilŋgu ngu yi’ataake, nyawu. ","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
67,,,"Sey on annda ɗu’um dow NGILŊGU KORONA malla  KOVID-19 © CABTAL, 2020"
68,What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                                                               ,"Sey on annda ɗu’um dow NGILŊGU KORONA malla  KOVID-19  Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation  Sey on annda ɗu’um dow NGILŊGU KORONA malla  KOVID-19            KO TAWETE DOW ƊEREYEL NGE’EL - Ngilŋgu Korona - Yimɓe ɓe nyawu ngu’u naŋngata bee koyɗum - Alaamaaji nyawu ngu’u - Bana noy ngilŋgu Korona raaɓirta yimɓe ? - Bana noy faddaago? - Noy waɗugo to nyaw man naŋngi goɗɗo ? - Sifa kalimaaji caɗɗi    p.2  p.3 p.4 p.5 p.6 p.8 p.9 Ngilŋgu Korona  Ngilŋgu Korona ewneteeŋgu boo Kovid-19, ɗum ngilŋgu kesu. Ɗum aarti waŋgugo haa lesdi Sin bee nyalaade 31 lewru Desember 2019. Ngu ɗon waŋga bee alaamaaji nannduɗi ɗi   ndammba, ɗum mbaran to ɗum tulliti. Ɗum ɗon tawe nder lesɗe ɗuuɗɗe  haa duniyaaru fuu. Iwde nyawu ngu’u anndaaka tawon.   Goɗɗo marɗo duuɓi ɗuuɗɗi  Goɗɗo marɗo nyawu ɓernde malla maatanɗo nyawu ngoɗŋgu Yimɓe ɓe nyawu ngu’u naŋngata bee koyɗum  Ngilŋgu ngu’u foti nasta haa yimɓe marɓe duuɗi koo ɗiye fuu. Ngu naŋngan bee koyɗum e ngu torran marɓe duuɓi ɗuuɗɗi e marɓe nyawuuji  masin (bana cukku, nyawu sukar, nyawuuji ɓernde, tansiyon).   -Yontere -Comri  -Ndammba caatuka -Naawral haa jokke Alaamaaji nyawu ngu’u  Alaamaaji nyawu ngilŋgu korona nanndi bee ɗi marɗo ndammba: yontere, ndammba caatuka, naawral haa jokke, comri. Nyawuɓe woɗɓe boo ɗon maata naawral, kine cukkan, kine ilan, daande naawan malla caarol. Yimɓe woɗɓe ɓe nyawu ngu’u naŋngi mbaŋgintaa koo alaama ngoota, ɓe ɗon maata ɓe yamɓe. Ɓurna yimɓe ɗon nyawndo kurgun kastaaɗum.  Goɗɗo mo ɗon sonnda Bana noy yimɓe ndaaɓirta nyawu ngilŋgu Korona?  Marɓe ngilŋgu KOVID-19 raaɓan woɗɓe. To nyawuɗo sonndi malla ɗisli, kuukon ɗon ngurto  gal kine malla gal hunnduko muuɗum. To goɗɗo foofi, kuukon kon nastan haa maako, nden foti nyaw man raaɓa mo. To goɗɗo meemi huunde nde kuukon kon ɗon dow maajum e to o meemi gite malla kine malla huunduko maako, foti nyaw man raaɓa mo.     Bana noy faddaago? 1. Taa meeme gite, kine malla huunduko mon.  2.  Loote juuɗe bee ndiyam laaɓɗam e bee saabulu. Nden ngooste juuɗe mon bee sarvet laaɗɓum.  3. Connde malla ɗisle nder newre soɓɓundu mon.  4. Taa nyaame kusel keccel, ta meeme boo dabbaaji geeti.     5. Ndaayotire baakin meetir gootel bee coondanɗo malla ɗislanɗo fuu.   6. Ndaaye hoofnindirgo juŋngo bee juŋngo.   7. Ndaaye mooɓorɗe mawɗe.  8. Uste gaance mon.  9. Tefe habaruuji dow ko ɗon saalo e linye iwde habaruuji ɗi’i. Noy waɗugo to nyaw man naŋngi goɗɗo ?  To alaamaaji ɗi’i ɗon mbaŋga haa goɗɗo : - Taa kawte bee yimɓe woɗɓe. - Njooɗe haa saare. - Ewne haa lammba 1510  e tokke anndinolji ɗi mawɓe dokta’en anndinta on:  On mbaawan ewnugo boo haa lammbaaji ɗi’i:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Haa wargo hannde, walaa lekki waawi nyawndugo Kovid-19 ammaa mawɓe lesdi ɗon kaɓda tefugo kurgun maajum. Sey koo moy laato kaliifaajo e sey o huuwtinira sarɗiiji booɗɗi ngam faddaago e faddugo taarde maako.  Siifa kalimaaji caɗɗi   Cukku: nyawu poofɗe. Anndinolji: umrooje malla sarɗiiji. Nyawu sukar: Nyawu ngu’u ɗon waŋga goɗɗo to sukar ɗuuɗi nder ƴiiƴam goɗɗo. Kine ilan: Margo kine ilanɗe. Ndammba:  nyawu maa ko nanndi bee ndammba. Tansiyon: To semmbe ƴiiƴam ɓesdi nder ɓanndu bee laawol ngol haanaay. Nyawuɗo: Mo nyawu nanŋgi ɗum Nyawu: Ko torrata yimɓe, foti laato ndaaɓowou Nyawuɗo: Marɗo nyawu Alaamaaji: ko hollata nyawu. Kurgun: lekki, magaani. Ngilŋgu: ngilŋgu ngu yi’ataake, nyawu.   ","Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19  Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation  Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19 Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home   Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                                                     SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  Sey on annda ɗu’um dow NGILŊGU KORONA malla  KOVID-19 © CABTAL, 2020"
