,spa,shn,eng
34,, မဝ့်သ် ,
35,, ၵမ်ၸိုမ်း ,
36,,     တီႈၵၼ်းၽၵ်းတူ ,
37,,  မိုဝ်းၶဝ် ,
38,,ဢမ်ႇၼၼ်ၵေႃႈ ၼမ့်လၢႆး ၵူၼ်းပဵၼ်ယေႃးၵႃႇ ၸၢင်ႈတိတ်း ဝႆ့သေတီႈတီႈ။ ,
39,,ၶဝ်တၢင်းသဵင်ႈ ၸၢင်ႈၸပ်းၵႂႃႇဢေႃႈ။,
40,,   တိူဝ့်မႅၼ်ႈၼႃႈၵေႃႉႁၵ့်ႁဝ်း ,
41,,  ထူမႅၼ်ႈၶိုၼ်း တႃႁဝ်း ,
42,,ပေႃးႁဝ်းလႆႈတိူဝ့်မႅၼ်ႈၸိူဝ့်ၼႆ့ သမ့်ၶိုၼ်း ဢဝ်မိုဝ်းႁဝ်း မႃးၸပ်းမႅၼ်ႈသူပ်းႁဝ်း ,
43,,ၼင်ႇႁိုဝ်တေၸၢင်ႈ ႁႄ့ၵင်ႈၽေးၼႆႉ လူဝ်ႇဢဝ်သပ်းပျႃႇသုၵ်ႈမိုဝ်း ( ဢမ်ႇၼၼ်) လူဝ်ႇၸႂ့်ၼမ့်လၢင့်မိုဝ်း ဢၼ်ပႃးၵေႃႇႁေႃး လုပ်ႈမိုဝ်း။,
44,,မႅင်းမဵဝ်းၼႆ့ ၸၢင်ႈလိပ်းယူႇ ၼိူဝ်ၶိူင်ႈၶူဝ်းၸိူဝ်းၼႆ့ ႁိုင်ပဵၼ်ႁူဝ်ၼႃႇလီႇၼမ်ၼႃႇ။   ,
45,, သပ်းပျႃႇ ,
46,,ၼႄးလၢႆး ႁႄ့ၵင်ႈ 5 ပိူင်။,
47,,ပေႃးႁဝ်းႁဵတ်းၸွမ်းၸိူဝ်းၼႆ့ တေလီၼႃႇ။ ,
48,, သုၵ်ႈထိုင်တီႈၼႆႈ ,
49,,    သပ်းပျႃႇ ,
50,,ငွၵ်းသွၵ်ႇ,
51,,ယႃႇပေ တိူဝ့်ၼႃႈ ႁဝ်းၶိုၼ်း(ဢမ်ႇၼၼ်)ယႃႇပေၵႂႃႇတိူဝ့်ၼႃႈပိူၼ်ႈ။ ပေႃးဢမ်ႇတိူဝ့်ဢမ်ႇလႆႈ လူဝ်ႇသုၵ်းမိုဝ်းသႆႇသပ်းပျႃႇလီလီ။ ,
52,,ႁိုင်မွၵ်ႈႁွင့်ၵႂၢမ်း ႁႅပ်းပီးပိူတ်းတေး သွင်ပွၵ်ႈ။,
53,,  သုၵ်ႈၵေႈၼဵပ့်မိုဝ်း ,
54,, 20 ၸႅၵ့်ၵၢၼ့် ,
55,,သုၵ်ႈၵေႈၼိဝ့်မိုဝ်း,
56,, သုၵ်ႈပႃးလင်မိုဝ်း,
57,,သုၵ်ႈ ၸွတ်ႇၸွတ်ႇ သုၵ်ႈမူတ်းမူတ်း ၼႆ့ ၸိူင့်ႁိုဝ် ,
58,,ပေႃးလႆႈတိူဝ့်မႅၼ်ႈယဝ့်ၵေႃႈ ယႃႇပေမႆႈၸႂ်။လူဝ်ႇသုၵ်ႈမိုဝ်း သႆႇသပ်းပျႃႇလီလီ။ ,
59,,ယႃႇပေတိူဝ့် တၢင်းၼွၵ်ႈ ၽႃႈႁႄႉသူပ်း။,
60,,ၼမ့်ပဵၼ်မိၵ်းပဵၼ်မွၵ်း,
61,,ပေႃးၸႂ့် ၽႃႇႁႄ့သူပ်း ႁိုင်ၼႃႇ မႅင်းၸၢင်ႈယူႇၼႂ်းၼၼ့် ယႂ်ႇၼႂ်းၼၼ့်။ ,
62,,ၽႃႈႁႄ့သူပ်း ဢၼ်ၼိုင်ႈၼႆ့ ယႃႇပေၸႂ့် ႁိုင်လိူဝ်ဝၼ်းၼိုင်ႈ။ ပေႃးမၼ်းယၢၼ်းယဝ့် လူဝ်ႇဝိုတ့်ပႅတ်ႈယဝ့်ၶႃႈ။ ,
63,,ၸႂ့်ၸွၼ့်တၵ်းၽၵ်း ,
64,,    လုၵ်ႈဢွၼ်ႇ ,
65,,  ပေႃႈ ,
66,,-   မႄႈ ,
67,,   ၸႂ့်ၽႃႈၸဵတ့်ၶွင်ၽႂ်ၶွင်မၼ်း။ ,
68,,ယႃႇပေၵိၼ်သၵ်ႈပိူၼ်ႈ၊ ယႃႇပေၸႂ့်ဝၼ်ႇၸွၼ့်ၸွမ်းၵၼ်၊ ယႃႇပေၸႂ့် ၽႅၼ်ႇၸဵတ့် ၸွမ်းၵၼ်။ ,
69,,ၵွပ်ႈပိူဝ်ႈဝႃႈ ငွၵ်းသွၵ်ႇၼႆ့ ဢမ်ႇၸၢင်ႈတိူဝ့်ၼႃႈႁဝ်း။,
70,,ပေႃးတေပိုတ်ႇၽၵ်းတူ ဢဝ်ႁူဝ်ဝႃႇ၊ ဢဝ်ငွၵ်းသွၵ်ႇ ဢီးလႄႈပိုတ်ႇ၊ ယႃႇပေဢဝ်မိုဝ်းပိုတ်ႇ။ ,
71,,  တီႈႁိူၼ်း ,
72,,ပေႃးလုၵ့်တၢင်းၼွၵ်ႈပွၵ်ႈမႃး,
73,,     မိူဝ်ႈပၢႆႇၵိၼ်တၢင်းၵိၼ် ,
74,,   မိူဝ်ႈသုၵ်ႈမိုဝ်းၼၼ့် သႆႇသပ်းပျႃႇၵူႈပွၵ်ႈ။  ,
75,, လိုၼ်းသုတ်း ,
76,,သပ်းပျႃႇ,
77,,ယူႇသၢဝ်း ႁႂ်ႈၵူႈၵေႃ့လွတ်ႈၽေး။ ,
89,,,About coronavirus
90,,,"Created by Weiman Kow, instagram: weimankow"
95,Sobre el Coronavirus                                                                                      Sobre el Coronavirus        ,လွင်ႈမႅင်း ယေႃးၵႃႇ ၵူဝ်ႇရူဝ်ႇၼႃႇ      မႅင်းယေႃးၵႃႇ ၵူဝ်ႇဝိတ့် ၼႆ့  ပဵၼ်မႅင်းၸိူဝ့်ၼင်ႇႁိုဝ်?  မေႃၸပ်း မေႃၽႄႈၵႂႃႇၸိူင့်ႁိုဝ်?     သူပ်း      ႁူးလင်     တႃ  ၸၢင်ႈၶဝ်ႈၼႂ်းတူဝ်ႁဝ်းၶႃႈ ၸိူဝ့်ၼႆ။  ၵေႃႉဢၼ်ယူႇ လီယူႇ  ၵေႃႉဢၼ်မီး ယေႃးၵႃႇ   ပေႃးၼမ့်ပဵၼ်မိၵ်းၸိူဝ်းၼႆ့ တူၵ်းၵႂႃႇၸိူင်? မၼ်းၸၢင်ႈၽႄႈၵႂႃႇဢေႃႈ။  ပေႃးယူႇယၢၼ်ၵၼ် ႁူၵ်းပေႇၼႆ့ လႆႈဝၢင်းၸႂ်။ မႅင်း ဢမ်ႇၸၢင်ႈၸပ်း။  1 ႁူၵ်း ပေႇ   ႁတ်းၶျူဝ်း!   ၵွပ်ႈၼႆ ပေႃးမီးၵူၼ်း ပဵၼ်ဝပ်း၊ ၶီႈၸမ်ႈ၊ ၵူၼ်းၼၢဝ်ၸိူင် ႁဝ်းၶႃႈလူဝ်ႇ   ႁဵတ်းၸိူင့်ၼႆ။   ဢဝ် ၽႃႈႁႄ့သူပ်း ပၼ်ၶဝ် ပေႃးႁႄ့သူပ်းဝႆ့ၼႆ့ ပိၵ့်သမ့်မၼ်းဢႆသေၵေႃႈ ဢမ်ႇၸၢင်ႈၸပ်းၵူၼ်းႁိမ်းႁွမ်း။ 2 ၸူမ်းၶႃႈ ( ၵေႃႉၶီႈၸမ်ႈ)   ဢမ်ႇၼၼ်  မင်ၵေႃ့ ဢမ်ႇႁၼ်ၼဝ်ဢမ်ႇႁၼ်ပဵၼ်သင်။ မၼ်းဢမ်ႇၶႂ်ႈႁႂ်ႈပိူၼ်ႈႁူႉၵေႃႈ ပဵၼ်လႆႈယူႇ။  မင်ၵေႃ့ ၸပ်းယေႃးၵႃႇယဝ့် သေၵေႃႈဢမ်ႇၸၢင်ႈႁၼ် လၵ်ႈၶၼႃႇမၼ်းၵေႃႈ ၸၢင်ႈၶႄးမီး။ ပေႃးၸိူင့်ၼၼ် ၸၢင်ႈၸပ်းပိူၼ်ႈ  ၽႂ်မီးယေႃးၵႃႇ ၵွပ်ႈပိူဝ်ႈဢမ်ႇႁူႉလႆႈလႄႈ လူဝ်ႇဝႄႈတီႈ ၵူၼ်းၼမ်ၵူၼ်းၸုတုမ်ၵၼ်။     ထူႇ  ၵေႃ့ဢၼ်ယူႇလီ တီႈယိပ်းလူတ့်၊ၵႃး  တီႈပိုတ်ႇၽၢႆး  ၸေႈ တိတ့်သျူး        ၵွၵ်းၼမ့်   ၶိူင်ႈၸၢၵ်ႈ  တၢင်းၼွၵ်ႈ ၽႃႈႁႄ့သူပ်း  သိၵ်ႈ ၶိုၼ်ႈလၢႆ    မဝ့်သ်   ၵမ်ၸိုမ်း       တီႈၵၼ်းၽၵ်းတူ    မိုဝ်းၶဝ်  ဢမ်ႇၼၼ်ၵေႃႈ ၼမ့်လၢႆး ၵူၼ်းပဵၼ်ယေႃးၵႃႇ ၸၢင်ႈတိတ်း ဝႆ့သေတီႈတီႈ။  ၶဝ်တၢင်းသဵင်ႈ ၸၢင်ႈၸပ်းၵႂႃႇဢေႃႈ။    တိူဝ့်မႅၼ်ႈၼႃႈၵေႃႉႁၵ့်ႁဝ်း    ထူမႅၼ်ႈၶိုၼ်း တႃႁဝ်း  ပေႃးႁဝ်းလႆႈတိူဝ့်မႅၼ်ႈၸိူဝ့်ၼႆ့ သမ့်ၶိုၼ်း ဢဝ်မိုဝ်းႁဝ်း မႃးၸပ်းမႅၼ်ႈသူပ်းႁဝ်း  ၼင်ႇႁိုဝ်တေၸၢင်ႈ ႁႄ့ၵင်ႈၽေးၼႆႉ လူဝ်ႇဢဝ်သပ်းပျႃႇသုၵ်ႈမိုဝ်း ( ဢမ်ႇၼၼ်) လူဝ်ႇၸႂ့်ၼမ့်လၢင့်မိုဝ်း ဢၼ်ပႃးၵေႃႇႁေႃး လုပ်ႈမိုဝ်း။ မႅင်းမဵဝ်းၼႆ့ ၸၢင်ႈလိပ်းယူႇ ၼိူဝ်ၶိူင်ႈၶူဝ်းၸိူဝ်းၼႆ့ ႁိုင်ပဵၼ်ႁူဝ်ၼႃႇလီႇၼမ်ၼႃႇ။     သပ်းပျႃႇ  ၼႄးလၢႆး ႁႄ့ၵင်ႈ 5 ပိူင်။ ပေႃးႁဝ်းႁဵတ်းၸွမ်းၸိူဝ်းၼႆ့ တေလီၼႃႇ။   သုၵ်ႈထိုင်တီႈၼႆႈ      သပ်းပျႃႇ  ငွၵ်းသွၵ်ႇ ယႃႇပေ တိူဝ့်ၼႃႈ ႁဝ်းၶိုၼ်း(ဢမ်ႇၼၼ်)ယႃႇပေၵႂႃႇတိူဝ့်ၼႃႈပိူၼ်ႈ။ ပေႃးဢမ်ႇတိူဝ့်ဢမ်ႇလႆႈ လူဝ်ႇသုၵ်းမိုဝ်းသႆႇသပ်းပျႃႇလီလီ။  ႁိုင်မွၵ်ႈႁွင့်ၵႂၢမ်း ႁႅပ်းပီးပိူတ်းတေး သွင်ပွၵ်ႈ။   သုၵ်ႈၵေႈၼဵပ့်မိုဝ်း   20 ၸႅၵ့်ၵၢၼ့်  သုၵ်ႈၵေႈၼိဝ့်မိုဝ်း  သုၵ်ႈပႃးလင်မိုဝ်း သုၵ်ႈ ၸွတ်ႇၸွတ်ႇ သုၵ်ႈမူတ်းမူတ်း ၼႆ့ ၸိူင့်ႁိုဝ်  ပေႃးလႆႈတိူဝ့်မႅၼ်ႈယဝ့်ၵေႃႈ ယႃႇပေမႆႈၸႂ်။လူဝ်ႇသုၵ်ႈမိုဝ်း သႆႇသပ်းပျႃႇလီလီ။  ယႃႇပေတိူဝ့် တၢင်းၼွၵ်ႈ ၽႃႈႁႄႉသူပ်း။ ၼမ့်ပဵၼ်မိၵ်းပဵၼ်မွၵ်း ပေႃးၸႂ့် ၽႃႇႁႄ့သူပ်း ႁိုင်ၼႃႇ မႅင်းၸၢင်ႈယူႇၼႂ်းၼၼ့် ယႂ်ႇၼႂ်းၼၼ့်။  ၽႃႈႁႄ့သူပ်း ဢၼ်ၼိုင်ႈၼႆ့ ယႃႇပေၸႂ့် ႁိုင်လိူဝ်ဝၼ်းၼိုင်ႈ။ ပေႃးမၼ်းယၢၼ်းယဝ့် လူဝ်ႇဝိုတ့်ပႅတ်ႈယဝ့်ၶႃႈ။  ၸႂ့်ၸွၼ့်တၵ်းၽၵ်း      လုၵ်ႈဢွၼ်ႇ    ပေႃႈ  -   မႄႈ     ၸႂ့်ၽႃႈၸဵတ့်ၶွင်ၽႂ်ၶွင်မၼ်း။  ယႃႇပေၵိၼ်သၵ်ႈပိူၼ်ႈ၊ ယႃႇပေၸႂ့်ဝၼ်ႇၸွၼ့်ၸွမ်းၵၼ်၊ ယႃႇပေၸႂ့် ၽႅၼ်ႇၸဵတ့် ၸွမ်းၵၼ်။  ၵွပ်ႈပိူဝ်ႈဝႃႈ ငွၵ်းသွၵ်ႇၼႆ့ ဢမ်ႇၸၢင်ႈတိူဝ့်ၼႃႈႁဝ်း။ ပေႃးတေပိုတ်ႇၽၵ်းတူ ဢဝ်ႁူဝ်ဝႃႇ၊ ဢဝ်ငွၵ်းသွၵ်ႇ ဢီးလႄႈပိုတ်ႇ၊ ယႃႇပေဢဝ်မိုဝ်းပိုတ်ႇ။    တီႈႁိူၼ်း  ပေႃးလုၵ့်တၢင်းၼွၵ်ႈပွၵ်ႈမႃး      မိူဝ်ႈပၢႆႇၵိၼ်တၢင်းၵိၼ်     မိူဝ်ႈသုၵ်ႈမိုဝ်းၼၼ့် သႆႇသပ်းပျႃႇၵူႈပွၵ်ႈ။    လိုၼ်းသုတ်း  သပ်းပျႃႇ ယူႇသၢဝ်း ႁႂ်ႈၵူႈၵေႃ့လွတ်ႈၽေး။  ယူႇသၢဝ်း ႁႂ်ႈၵူႈၵေႃ့လွတ်ႈၽေး။  သပ်းပျႃႇ       လွင်ႈမႅင်း ယေႃးၵႃႇ ၵူဝ်ႇရူဝ်ႇၼႃႇ        ,"About Coronavirus                                                                                      About Coronavirus   About coronavirus Created by Weiman Kow, instagram: weimankow    "
