,ulm,eng
47,Akade neiq pengissangngi mating,
48,"Baseiqi, mappake tau sabung tandaq dinde.",
50,Sikkung,
51,"Da muroa pano rupammua.(Anna rupanna pano/lako rupa tau.) Muaq uqderangngia namala uqde nanipogauq, yaq nibasei kalemi tajeta ingga mapaccinna, annaq nisabunggi toi.",
52,Sitteng masaena muaq makkelong tau “Happy Birthday” pendeqdua.,
53,Kanikimmu,
54,Paling masaemi muaq 20 detik,
55,Allaqna pano kareme tajemu,
56,Basei ahona tajemu,
57,Umba noa cara mambasei taje annaq mala mapaccing sisiqda?,
58,"Muaq muroari palakang, dako tappa rabang. Aka deneiq tappa pano mi tau nibasei tajetaq anna nipakeang toi sabung.",
59,Da muroai ahona (Sulihanna) maskermu,
60,Merassiqi uhai elu,
61,Akaq inde piqdi mala menjari maiqdi illaing di masker muaq masae beka nipake.,
62,Tibei maskermu muaq sarupuqmi musaqding. Da mulewaqi sangallo mupake maskermu.,
63,Mappake seruq dokkaju tau,
64,Anaq,
65,Ambe,
66,Indo,
67,Handuqta toi kitaq nipake,
68,"Dako passolai ande, andeang, gallas/kaca, annaq handuq",
69,Akaq de mala naniroa rupatta muaq sikkung kalaetaq. Pogauqmi ...,
70,"Muaq malai, muaq mambokaqi tau baqba, atau nani oppoq, mala ari sikkutta atau paleppetta nipake.",
71,Sapo,
72,Wattuttaq messohong di sapo,
73,Uru naummandetaq,
74,Semat basei tajetaq mappake sabung...,
75,"Paccappuranna,",
77,Mala arattau sehaq asang!,
80,Mambaca tau artikel annaq cara-carana anna detau naroa piqdiq.,
81,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
82,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",
83,"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion (Jan 28, 2020)",
84,"Muaq mangitai tau kabar, yaq meringgimi tau aka naoa to maqjama di kesehatang:",
85,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja. Saat membagikan komik ini, ingat 3 hal berikut: 1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
88,,"Diterjemahkan ke dalam Bahasa Ulumanda' oleh Busra Basir Mr, S.Pd., M.Pd."
89,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org"
90,,"Created by Weiman Kow, instagram: weimankow"
95,"Penngissangngiqi naia nioaang Virus Corona    Mesade de neiq pepahangngi umba noa caranan virus corona mellele.   Sua Pudung Mata Mettama laling To magassing To masaki Indediq virus mellele moaq diang to tibarassi Dako sikadukku beka pano tau. Moaq meloq tau amang Annaq uqde tau naroa elunna pano sola muaq tibarassi, dako sikdukku beka pano, allaqi sudangmmeteq. 1 2m - 0,5m Haaachii!! Aka deneiq namu babe muaq mangita tau to seqdeng, to tibarassi: BENGNGI PANO MASKER. Jari mala kasiq tibarassi/Seqdeng laling di maskerna annaq malai mappasalamaq rupa tau. 2 Tarima kasih “SROOT” Mala tobande Uqde kapang masaski/mapiqdi indo tau. Napaparoa kalettuneiq kalaena annaq uqde naroa indeqe piqdiq. Akaq indo to naleleimi inde piqdiq, uqde leqbaq tiqi nadiang nita pano makkuallaq-allaq dibatang kalaena. Aka deneiq memmanya-manya tau akaq indo pano tonaleleimi inde piqdi, mala toi neiq mambahaang piqdi pano rupa tau.   Aka deneiq, dako pano di tomaroaq, akaq uqdemi muissang mennami inde pano pesalasaohongang mamanya kasiq masaki/mapiqdiq. Andeang To Magassing Pettuqgalanganna kereta Pepesseqna lif Palluqluq/ Tissu Kaca/gallas Pareba digital Annaq disulihanna masker Pettuqgalangan endeq Mos Polopeng Ahona baqba Tajena Moa umba noa, akaq mala toi elunna sola mendekkeq pano ... Namasaki/namapiqdiq nasakkoaq Anna rupanna pano rupa tau to musikadukkuang, Mupojoqi matammu Muaq uqde mutumbanga mangatti indo pano barang-barang, annaq muatti bumi rupammu kalaemu. Mesa kale deneiq mala nipogau annaq mala malai indeq pidiq, anna mala mate inde pambaha piqdi. akami indoqo, nibasei annaq nisabungngi, mala toi nipake indo pano anu mala mepamapute, annaq alkohol. Indediq piqdiq nakulle tuho pano dinahang sambengi sangallo (24 jam) pano diahona barang-barang. Sabung aka nipogauq annaq malai malai inde piqdiq. Akade neiq pengissangngi mating Baseiqi, mappake tau sabung tandaq dinde. Sabung Sikkung Da muroa pano rupammua.(Anna rupanna pano/lako rupa tau.) Muaq uqderangngia namala uqde nanipogauq, yaq nibasei kalemi tajeta ingga mapaccinna, annaq nisabunggi toi. Sitteng masaena muaq makkelong tau “Happy Birthday” pendeqdua. Kanikimmu Paling masaemi muaq 20 detik Allaqna pano kareme tajemu Basei ahona tajemu Umba noa cara mambasei taje annaq mala mapaccing sisiqda? Muaq muroari palakang, dako tappa rabang. Aka deneiq tappa pano mi tau nibasei tajetaq anna nipakeang toi sabung. Da muroai ahona (Sulihanna) maskermu Merassiqi uhai elu Akaq inde piqdi mala menjari maiqdi illaing di masker muaq masae beka nipake. Tibei maskermu muaq sarupuqmi musaqding. Da mulewaqi sangallo mupake maskermu. Mappake seruq dokkaju tau Anaq Ambe Indo Handuqta toi kitaq nipake Dako passolai ande, andeang, gallas/kaca, annaq handuq Akaq de mala naniroa rupatta muaq sikkung kalaetaq. Pogauqmi ... Muaq malai, muaq mambokaqi tau baqba, atau nani oppoq, mala ari sikkutta atau paleppetta nipake. Sapo Wattuttaq messohong di sapo Uru naummandetaq Semat basei tajetaq mappake sabung... Paccappuranna, Sabung Mala arattau sehaq asang! Mala arattau sehaq asang! Sabung Mambaca tau artikel annaq cara-carana anna detau naroa piqdiq. ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020) ""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion (Jan 28, 2020) Muaq mangitai tau kabar, yaq meringgimi tau aka naoa to maqjama di kesehatang: Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja. Saat membagikan komik ini, ingat 3 hal berikut: 1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com Penngissangngiqi naia nioaang Virus Corona        ","About Coronavirus                                                                                      About Coronavirus  Diterjemahkan ke dalam Bahasa Ulumanda' oleh Busra Basir Mr, S.Pd., M.Pd. Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org Created by Weiman Kow, instagram: weimankow    "
