,fra,bfm,eng
29,"Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.","Chwìəse  Chwìəsə Kolonavalòsè nyì kepi kə sə azɔ̀ʼsè, wiyn ekasəve, zɔ̀ʼ ə zoməke, wiyn ezafəve è pɔze. Ghɨə mɔ̀ʼɔghe nyiə vɨə ètɨm, èfɨəmtèkè, ezhwi ə sanəghe, tɔŋ ə pfɨŋve, è luʼ endwuəve. Ghɨə mɔ̀ʼɔghe kyi pi ndò zaf ətəynze piza chwìə sə təynse e paynə va. Tsɨ̀tsɨ̂ tɛ ndò mə ə paʼà zhi fu vîve.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,Personne qui tousse,Wuə vɛ ə è kyi zɔ̀ʼkè,Person with a cough
32,"Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.","Ndom tɛ ə kòlonavalòs tyaŋa ətəyn  Ghɨə ghɛ ə ghe tyâŋsə̀ kòlonavalos KOVIT 19 nyi ə ghɨ ghɛ ə kyi zə̂ynzè. Ə wùə èzafə kyəse kɨ̀sə è tsəm ndô, fɨ̀atə̀mè ə fɨə ə vəyn echo è kɨsè ə və ə zhwi. Ə wùə zhwìsè ə njìə ndzɨsə̂ m̀fɨatə̀ nə mɨ̂yn, è kaʼa è kyi kolonavalòs ətəyn. Ə wùə kòm fɨake ke kyi m̀fɨatə̀ nə mɨnə mə, ə kɛsə̂ komə̀ echo əvəynze kɨ̀sə mbuzhwi, kɨ̀sə eshi, è kàʼa è kyi kòlonavalòs ətəyn.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,Comment se protéger ?,Ndom vɛ ə ò kaʼa ə tɔʼne è ngɨŋ zɛzè ətəyn,How to protect yourself
38,"1. Eviter de se toucher les yeux, le nez, la bouche.","1. Kə o ndəʼə komnə shighe, è mbuzhwi, è choze.","1. Avoid touching eyes, nose, mouth."
40,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.,2. Ò zaŋsə̀ shûə ə̀gho è mom mə ə  chətə̂ ndò èshuke.,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,3. Tousser et éternuer dans le creux de son bras.,"3. Ò kyəsə̂ àzɔ̀ʼ, tsəmə endomve ə ghò ə kaf mə o ngwus kɔynke. ",3. Cough and sneeze into the crook of your arm. 
44,4. Eviter de manger de la viande crue et de toucher des animaux vivants.,4. Kə o kwulə njà èko. Kə kòm nyamse è ghoghe. O kòm nyamse e ghoghe ò shuə  əgho èshukè e mom mə chətə ndò.,4. Avoid eating raw meat and touching live animals.
49,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.,5. Fo ghafke se zaʼa tàm ghâyn wùə vɛ ə è tsəmə fɨnə kyəsə̂ àzɔ̀ʼ. ,5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.,"6. Kə ò ndəʼə tɔŋtə  wùə è ghoke, nə̀ʼse ke tuke ə̀ puza o tɔŋtə̂ kə è kyə̀ ècho.",6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53,7. Eviter les rassemblements.,7. Kə ghɨ ghe zuŋte se tsɨ.,7. Avoid gatherings. 
55,8. Limiter ses déplacements.,8. Kə wùə fɨyn ndu èkwî.,8. Restrict movement.
57,9. Se tenir informé et vérifier la source de ses informations.,"9. Ò mɔ̂msə̀ sə ke èghɛ komə̀ ezaf nə zɨnə, Kə vɨte ghɛ ghe mə ghe va səmoʼ kòmə èzafə təynze.",9. Keep informed and verify the source of information.
58,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :,"Ò kàʼa ò ghayn ghɛ ezhughɛ ə zaf ətəynze ko gho? -          Ezhughɛ ə ò kyi chwìəse -          Kə o nduə paʼsə ghâyn ghɨghe -          Faŋ ke ə ndɛ Tɔŋə 1510 ə chùmtə̀ èghɛ zɛ ndɔkta nə̀ tsâ, ə̀ va zâ o tɔŋə sɨnə̀:",What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.","Se zaʼâ ndàyn zaf ətəynze kiva fuve, piza ghɨə tɛghe pa kyiŋə nduə kəndò ndomte se kê efu ətəynve. Naʼà pindè kyi se mɔ̀msè ndom tekɨ̂m se tɔʼnè è ngɨŋə̂ vəyn è ghɨ ghɛ ə ghe nyi ə vəyn tipì.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque",,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,,"Eghɛ zɛ ə ò kyi sə̂ ke komə̀ KÒLONA VALÙS pî KOVIT-19  © CABTAL, 2020 "
68,"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                         SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  ","Eghɛ zɛ ə ò kyi sə̂ ke komə̀ KÒLONA VALÙS pî KOVIT-19  Cameroon Association for Bible Translation and Literacy  Eghɛ zɛ ə ò kyi sə̂ ke komə̀ KÒLONA VALÙS pî KOVIT-19                                ETU Ə GHƐVE  -Kòlonavalùs                                         -Ghɨ ghɛ ə ze kaʼa ə ze mbase ko ghənə -Chwìə sə təynse                                  -Ndom tɛ ə kòlonavalòs tyaŋa ətəyn   -Ndom vɛ ə ò kàʼa ò tɔʼne è ngɨŋ zɛzè ətəyn                         -Ò kàʼa ò ghayn ghɛ ezho ghɛ ə zaf ətəynze ko ghô zə?    p.2 p.3 p.4 p.5  p.6  p.8  Kòlonavalùs  Kòlonavalòs mə ə tɔŋtə̂ kəpi nə KOVIT 19,  nyi valòs èfe. E tè zhə̀te ə Chiyna ə 31 ə njɔŋ èpɨyn 2019. Chwìə sə təynse nyi kə azɔ̀ʼ ekwuŋəke, mə ze tsɛ̂nè ə ghò ewìyn, ò kàʼa ò kwu. Ze nyi mə ze ə waŋ ndaʼte tsɨte ə mbi. Ə paʼà nyìəm kê luʼ vɛ ə zaf ətəynze ndô ətəyn.   Wùə ndumə  Wùə vɛ ə è kyi ləʼke ə və ətəm pî èzaf Ghɨ ghɛ ə ze kaʼa ə ze mbase ko ghənə  Valòs èfe nə zɨnə kaʼa è ko naʼà pindè. Ndumneghe è ghɨ ghɛ ə ghe kayne kyi kaynse ətèzaf tɨnə ə ghənə ewìyn, kə (azhwìse, è zaf zɛ ə wùə zhiə tsɛsə̀ shuʼə̀ ze ə ko vəyn, zaf atamze è ndə̂mê kɔʼɔ̂m) nyi ə ghɨ ghɛ ə zaf ətəyn kaʼa ə ze zaŋse ko ghənə naʼà sə atyaʼ.   -Wiyn kasəve -Epo  -Zɔ̀ʼ ə zoməke, -Wiyn zafəve Chwìəse  Chwìəsə Kolonavalòsè nyì kepi kə sə azɔ̀ʼsè, wiyn ekasəve, zɔ̀ʼ ə zoməke, wiyn ezafəve è pɔze. Ghɨə mɔ̀ʼɔghe nyiə vɨə ètɨm, èfɨəmtèkè, ezhwi ə sanəghe, tɔŋ ə pfɨŋve, è luʼ endwuəve. Ghɨə mɔ̀ʼɔghe kyi pi ndò zaf ətəynze piza chwìə sə təynse e paynə va. Tsɨ̀tsɨ̂ tɛ ndò mə ə paʼà zhi fu vîve.  Wuə vɛ ə è kyi zɔ̀ʼkè Ndom tɛ ə kòlonavalòs tyaŋa ətəyn  Ghɨə ghɛ ə ghe tyâŋsə̀ kòlonavalos KOVIT 19 nyi ə ghɨ ghɛ ə kyi zə̂ynzè. Ə wùə èzafə kyəse kɨ̀sə è tsəm ndô, fɨ̀atə̀mè ə fɨə ə vəyn echo è kɨsè ə və ə zhwi. Ə wùə zhwìsè ə njìə ndzɨsə̂ m̀fɨatə̀ nə mɨ̂yn, è kaʼa è kyi kolonavalòs ətəyn. Ə wùə kòm fɨake ke kyi m̀fɨatə̀ nə mɨnə mə, ə kɛsə̂ komə̀ echo əvəynze kɨ̀sə mbuzhwi, kɨ̀sə eshi, è kàʼa è kyi kòlonavalòs ətəyn.     Ndom vɛ ə ò kaʼa ə tɔʼne è ngɨŋ zɛzè ətəyn 1. Kə o ndəʼə komnə shighe, è mbuzhwi, è choze.  2. Ò zaŋsə̀ shûə ə̀gho è mom mə ə  chətə̂ ndò èshuke.  3. Ò kyəsə̂ àzɔ̀ʼ, tsəmə endomve ə ghò ə kaf mə o ngwus kɔynke.   4. Kə o kwulə njà èko. Kə kòm nyamse è ghoghe. O kòm nyamse e ghoghe ò shuə  əgho èshukè e mom mə chətə ndò.     5. Fo ghafke se zaʼa tàm ghâyn wùə vɛ ə è tsəmə fɨnə kyəsə̂ àzɔ̀ʼ.   6. Kə ò ndəʼə tɔŋtə  wùə è ghoke, nə̀ʼse ke tuke ə̀ puza o tɔŋtə̂ kə è kyə̀ ècho.  7. Kə ghɨ ghe zuŋte se tsɨ.  8. Kə wùə fɨyn ndu èkwî.  9. Ò mɔ̂msə̀ sə ke èghɛ komə̀ ezaf nə zɨnə, Kə vɨte ghɛ ghe mə ghe va səmoʼ kòmə èzafə təynze. Ò kàʼa ò ghayn ghɛ ezhughɛ ə zaf ətəynze ko gho? -          Ezhughɛ ə ò kyi chwìəse -          Kə o nduə paʼsə ghâyn ghɨghe -          Faŋ ke ə ndɛ Tɔŋə 1510 ə chùmtə̀ èghɛ zɛ ndɔkta nə̀ tsâ, ə̀ va zâ o tɔŋə sɨnə̀:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979   699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Se zaʼâ ndàyn zaf ətəynze kiva fuve, piza ghɨə tɛghe pa kyiŋə nduə kəndò ndomte se kê efu ətəynve. Naʼà pindè kyi se mɔ̀msè ndom tekɨ̂m se tɔʼnè è ngɨŋə̂ vəyn è ghɨ ghɛ ə ghe nyi ə vəyn tipì.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Eghɛ zɛ ə ò kyi sə̂ ke komə̀ KÒLONA VALÙS pî KOVIT-19  © CABTAL, 2020 "
