,enb,eng
54,nkōō sēkuuntēēn choo lēē 20,for 20 seconds
55,wuunō kwēēn nyēpō mooriin,between the fingers
56,wuunō saang’ nyēpō ēēruunēkuuk,wash the back of your hands
57,/Kēēwuun kukaraam ku /kee-ir nee?,What is thoroughly?
58,"Nēē koo keenam keey kimēēwāriisyō, wuunō kipaat ēēruunēkuuk kukaraam nkōō sāpuni","If you did, don't worry. Just wash your hands with soap after."
59,Nēē muukēē ku meenam mpō saang’ nyēpō kiyoonēē /kitukēē keey sēruun nkōō kuut,"Also, don't touch the outside of the mask if you can."
60,ng’ul,droplets
61,Kuutyaan nyoo āpuuy kōrōōy kinārēy nkōō or nyēpō kir nyoo /kitukēē keey sēruun nkōō kuut nēē /kuulaak kilōōwiit,*Bacteria grows on the insides of your mask if you wear them too long
62,Nēē nur kipaat kir nyoo /kitukēē keey sēruun nkōō kuut iwiirta. Kimeelaak kiyoonēē kisiir pērēētuu akoong’o!,Throw away masks once they feel gross. Don't wear them for more than a day!
63,Pāyiisyēērēē kiichiikō paani ichārēy āmiisyō,Use a serving spoon
64,Nyēpō laakwee,Baby
65,Nyēpō apoo,Daddy
66,Nyēpō maama,Mommy
67,Mārēy kuting’ēy :chiich aka tōkōl tōwuleenyiin,Everyone gets their own towel
68,"Kimaaramta āmiisyō, tukun choo /ki-āmiisyēērēē nkōō tōwulō","Do not share food, utensils, cups, towels."
69,Mēēmuukēy :chiich kutiing’o keey kipkong’ tokoch mpō ntā kuutyam,You can't touch your face with your elbow even if you tried
70,"Nēē muukēē, ipāyiisyēērēē kipkong’ nyoo mā ēēr paani iyootēy akiikārēy kurkat.","Open & close doors with your elbows or shoulders instead of hands, if possible."
71,Kaaw,Home
72,paani kēēchōōnēē wōloo chaang’ piich,and after being out in the public
73,Kitoomō a-am kir aka tōkōl,Before you eat
74,Wuunō ēēruunēkuuk saayit aka tōkōl nkōō sāpuni…,Always wash your hands with soap…
75,Nyēpō lēt,"And finally,"
76,sāpuni,soap
77,Riipō keey chiich tōkōl!,"Stay safe, everyone!"
80,Nēē mārēy isōwu ng’al chaa chaang’ akipō kōrōōyi isooman yi,Read the articles for more tips!
81,Wōloo /kinyōōrchinii ng’aleek akipō wōloo /kiriiptooy keey kōrōōyi,Main references for medical info:
82,"Ng’aleek walak: Karaam /kēēriip tililin kilē wōli mwooruuy :kiitapuuni āmu nēē kituup kuutoorētēēch makuunaamta keey tung’wō nkōō kōrōōytiin walak. Nyoolchinii nyuun /keetuupa ng’aleechu pērēētuus tōkōl mpō nēē moomii kōrōōy. Wōloo /kiikinyōōchi ng’aleechu: aku Kāmoosiichu sōmōk wōloo /kiikinyōōrchi ng’alēēchu kung’eeta /kēēsōwu akipō kōrōōyi pō COVID-19 ākōy ku-it 28/2/2020.﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html﻿https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Ng’ālyoontēē aka: Nēē mārēy inyōōru ng’aleechu /kiikisir nkōō oor nyaa nyumnyum iwō yi: https://gumroad.com/weimankowart Nēē mārēy yoochii piich walak: Ng’aleechu /kiikisir nkōō oor nyaa nyumnyum /kēēyoochinii piich kilēēn kupunuunō online, Whatsapp nkōō Telegram /akēēmuukēy /kēēng’usu /akeepeel kichaang’iit kilēēn sikēētō tēēnkō /akēēnēētiisyēērō nkōō kaaw, skul nkōō kaapkaasi. Paani imārēy yoochi piih walak kimēēruutyēērēē ng’aleechu sōmōk:﻿1) Kimēētāsi ng’ālyoon nyoo ng’ulēy ng’aleechu nēē mārēy iyoochi piich walak.  ﻿2) Ng’aleechu /kiikisir nkōō oor nyaa nyumnyum ku mā pō mung’aara.  3) Nēē ng’usu ng’aleechu nkōō yoomēt imwaa kilē kiisirēy @weimankowart nta imwaarta kilē /kinyōōrchinii instagram com/weimankow Nēē mārēy ipāyiisyēērēē nkōō oor aka tōkōl isoom: comicsforgood@gmail.com","Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com"
86,"Translated by Michael Yano, Edwin Suter, and Paul Kanda",
87,"Created by Weiman Kow, instagram: weimankow",
92,"Akipō kōrōōyi pō Coronavirus    Mii kir AKOONG’O kipaat nyoo nyoolchinii isōwu akipō WŌLOO KUUNOOMTOOY KEEY kōrōōyi pō coronavirus  Kuut Sēruun Koonyin Kipēēchi chiich Chiich nyoo karaam pōōr Chiich nyoo mnyaanaat Kuunoomtooy keey kōrōōyi nēē raal nta kung’alaal :chiich kupka ng’ula Iryoong’ēē yoo lōōw. Ryoong’ēē miita 2 si nēē ng’at iriip keey māpēēchiin ng’ulēēpō chiich 1 Miita 2 Tirsyaa Nēē roo chiich nyoo roolēy / tirsyoonēy / mnyanaat Tēē akwaaneek tukun choo tukēē keey sēr nkōō kuut. Muukēy kuroolchi nta kuutirsyoonchi tukuuchoochēē sikuriip piich walak choo lēēkitēēn 2 Kartaasi nyoo /kuupuukēē sēr NTA Mā kēēlē mnyanaat :inyeentee, mii kipaat kuriipēy keey Muukēy kimnyaanaat :chiich wōloo nyuun moomii kiyoo ng’uutuuy kilē mnyaanaat, akuunoomtooy nyuun piich kōrōōyi Karaam imētoorēē keey wōloo mii  :piich chaa chaang’, āmu mēēmuukēy isōwu kilē ng’oo nyoo mnyaanaat kātiiniit Chiich nyaa karaam pōōr Misiipi nyoo /kirātēē keey nkōō kari Tukun choo /kinyipirēy nkōō liipti nyēpō koropa Kartaasi nyoo kuupuukēē keey Kikoompeen Koompuuta nkōō siimuun nkōō mpōsaang’ nyēpō kir nyoo itukēē keey sēruun nkōō kuut kāriin choo /kināmēy paani /kiloong’ēy kōpō koropa Moorinoo koompuuta Kalaamuun Kurkat Ēēruunēkwaak Muukēy kupēēchi saayiitiis walak ng’ula chēpō chiich nyoo mnyaanaat tukun walak kilēē… ku āmuukēy āmnyoonchō :tōkōl nta inam tokoch nyēpō choorweeng’uung’ iting’ting’ keey koonyin Nēē nam tukuuchu kimēēnkēt, aku nēē ng’at inam keey tokoch, oor kipaat nyoo /kuuwoong’ēy kuutyaantaani āpuuy kōrōōyi ku /kēēwuun tukuuchoochēē nkōō sāpuni nta /kēēpāyiisyēērō saakityaan nyoo /kuutiliilēē tukun. Nēē nam :kuutyaantaani āpuuy kōrōōyi tukun kitēpēē saayitiis choo ng’ērin Sāpuni /sikēēriip keey Karaam nyuun /keetuup tukuuchu Wuunēē sāpuni kuti it yi Sāpuni Kipkong’ Kimeenam keey tokoch. (Nta inam chiich aka tokoch.) Nēē mārēy nama keey tokoch iwuun ēēruung’uung’ kukaraam kupok Tēēnō saayit nyoo yāmēy keey /keetuum tuumi mwoorēy kilē, “Kumwooruun kōōnkēy apoonyoon āmu kaakisuwa ēēruung’uung’” kunyil ārēēny wuunō siiriin nkōō sēkuuntēēn choo lēē 20 wuunō kwēēn nyēpō mooriin wuunō saang’ nyēpō ēēruunēkuuk /Kēēwuun kukaraam ku /kee-ir nee? Nēē koo keenam keey kimēēwāriisyō, wuunō kipaat ēēruunēkuuk kukaraam nkōō sāpuni Nēē muukēē ku meenam mpō saang’ nyēpō kiyoonēē /kitukēē keey sēruun nkōō kuut ng’ul Kuutyaan nyoo āpuuy kōrōōy kinārēy nkōō or nyēpō kir nyoo /kitukēē keey sēruun nkōō kuut nēē /kuulaak kilōōwiit Nēē nur kipaat kir nyoo /kitukēē keey sēruun nkōō kuut iwiirta. Kimeelaak kiyoonēē kisiir pērēētuu akoong’o! Pāyiisyēērēē kiichiikō paani ichārēy āmiisyō Nyēpō laakwee Nyēpō apoo Nyēpō maama Mārēy kuting’ēy :chiich aka tōkōl tōwuleenyiin Kimaaramta āmiisyō, tukun choo /ki-āmiisyēērēē nkōō tōwulō Mēēmuukēy :chiich kutiing’o keey kipkong’ tokoch mpō ntā kuutyam Nēē muukēē, ipāyiisyēērēē kipkong’ nyoo mā ēēr paani iyootēy akiikārēy kurkat. Kaaw paani kēēchōōnēē wōloo chaang’ piich Kitoomō a-am kir aka tōkōl Wuunō ēēruunēkuuk saayit aka tōkōl nkōō sāpuni… Nyēpō lēt sāpuni Riipō keey chiich tōkōl! Riipō keey chiich tōkōl! sāpuni Nēē mārēy isōwu ng’al chaa chaang’ akipō kōrōōyi isooman yi Wōloo /kinyōōrchinii ng’aleek akipō wōloo /kiriiptooy keey kōrōōyi Ng’aleek walak: Karaam /kēēriip tililin kilē wōli mwooruuy :kiitapuuni āmu nēē kituup kuutoorētēēch makuunaamta keey tung’wō nkōō kōrōōytiin walak. Nyoolchinii nyuun /keetuupa ng’aleechu pērēētuus tōkōl mpō nēē moomii kōrōōy. Wōloo /kiikinyōōchi ng’aleechu: aku Kāmoosiichu sōmōk wōloo /kiikinyōōrchi ng’alēēchu kung’eeta /kēēsōwu akipō kōrōōyi pō COVID-19 ākōy ku-it 28/2/2020.﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html﻿https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Ng’ālyoontēē aka: Nēē mārēy inyōōru ng’aleechu /kiikisir nkōō oor nyaa nyumnyum iwō yi: https://gumroad.com/weimankowart Nēē mārēy yoochii piich walak: Ng’aleechu /kiikisir nkōō oor nyaa nyumnyum /kēēyoochinii piich kilēēn kupunuunō online, Whatsapp nkōō Telegram /akēēmuukēy /kēēng’usu /akeepeel kichaang’iit kilēēn sikēētō tēēnkō /akēēnēētiisyēērō nkōō kaaw, skul nkōō kaapkaasi. Paani imārēy yoochi piih walak kimēēruutyēērēē ng’aleechu sōmōk:﻿1) Kimēētāsi ng’ālyoon nyoo ng’ulēy ng’aleechu nēē mārēy iyoochi piich walak.  ﻿2) Ng’aleechu /kiikisir nkōō oor nyaa nyumnyum ku mā pō mung’aara.  3) Nēē ng’usu ng’aleechu nkōō yoomēt imwaa kilē kiisirēy @weimankowart nta imwaarta kilē /kinyōōrchinii instagram com/weimankow Nēē mārēy ipāyiisyēērēē nkōō oor aka tōkōl isoom: comicsforgood@gmail.com Akipō kōrōōyi pō Coronavirus   Translated by Michael Yano, Edwin Suter, and Paul Kanda Created by Weiman Kow, instagram: weimankow    ","About Coronavirus    There's only ONE thing ﻿you need to understand about how a coronavirus SPREADS Mouth Nose Eyes Get into your Healthy Person Sick Person The virus spreads when ﻿these droplets Keep your distance.﻿2m will keep you safe from large droplets. 1 2m Achoo! So if you see someone who is visibly coughing/sneezing/sick you can choose to: Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby. 2 Thank you﻿*sniffles* OR, Maybe she's not sick, just protecting herself People who are infected can show no symptoms, but are still﻿infectious And in general, it's a good idea to avoid crowds, because you don't know who might be sick. Chopsticks Healthy person Train straps Lift buttons Tissues Cups Digital devices & even on the outside of your face mask Stair bannisters Mouse Pens Door knobs Their hands However, sometimes a sick person's saliva can get on other things… you might all fall sick. or your loved one's face rub eyes And if you do touch any of these things by accident, and then touch your face, and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol. Viruses can last for quite a few hours on objects, soap precautions Which is why it is also good to follow these wash with soap up to here soap elbow Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first. Enough time to sing “Happy Birthday” twice under the nails for 20 seconds between the fingers wash the back of your hands What is thoroughly? If you did, don't worry. Just wash your hands with soap after. Also, don't touch the outside of the mask if you can. droplets *Bacteria grows on the insides of your mask if you wear them too long Throw away masks once they feel gross. Don't wear them for more than a day! Use a serving spoon Baby Daddy Mommy Everyone gets their own towel Do not share food, utensils, cups, towels. You can't touch your face with your elbow even if you tried Open & close doors with your elbows or shoulders instead of hands, if possible. Home and after being out in the public Before you eat Always wash your hands with soap… And finally, soap Stay safe, everyone! Stay safe, everyone! soap Read the articles for more tips! Main references for medical info: Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com About Coronavirus        "
