,eng,mgg,fra
22,Person with a heart condition or disease,"Mot ɗi nɛ ɛkpay ɛ te tí lyém, gu thɔ́k ɗí nɛ līl ɛ́kpay ê",Personne cardiaque ou souffrant de maladie
23,"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Ɓot o ɗí nɛ khul ɛnwɔŋ ɛ́kpay ɛték ɓâk  Myēnj pɔ́s ɛkpay ɛték ɛ nɛ khul ɛní môt nyɛ̂s tat tí ɓwáathɛmb kum tí otōmbá, ti nɛ ɓot o ɗí nɛ mɛ̄l mɛ́kpay ɓâk, ɗakɛ: Kɔ́s phyōō, ɛkpay ɛ mɛ́sɔs, mɛkpay mɛ te tí lyém mâk. Ɓízâŋ oték ɛ, ɓɛ́ nɛ khul ɛɓil ɛ́kpay ɛlyee lyel, ti tɔ̂p pɔ́s ɔnɔ̂ŋ. ","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,Fever Fatigue,Ɛjwóŋ ɛ nôl Ɛtyak ɛ nôl,- Fièvre - Fatigue
28,Dry cough Muscle aches and pains,Kɔ́s ta sá mɛthɔmb Ɛkpay ɛ nôl nyɛ̂s,- Toux sèche - Douleurs musculaires
29,"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Mindɛm mi ɛ́kpay  Mindɛm mi ɛkpay ɛ kolona mi nɔŋla nɛ mil mí kɔ̄sm: Mil mimbɛl miték mi tí ɛgwota ɛ́kpay tí nôl nyɛ̂s, nɛ ɛɗyuu ɛ ɗô, nɛ ɛsyes ɛ ɗô, mɛkpay mɛ khoŋōlkhoŋōl, nɛ ɛnâk. I nɛ ɓɛ́l ɓót ɗí nɛ pɔ́s ɛkpay ɛték ɛ, ta nyen ndɛm ték tí nôl nyɛ mot ték thɔ́k ta gwokta lil ɛkpay tí nó nyɛ́. Thund ɓót tí ndɔŋ wɔɔ ɓɛ́ tí ɛcyuk ti ɛkpay ɛték ta ɓɛ nɛ ɗom. ","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
31,Person with a cough,Mot ɗi tí ɛkɔ́s ɔ̂,Personne qui tousse
32,"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Ɗakɛ pɔ́s ɛkpay ɛ kolóna doŋga ê  I ɓot o ɗi nɛ pɔ́s ɛkpay ɛ̄ Kovit 19 ɓák doŋgā ɛ́kpay ɛtêk. Tɛ́m mbɛ́l ték kɔ̂s, gu ɛ tɔy ekɛ, ɛ tí ɛgbɛ́s íɗiɗyuu tí ɗó, gú tí nup. Mǒt süis iɗiɗyūū nāáŋ nak, áá nwɔŋ ɛ́kpay ɛtêk. Mǒt wā kúna nɛ mis mɛ̄, gú ɗó lɛ́, gú thɔ́k nup wɛ̄ ɔkɛ, ɛ nɛ khul ɛnwɔŋ ɛ́kpay ɛtêk. ","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
37,How to protect yourself,Ɗɛ mót dālā nɛ ɛkándɔɔ ɛ́kpay ɛtek ê,Comment se protéger ?
38,"1. Avoid touching eyes, nose, mouth.","1. Mot aa sáŋ naá, ɛ kúna nɛ mis mɛ̄, nɛ ɗó lɛ̄, nɛ nup wɛ̄. ","1. Eviter de se toucher les yeux, le nez, la bouche."
40,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2. Ɓi sisüesɛl mɛ́ɓɔ́ nɛ mɛɗyuu, nɛ sukla, ɓi tind mɛ́ nɛ tawol ɗi tí fup ê. ",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
42,3. Cough and sneeze into the crook of your arm. ,"3. Mot ɛ nyûk mbɔ́, ɛ kɔ̌s nɛ ɛtɔy tí ɛnis ɛtêk.",3. Tousser et éternuer dans le creux de son bras.
44,4. Avoid eating raw meat and touching live animals.,"4. Kandɔɔká ɛɗee ɛ tit ta gu ɓee, nɛ ɛkúna nɛ otīt o ɗi mikuúla ɓâk. Kāndɔɔká ɛkúna nɛ ɓot o ɗí ɓɛ́ɛ́ tómba, nɛ ɓot ō ɗí nɛ mɛkpay ɓâk.",4. Eviter de manger de la viande crue et de toucher des animaux vivants.
49,5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,"5. Paka ɓyá nɛ mot ɗí tí ɛkɔ̄s gú ɛtɔy ɔkɛ, i dalǎ nɛ ɛɓɛ mɛta ŋgwát. ",5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
51,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,"6. Kāndɔɔká ɛɓata tí ɛkamb naá, ɓyaa ɓwɔɔ kúna. Da süesolká nɛ lô, gú thɔ́k nɛ nup.",6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
53,7. Avoid gatherings. ,7. Ɓyaa sá igwesla.,7. Eviter les rassemblements.
55,8. Restrict movement.,8. Mot aa kā ɓǔ jâŋ.,8. Limiter ses déplacements.
57,9. Keep informed and verify the source of information.,9. Mot aa dá mɛ́lɔ́ tí isá i ɗí tí ɛlɛyaa ɓîk. Ɓī gú timbɛ̌l pyat milɔ̄ŋ miték ɗüis ê.,9. Se tenir informé et vérifier la source de ses informations.
58,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,"Mot ɛ nɛ khul ɛsá nā tɛ́m ɗi ɛ́ɛ́ nwɔŋ ɛkpay ê?  Tɛ́m ɓi mú nɛ mindɛm mi ɛ́kpay ekɛ, - kandɔ̄ɔ̄ká ɛkúna nɛ ɓɛ́l ɓōt. - Ɗiká ɓɛ minjāā myen. - Jōōká nɛ lɔŋlɔŋ tí nɔmba 1510, ɓi gwok mɛlyōō mɛ odəə ɓɛ íɗɔkta. Ɓi nɛ khul ɛɓakā jóó thɔ́k tí inɔmba ɓîk:",Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
60,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","I kum tí mwes okɛ́ mus ɛ, ɓaa ɓa ɓyelǎ myet ɗí nɛ khul ɛjwom ɛ́kpay ɛ́ kolóna. Sá gwát miŋgɔ́mina mí tí ɛtɔ́ nɛ ɛsá misɔŋôl mī ɗóm ɛ dālā nɛ ɛkpay ɛ ték ê. Mot nyɛ mot ték ɗi nɛ cyuk yɛ́ tí mɛɓɔ̂. Ɛ dalǎ nɛ ɛsá tyaa isá i ɓót sá tí ɛkańdɔɔ ɛ́kpay ê, ti ɛsú lɛ́, nɛ tí mɛsú mɛ ɓót o ndɔŋ yɛ̄.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
65,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Mɛtián mɛ mɛ́kɛ́l mɛ aɗiáɗiá  Kɔsphyô: ɛkpay ɛ ɗi tɛ́m yɛ̂sa tí ɛsá naá, mot aa swes ɛnwɔɔnwɔŋ ê Mɛchesɛl: icî Ɛkpay ɛ́ mɛ́sɔs: ɛkpay ɛ tēk lí sá mot tɛ́m ɗi mɛsɔs mɛ́ɛ́ lwond ɛ́ tí chiá ê Ɛkpay lɛ ɛɗyat ɛ ɗô: ɛkpay ɛ ték lí sá naá, ɗó ɛ mót li ɗi ɛsyeesyes Ɛnwɔŋ ɛ́kpay: tɛ́m ɛ́kpay ɗí líí mɛt ɔ ê Kɔ̄s: ɛkpay ɛ́ kɔs ɛ sá nɛ ɛjwoŋ ɛ nôl lik Ɛkpay ɛ phɛ́lyêm: Tɛ́m chiá lwond tí misis ɗɛ ɗi ta dala ê Ɛɗi nɛ pɔ́s ɛkpay: Tɛ́m ú mú nɛ ɛkpay ê Ɛkpay: jum Mbɛl: mot ɗí tí ɛkpay ɔ̂ Syen: itɛ́m ɓyɛ̂s oɗia o nôl, ta si khul ɛsá sinɔŋ: ta kpɛnj íjum Mindɛm mi ɛ́kpay: isá í lyakɛl naá, mot ɛ́ mú nɛ ɛkpay ê Ɗom: mimyet Pɔs ɛkpay: sá te ɛkpay ê Mot kpas ɛnwɔŋ ɛ́kpay ɔ̂: ta ɓwɛy ɛnwɔŋ ɛ́kpay ","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
67,,,"Sá ɓí dālā nɛ ɛgú tɔ̂p pɔ́s ɛkpay ɛ ɓɛ́ jōō naá Kolóna ɔ, ɓɛ̀ ɓākā jōō naá Kovi-19 ɔ © CABTAL, 2020"
