,eng,yav,fra
53,7. Avoid gatherings. ,7. Nutiandá atánana pilumén pí pɛɛndu kutek.,7. Eviter les rassemblements.
55,8. Restrict movement.,8. Nutiandá osolo ayuukan kí iŋɛnd.,8. Limiter ses déplacements.
57,9. Keep informed and verify the source of information.,"9. Nupá itú ne eŋísi mefuúnéné á mayɔ́ mɔ́ piɔ́yɔnɛ́ɛ, nuondo nupá iŋuɛ́lí ó niólíní ní mɔɔ.",9. Se tenir informé et vérifier la source de ses informations.
58,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,Índi kúkanyi kukutápúkáná ɛɛlɛ tiɛkíɛ?  Índi akanyɛɛ́ kuɛ́nɛn melinsí má kuu: - Atiandá episitenin pɔsɔ́kɔ́ pómotí. - Páápá kááwu á nuyá. - Pílíkíni 1510 óondo ɔ́ɔŋɔn kí insúŋɛ sí pepúkí.  Munɔmbɔ múmotí tunyɛɛ́ kupílikini:,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
60,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Ɔ́ puɔ́sí pú ínanu,puanyí pú kupúku kofíd-19 manyi pútiɛ́níkí, tɛ nɔ́ɔ pɔkúnú pɔ́ kitɔŋ áasuŋuna na kuamba ɛ́ɛ pɛ́ɛ́nɛ puanyí pú kaányínimikana.  Siki muundu  mɛsikɛnɛnɛ ɛ́ɛ ukɔ́l niap, wóondo Wɛ́ɛlɛ melinyée mákaányíkíka wú nɛ pɛɛndu pɛnyɛɛ́ kɛ́ɛyí á masía.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
65,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Kusɛkunu pipúkú pínyɛɛ́ ambákál  Asthme: Kunúma kú kiélumu kusúmbusumb Consignes:Imbítíinɛ, insúŋɛ Diabète: Kunúma kú sukɛ táási á manúŋú Ecoulement nasal: Kuyɔyɔ pikɔ́l Etre contaminé: Ewú kunúma kanyɛɛ́ nɛɛyɛ́ Grippe: Kunúma kú kikɔ́sunu nɔ píkɔ́l Hypertension: Kunúma kú manúŋú kuwóon kí iŋaŋá Infecté: Ukanyɛɛ́ na kunúma Infection: Kunúma, kituut Patient: Kikɔnɔ́kɔn Persistant: Insúá Susceptible: Yɛluluyɛlul Symptômes: Melinsí má kunúma Traitement: Nupúku Virus: Filus, ensíŋí Vulnérable: Katipinuúsínyíe, katipukakɛ, anúnúnunu","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
67,,,"Epú nuɛsikɛnɛnɛ́ kumenyi ó KOLÓNÁFILUS púnyaánɛɛ́ KOFÍD-19  © CABTAL, 2020"
68,"What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                           SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  ","Epú nuɛsikɛnɛnɛ́ kumenyi ó KOLÓNÁFILUS púnyaánɛɛ́ KOFÍD-19       Epú nuɛsikɛnɛnɛ́ kumenyi ó KOLÓNÁFILUS púnyaánɛɛ́ KOFÍD-19                           ITÚƐ SÍ MOÓNYI - Kolónáfilus - Pɛɛndu pá katipinuúsínyée - Melinsí - Kiséléméndie kí  kolónáfilus - Tiɛkíɛ pɛnyɛɛ́ kupíkíka - Índi kúkanyi kukutápúkáná ɛɛlɛ tiɛkíɛ? - Kusɛkunu pipúkú pínyɛɛ́ ambákál     p.2 p.3 p.4 p.5 p.6 p.8 p.9 Kolónáfilus páandɛɛ́ apílan ɛ́ɛ kofíd-19 nyi ensíŋí wɔɔkɔ́sikɔ́si ɛ pémeétékí kú kutúán ɔ́ kitɔŋ kí Síine é putúkú pú nitíni na máátá no púmoómíe u oólí ú makandikɛ ɔ́ yɔɔŋ tukúnú túándí no punyo ni  íkénie. Pámanyi pétimenyi niólíní ni kuu.   Pɛɛndu pɛɛsɛ́kúmɛ́n  Penúmí kí itímí púnyaánɛɛ́ kunúma kúlotí Pɛɛndu pá katipinuúsínyíe  Kunúma kukáání tipá kúéye kúɛ́kɛtikɛn tɛ pilunú tɛ piɔmfú. Pɛɛndu pɛɛsɛ́kúmɛ́n ne epé pánúmanɛ́ manúma molotí insúá (ɛlɛɛ́ kunúma kú kiélumu kusúmbusumb, kunúma kú ɔtímí, kunúma kú manúŋú kuwóon kí iŋaŋá) pɔ́ɔ púnyɛɛ́ laáku ɛ́ɛ kúɛ́tikini pɔ́ɔ kúóndo kúliŋi nɔ niɔ́kɔ́tɔ́nɔ́, é kufikiti kú filus.   Puyo Kuand  Kikɔ́sunu kiilúndán Imekú kutɛ Melinsí  Melinsí mé ensíŋí ú kolónáfilúus áamanan mɔ́ kikɔ́sunu nɔ pikɔ́l, mó puyo, mɔ́ kikɔ́sunu kiilúndán, mí imekú kutɛ, má kuánd kú nuɔ́l. Pikɔnɔ́kɔn pilotí ɔ́ɔyɔyɔ pikɔ́l, imfunu lupuke ekelú nyááŋa, Ufááma. Pɛɛndu pólotí tɛ unúma ɛtiɛ́n melinsí má kúu, póondo pɔ́píɔ́pɔnɔ peseé. Embúlu ú pɛɛndu ólotí ékeéŋukene tɛ yiányiányí í kulafit ɛ́ɛ úpípúkini kúuku.  Muundu ukɔsu nɔnɛ Kiséléméndie kí kolónáfilúus  Pɛɛndu pákanyɛɛ́ no kofid-19 pɔ́ɔ pésélemendenyé ensíŋí ukáání. Kisikili kikɔnɔ́kɔnɔ kɔ́sunɔnɛ́ tɛ ɛ́ɛ kí ékésenene, pitepé. Pí pikɔ́l ne pitelu áákaminana kí imfúnu ne niití. Índi muundu utiányípá unúma siélumit usuliti pitepé pikáání púnyaánɛɛ́ upíkiiki púandá epú pitepé ényíténé á púu, woondo upínyíkise eŋísi, upísɔɔkilɔ imfúnu, upíkíkene piɔ́lɔ́lí piɛ́yɛ́ pí niítí, kunúma nyi kutápuku wuu.     Tiɛkíɛpɛnyɛɛ́ kupíkíka? 1. Nutiandá epínyíkise eŋísi,nutipísɔɔ́kɔ́lɔ́ imfúnu nutipíkikén piɔ́lɔ́lí piánú pí  niíti.   2. Nupísuka imbɔ́kɔ nɔ sɔ́pɛ, nupíwóno sii na táwulɛ waafúmán.  3. Nukɔ́sunɔ, nukésenene ninúnú ní ɔmbɔ́kɔ nikɔ́nyítɔ́nɔ́ kí imfúnu mɛnɛ́mɛnɛ́.  4. Nutiandá anyá puányi pukɔ́si, tɛ kukíike manyama mɔ́ mɔɔ́sɔ́tɔnɛ́ɛ.        5. Nukíka manyáŋ naanú na muundu ukɔ́sunɔnɛ́ púnyaánɛɛ́ ukésenené, mɛ́nyɛ́ mítɛ omoómí.  6. Nutiandá epíkélikelinyi ni imbɔkɔ imbíkélie   ne niíti kunyianɛ ɛmɛŋitɛ ɛtú.   7. Nutiandá atánana pilumén pí pɛɛndu kutek.  8. Nutiandá osolo ayuukan kí iŋɛnd.  9. Nupá itú ne eŋísi mefuúnéné á mayɔ́ mɔ́ piɔ́yɔnɛ́ɛ, nuondo nupá iŋuɛ́lí ó niólíní ní mɔɔ. Índi kúkanyi kukutápúkáná ɛɛlɛ tiɛkíɛ?  Índi akanyɛɛ́ kuɛ́nɛn melinsí má kuu: - Atiandá episitenin pɔsɔ́kɔ́ pómotí. - Páápá kááwu á nuyá. - Pílíkíni 1510 óondo ɔ́ɔŋɔn kí insúŋɛ sí pepúkí.  Munɔmbɔ múmotí tunyɛɛ́ kupílikini:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979   699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Ɔ́ puɔ́sí pú ínanu,puanyí pú kupúku kofíd-19 manyi pútiɛ́níkí, tɛ nɔ́ɔ pɔkúnú pɔ́ kitɔŋ áasuŋuna na kuamba ɛ́ɛ pɛ́ɛ́nɛ puanyí pú kaányínimikana.  Siki muundu  mɛsikɛnɛnɛ ɛ́ɛ ukɔ́l niap, wóondo Wɛ́ɛlɛ melinyée mákaányíkíka wú nɛ pɛɛndu pɛnyɛɛ́ kɛ́ɛyí á masía. Kusɛkunu pipúkú pínyɛɛ́ ambákál  Asthme: Kunúma kú kiélumu kusúmbusumb Consignes:Imbítíinɛ, insúŋɛ Diabète: Kunúma kú sukɛ táási á manúŋú Ecoulement nasal: Kuyɔyɔ pikɔ́l Etre contaminé: Ewú kunúma kanyɛɛ́ nɛɛyɛ́ Grippe: Kunúma kú kikɔ́sunu nɔ píkɔ́l Hypertension: Kunúma kú manúŋú kuwóon kí iŋaŋá Infecté: Ukanyɛɛ́ na kunúma Infection: Kunúma, kituut Patient: Kikɔnɔ́kɔn Persistant: Insúá Susceptible: Yɛluluyɛlul Symptômes: Melinsí má kunúma Traitement: Nupúku Virus: Filus, ensíŋí Vulnérable: Katipinuúsínyíe, katipukakɛ, anúnúnunu  ","Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19  Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation  Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19 Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home   Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                                                     SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  Epú nuɛsikɛnɛnɛ́ kumenyi ó KOLÓNÁFILUS púnyaánɛɛ́ KOFÍD-19  © CABTAL, 2020"
