,spa,eng,nxl,ind
46,,precautions,arenau waron rakahaita na inete iroha virus rei. Sani rei;,
47,,Which is why it is also good to follow these,"Areiso nene iake mo, opusu",
48,,wash with soap up to here,Sohu tau sapon rotu kua rei.,
49,,soap,Sapon,
50,,elbow,kua siuri,
51,,"Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first.","Pene akahuu uam anoe. Te ia sia man uai anoe. Ne nesi na akahuui sirinia mo, kahurae asohu hanam atua tau sapon ia-ia ee.",
52,,Enough time to sing “Happy Birthday” twice,Noo sani iahina ahina selamat ulang tahun nai ua.,
53,,under the nails,Tanikure aikuna,
54,,for 20 seconds,Potuina kani 20 detik,
55,,between the fingers,Hanari nakata tihua,
56,,wash the back of your hands,Sohu hanari hahaya,
57,,What is thoroughly?,"Sohu hanari wani iake na kitataya tewa mo, sapan?",
58,,"If you did, don't worry. Just wash your hands with soap after.","Sani oakahui nea mo, rapu sohu hanamo tau saponi.",
59,,"Also, don't touch the outside of the mask if you can.",Pene akahu nipa sinte te masker rei nene muie.,
60,,droplets,reroti,
61,,*Bacteria grows on the insides of your mask if you wear them too long,Kupue inae bisa remahaiki pani nipae sinte te masker rei anoe sani ipakei potuina.,
62,,Throw away masks once they feel gross. Don't wear them for more than a day!,Pesi te papa nipa sinte (masker) wani ipakei renete hohari na okori sani iahana ikitataie nea. Pene pake nipa sinte te masker rei rotu ranie hatae.,
63,,Use a serving spoon,Pake sondo tau ketu utane te ana.,
64,,Baby,Ia ikine.,
65,,Daddy,Ama,
66,,Mommy,Ina,
67,,Everyone gets their own towel,Pake mamkusa hana sakakau,
68,,"Do not share food, utensils, cups, towels.","Pene sama muaine, pirune, kalasi, sondo te mamkusa hana.",
69,,You can't touch your face with your elbow even if you tried,"Bisa oakahu ruamo uamo anomo tau siumo tewa. Sani bisa mo, rea mana tea.",
70,,"Open & close doors with your elbows or shoulders instead of hands, if possible.",Huka na raru mitanunue tau siuri te saniri sani bisa una sani rei.,
71,,Home,Numa,
72,,and after being out in the public,Onuni on noi mui wani mansia hutue.,
73,,Before you eat,,
74,,Always wash your hands with soap…,Sohu hanam tau saponi sui osa.,
75,,"And finally,",Tau muie,
77,,"Stay safe, everyone!",Saka na mo patana maka-makaya,
78,,"Stay safe, everyone!",Saka na iamahaita iake.,
80,,Read the articles for more tips!,"Baca tau nomor 1, 2 na 3 na oanei panesi honu rerihoni virus corona",
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020",,
84,,Main references for medical info:,,
85,,"Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com",,
87,,,,Diterjemahkan oleh Hunanatu Matoke
90,,,,"Created by Weiman Kow, instagram: weimankow"
95,Sobre el Coronavirus                                                                                      Sobre el Coronavirus        ,"About Coronavirus    There's only ONE thing ﻿you need to understand about how a coronavirus SPREADS Mouth Nose Eyes Get into your Healthy Person Sick Person The virus spreads when ﻿these droplets Keep your distance.﻿2m will keep you safe from large droplets. 1 2m Achoo! So if you see someone who is visibly coughing/sneezing/sick you can choose to: Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby. 2 Thank you﻿*sniffles* OR, Maybe she's not sick, just protecting herself People who are infected can show no symptoms, but are still﻿infectious And in general, it's a good idea to avoid crowds, because you don't know who might be sick. Chopsticks Healthy person Train straps Lift buttons Tissues Cups Digital devices & even on the outside of your face mask Stair bannisters Mouse Pens Door knobs Their hands However, sometimes a sick person's saliva can get on other things… you might all fall sick. or your loved one's face rub eyes And if you do touch any of these things by accident, and then touch your face, and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol. Viruses can last for quite a few hours on objects, soap precautions Which is why it is also good to follow these wash with soap up to here soap elbow Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first. Enough time to sing “Happy Birthday” twice under the nails for 20 seconds between the fingers wash the back of your hands What is thoroughly? If you did, don't worry. Just wash your hands with soap after. Also, don't touch the outside of the mask if you can. droplets *Bacteria grows on the insides of your mask if you wear them too long Throw away masks once they feel gross. Don't wear them for more than a day! Use a serving spoon Baby Daddy Mommy Everyone gets their own towel Do not share food, utensils, cups, towels. You can't touch your face with your elbow even if you tried Open & close doors with your elbows or shoulders instead of hands, if possible. Home and after being out in the public Before you eat Always wash your hands with soap… And finally, soap Stay safe, everyone! Stay safe, everyone! soap Read the articles for more tips! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020) ""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020 Main references for medical info: Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com About Coronavirus        ","  Diterjemahkan oleh: Huna Matoke dan Rosemary Bolton  Kahurae ianei rerihoni sapani na virus corana RENAE Hohari Okori Matari Renusu na pani Ia wain ikupu tewa Ia kupue Virus renae sani apana na oko tin-tinia rapeu  na isaka ruata arihoni sae waron rapeu  Meter 2-0,5 Haaach!!! Reiso sani anoo ia isa wain iakihuha te iasinara te ikupui, mo, kahuraesaka na: Rui nipa sinte wani renete hohari na okori (masker). Na oakihuha te iasinara renete hohai na renete ia sia man wain ihainekei.  Uainisi iake arihonia ano wani asinara  Kani ikupu tewa, ne hasae nani inete ruai. Ia waini isupu virus rei nea mo, inoo tewa ata wain ikupui. Ne masike san rei bisa renae sinia. Nene iake mo, hainau arihon mansia hutue. Tau ianei tewa ata ia sia sahoro ikupui. Sondo te sae wani ipakei tau iai Ia waini ne patane maka-makae Mamrime noi kereta api Tampa iese na ihuka mitanunue na ihukai Tisu Koinanae Sani Hp te komputer Nipa sinte wani ipakei na renete hohari okori rei nene muie. Oane nene mamrime Maisene tau komputer Pena te pensil Mitanunue nene hanae Hanao atua Masike sapan iae sio kupua no tunna mo, bisa rakina tau apia san; Pusimo bisa okupumo. Te oakahuu ia isa wain anom runai uai anoe. Oasioi matamo usena Na sani anei tewa ne akahuu apia waron sinasi rei, oyo akahuu uam anoe. Onina na virus rei tihoniki mo, kahurae osohu apia rai tau saponi, bayklin, te alkohol. Virus bisa reruei noi apia rai yam nimasa te wanusa san rei. Saponi arenau waron rakahaita na inete iroha virus rei. Sani rei; Areiso nene iake mo, opusu Sohu tau sapon rotu kua rei. Sapon kua siuri Pene akahuu uam anoe. Te ia sia man uai anoe. Ne nesi na akahuui sirinia mo, kahurae asohu hanam atua tau sapon ia-ia ee. Noo sani iahina ahina selamat ulang tahun nai ua. Tanikure aikuna Potuina kani 20 detik Hanari nakata tihua Sohu hanari hahaya Sohu hanari wani iake na kitataya tewa mo, sapan? Sani oakahui nea mo, rapu sohu hanamo tau saponi. Pene akahu nipa sinte te masker rei nene muie. reroti Kupue inae bisa remahaiki pani nipae sinte te masker rei anoe sani ipakei potuina. Pesi te papa nipa sinte (masker) wani ipakei renete hohari na okori sani iahana ikitataie nea. Pene pake nipa sinte te masker rei rotu ranie hatae. Pake sondo tau ketu utane te ana. Ia ikine. Ama Ina Pake mamkusa hana sakakau Pene sama muaine, pirune, kalasi, sondo te mamkusa hana. Bisa oakahu ruamo uamo anomo tau siumo tewa. Sani bisa mo, rea mana tea. Huka na raru mitanunue tau siuri te saniri sani bisa una sani rei. Numa Onuni on noi mui wani mansia hutue.  Sohu hanam tau saponi sui osa. Tau muie Saponi Saka na mo patana maka-makaya Saka na iamahaita iake. Saponi Baca tau nomor 1, 2 na 3 na oanei panesi honu rerihoni virus corona              ","Anamanae rerihoni Virus Corona                                                                                      Anamanae rerihoni Virus Corona Diterjemahkan oleh Hunanatu Matoke  Diterjemahkan oleh Hunanatu Matoke Created by Weiman Kow, instagram: weimankow    "
