,fra,ags,eng
23,,"Mɔŋgulu ənə əmamə mawusu ɛki Koronavaros  Varos woyi nɛni əmamə uhuŋgu di əsamu wuneli ɔyunu, mamu oŋgulu wɔtəbhanə. Mɔŋgulu matəbhanə nə mɔŋgulu ənə mahə ahəbhərə agunu yɔkərə di: ɔgunu wu iimu, daybitis, agunu yi otəmə, nə ɔgunu wu ɛshiŋgi otəmə ɛbighiryanə əmamə mofi obishi agunu ɔgunu nɛni esəŋə esəŋə.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
26,,-Ɔhu ozunwanə -Mɔburwanə,Fever Fatigue
28,,-Kanəŋgərə -Kɔyu aghəŋgə akənanə,Dry cough Muscle aches and pains
29,,"Emənə yi ɔgunu Wɔ Koronavaros  Emənə yi ɔgunu wɔ Koronavaros ezhi ekpə di emənə yi kɔyu, amu: ɔhu ozunwanə, kɔy̌u anəŋgəranə, aghəngə ɔpunwanə, mɔburwanə. Mɔŋgulu mamu magunu koronavaros moguru ɔhu iwini opu ondəŋə ɔnotə, mahəbhərəŋə ohúndu oŋgilyanə, mahəbhərəŋə ohundu orwanə, kaŋguraŋgu kafiŋə, mamu kɛshi.  Mɔŋgulu mamu mahəbhərə ɔgunu nɛni mənɔhəbhərə emənə enə enə, mamu okpə dɔdə. Mɔŋgulu mamu mahəbhərə ɔgunu nɛni mayəbhə okpə ini oŋgulu ənɔfərə bu.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,,Oŋgulu ənə ɔhəbhərə kɔyu,Person with a cough
32,,"Efeghə ənə koronavaros owuŋguŋə otə  Amu mɔŋgulu ənə mahəbhərə koronavaros motumburu agəbhə ɔhə kə mɔŋgulu mɔnɔbə. Oŋgulu ənə ɔhəbhərə koronavaros ôkishi kɔyu mə ôtishi ɛtishi (ôkpishi ɛkpish), tat́uŋgu tə mondzəghərə nə tə kɔyu tɛt́ə ilu otə kə ɔdzu ivi mə iyotə kə ohundu ivi. Tat́uŋgu ɛtini teńdə otə kə  ɔdzu mə iyotə kə ohundu wu oŋgulu wokərə, əmamə oŋgulu ɔvwini ɔhəbhərə koronavaros. Oŋgulu ochi ɔgə ənə tat́uŋgu nɛni tegbə ɛvyosə ɔhini ochi kishi iki, mə ohundu ivi, mə ɔdzu ivi, umu hənə oki koronavaros.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,,Efəghə ənə Kɛnyini Wokə Ɔhu Ɔvu Əhə Ɔgunu Nɛni,How to protect yourself
38,,"1. Tɛchi ɔŋguŋə oshi ɛzhi, mə ohundu ɔvu, mə ɔdzu ɔvu otə kɔbu. ","1. Avoid touching eyes, nose, mouth."
40,,2. Tsəbhə osu abu ɛzhi kɔtsəbhə ɔsu otə kusu tokpi tikwiku. Ɔhini wushiŋgi otə kebhi kiburu kebhinjyanə. ,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,,3. Kishí kɔyu nə wokpishí ɛkpishi əsotə kə etsə yɔbu. ,3. Cough and sneeze into the crook of your arm. 
44,,"4. Di okpə wuri ɛnyimi yɛku nə di okpə wochi ɛnyimi ənə ebərə eemu. Ŋgə wuchɛchini, wotsəbhə osu abu otə kamuru mɛbhinjyanə nə kusu.",4. Avoid eating raw meat and touching live animals.
49,,"5. Mu, wɔnə uji ɔhə kə oŋgulu ənə ôkishi kɔyu mamu ôkpishi ɛkpishi kɔfughə ɔbu ubhiŋgiri. ",5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51,,6. Wutotumuŋə ɔbu ɔhə kə mɔŋgulu. Wupinyini mɔŋgulu otə kə esəŋgə ɔbu mə wupinyini okpə mɔŋgulu otə kə ɛyəbhə ɔdzu.,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53,,7. Wutamu ɔŋguŋə ɛvyotə kitu.,7. Avoid gatherings. 
55,,8. Wutɔwuŋgu obughuŋə.,8. Restrict movement.
57,,9. Wokiri okərə ɛtsulu ənə itumburu nə koronavaros. Nə wɔtəmbə ɔwulu ənə ɛtsulu ɛzhini ilu ɔhu.,9. Keep informed and verify the source of information.
58,,Ɔgə ənə wɔhəbhərə kɛnyini korona uhuŋgu uvu.  Wodi emənə yɔ Koronavaros:   - Tɛchi ɔŋgunə mɔŋgulu   - Mu kitumbu-itumbu   - Biri 1510 wonyini ɔgə ənə dutu ɔkərə ɔbə.  Ɔhumbu yi mitighiri yɔkərə:  ,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,,"Kənɔtsə iwunu mənəhɔkiri efəghə ənə kafərə KOVID_19, mogiri mɔbə okpə iyish mekiriŋə efəghə ənə kogi afərə ɔgunu nɛni otə.  Oŋgulu wananə ɔhəbhərə kafə akpəranə, onyini minu mɛchɛchi kɔkə kiwundu kɔhu iki nə mɔŋgulu ənə mamu nə umu.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,,,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,,"Ɛtsulu Yɔ Korona Varos Əne Wɔhəbhərə Kɔkərə  © CABTAL, 2020 "
68,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ,"Ɛtsulu Yɔ Korona Varos Əne Wɔhəbhərə Kɔkərə  Cameroon Association for Bible Translation and Literacy  Ɛtsulu Yɔ Korona Varos Əne Wɔhəbhərə Kɔkərə                              Mɛrəŋgə Mə Minu - Koronavaros - Mɔŋgulu ənə əmamə ɔwusu uhuŋgu - Emənə yɔ Koronə - Efəghə ənə Korunu owuŋgunə otə - Efəghə ənə kɛnyini wokə ɔhu ɔvu əhə ɔgunu nɛni - Ɔgə ənə wɔhəbhərə kɛnyini korona uhuŋgu uvu     p.2 p.3 p.4 p.5   p.6  p.8  Koronavaros  Koronavaros mɛbiri otsə (KOVID_19), amu varos woyi ɔmu ulu ɔbə. Mahə ɛkiri awunu bhənə kitundu ka Chayna əsə kə mobughu mə otu akələ nə utu onə kə ɔtəŋgə Wɛkrishi. Ochishi ulu emənə odyoŋgi kɔyu. Wutodi wǒchi ɔnotə kə ɔhu wu oŋgulu, əmamə uzu ongulu ɔvu ini. Koronavaros wayəndə ote mitundu mə owumu mikwiku. Mɔŋgulu  mənəhɔkərə ɔwulu ənə ulu ɔhu.   Oŋgulu wɔtəbanə  Oŋgul ənə ɔfughuru nə otəmə  Mɔŋgulu ənə əmamə mawusu ɛki Koronavaros  Varos woyi nɛni əmamə uhuŋgu di əsamu wuneli ɔyunu, mamu oŋgulu wɔtəbhanə. Mɔŋgulu matəbhanə nə mɔŋgulu ənə mahə ahəbhərə agunu yɔkərə di: ɔgunu wu iimu, daybitis, agunu yi otəmə, nə ɔgunu wu ɛshiŋgi otəmə ɛbighiryanə əmamə mofi obishi agunu ɔgunu nɛni esəŋə esəŋə.   -Ɔhu ozunwanə -Mɔburwanə  -Kanəŋgərə -Kɔyu aghəŋgə akənanə Emənə yi ɔgunu Wɔ Koronavaros  Emənə yi ɔgunu wɔ Koronavaros ezhi ekpə di emənə yi kɔyu, amu: ɔhu ozunwanə, kɔy̌u anəŋgəranə, aghəngə ɔpunwanə, mɔburwanə. Mɔŋgulu mamu magunu koronavaros moguru ɔhu iwini opu ondəŋə ɔnotə, mahəbhərəŋə ohúndu oŋgilyanə, mahəbhərəŋə ohundu orwanə, kaŋguraŋgu kafiŋə, mamu kɛshi.  Mɔŋgulu mamu mahəbhərə ɔgunu nɛni mənɔhəbhərə emənə enə enə, mamu okpə dɔdə. Mɔŋgulu mamu mahəbhərə ɔgunu nɛni mayəbhə okpə ini oŋgulu ənɔfərə bu.  Oŋgulu ənə ɔhəbhərə kɔyu Efeghə ənə koronavaros owuŋguŋə otə  Amu mɔŋgulu ənə mahəbhərə koronavaros motumburu agəbhə ɔhə kə mɔŋgulu mɔnɔbə. Oŋgulu ənə ɔhəbhərə koronavaros ôkishi kɔyu mə ôtishi ɛtishi (ôkpishi ɛkpish), tat́uŋgu tə mondzəghərə nə tə kɔyu tɛt́ə ilu otə kə ɔdzu ivi mə iyotə kə ohundu ivi. Tat́uŋgu ɛtini teńdə otə kə  ɔdzu mə iyotə kə ohundu wu oŋgulu wokərə, əmamə oŋgulu ɔvwini ɔhəbhərə koronavaros. Oŋgulu ochi ɔgə ənə tat́uŋgu nɛni tegbə ɛvyosə ɔhini ochi kishi iki, mə ohundu ivi, mə ɔdzu ivi, umu hənə oki koronavaros.     Efəghə ənə Kɛnyini Wokə Ɔhu Ɔvu Əhə Ɔgunu Nɛni 1. Tɛchi ɔŋguŋə oshi ɛzhi, mə ohundu ɔvu, mə ɔdzu ɔvu otə kɔbu.   2. Tsəbhə osu abu ɛzhi kɔtsəbhə ɔsu otə kusu tokpi tikwiku. Ɔhini wushiŋgi otə kebhi kiburu kebhinjyanə.   3. Kishí kɔyu nə wokpishí ɛkpishi əsotə kə etsə yɔbu.   4. Di okpə wuri ɛnyimi yɛku nə di okpə wochi ɛnyimi ənə ebərə eemu. Ŋgə wuchɛchini, wotsəbhə osu abu otə kamuru mɛbhinjyanə nə kusu.     5. Mu, wɔnə uji ɔhə kə oŋgulu ənə ôkishi kɔyu mamu ôkpishi ɛkpishi kɔfughə ɔbu ubhiŋgiri.   6. Wutotumuŋə ɔbu ɔhə kə mɔŋgulu. Wupinyini mɔŋgulu otə kə esəŋgə ɔbu mə wupinyini okpə mɔŋgulu otə kə ɛyəbhə ɔdzu.  7. Wutamu ɔŋguŋə ɛvyotə kitu.  8. Wutɔwuŋgu obughuŋə.  9. Wokiri okərə ɛtsulu ənə itumburu nə koronavaros. Nə wɔtəmbə ɔwulu ənə ɛtsulu ɛzhini ilu ɔhu. Ɔgə ənə wɔhəbhərə kɛnyini korona uhuŋgu uvu.  Wodi emənə yɔ Koronavaros:   - Tɛchi ɔŋgunə mɔŋgulu   - Mu kitumbu-itumbu   - Biri 1510 wonyini ɔgə ənə dutu ɔkərə ɔbə.  Ɔhumbu yi mitighiri yɔkərə:    699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Kənɔtsə iwunu mənəhɔkiri efəghə ənə kafərə KOVID_19, mogiri mɔbə okpə iyish mekiriŋə efəghə ənə kogi afərə ɔgunu nɛni otə.  Oŋgulu wananə ɔhəbhərə kafə akpəranə, onyini minu mɛchɛchi kɔkə kiwundu kɔhu iki nə mɔŋgulu ənə mamu nə umu.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box : 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Ɛtsulu Yɔ Korona Varos Əne Wɔhəbhərə Kɔkərə  © CABTAL, 2020 "
