kvt,eng,ahk,spa
Yaoq gaq yaoq-ao nee yovq ga yovq gaq nail aq lavq siv  nail phal khail yuq yaoq. ,,,
Jaq jaq daol daol/ miq jaq khaol tsil khe yuq nail nl maoq Ul cuvq khaoq-aq-nq/ aq lavq siv nail phal khail niil juq bhai Teevq gaq khe-ai thaq yuq. ,,,
Naoq nail lavq ceevq-i mail maiv phaoq bhai khal hai khi mail ngaol-aoq maq lav yao kivq-ail.,,,
Lol gov laol phao-u bhai lavq ceevq maq ngel haq bavq  Puv-i mail thaoq phao yaoq. Pevq lai kivq ha neq aq lavq-i  mail thaq phao. ,,,
Il khaol ,,,
Lavq niil nee mail kovq lal nail aq yanq.,,,
Jaq jaq daol daol maq jaq maq daol nail gaiq laq bhai,,,
Aq lavq bhai sav bhaiq-aq-i mail khaq mao gail tsiq yaoq.,,,
Haoq nao nao saq neq ,,,
Sav bhaiq-aq.,,,
Tsaol-aq yaq yaoq gaq yaoq-ao nee mail ya cov ya lav-ail nail phaq nee jel-ail heeq phaq-ail jaol yaoq. ,,,
,"Created by Weiman Kow, instagram: weimankow",,
"Koq loq naq nal goel daq ma nail ganl    Koq loq naq nal goel neq khal heel nail nal goel dai Aq meeq meeq dai heeq kivq nail loq nail ngaol.  Niaoq lal khi el-ail nia nail ganl.  Moeq thaoq  Nal bhaoq  Maiv neev  Naoq nail lavq khoel bhai aq duq niil juq nee aol-Ail nia nail ngaol.  Jaol hal dov nail tsaol-aq Nal goel aol nail tsaol-aq  Ul lul niil jiav khal ail haq neq nal goel mao dai el-ail nia nail ngaol.   Liq cav khaiq nail bhai jaol nail bhaq da nee nal goel aq ma bhoel leevq nail nee bhuq-ail lao ail nail  ngaol. 1 Liq cav Hal tsiq Al heel ngel-i mail tsaol-aq teevq gaq civq nieivq tsiq  nail hal tsiq tsiq nail coevq sil nail niil juq bhai moel lal haq  neq, pul-nvq khe gevq-ai thaq nail khe-ai ya nl nail ngaol.  Aq yu juq bhai moeq bhaoq-ai pavq cuvq nail(Mask) bivq yaoq. Al moeq bhaoq bhai pavq cuvq nail yuq nail bhaq da nee aq yu juq mail hal tsiq tsiq nail civq nieivq tsiq nail al juq yu bhai maq niaoq-ail nia-ail.  2 Geeq laoq eeq naol (Nal eel dov nail juq)  Maq ngel haq neq  Aivq maq coevq sil gaoq neq, aiqv bhai aivq maq bhi niaoq lal dai yaol phaol nail gail pevq nia nail ngaol. Nal goel niaoq lal khi ngaol-aoq nal goel nail se khi se laq maq dov lal dai jiav nia nail ngaol. Al hai ngaol-aoq neq nal goel neq niaoq lai nia nail ngaol.  Khaq sil gaq bhai nal goel niaoq nail dai maq heeq kivq Nail ngel-I mail ge gal laq-u bhai tsoal-aq bhoi nail aq duq bhai yaol phaol yaoq.  Thul-nq  Jaol hal dov nail juq  Yaq thal/laoq liq nail aq lavq nioi thaiq duq  Cav nail thaoq joe khe thoiq nail nl maoq  Moeq bhao siv nail gal lal  Ul cuvq daol nail khaoq-aq-nq  Cav nail nl maoq teevq phaq ga nav  Moeq bhao-ai pavq cuvq nail nil maoq(mask) nail lavq niil phao khe  Thaoq joe nail lavq heiv  koq-nq piq-uq taq khe yuq nail ov cavq Haoq gaqv gevq nail dail kheq Lol gov gov bhaq Aq yu juq nail aq lavq  Al uq tavq coevq sil nail juq nail thaiq khaq neq teevq povq ga nav yal kav lov kav bhai gail niaoq nia nail ngaol. Daoq ma uq huq daoq_ Nul juq iq sanl mail coevq sill al nia khi nal goel niaoq lal nia nail ngaol. Naol gaiq-a nail gaq nail maiv phaoq bhai aq-eel lav yao haq neq  Maiv neev bhai aq-eel gaiq yaoq lai haq neq  Ge gal lavq-u bhai nl maoq thoil juq teevq phaq ga nav  Bhai naol nioi thaiq khi naoq nail maiv phaoq bhai gaoq bhi yao lai haq neq  Thoil thai deeq teev yaol phaol nail gal duq neq aq lavq  bhai sav bhaiq-aq mail maq ngel haq kaoq haol kheq nail ul lul mail aq meeq meeq dai ya tsiq nail ngaol. Nal goel aq ma niil neq nl maoq yal kav nail kov tavq bhai Naq li mao dai lavq aq doevq doevq khi jaol niia nail ngaol. Sav bhaiq-aq   Nal goel maq bhiq niaoq lal dai iq moeq ya laiq-nq gai Nail (5) phaq Niil juq bhai tsao the haq neq mail ma-ail meeq nail ngaol.   Niai kev dai sav bhaiq-aq mail tsiq yaoq  Sav bhaiq-aq  Lavq ceevq  Naoq nail maiv phaoq bhai thaq lav yaoq (maq ngel haq) yu nail maiv phaoq bhai gail thaq lav yao. Lav yao nail loq lal haq neq iq moeq il moeq sav bhaiq-aq mail aq lavq aq meeq meeq dai tsiq yaoq.  Hail pil bhal deil daoq sel nvq pov gul gaq dan-u kev dai  tsiq yaoq Lavq heeq iq govq bhai  20 seil kanv  Lavq gaiq juq bhai Lavq pav kov tavq bhai tsiq yaoq  Maq doi maq doi dai ge nail neq khal heel bhai ge movq Nail.  Ya lav yao khi mail ngaol-aoq thaq noeq haq naoq nail aq lavq bhai sav bhaiq-aq mail aq meeq meeq dai gaoq  tsiq yaoq.  Moeq bhaoq-ai pavq cuvq nail lavq niil phao gail maq ya  lav-ail.  Khal kha nail ul lul  Moeq bhaoq-ai pavq cuvq nail teevq laiq bhai mao dai yuq moq ha neq nal goel aq ma neq a bhai gaoq doevq lal nail ngaol.  Moeq bhaoq-ai pavq cuvq nail(mask)teevq laiq neq  teevq-n maq ngel nail neq thaq yuq. Aq nuq nuq-ail haq liv ha pivq yaoq.  Jal tsoiq bhai cav khuq-i mail khuq khi yuq yaoq.  Yaq noil juq  Aq bhu  Aq ma Yaoq gaq yaoq-ao nee yovq ga yovq gaq nail aq lavq siv  nail phal khail yuq yaoq.  Jaq jaq daol daol/ miq jaq khaol tsil khe yuq nail nl maoq Ul cuvq khaoq-aq-nq/ aq lavq siv nail phal khail niil juq bhai Teevq gaq khe-ai thaq yuq.  Naoq nail lavq ceevq-i mail maiv phaoq bhai khal hai khi mail ngaol-aoq maq lav yao kivq-ail. Lol gov laol phao-u bhai lavq ceevq maq ngel haq bavq  Puv-i mail thaoq phao yaoq. Pevq lai kivq ha neq aq lavq-i  mail thaq phao.  Il khaol  Lavq niil nee mail kovq lal nail aq yanq. Jaq jaq daol daol maq jaq maq daol nail gaiq laq bhai Aq lavq bhai sav bhaiq-aq-i mail khaq mao gail tsiq yaoq. Haoq nao nao saq neq  Sav bhaiq-aq. Tsaol-aq yaq yaoq gaq yaoq-ao nee mail ya cov ya lav-ail nail phaq nee jel-ail heeq phaq-ail jaol yaoq.  Tsaol-aq yaq yaoq gaq yaoq-ao nee mail ya cov ya lav-ail nail phaq nee jel-ail heeq phaq-ail jaol yaoq.  Sav bhaiq-aq.       Koq loq naq nal goel daq ma nail ganl        ","About Coronavirus                                                                                         About Coronavirus    Created by Weiman Kow, instagram: weimankow    ",Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ                                                                                         Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ        ,Sobre el Coronavirus                                                                                         Sobre el Coronavirus        
