,lts,heg,eng
76,,sabu ,
77,,Doh babanan le hedam deken! ,
79,,Sabu,
80,,Bisa les in teka-teka deeh pait deng in dula-les mo dapang nia ngas. ,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",
84,,In teka ni hapun muna deng mantri las: ,
85,,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
88,,,Diterjemahkan dalam Bahasa Helong oleh Misriani Balle
89,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org"
90,,,"Created by Weiman Kow, instagram: weimankow"
95,Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,"In Teka deng Virus Corona    Muik DASI MESA man kita musti tanan deng virus korona li in holhising nga  Baha  Ilu nol  Mata  Tama lako  Atuil in hed lo Atuil in heda  Virus ni holhising deng kapen Lam musti dil kakatang nataka le meter 2 halin tom un kapen in hising nga deken.  1 0,5-2 meter  Haachii!!  Eta mi net atuli mes kode tam heda tam hngasing taa le hangi BELEN MASKER. Le halin eta un kode ta hangi lam se masker ra dale. Eta ela lam tom atuil didang lo.  2 Nodan mamo “SROOT”  TAMLOM  Eta atuli mes pake kai-baut elia lam bet un heda lo, ni in doh apa tukun.  Atuling man in tom virus son na bet kit tanan lo, molam eta un tom son nam, kit kon bisa hapun deng una.  In banan dui ka, laok se mana-maan atuli in nakbua kas deken, undeng mi taan lo noan atuling in heda ki ola lia.  bisi  atuil in hed lo  man in kila  tombol  kitu  klas  Hp komputer  masker ra likun na  tangga  maus  bulpuin  hnita  ima ka  Nol mes pait, atuil in heda ki kapen na bisa napin se…..  lam mi totoang bisa haup iil nia. huud atuil mi in namnau ngas silans,  kose matan tam,  Eta mi taan lo, mo mi huud tom sa-saa nias hidim huud mi silan nas tam,  Lalan in puti banan mes taung in tom virus ni lo ka, MUSTI haun iman nini sabu, bycline tamlom alkohol.  Virus ni bisa tahang naal se sa-saa mes dapa jam 24  sabu deng in doh apan deng virus nia ka. Undeng na le banan dui ka muid in teka  haun iman babanan lako pes sikun nini sabu. sabu sikun  Boel huud silan (tamlom atuil didang sila deken) Banan dui ka haun iman nini saub muna le.  haun nesang nga banansila el in tao dain “selamat ulang tahun” oe dua.  hngulun  detik 20 ela.  hnagan  haun iman klupu  Lalan in haun iman ni-niu ki elola?  Eta hudun nam, lii-tiud deken. Kit bisa hlalapat haun iman nini sabu.  Boel huud masker ra likun na deken.  kapen in nahi ngas  Eta kit pake masker mes nesang isi kam ili koed-ngasing bisa nutu ana se masker ra dalen.  Soleng masker ra eta nataka le hmomos son. Boel pake masker ra oe-oe tamlom nesang isi deken.  Pake sulut in sul utan  Tana-ana ngas Papa Mama  Mesa-mesam no-nool un handuk  Boel leo-leo pake sa-saa in kaa, in pake, el klas nol handuk deken.  Mi bisa huud naal silan nini sikun tamlom adun lo ta lo?  Eta bisa lam sai hnita kas nini sikun tamlom adun.  Uma Pait umam deng likun nam haun iman  Kaa biim haun iman  Haun iman nini saub tutungus…  In teka hmudin nia:  sabu  Doh babanan le hedam deken!  Doh babanan le hedam deken!  Sabu Bisa les in teka-teka deeh pait deng in dula-les mo dapang nia ngas.  ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020) ""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020) In teka ni hapun muna deng mantri las:  Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com In Teka deng Virus Corona        ","About Coronavirus                                                                                      About Coronavirus  Diterjemahkan dalam Bahasa Helong oleh Misriani Balle Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org Created by Weiman Kow, instagram: weimankow    "
