,eng,mlw,fra
28,Dry cough Muscle aches and pains,-məɓəsle sasəfəlak ga -alməwere aməkəɗe hərva,- Toux sèche - Douleurs musculaires
29,"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Məwere ahay Məwere aməjəve anga koronavəyrəws ná tazaɗva nə cəje a mədegen: məbəye oko kə va aka, məɓəsle sasəfəlak ga, alməwere  aməkəɗe hərva ɗesl ɗesl ga nə məyeɗe. Ndam cəje enen ahay ná tanday tecen məwere, afərta a mococoŋ ava, anday angəzala nə hənder, awar mburlom bəyɗu məvəre azay. Məze enen ahay nə cəje ndana aməjəvatəvá ná, məwere ahàn azlərav dala bay, tətá pəyecece. Ndam cəje ahay ndana ná, ele malanga tanday tambar mənjaɗ həraf.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
31,Person with a cough,Məze amanday aməɓəsle,Personne qui tousse
32,"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Məjəve anga koronavəyrəws  Kovəyd-19 ajav ná navəy a məze ahay aməgarəvá vəyrəws. Asa məze cəje ga anday aɓəslay bəyɗəw anday agəɓokoy ná, atəlekwey nə hənder bəyɗəw nə ma. Ənde asa məze anday ambesen həmaɗ ahàn atəran ava a hənder ava ná, koronavəyrəws ndana ajəvan. Asa məze alaman avá ana ale a cəje ndana amətəlekwe aka nata atəlkaɗay na ele, alaman ana hənder bəyɗu ana ma ná, cəje ndana ajəvan kəlen.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
37,How to protect yourself,Məjəgorakəvá va ná memey?,Comment se protéger ?
38,"1. Avoid touching eyes, nose, mouth.","1. Məgəye endeɓ ana mətəlkeɗe ele, mətəlkeɗe hənder nata nə ma. ","1. Eviter de se toucher les yeux, le nez, la bouche."
40,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2. Məbele ahar wapaka wapaka ná, nə yam mənjaɗ saban nata nə saban. Ahəlanga ná mətəkaɗakəvá.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
42,3. Cough and sneeze into the crook of your arm. ,"3. Asa asok aməɓəsle ná, kəgəɓokoy; kəɓəslay ná a tapak ahar ava.",3. Tousser et éternuer dans le creux de son bras.
44,4. Avoid eating raw meat and touching live animals.,4. Məgye endeɓ amepeɗe sese jaslay ga  nə məlamata ana gənəw ahay nele ahay ga.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
49,5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,"5. Məgəye welen nə məze amanday aməɓəsle nə məgəɓekwe ná, abəy abəy ná məytər bəlen. ",5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
51,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Məgəye endeɓ ana məgəse ahar. Məjəye ma nə mekete ahar bəyɗəw nə ma.,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
53,7. Avoid gatherings. ,7. Məgəye endeɓ nə məhele ahay deseŋdeseŋ.,7. Eviter les rassemblements.
55,8. Restrict movement.,8. Məgulakəva mətele ahay.,8. Limiter ses déplacements.
57,9. Keep informed and verify the source of information.,9. Məcehe ma nata məwənjele na  slam a ma ahay ndana aməlala ná.,9. Se tenir informé et vérifier la source de ses informations.
58,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,Asa ajəvan avá ana məze ná məgəye na ahàŋ ná memey? Asa məwere ahaŋ ahay təngazlava kə ləkwəye ná: - Gom anan endeɓ aməjepe nə meze enen ahay. - Hənjom ná a mogom. - Torom anan ma ana lamba 1510 nata dəbom anan guzo ana ma anga dokter ahay. Lamba ahay terre ahayga ehe kəleŋ:,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
60,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Cəcengehe ná, həraf mənjekevaga aməmbəre kovid-19 ná abay, azləna ndam gogor a wəyen ahay tanday təngəlay amekəwe həraf amələye kavaka haya. Cum kó way ɗu menje bahaydəray anga dəray a va ahaŋ waya aməgəye ale diday aməjəgwəre dəray a va ahaŋ nata aməjəgwəre məze ahay a masaŋ vay.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
65,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Məpəseke ma ahay məgəye gar ahayga    Asthme ná: Cəje aməsləkce məmbese a hərva. Diabète ná: Cəje amanday aməngezle va anga ale puɗococo ga aməsaɓəvá a pembez ava. Grippe ná: Cəje, mədegen. Hypertension ná: Məsəke anga pembez aməsəkaka a elpembez ava. Infection ná: Cəje. Patient ná: Zər cəje, məze cəjega. Symptôme ná: Alməɗeke, alməngezle cəje. Traitement ná: Həraf, alməmbəre məze. Virus ná: Cəje, ambəlak. Vulnérable ná: Bəle, Kə ahar məje aka. ","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
67,,,"Ale aməgəsaka aməsəre nəvá kə koronavəyrəws aka Koronavəyrəws bəyɗu kovəyd- 19 © CABTAL, 2020"
68,"What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                           SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  ","Ale aməgəsaka aməsəre nəvá kə koronavəyrəws aka Koronavəyrəws bəyɗu kovəyd-19  Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation  Ale aməgəsaka aməsəre nəvá kə koronavəyrəws aka Koronavəyrəws bəyɗu kovəyd-19                             MA TOFL GA -Koronavəyrəws -Ndam məsəye avəya ahay -Məwere ahay -Məjəve anga koronavəyrəws -Məjəgorakəvá va ná memey? -Asa ajəvan avá ana məze ná məgəye na ahàŋ ná memey? -Məpəseke ma ahay məgəye gar ahayga      p.2 p.3 p.4 p.5 p.6  p.8 p.9 Koronavəyrəws  Koronavəyrəws ná, sləmay aháŋ ese ɗəw ná, kovid-19. Ndahan ndana vəyrəws wawəyga, angazlava cecəkem ná a Səyn, məndəye 31 anga kəya hazlav məvəye 2019. Məwere ahàŋ ná azavá nə anga mədegeŋ nata a slam enen ava ɗəw asa adəla gədan avá ná, azala meməɓəsem. Awəɗəvá kə wəyen ahay aka góbay, hərwəyen həddek. Ale amazala cəje ndana məsəre va ga bay.   Məze aməgarəvá məvəye  Məze aməgarəvá cəje a ɓərav bəyɗəw aməsəye avəya nə cəje Ndam məsəye avəya ahay Məze ahay aməgarəvá məvəye kó weley weley bom nata babəza ahay jəyga, vəyrəws wawəyga nehe ná, anjavá aməjəvata. Məze ahay aməgarəvá məvəye nata məze ahay amanday aməsəye avəya nə cəje ɓáɓa fan  ká: Cəje aməsləkəce məze (asme), cəje a ale pəɗococga (diabete), cəje a ɓərav (cardiaque), cəje amədəgele (l’hypertention arterielle). Məze ahay nehe ná asa vəyrəws ná, asa agas ta ná, azakataka ná gam.   -məbiye oko kavaka -məyeɗe  -məɓəsle sasəfəlak ga -alməwere aməkəɗe hərva Məwere ahay Məwere aməjəve anga koronavəyrəws ná tazaɗva nə cəje a mədegen: məbəye oko kə va aka, məɓəsle sasəfəlak ga, alməwere  aməkəɗe hərva ɗesl ɗesl ga nə məyeɗe. Ndam cəje enen ahay ná tanday tecen məwere, afərta a mococoŋ ava, anday angəzala nə hənder, awar mburlom bəyɗu məvəre azay. Məze enen ahay nə cəje ndana aməjəvatəvá ná, məwere ahàn azlərav dala bay, tətá pəyecece. Ndam cəje ahay ndana ná, ele malanga tanday tambar mənjaɗ həraf.  Məze amanday aməɓəsle Məjəve anga koronavəyrəws  Kovəyd-19 ajav ná navəy a məze ahay aməgarəvá vəyrəws. Asa məze cəje ga anday aɓəslay bəyɗəw anday agəɓokoy ná, atəlekwey nə hənder bəyɗəw nə ma. Ənde asa məze anday ambesen həmaɗ ahàn atəran ava a hənder ava ná, koronavəyrəws ndana ajəvan. Asa məze alaman avá ana ale a cəje ndana amətəlekwe aka nata atəlkaɗay na ele, alaman ana hənder bəyɗu ana ma ná, cəje ndana ajəvan kəlen.     Məjəgorakəvá va ná memey? 1. Məgəye endeɓ ana mətəlkeɗe ele, mətəlkeɗe hənder nata nə ma.   2. Məbele ahar wapaka wapaka ná, nə yam mənjaɗ saban nata nə saban. Ahəlanga ná mətəkaɗakəvá.  3. Asa asok aməɓəsle ná, kəgəɓokoy; kəɓəslay ná a tapak ahar ava.  4. Məgye endeɓ amepeɗe sese jaslay ga  nə məlamata ana gənəw ahay nele ahay ga.     5. Məgəye welen nə məze amanday aməɓəsle nə məgəɓekwe ná, abəy abəy ná məytər bəlen.   6. Məgəye endeɓ ana məgəse ahar. Məjəye ma nə mekete ahar bəyɗəw nə ma.  7. Məgəye endeɓ nə məhele ahay deseŋdeseŋ.  8. Məgulakəva mətele ahay.  9. Məcehe ma nata məwənjele na  slam a ma ahay ndana aməlala ná. Asa ajəvan avá ana məze ná məgəye na ahàŋ ná memey? Asa məwere ahaŋ ahay təngazlava kə ləkwəye ná: - Gom anan endeɓ aməjepe nə meze enen ahay. - Hənjom ná a mogom. - Torom anan ma ana lamba 1510 nata dəbom anan guzo ana ma anga dokter ahay. Lamba ahay terre ahayga ehe kəleŋ:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979   699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Cəcengehe ná, həraf mənjekevaga aməmbəre kovid-19 ná abay, azləna ndam gogor a wəyen ahay tanday təngəlay amekəwe həraf amələye kavaka haya. Cum kó way ɗu menje bahaydəray anga dəray a va ahaŋ waya aməgəye ale diday aməjəgwəre dəray a va ahaŋ nata aməjəgwəre məze ahay a masaŋ vay. Məpəseke ma ahay məgəye gar ahayga    Asthme ná: Cəje aməsləkce məmbese a hərva. Diabète ná: Cəje amanday aməngezle va anga ale puɗococo ga aməsaɓəvá a pembez ava. Grippe ná: Cəje, mədegen. Hypertension ná: Məsəke anga pembez aməsəkaka a elpembez ava. Infection ná: Cəje. Patient ná: Zər cəje, məze cəjega. Symptôme ná: Alməɗeke, alməngezle cəje. Traitement ná: Həraf, alməmbəre məze. Virus ná: Cəje, ambəlak. Vulnérable ná: Bəle, Kə ahar məje aka.   ","Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19  Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation  Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19 Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home   Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                                                     SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  Ale aməgəsaka aməsəre nəvá kə koronavəyrəws aka Koronavəyrəws bəyɗu kovəyd- 19 © CABTAL, 2020"
