,fra,azo,eng
29,,"Mənu mbɔʼ gho zɨ́ gho jî ńgə́ gho túgə   Mənu mbɔʼ gho zɨ́ gho jî ńgə́ gho túgə aghɔ zɨ mə́ fî mənu məənə́: akwágə, əfə́gə, akwagə́ yə jwúbtə, mələŋmə́ mbɨ mə záŋnə, ḿbɨ́ ḿbə́ nə́ mbɨ yi mbwɔdnə́. Mbɨ pəghɔ pɨ́d pɨ pətsə́ ə́ záŋnə, ajwɛlə́ á fwɔn məlwú mɔ́b, ajwɛlə́ nkǐ nkǐə, asɛlə kɨ ntsə́ŋə. Á pa tə ńchî nə́ pɨ pətsə́ lə́ ńké tə́ nəələ́ pó, pó chîə aghɔ́b əshîʼnə. Pɨ pətsə́ pə́ féŋtə aghɔ́b tsɔʼə tə jîə mbɔŋə afǔə.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,,Ŋwu páʼ a túg nə́ akwâgə,Person with a cough
32,,"Ndzaŋ aghɔ zəənə́ á lyamnə̂   Aghɔ zəənə́ á fɛ́lə lə́ á mbɨ pɨ pə́ túg nə́ ńdyamnə̂. Mbɔʼ ŋwunə a túg nə́ aghɔ zɨ, a kwag kɨ ńtségnə, məlwî pó pə mətwê mə́ tsɨ́mtə. Mbɔʼ ŋwunə a jwǐə álíʼ yi wɨ́, á twáamə aghɔ yə wə́. Mbɔʼ ŋwunəkwúmə ajú páʼ aghɔ zɨ́d zəənə́ á chî nə́ ə́wɨ́ ḿbɨ́ ńkwum nələ́g jí, ntso yí ḿbá nəlwî jí á ghɔ zəənə́ á lyamnə̂ nə́ yə.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,,Ndzaŋ mbɔʼ gho kɨ́ʼtə mbɨ əzo,How to protect yourself
38,,"1.     Kɔ tə́ ńkwum mə́g mô, ntso gho ḿbá nəlwîə zô.","1. Avoid touching eyes, nose, mouth."
40,,2.     Lɔgə̂ asogə ə́sog mbô ə́wɨ́ əghâ ətsəmə ə́sogə̂ ńgɛlə̂ nkǐ ə́ kwɛdnə̂ pə́ ndəsê. Ńdɔgə̂ ajúmə atsəʼ yə ŋwaʼn nə́ ə́shíg ə́wə́.,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,,"3.     Mbɔʼ gho tə́ ńkwágə kɨ ńtségnə, gho néŋə atûə ázô á nəghabtə gho.",3. Cough and sneeze into the crook of your arm. 
44,,"4.     Kɔ tə́ ńkɔ́d na yi mbə́gə, kɔ kə́ tə ńkúmtə əpúsoolə. Lə́ mbɔʼ gho kwúm, gho lɔgə̂ asogə pó nkǐ əsóg mbô ə́wə́.",4. Avoid eating raw meat and touching live animals.
49,,"5.     Mbɔʼ gho zɨ́ ŋwunə a tə́ ńkwágə kɨ ńtə ńtségnə, kɔ tɨ́ ḿbáatə yə. ",5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51,,"6.     Kɔ kə́ tə́ chaʼtə̂ ŋwunə apô yə. Mbɔʼ gho zə́ənə ŋwu, gho ŋáʼkə apô azô atǐ ńchaʼtə̂ kɨ gho chaʼtə̂ nə́ atséebə ntsoolə.",6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53,,7.     Kɔ pə́ tə́ ńdzâ ńkyetə̂ ə́nə́ənə.,7. Avoid gatherings. 
55,,8.     Kɔ tə́ ńdzâ ńnyi mbǒʼmbóʼə́.,8. Restrict movement.
57,,9.     Ghɛd ndu ntsəmə á mə́ jî nə mənu mə́ tə́ nə́ ńdaŋə̂ ńté aghɔ zəənə́.,9. Keep informed and verify the source of information.
58,,Mənu mbɔʼ gho faʼ əghâ páʼ aghɔ zəənə́ á chî nə́ nə́ gho   Mbɔʼ á tə́ nəələ́ ńgə́ gho tugə aghɔ zɨ: - Kɔ pɨ ńgɛnə̂ alíʼ pɨ pə́ chî nə́ ə́wə́. - Ghɔ́ŋə mə́m dɛ̂. - Fóŋə 1510 ńdzoŋə̂ anu pətsóʼ pə́ sóŋ nə́. Mbɔʼ gho kə́ fóŋə pɨ pə nɔ́mba.,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,,"Tə koʼ ə́sɛn, afuə aghɔ zəənə́ á kě wɨ́ kə́ chîə pô. Pətsóʼ pə́ tə́ ḿbɛ́l̀é ńdzéʼ ndzaŋ mbɔʼ pó chwaalə̂ afǔə. Ŋwuntsəmə á chîə mə́ náŋ nə anu zəənə́ á səglə̂ ə́ kə́ ghɛd ndu ntsəmə á mə́ kɨ́ʼtə nə mbɨ əjî ə́ tû kɨ́ʼtə pɨ pə́ chî nə́ mbɛnə́ yə́.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,,,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,,"MƏNU PÁʼ GHO CHÎ NƏ́ MƏ́ JÎ NƏ ŃTÉ KOLÓNÁFÁLƆS KI KOFID 19  © CABTAL, 2020 "
68,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ,"MƏNU PÁʼ GHO CHÎ NƏ́ MƏ́ JÎ NƏ ŃTÉ KOLÓNÁFÁLƆS KI KOFID 19  Cameroon Association for Bible Translation and Literacy  MƏNU PÁʼ GHO CHÎ NƏ́ MƏ́ JÎ NƏ ŃTÉ KOLÓNÁFÁLƆS KI KOFID 19                      MƏNU MƏTSƏM ŃTÉ Á ZƏ́ƏLƏ́ - Kólónáfálɔs - Pəənə ándó mbɔʼ aghɔ zəənə́ á waamə̂ aghóobə́. - Mənu mbɔʼ gho zɨ́ gho jî ńgə́ gho túgə. - Ndzaŋ kólónáfálɔsə á lyamnə̂ nə́ - Ndzaŋ mbɔʼ gho kíʼtə mbɨ əzo - Anu mbɔʼ gho ghɛd paʼ tə mbɔʼ á kwú nə́ gho.     p.2  p.3 p.4 p.5  p.6  p.8  Kolónáfálɔs  Kolónáfálɔs, kɨ cófid 19 lə́ aghɔ yəfîə. Á nə́ ńchwáakə lə́ á China nə́ əlembî 31 á mə́m sáŋ Kɛlə́səmɛ́lə á mə́m 2019. Akwâgə lə́ yətsə́ ajúmə á mə nɨd nə ńgə́ wə́ələ́ á chî nə ŋwunə, ḿbə́ nə́ əghâ pə nɨ́ nə́, á chî mbɔʼ á jwítə. Á lyamnə̂ nə əláʼ pə nɨ́ nə́ á mə́m mbîə. Pə́ kě kə́ jîə chigə á jú páʼ á fɛ̂ nə́ aghɔ zɨ́d zi pô.   Ntəŋkaŋə́  Ŋwu páʼ a túg nə́ aghoonə́ á ntɨ́ yí kɨ mətsə́ məghoonə́ Pəənə ándo mbɔʼ aghɔ zəənə́ á waamə̂ aghóobə́  Mbɔʼ aghɔ yə əfî zəənə́ á waamə̂ ŋwu tsəmə. Pə təkaŋ ḿbɨ́ ḿbə́ nə́ pəənə ándó pó peg nə́ ńtúg məghɔ mi mə́ ndaʼə ándó (akwágə ntɨ́, aghoonə́ shúga, mətsə́ məghoonə́ á mə́m ntɨ́ ḿbɨ́ ḿbə́ nə́ achǐə yə kɔ́ʼ nə) Mbɔʼ á wam ńté pɨ zɨ á tyantə̂.    -Əfə́gə -Mbɨ yi mbwɔd nə  -Akwágə yə jwúbtə -Mələŋə mə́ mbɨ pó pə mbɨ zaŋnə Mənu mbɔʼ gho zɨ́ gho jî ńgə́ gho túgə   Mənu mbɔʼ gho zɨ́ gho jî ńgə́ gho túgə aghɔ zɨ mə́ fî mənu məənə́: akwágə, əfə́gə, akwagə́ yə jwúbtə, mələŋmə́ mbɨ mə záŋnə, ḿbɨ́ ḿbə́ nə́ mbɨ yi mbwɔdnə́. Mbɨ pəghɔ pɨ́d pɨ pətsə́ ə́ záŋnə, ajwɛlə́ á fwɔn məlwú mɔ́b, ajwɛlə́ nkǐ nkǐə, asɛlə kɨ ntsə́ŋə. Á pa tə ńchî nə́ pɨ pətsə́ lə́ ńké tə́ nəələ́ pó, pó chîə aghɔ́b əshîʼnə. Pɨ pətsə́ pə́ féŋtə aghɔ́b tsɔʼə tə jîə mbɔŋə afǔə.  Ŋwu páʼ a túg nə́ akwâgə Ndzaŋ aghɔ zəənə́ á lyamnə̂   Aghɔ zəənə́ á fɛ́lə lə́ á mbɨ pɨ pə́ túg nə́ ńdyamnə̂. Mbɔʼ ŋwunə a túg nə́ aghɔ zɨ, a kwag kɨ ńtségnə, məlwî pó pə mətwê mə́ tsɨ́mtə. Mbɔʼ ŋwunə a jwǐə álíʼ yi wɨ́, á twáamə aghɔ yə wə́. Mbɔʼ ŋwunəkwúmə ajú páʼ aghɔ zɨ́d zəənə́ á chî nə́ ə́wɨ́ ḿbɨ́ ńkwum nələ́g jí, ntso yí ḿbá nəlwî jí á ghɔ zəənə́ á lyamnə̂ nə́ yə.     Ndzaŋ mbɔʼ gho kɨ́ʼtə mbɨ əzo 1.     Kɔ tə́ ńkwum mə́g mô, ntso gho ḿbá nəlwîə zô.  2.     Lɔgə̂ asogə ə́sog mbô ə́wɨ́ əghâ ətsəmə ə́sogə̂ ńgɛlə̂ nkǐ ə́ kwɛdnə̂ pə́ ndəsê. Ńdɔgə̂ ajúmə atsəʼ yə ŋwaʼn nə́ ə́shíg ə́wə́.  3.     Mbɔʼ gho tə́ ńkwágə kɨ ńtségnə, gho néŋə atûə ázô á nəghabtə gho.  4.     Kɔ tə́ ńkɔ́d na yi mbə́gə, kɔ kə́ tə ńkúmtə əpúsoolə. Lə́ mbɔʼ gho kwúm, gho lɔgə̂ asogə pó nkǐ əsóg mbô ə́wə́.     5.     Mbɔʼ gho zɨ́ ŋwunə a tə́ ńkwágə kɨ ńtə ńtségnə, kɔ tɨ́ ḿbáatə yə.   6.     Kɔ kə́ tə́ chaʼtə̂ ŋwunə apô yə. Mbɔʼ gho zə́ənə ŋwu, gho ŋáʼkə apô azô atǐ ńchaʼtə̂ kɨ gho chaʼtə̂ nə́ atséebə ntsoolə.  7.     Kɔ pə́ tə́ ńdzâ ńkyetə̂ ə́nə́ənə.  8.     Kɔ tə́ ńdzâ ńnyi mbǒʼmbóʼə́.  9.     Ghɛd ndu ntsəmə á mə́ jî nə mənu mə́ tə́ nə́ ńdaŋə̂ ńté aghɔ zəənə́. Mənu mbɔʼ gho faʼ əghâ páʼ aghɔ zəənə́ á chî nə́ nə́ gho   Mbɔʼ á tə́ nəələ́ ńgə́ gho tugə aghɔ zɨ: - Kɔ pɨ ńgɛnə̂ alíʼ pɨ pə́ chî nə́ ə́wə́. - Ghɔ́ŋə mə́m dɛ̂. - Fóŋə 1510 ńdzoŋə̂ anu pətsóʼ pə́ sóŋ nə́. Mbɔʼ gho kə́ fóŋə pɨ pə nɔ́mba.  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Tə koʼ ə́sɛn, afuə aghɔ zəənə́ á kě wɨ́ kə́ chîə pô. Pətsóʼ pə́ tə́ ḿbɛ́l̀é ńdzéʼ ndzaŋ mbɔʼ pó chwaalə̂ afǔə. Ŋwuntsəmə á chîə mə́ náŋ nə anu zəənə́ á səglə̂ ə́ kə́ ghɛd ndu ntsəmə á mə́ kɨ́ʼtə nə mbɨ əjî ə́ tû kɨ́ʼtə pɨ pə́ chî nə́ mbɛnə́ yə́.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P. O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  MƏNU PÁʼ GHO CHÎ NƏ́ MƏ́ JÎ NƏ ŃTÉ KOLÓNÁFÁLƆS KI KOFID 19  © CABTAL, 2020 "
