fra,bri,eng
"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Njɛnɛ ène kàndɛ̀ yà Kòlonà e tanɛyi lì lɛ̀mbɛ è?  Ène kàndɛ̀ yà Kòlonà è tanɛyi lì lɛ̀mbɛ tɔ̀ ima mòkèka mo mòtò.  Ène kàndɛ̀ ya àmbeli hwàmbaki hwa hwàtò nà hwàtò ema hwa lomi lì ohvà ihvɛhvɛ nyàmbɛ o inyo ja awu, rzɛhvɔni; ekɔlirzɛ̀ ya yàŋgaŋga, è nyàmbɛ yà wɔ̀ɔmbɔ, è nyàmbɛ yà ndoŋgo, è nyàmbɛ yà màìja ma agbeli.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
- Fièvre - Fatigue,-Liyeti -Liyɔ̀tɛ,Fever Fatigue
- Toux sèche - Douleurs musculaires,-Ekɔlirzɛ̀ ema e aŋgai -Li kpàtàmà,Dry cough Muscle aches and pains
"Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.","Hwe èmbàneli hwe ène kàndɛ̀ yà Kòlonà  Hweèmbàneli hwe è kàndɛ̀ yà Kòlonà hwe gbei ndi nàa è hwe èhvòkòhvòkò; ema e hweli liyeti, ekɔlirzɛ̀ ema e aŋgai, li kpàtàmà, nà liyɔ̀tɛ. Lòŋgò la hwàokèlì hwa hweya mòrzìyò, mehvemba me umbàhwà, mohvemba mo tɔɔ, etàiŋgo, tɔ̀ mokuhwàkò. Tɔ̀ nɛ lòŋgò la hwàtò hwa ma màa li lɛ̀mbèyà, ndi hwa rzà ohvì tɔ̀ èmbànèlì ndèŋgànɛ̀lɛ̀ hwa rzà hweya tɔ̀ mòrziyò o nyo. Rzayi-rzayi ja hwàtò hwa wɔ̀hweya, e rzì hwɛ lì gbèyana tɔ hwètùne hwe towotowo.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
Personne qui tousse,Moto ema a ɔkirzɛ ekɔlirzɛ,Person with a cough
"Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.","Nɛ ène kàndɛ̀ yà Kòlonà e tanɛyi lì hvàalɛhwɛ e?  KOHVID-19 è hvààlɛ̀hwɛ̀ ndi nà hwàtò ema hwa ma màa lì ohvà è kàndɛ̀. Mòtò ema a ma lɛ̀mbèya ène kàndɛ̀ à kɔ̀rzelì tɛ tɔ̀ à arziìmɛ̀ɛ, hweyɔ̀lì hwe mò wurzà o wàna, màɔ̀mbɔ hvɛ o mòhvemba. Ò hvɛhvɛ mòtò ema à rzi lɛ̀mbeli ène kàndɛ̀ a ukelì tɛ ène èki rzìi a koowa monò mùulù à tanɛ a hvàalɛhwɛ ène kàndɛ̀ yà Kòlonà. Mòtò a lɛ̀mbi tɛ yomà ema manù màɔ̀mbɔ tɔ hweyɔlì hwe undelì, rzìi a lɛ̀mbɛ lìirzɔ la eni, moohvemba mo eni tɔ̀ è wàna yà èni, à tanɛyi lì lɛ̀mbeya ène kàndɛ̀ yà Kòlonà.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
Comment se protéger ?,Nɛ o tanɛyi lì aŋgòhwɛ̀lɛ̀ e?,How to protect yourself
"1. Eviter de se toucher les yeux, le nez, la bouche.","1. Ò rza lɛ̀mbɛ miirzɔ̀, moohvemba nà è wàna.","1. Avoid touching eyes, nose, mouth."
2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.,"2. Ò gbèyànè è rzɔ̀hwì nà màlihwa ema ma rzɔlɛ̀hwɛ o lì rzòrza maa ngɛ̀lɛ̀ngɛ̀lɛ̀. Rzii o ma embirzɛnɛ nà è tahwèlì ema è rzàŋgi, ema e ihvɛhwɛ tɔ li hvahvahwa mai.",2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
3. Tousser et éternuer dans le creux de son bras.,3. Ò kɔrzèyà nà lì arziimɛ̀ɛ o mbo yà mɔ̀ mo aŋgɔ.,3. Cough and sneeze into the crook of your arm. 
4. Eviter de manger de la viande crue et de toucher des animaux vivants.,4. Ò rza laa nyàmà ema e rza ìhvɛ̀hwɛ gbamù ndèŋgànɛ̀lɛ̀ ò rza lɛ̀mbɛ hweembe. Ndi o lɛmbi tɛ hweembe o rzorze maa ma aŋgɔ na màlihwa ema ma rzɔlɛ̀hwɛ na e rzɔ̀hwi.,4. Avoid eating raw meat and touching live animals.
5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.,5. O atindɛ eya ya màtànga mayao o mòtò ema à kɔrzèya nà lì arziìmɛ̀ɛ. ,5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.,6. Ò rzì hwàtɛ hwàtò. Yà akɔmɔnɛ nà iikɔmi ja wàna nà hwèhvɛhvɛ hwèembànèlì. ,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
7. Eviter les rassemblements.,7. Ò rzì ukeya hweki hwe ngindi.,7. Avoid gatherings. 
8. Limiter ses déplacements.,8. O kɛɛ mojeŋga.,8. Restrict movement.
9. Se tenir informé et vérifier la source de ses informations.,9. O okaneya mɛɛ̀ndì ndèŋgànɛ̀lɛ̀ o hwàkìrzɛ̀ nɔke-nɔke o lì hwiyà eki ema meŋge mɛ̀ɛ̀ndì me uhwɛlɛlɛyi.,9. Keep informed and verify the source of information.
Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :,Ò hvàyeli tɛ ène kàndɛ̀ mamɛ o aŋgàmɛnɛyi lì gbèya e? Ò aembɛ tɛ hwèembànèlì: - Ò rzì ahviyànɛlɛ nà hwàhvɛhvɛ hwàtò. - O lìya o mààndà ma aŋgɔ. - O kùmbè monò mɔ̀rzɔ̀ŋgi mo jɔ̀ndɔ: 1510. Mehvɛhvɛ mèrzɔ̀ŋgi ema o tanɛ lì kùmba me hwelì ndi:,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.",Natɛ̀ɛ̀ nà nàŋgɛ hwetùne hwe ène kàndɛ̀ yà KOHVID-19 hwe rzi luwahwi. Ndi màkànèyà ma hwelì mà àrzìrzɛ̀ o lì lùwa hwetùne hwe jɔ̀kɛ̀. Tɔ̀ ima mòtò a aŋgamɛnɛyi lì hwiya lì aohvɛ̀ la eni nà lì gbèya mamɛ ema e ma ohwàhwɛ nanù ema e gbèyàwè àaŋga nanù a akombɛ̀ nà hwaŋga ema hwa mo hwɛlɛlɛyi o toŋgoŋgo.,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque",,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
,,"Mamɛ o angàmɛnɛyi li hwiya lìhvomɛ̀nɛ̀ ène kàndɛ̀ emaè hwɛlɛ̀hwɛ Kòlonà tɔ̀ KOHVID-19  © CABTAL, 2020 "
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                         SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  ","Mamɛ o angàmɛnɛyi li hwiya lìhvomɛ̀nɛ̀ ène kàndɛ̀ emaè hwɛlɛ̀hwɛ Kòlonà tɔ̀ KOHVID-19  Cameroon Association for Bible Translation and Literacy  Mamɛ o angàmɛnɛyi li hwiya lìhvomɛ̀nɛ̀ ène kàndɛ̀ emaè hwɛlɛ̀hwɛ Kòlonà tɔ̀ KOHVID-19           HWEWULUHWELI HWE ENE KAATÌ -È kàndɛ̀ yà Kòlonà è hwelì ndi mamɛ e? -Njɛnɛ ène kàndɛ̀ yà Kòlonà e tanɛyi lì lɛ̀mbɛ è? -Hwe èmbàneli hwe ène kàndɛ̀ yà Kòlonà -Nɛ ène kàndɛ̀ yà Kòlonà e tanɛyi lì hvàalɛhwɛ e? -Nɛ o tanɛyi lì aŋgòhwɛ̀lɛ̀ e? -Ò hvàyeli tɛ ène kàndɛ̀ mamɛ o aŋgàmɛnɛyi lì gbèya e?    p.2  p.3  p.4  p.5  p.6  p.8  È kàndɛ̀ yà Kòlonà è hwelì ndi mamɛ e?  È kàndɛ̀ yà Kòlonà ema è hwiyahwi hvɛ nàa KOHVID – 19 è hwelì ndi kàndɛ̀ hvenya. È mà lòma ndi lì wurzèyà o èkòmè ya China o 31st  me è ngbɛ̀ndɛ̀ yà Mèòlì mè Rzàlì o ŋma mo 2019. È ohvì hwèembànèlì nàa èhvòkòhvòkò, ndèŋgànɛ̀lɛ̀, è inyamɛnɛyi tɛ e oŋwà lòŋgò la hwàtò. E ma hvàyeya rzayi-rzayi ja hwèkòmè hwe  rze. Mamɛ e jaani ène kàndɛ̀ e rzi hwiyawi.   Hwàmbaki hwa hwàtò  È nyàmbɛ yà ndoŋgo Njɛnɛ ène kàndɛ̀ yà Kòlonà e tanɛyi lì lɛ̀mbɛ è?  Ène kàndɛ̀ yà Kòlonà è tanɛyi lì lɛ̀mbɛ tɔ̀ ima mòkèka mo mòtò.  Ène kàndɛ̀ ya àmbeli hwàmbaki hwa hwàtò nà hwàtò ema hwa lomi lì ohvà ihvɛhvɛ nyàmbɛ o inyo ja awu, rzɛhvɔni; ekɔlirzɛ̀ ya yàŋgaŋga, è nyàmbɛ yà wɔ̀ɔmbɔ, è nyàmbɛ yà ndoŋgo, è nyàmbɛ yà màìja ma agbeli.   -Liyeti -Liyɔ̀tɛ  -Ekɔlirzɛ̀ ema e aŋgai -Li kpàtàmà Hwe èmbàneli hwe ène kàndɛ̀ yà Kòlonà  Hweèmbàneli hwe è kàndɛ̀ yà Kòlonà hwe gbei ndi nàa è hwe èhvòkòhvòkò; ema e hweli liyeti, ekɔlirzɛ̀ ema e aŋgai, li kpàtàmà, nà liyɔ̀tɛ. Lòŋgò la hwàokèlì hwa hweya mòrzìyò, mehvemba me umbàhwà, mohvemba mo tɔɔ, etàiŋgo, tɔ̀ mokuhwàkò. Tɔ̀ nɛ lòŋgò la hwàtò hwa ma màa li lɛ̀mbèyà, ndi hwa rzà ohvì tɔ̀ èmbànèlì ndèŋgànɛ̀lɛ̀ hwa rzà hweya tɔ̀ mòrziyò o nyo. Rzayi-rzayi ja hwàtò hwa wɔ̀hweya, e rzì hwɛ lì gbèyana tɔ hwètùne hwe towotowo.  Moto ema a ɔkirzɛ ekɔlirzɛ Nɛ ène kàndɛ̀ yà Kòlonà e tanɛyi lì hvàalɛhwɛ e?  KOHVID-19 è hvààlɛ̀hwɛ̀ ndi nà hwàtò ema hwa ma màa lì ohvà è kàndɛ̀. Mòtò ema a ma lɛ̀mbèya ène kàndɛ̀ à kɔ̀rzelì tɛ tɔ̀ à arziìmɛ̀ɛ, hweyɔ̀lì hwe mò wurzà o wàna, màɔ̀mbɔ hvɛ o mòhvemba. Ò hvɛhvɛ mòtò ema à rzi lɛ̀mbeli ène kàndɛ̀ a ukelì tɛ ène èki rzìi a koowa monò mùulù à tanɛ a hvàalɛhwɛ ène kàndɛ̀ yà Kòlonà. Mòtò a lɛ̀mbi tɛ yomà ema manù màɔ̀mbɔ tɔ hweyɔlì hwe undelì, rzìi a lɛ̀mbɛ lìirzɔ la eni, moohvemba mo eni tɔ̀ è wàna yà èni, à tanɛyi lì lɛ̀mbeya ène kàndɛ̀ yà Kòlonà.     Nɛ o tanɛyi lì aŋgòhwɛ̀lɛ̀ e? 1. Ò rza lɛ̀mbɛ miirzɔ̀, moohvemba nà è wàna.  2. Ò gbèyànè è rzɔ̀hwì nà màlihwa ema ma rzɔlɛ̀hwɛ o lì rzòrza maa ngɛ̀lɛ̀ngɛ̀lɛ̀. Rzii o ma embirzɛnɛ nà è tahwèlì ema è rzàŋgi, ema e ihvɛhwɛ tɔ li hvahvahwa mai.  3. Ò kɔrzèyà nà lì arziimɛ̀ɛ o mbo yà mɔ̀ mo aŋgɔ.  4. Ò rza laa nyàmà ema e rza ìhvɛ̀hwɛ gbamù ndèŋgànɛ̀lɛ̀ ò rza lɛ̀mbɛ hweembe. Ndi o lɛmbi tɛ hweembe o rzorze maa ma aŋgɔ na màlihwa ema ma rzɔlɛ̀hwɛ na e rzɔ̀hwi.     5. O atindɛ eya ya màtànga mayao o mòtò ema à kɔrzèya nà lì arziìmɛ̀ɛ.   6. Ò rzì hwàtɛ hwàtò. Yà akɔmɔnɛ nà iikɔmi ja wàna nà hwèhvɛhvɛ hwèembànèlì.   7. Ò rzì ukeya hweki hwe ngindi.  8. O kɛɛ mojeŋga.  9. O okaneya mɛɛ̀ndì ndèŋgànɛ̀lɛ̀ o hwàkìrzɛ̀ nɔke-nɔke o lì hwiyà eki ema meŋge mɛ̀ɛ̀ndì me uhwɛlɛlɛyi. Ò hvàyeli tɛ ène kàndɛ̀ mamɛ o aŋgàmɛnɛyi lì gbèya e? Ò aembɛ tɛ hwèembànèlì: - Ò rzì ahviyànɛlɛ nà hwàhvɛhvɛ hwàtò. - O lìya o mààndà ma aŋgɔ. - O kùmbè monò mɔ̀rzɔ̀ŋgi mo jɔ̀ndɔ: 1510. Mehvɛhvɛ mèrzɔ̀ŋgi ema o tanɛ lì kùmba me hwelì ndi:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Natɛ̀ɛ̀ nà nàŋgɛ hwetùne hwe ène kàndɛ̀ yà KOHVID-19 hwe rzi luwahwi. Ndi màkànèyà ma hwelì mà àrzìrzɛ̀ o lì lùwa hwetùne hwe jɔ̀kɛ̀. Tɔ̀ ima mòtò a aŋgamɛnɛyi lì hwiya lì aohvɛ̀ la eni nà lì gbèya mamɛ ema e ma ohwàhwɛ nanù ema e gbèyàwè àaŋga nanù a akombɛ̀ nà hwaŋga ema hwa mo hwɛlɛlɛyi o toŋgoŋgo.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Mamɛ o angàmɛnɛyi li hwiya lìhvomɛ̀nɛ̀ ène kàndɛ̀ emaè hwɛlɛ̀hwɛ Kòlonà tɔ̀ KOHVID-19  © CABTAL, 2020 "
