,rus,eng
28,"Б. Если вы чихаете или кашляете, всегда прикрывайте рот или лицо локтем (не рукой).","b. If you cough or sneeze, always cover your mouth and nose with your elbow (not your hand)."
31,"В. Всегда надевайте маску, когда выходите из дома. Воодушевляйте других носить маску выходя из дома.",c. Always wear a mask when you leave your house. Encourage others also to wear a mask when they leave their house.
36,"Д. Избегайте касания поверхностей, которые трогали другие люди.",d. Avoid touching surfaces that other people have touched.
40,Е. Если другие люди дотрагивались до поверхностей — продезинфицируйте их.  Продезинфицированные поверхности убьют вирус и защитят вас и других.,"e. If a surface has been touched by other people,clean it with disinfectant. Disinfecting surfaces will kill the virus and protect yourself and others. "
44,"Ж. Мойте руки с мылом в течение двадцати секунд несколько раз в день. Если вы прикасались к поверхностям, до которых дотрагивались другие люди, помойте руки. Если вы дотрагиваетесь до денег, также помойте руки. Мытьё рук поможет прекратить распространение вируса.","f. Wash your hands with soap for 20 seconds multiple times each day.  If you have touched a surface that other people have also touched, wash your hands.  If you touch money, wash your hands.  Washing hands will help to stop the spread of the virus."
46,З. Будьте в курсе последней информации о вспышке Covid-19 в вашей области.,g. Stay aware of the latest information about COVID-19 outbreak in your area. 
50,"И. Следуйте рекомендациям, изданными вашим государством или местными органами власти.",h. Follow all the guidelines issued by your state and central government. 
52,Какие симптомы у COVID-19?, What are the symptoms of COVID-19?
54,"Некоторые люди, которые заражены COVID-19, испытывают следующие симптомы:",Some people who are infected with COVID-19 experience these symptoms:
56,а. Температура,"a. Fever,"
58,б. Усталость,"b. Tiredness,"
60,с. Сухой кашель,"c.Dry cough,"
62,д. Затрудненное дыхание,d. Difficulty in breathing.
68,"Однако, некоторые зараженные COVID-19 не испытывают никаких симптомов и не чувствуют себя плохо.  Большинство людей (около 80%) выздоравливают без обращения за специальной медицинской помощью. Примерно один из шести зараженных COVID-19 заболевает серьёзно и испытывает затрудненное дыхание. ﻿Любой человек с температурой, кашлем или затрудненным дыханием должен обращаться за медицинской помощью.  ","However, some people who are infected with COVID-19 don’t experience these symptoms and don’t feel unwell.  Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Any person having fever, cough or difficulty in breathing should seek medical attention."
71,"Единственная возможность узнать, заражён ли человек COVID-19, провести медицинский тест. Поэтому, тысячи людей по всему миру тестируются на наличие COVID-19.","The only way to know if a person has been infected with COVID-19 is through a medical test.  Therefore, across India and across the world, many lacs of people are being tested to see if they have been infected with COVID-19."
73,Кто находится в группе риска и у кого могут развиваться серьёзные симптомы из-за COVID-19?,Who is at higher risk of developing severe illness due to Covid-19?
75,"а. Пожилые люди б. Люди с существующими  проблемами со здоровьем: повышенным артериальным давлением, проблемами с сердцем и легкими, раком или диабетом.","a. Older people, b. Those with underlying medical problems like high blood pressure, heart disease, lung disease, cancer or diabetes."
79,"в. Однако, у каждого инфицированного COVID-19 может развиваться тяжелейшая форма болезни. Профилактика лучше лечения!","c. However, anybody who is infected with COVID-19 may develop a severe illness.  Prevention is better than cure! "
81,"Что делать или не делать для того, чтобы остановить распространение COVID-19?", What are the DO’s and the DON'Ts in order to prevent the spread of COVID-19?
83,а. Что делать:,a. DO’s
85,1. Соблюдайте социальную дистанцию.,i.Practice “Social Distancing”.
87,2. Регулярно мойте руки с мылом.,ii. Wash your hands frequently with soap. 
91,3. Прикрывайте нос или рот локтем во время кашля или чихания.,  iii. Cover your nose and mouth with your elbow whilst coughing or sneezing.
93,"4.  Если вы используете носовой платок, промывайте его с мылом.","iv.If you use a handkerchief, wash it with soap."
97,"5. Прикрывайте нос или рот маской, когда выходите из дома.",v. Cover your nose and mouth with a mask when you go out of the house.
99,"6. Обратитесь к доктору, если у вас температура или затрудненное дыхание."," vi. Consult a doctor if you have fever, cough or difficulty in breathing."
101,7. Избегайте большого скопления людей., vii. Avoid large gatherings of people.  
106,"8. Если вы приносите что-то в дом (продукты, коробки и т.д.), то сперва помойте или почистите их перед тем как использовать.","viii. When you bring anything into your home from outside (even food items, boxes, etc.) first clean it thoroughly before you use it."
108,"9. Мойте руки, если вы дотрагиваетесь до домашних питомцев или других животных.",ix. Wash your hands if you touch any pets or animals.
110,10. Будьте в курсе и оставайтесь в безопасности.,     x. Be Aware and Be Safe. 
115,Б. Что нельзя делать:,b. DON'Ts
117,"1. Не приближайтесь к людям, у которых есть температура или кашель.",i. Don't come near other people if you are having a cough or fever.
119,"2. Не трогайте руками глаза, нос или рот.","  ii. Don't touch your eyes, nose and mouth."
121,3. Откажитесь от рукопожатий.,   iii.  Don’t shake hands with other people.
126,4. Старайтесь не плевать в общественных местах., iv. Don't spit in public.
128,5. Не принимайте таблетки без рекомендации врача.,        v. Don't take any medicine without a Doctor's advice. 
133,"Коронавирус  Информационный буклет о Covid-19  Коронавирус SIL LEAD﻿ Иллюстрации взяты из поисквой системы Google. Опубликовано: Cristian Education Trust, Май 2020 Дарья Давидовская Иллюстрации взяты из поисковой системы Google. ﻿ Опубликовано: Christian Education Trust, May 2020   Что такое коронавирус? Коронавирус — это семейство вирусов, которые вызывают болезни у животных или людей.  Некоторые виды вирусов вызывают дыхательные инфекции. Заболевания варьируются от простуды до серьёзных заболеваний, таких как Ближневосточный респираторный синдром или Тяжелый острый респираторный синдром. Самые недавно обнаруженные коронавирусные заболевания — это COVID-19. Что такое COVID-19? COVID-19 - это инфекционное заболевание, вызванное недавно обнаруженным коронавирусом. Данный вирус и болезни были неизвестны до декабря 2019 года, когда началась вспышка в Китае, в провинции Ухань. Как распространяется COVID-19? Если зараженный кашляет или чихает, не прикрывая лица или носа, то капли изо рта или носа попадают в воздух. Из воздуха, инфицированные капли могут попасть в нос, рот или глаза другого человека, и заразить его COVID-19.  Если зараженный человек дотрагивается до своего рта или носа, затем прикасается к столу, ручке от двери, ключам или другим предметам, то на поверхности остается Коронавирус. Вирус может жить на поверхности на протяжении нескольких часов. Если другой человек прикоснётся к зараженной поверхности, а затем дотронется до своих глаз, носа или рта, он тоже может заразиться COVID-19. Вот как COVID-19 распространяется между многими людьми.   Что я могу сделать, чтобы защитить себя и других от COVID-19? Вы можете защитить себя и других, соблюдая простые правила: A. Соблюдайте ""Социальную дистанцию"". Это означает что нужно постоянно держать дистанцию в два метра с другими людьми.   Следуйте правилу двухметровой дистанции со всеми, кто не живет с вами в доме или квартире. Социальная дистанция очень важна для защиты себя и других. Дистанция помогает предотвратить распространение COVID-19.   Б. Если вы чихаете или кашляете, всегда прикрывайте рот или лицо локтем (не рукой).   В. Всегда надевайте маску, когда выходите из дома. Воодушевляйте других носить маску выходя из дома.     Д. Избегайте касания поверхностей, которые трогали другие люди.    Е. Если другие люди дотрагивались до поверхностей — продезинфицируйте их.  Продезинфицированные поверхности убьют вирус и защитят вас и других.    Ж. Мойте руки с мылом в течение двадцати секунд несколько раз в день. Если вы прикасались к поверхностям, до которых дотрагивались другие люди, помойте руки. Если вы дотрагиваетесь до денег, также помойте руки. Мытьё рук поможет прекратить распространение вируса.  З. Будьте в курсе последней информации о вспышке Covid-19 в вашей области.    И. Следуйте рекомендациям, изданными вашим государством или местными органами власти.  Какие симптомы у COVID-19?  Некоторые люди, которые заражены COVID-19, испытывают следующие симптомы:  а. Температура  б. Усталость  с. Сухой кашель  д. Затрудненное дыхание      Однако, некоторые зараженные COVID-19 не испытывают никаких симптомов и не чувствуют себя плохо.  Большинство людей (около 80%) выздоравливают без обращения за специальной медицинской помощью. Примерно один из шести зараженных COVID-19 заболевает серьёзно и испытывает затрудненное дыхание. ﻿Любой человек с температурой, кашлем или затрудненным дыханием должен обращаться за медицинской помощью.     Единственная возможность узнать, заражён ли человек COVID-19, провести медицинский тест. Поэтому, тысячи людей по всему миру тестируются на наличие COVID-19.  Кто находится в группе риска и у кого могут развиваться серьёзные симптомы из-за COVID-19?  а. Пожилые люди б. Люди с существующими  проблемами со здоровьем: повышенным артериальным давлением, проблемами с сердцем и легкими, раком или диабетом.    в. Однако, у каждого инфицированного COVID-19 может развиваться тяжелейшая форма болезни. Профилактика лучше лечения!  Что делать или не делать для того, чтобы остановить распространение COVID-19?  а. Что делать:  1. Соблюдайте социальную дистанцию.  2. Регулярно мойте руки с мылом.    3. Прикрывайте нос или рот локтем во время кашля или чихания.  4.  Если вы используете носовой платок, промывайте его с мылом.    5. Прикрывайте нос или рот маской, когда выходите из дома.  6. Обратитесь к доктору, если у вас температура или затрудненное дыхание.  7. Избегайте большого скопления людей.     8. Если вы приносите что-то в дом (продукты, коробки и т.д.), то сперва помойте или почистите их перед тем как использовать.  9. Мойте руки, если вы дотрагиваетесь до домашних питомцев или других животных.  10. Будьте в курсе и оставайтесь в безопасности.     Б. Что нельзя делать:  1. Не приближайтесь к людям, у которых есть температура или кашель.  2. Не трогайте руками глаза, нос или рот.  3. Откажитесь от рукопожатий.     4. Старайтесь не плевать в общественных местах.  5. Не принимайте таблетки без рекомендации врача.    ","Coronavirus    Coronavirus          What is Coronavirus? Coronaviruses are a large family of viruses which may cause illness in animals or humans.  Several corona viruses cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19.  What is COVID-19?  COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019.  How does COVID-19 spread? If an infected person coughs or sneezes without covering their mouth or nose, then droplets from their mouth or nose will be released into the air around them.  From the air, these infected droplets can enter the nose, mouth or eyes of another person and cause them to become infected with COVID-19.  If an infected person touches their mouth or nose,then touches a surface like a table, door handle, keys, money and so on, then this surface will become infected with the Coronavirus.  The virus can live on surfaces for many hours.   If another person touches this infected surface, then touches their eyes, nose or mouth, they may also become infected with COVID-19. This is how COVID-19 is spreading to so many people.   What can I do to protect myself and others from COVID-19? You can protect yourself and others by these simple steps:  a. Practice“Social Distancing”.  This means, at all times, keep a distance of at least 2 metres between yourself and other people around you.   Follow this rule of 2 metre distance for anybody who does not live in the same house as you.  “Social Distancing” is very important to protect yourself and others from the spread of COVID-19.   b. If you cough or sneeze, always cover your mouth and nose with your elbow (not your hand).   c. Always wear a mask when you leave your house. Encourage others also to wear a mask when they leave their house.     d. Avoid touching surfaces that other people have touched.    e. If a surface has been touched by other people,clean it with disinfectant. Disinfecting surfaces will kill the virus and protect yourself and others.     f. Wash your hands with soap for 20 seconds multiple times each day.  If you have touched a surface that other people have also touched, wash your hands.  If you touch money, wash your hands.  Washing hands will help to stop the spread of the virus.  g. Stay aware of the latest information about COVID-19 outbreak in your area.     h. Follow all the guidelines issued by your state and central government.    What are the symptoms of COVID-19?  Some people who are infected with COVID-19 experience these symptoms:  a. Fever,  b. Tiredness,  c.Dry cough,  d. Difficulty in breathing.      However, some people who are infected with COVID-19 don’t experience these symptoms and don’t feel unwell.  Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Any person having fever, cough or difficulty in breathing should seek medical attention.   The only way to know if a person has been infected with COVID-19 is through a medical test.  Therefore, across India and across the world, many lacs of people are being tested to see if they have been infected with COVID-19.  Who is at higher risk of developing severe illness due to Covid-19?  a. Older people, b. Those with underlying medical problems like high blood pressure, heart disease, lung disease, cancer or diabetes.    c. However, anybody who is infected with COVID-19 may develop a severe illness.  Prevention is better than cure!    What are the DO’s and the DON'Ts in order to prevent the spread of COVID-19?  a. DO’s  i.Practice “Social Distancing”.  ii. Wash your hands frequently with soap.       iii. Cover your nose and mouth with your elbow whilst coughing or sneezing.  iv.If you use a handkerchief, wash it with soap.    v. Cover your nose and mouth with a mask when you go out of the house.   vi. Consult a doctor if you have fever, cough or difficulty in breathing.   vii. Avoid large gatherings of people.       viii. When you bring anything into your home from outside (even food items, boxes, etc.) first clean it thoroughly before you use it.  ix. Wash your hands if you touch any pets or animals.       x. Be Aware and Be Safe.      b. DON'Ts  i. Don't come near other people if you are having a cough or fever.    ii. Don't touch your eyes, nose and mouth.     iii.  Don’t shake hands with other people.      iv. Don't spit in public.          v. Don't take any medicine without a Doctor's advice.     "
