,fra,nza,eng
22,Personne cardiaque ou souffrant de maladie,Fafami wa  a mate wo dɛ abebe be dɔ efyɔ̀ srὰyi,Person with a heart condition or disease
23,"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Wa  dɔ atehùŋ yibe è gbɛhɛ   Mà nya mà nya yibe e fye dɔ atehùŋ. Wa amɛ̀mɛ̀ wo wa    à chɛchi dɛbye enzɔ hɛ kwate ke bɛ dɔ atehùŋ. Fafami wa  a mate wo dɛ abebe be dɔ efyɔ̀ srὰyi, wo wa dɔ sugà tɛ̀te kpedri bo hɛ. Wa enzɔ a matè wo ngɔ̀ngɔ̀ srα kpɔ bo yi hɛ yibe bo fye lè dɔ atehùŋ.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
26,- Fièvre - Fatigue,-dɔ ŋwαchi akuku  -vwo kpedri,Fever Fatigue
28,- Toux sèche - Douleurs musculaires,-efyɔ a vɔvɔ  -wo dɔ akàbra,Dry cough Muscle aches and pains
29,"Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.","Bye è yi maŋa dɔ atehùŋ.  Bye atehɛ byɛte dɔ ŋwαchi akuku, vwo kpedri, efyɔ a vɔvɔ wo dɔ akàbra. Wa kpedri sɔ yi mabàte mɔ wo dɛ aŋyɛ bya, ŋwαchi wo dɔ njigrɔ amɔmu dɔ kase. Wa sɔ mate wo kpedri atehùŋ bɛhùŋ è ya maŋatemu . Wazɔ yi sɛsɛ ya ngà wo kpedri alɔhùŋ bo fyete chyαmu.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,Personne qui tousse,ngru a mate wo dɔ atehùŋ mawo efyɔ avɔvɔ,Person with a cough
32,"Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.","Pe dɔ atehùŋ yi kpapuhùŋ  Atehùŋ ke kpapu e wayi e malɛ ngru a mate wo gehùŋ dùkpɛyi nguzo COVID-19. Ebɔ ngru a mate wo dɔ atehùŋ yi vyɔ efyɔhuŋ, dɔ atehùŋ yi kpapu  be shα chùyi pyɔ ŋwɛ amɔmu mwɛ yi. Ebɔ nguzo vè ŋɔfye e mya gehùŋ e ka wa egeyi. Be  e lè malɛ nguzo ve ŋada dùkpɛ buzo yi kpedri atehùŋ  mategbαyi  è geyi a malɛ e ke fye dɔ alɔhùŋ . Fafami be e le dù njijwo, ŋwɛ amɔmu mwɛ.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,Comment se protéger ?,Pe ngru yibe e vekɛ drigeyi:,How to protect yourself
38,"1. Eviter de se toucher les yeux, le nez, la bouche.","1. Tete yi dù njijwo, ŋwɛ amɔmu mwɛ mu.","1. Avoid touching eyes, nose, mouth."
40,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.,2. Yi chùbate bwo mɔ wo suu bafɔ zɔ achàchà.,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,3. Tousser et éternuer dans le creux de son bras.,3. Yi ŋyi  pɔ e ŋyi nyihùŋ a bɛ̀ bu woyi.,3. Cough and sneeze into the crook of your arm. 
44,4. Eviter de manger de la viande crue et de toucher des animaux vivants.,4. Tete yi shi vè amɔrɔ mu wo ke yi dùkpɛbàte bushα e yi vè bye mu.,4. Avoid eating raw meat and touching live animals.
49,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.,5. Te kpate wo ngrù e fyɔbàte mɔ hùŋ. ,5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.,"6. Tete yi ŋadà ngrù bwo mù, sopɔ mɔ wo se. ",6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53,7. Eviter les rassemblements.,7. Tete yi gbokò kasɛ mɔ wo wa fabe mu.,7. Avoid gatherings. 
55,8. Limiter ses déplacements.,8. Shi bre nzo. ,8. Restrict movement.
57,9. Se tenir informé et vérifier la source de ses informations.,9. Yi bapɔ bye sɔbe bɛ a lɛ chèfye chyα. ,9. Keep informed and verify the source of information.
58,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :,Yi ngɛɛ ayibe a tɔ ebɔ a fyegbαdɔhuŋ?  Be bye atehɛ le maŋa: - Tete yi gboko ndà wo wa mu.  - Shi tα ebɔ mbri. - Bye achikɛte bu dɔntà yi ya ebɔ mbrihùŋ:  1510. Tilili a yibe a bepɔhùŋ:,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.","Ya nda zɛŋɛ, chya ya mate ke dɔ bwɛmi mu. Bɛhùŋ wa shye yi ka pe ke tαfye wa mbri. Wa mbri vè lɛ bo kpɛkɛ kpɔ ke vekɛ dribo wo wa ama chɛbo hɛ.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque",,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,,"BYE À KE MBƆ̀ À DÙKPƐTE DƆ BWƐMI AKUKUHÙŊ, ÀMƆMU COVID-19  © CABTAL, 2020 "
68,"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                         SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  ","BYE À KE MBƆ̀ À DÙKPƐTE DƆ BWƐMI AKUKUHÙŊ, ÀMƆMU COVID-19  Cameroon Association for Bible Translation and Literacy  BYE À KE MBƆ̀ À DÙKPƐTE DƆ BWƐMI AKUKUHÙŊ, ÀMƆMU COVID-19                              FƆ̀ GBÒKO  - Dɔ bwɛmi akuku - Wa  dɔ atehùŋ yibe è gbɛhɛ - Bye è yi maŋa dɔ atehùŋ - Pe dɔ atehùŋ yi kpapuhùŋ - Pe ngru yibe e vekɛ drigeyi - Yi ngɛɛ ayibe a tɔ ebɔ a fyegbα dɔhuŋ?     p.2 p.3 p.4 p.5 p.6 p.8  Dɔ bwɛmi akuku   Dɔ bwɛmi akuku manda wo zre lɛ COVID-19, e ma dɔ epokwere. Dɔ atehùŋ ya chayo jɛ wa Chanayi zhyo 2019.E ma be dɔ ŋwαchi abebe yi. E yibe è gbα ngru be è lè mayi kpɔ ngru ke toto ebɔ.E ma dɔ abebe a kpapu kase temɔ bya hɛyi mbri ŋɛ myaŋɛ. Wa ya kab̀ɛte bre dɔ atehùŋ ju yi mu.   Wa amɛ̀mɛ̀ wo wa   Fafami wa  a mate wo dɛ abebe be dɔ efyɔ̀ srὰyi Wa  dɔ atehùŋ yibe è gbɛhɛ   Mà nya mà nya yibe e fye dɔ atehùŋ. Wa amɛ̀mɛ̀ wo wa    à chɛchi dɛbye enzɔ hɛ kwate ke bɛ dɔ atehùŋ. Fafami wa  a mate wo dɛ abebe be dɔ efyɔ̀ srὰyi, wo wa dɔ sugà tɛ̀te kpedri bo hɛ. Wa enzɔ a matè wo ngɔ̀ngɔ̀ srα kpɔ bo yi hɛ yibe bo fye lè dɔ atehùŋ.   -dɔ ŋwαchi akuku  -vwo kpedri  -efyɔ a vɔvɔ  -wo dɔ akàbra Bye è yi maŋa dɔ atehùŋ.  Bye atehɛ byɛte dɔ ŋwαchi akuku, vwo kpedri, efyɔ a vɔvɔ wo dɔ akàbra. Wa kpedri sɔ yi mabàte mɔ wo dɛ aŋyɛ bya, ŋwαchi wo dɔ njigrɔ amɔmu dɔ kase. Wa sɔ mate wo kpedri atehùŋ bɛhùŋ è ya maŋatemu . Wazɔ yi sɛsɛ ya ngà wo kpedri alɔhùŋ bo fyete chyαmu.  ngru a mate wo dɔ atehùŋ mawo efyɔ avɔvɔ Pe dɔ atehùŋ yi kpapuhùŋ  Atehùŋ ke kpapu e wayi e malɛ ngru a mate wo gehùŋ dùkpɛyi nguzo COVID-19. Ebɔ ngru a mate wo dɔ atehùŋ yi vyɔ efyɔhuŋ, dɔ atehùŋ yi kpapu  be shα chùyi pyɔ ŋwɛ amɔmu mwɛ yi. Ebɔ nguzo vè ŋɔfye e mya gehùŋ e ka wa egeyi. Be  e lè malɛ nguzo ve ŋada dùkpɛ buzo yi kpedri atehùŋ  mategbαyi  è geyi a malɛ e ke fye dɔ alɔhùŋ . Fafami be e le dù njijwo, ŋwɛ amɔmu mwɛ.     Pe ngru yibe e vekɛ drigeyi: 1. Tete yi dù njijwo, ŋwɛ amɔmu mwɛ mu.  2. Yi chùbate bwo mɔ wo suu bafɔ zɔ achàchà.  3. Yi ŋyi  pɔ e ŋyi nyihùŋ a bɛ̀ bu woyi.  4. Tete yi shi vè amɔrɔ mu wo ke yi dùkpɛbàte bushα e yi vè bye mu.     5. Te kpate wo ngrù e fyɔbàte mɔ hùŋ.   6. Tete yi ŋadà ngrù bwo mù, sopɔ mɔ wo se.   7. Tete yi gbokò kasɛ mɔ wo wa fabe mu.  8. Shi bre nzo.   9. Yi bapɔ bye sɔbe bɛ a lɛ chèfye chyα.  Yi ngɛɛ ayibe a tɔ ebɔ a fyegbαdɔhuŋ?  Be bye atehɛ le maŋa: - Tete yi gboko ndà wo wa mu.  - Shi tα ebɔ mbri. - Bye achikɛte bu dɔntà yi ya ebɔ mbrihùŋ:  1510. Tilili a yibe a bepɔhùŋ:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Ya nda zɛŋɛ, chya ya mate ke dɔ bwɛmi mu. Bɛhùŋ wa shye yi ka pe ke tαfye wa mbri. Wa mbri vè lɛ bo kpɛkɛ kpɔ ke vekɛ dribo wo wa ama chɛbo hɛ.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  BYE À KE MBƆ̀ À DÙKPƐTE DƆ BWƐMI AKUKUHÙŊ, ÀMƆMU COVID-19  © CABTAL, 2020 "
