,eng,bax,fra
29,,"Rǐ yāā   Rǐ yaa koróná nā mfēēnə̄ púa'yí fūfū'tʉtʉʉn a púa': mfʉ́ə́, kʉəə nzhʉ́mshə́, yaa nzhǎpŋwə̄t nə kɛ́ɛ́nə́. Yáá nā mbə̄ ve shímǒ'pʉəən, ŋwərǎp nzhāā, yi sháp ndɔ́' mbə́ mbíīt nshǖǖrə̄, loorə yǎp nzhāā, shee pit mbə́ ŋáām āp. Mbə́ shī twə mə shimǒ' ghāāyaa na, nshyeshə rǐ yāā pə ndí'ŋkwə̌n pwə̄, pə́ pə́ nə kʉ́ŋwə̄t. Pə́sa'kʉə mbookét púā mii yaam ghǎ yāā nā mfʉ̄ə̄shə̄ shi pə́ mbí yüür áp nə nshyeshə fu.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
31,,Ŋgaa yiŋkʉ́ə́ə́,Personne qui tousse
32,,"Nshyeerə yāā   Tǎ KOVÎD-19 nā ndǒ' ŋkwən pʉəən pʉ́ə́ pə́ te mbə́ nzháá ná, ńshryeerə̌ shímo'. Ŋgaa yáá nā mbə̄ kʉəə, ke yʉ́ə́ í nshʉ́ʉ́nə́ náā, pə́tāp ŋkyē ntʉ̄m mə yi shí ŋgáāŋgâ mə nshǔr í. Nshye mʉʉn ʉ́ə́ í yīēēnə̄ shírə̄ pə́tāp ŋkye nā, pye'yáá ŋɛ̂rə. A pə yʉ́ə́ mʉ̌n mbáám shírə̄ pə́tāp ŋkye, mánzhəm í sha'mii mí, ke yʉ́ə́ í nto'rě yi shí náā púa' yʉ́ə́ í nswə́ pwə í mə nshur í náā, mbú í pyě’ yāā ŋɛ̂rə.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
37,,Tʉ́ə́’shə́ ŋwə̄t,Comment se protéger ?
38,,1. Ú ma pə́ nswə̂ mbwə mú mə mii mú púa’ yi shú nə nshǔr ú.,"1. Eviter de se toucher les yeux, le nez, la bouche."
40,,2. U pə́ ŋkwə̂mə̄ sūū mbwə mú nə ŋkwə̌t ŋkye púa’ saambúru’. Mánzhəm u ỳùèeshə mbwə mú nə táwarə̌ nzɛ́ɛ́ŋkét.,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
42,,3. U pə́ ŋkʉ̄ə̄ə̄ mbíīt nshʉ̄ʉ̄nə̄ tʉ kʉ́ət puə ú.,3. Tousser et éternuer dans le creux de son bras.
44,,"4. Ú ma pə́ ŋkwə́t nzháp mbǘ, shi pit mbáám pə́nyaam ŋgumkét. ",4. Eviter de manger de la viande crue et de toucher des animaux vivants.
49,,5. U pə́ ndéé ŋwər u mə ndii mééta mə ŋgʉ́ʉ́nə́ nshye mʉʉn  ʉ́ə́  rǐ yāā púa' ŋkwə̌n mí nā. ,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
51,,"6. Ú ma pə́ nsháā'shə̄  pʉəən  nə̄  mbwə  mú, u pə́  nshá'shə̄  pʉəən  pǒ  nə  mʉ̌'tū  púa'  píshə́ pə̄sa' kʉ̄ə̄.",6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
53,,7. U pə́ ntéé  lí’ mbōōnə  pʉəən.,7. Eviter les rassemblements.
55,,8. Ú ma  pə́  nyíi  rɛ̌ní.,8. Limiter ses déplacements.
57,,9. U pə́ mbíshə́ pə̄sa’kʉ́ə́  tʉ  ŋgǎ  yāā  mbit  mbə́ ntúú nyít  shírə̄  pə́sa’kʉ̄ə̄.,9. Se tenir informé et vérifier la source de ses informations.
58,,"Yáá kə mvé ū, u ghet nāā nə?  Rǐ yāā kə mbə́ ŋkwə́n mu: - Ú ma pit mbə́  mkpá’shə́  ŋwər  u  púa’ shímǒ' pʉəən. - U pə́ nshú tʉ ndāp. - U fúú yíi nōōmba 1510 nzhú’ ntʉ̄bə̄ yʉə palô'ta' téē mfā nā. Shímǒ' nōōmba  shʉ̄ə̄ pə́ yetnə yi mbit mfúú nā:",Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
60,,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,,"Pə́ kâ' nǎ  shi kwə́tə́ nshye fu yʉ́ə́ á nzhǘǖt yaa KOVÎD- 19 nā. Pa ŋɛ̂rə, ghǎ fʉ'shə̌ fú nā ŋkúū'shə̄  yi  ntǎ'. Á púú nā mi nshye mʉʉn pə́ ŋgúm tʉ sǎppē, mbə̄ nwɛ̄ɛ̄ntə̄ nə ŋwər i, ŋɛ̂rə̌ mīī i ghúmə̄ tuŋwər í  mbit  mfɛ́ɛ́t  shímǒ'  pʉəən.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
65,,,"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
67,,,"Yulerə́ yʉ̄ə̄ á ntâ' pʉəən yí mfá nduun yaa tǎ KORÓNA ŋgáāŋgâ COVID-19 © CABTAL, 2020"
68,What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                                                               ,"Yulerə́ yʉ̄ə̄ á ntâ'’pʉəən yí mf́ nduun yaa tǎ KORÓNA ŋgáāŋgâ COVID-19  Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation  Yulerə́ yʉ̄ə̄ á ntâ'’pʉəən yí mf́ nduun yaa tǎ KORÓNA ŋgáāŋgâ COVID-19                     NYǗ'SHƏ NDA LEREWA - Tǎ koróna - Pwə́tkêt pʉəən - Rǐ yāā - Nshyeerə yâ myenə pʉəən - Tʉ́ə́’shə́ ŋwə̄t - Yáá kə mve u, u ghet nāā nə?     p.2 p.3 p.4 p.5 p.6 p.8  Tǎ koróna yʉ́ə́ pə́ téē mbīt mfūū nə KOVID-19 nā, púa’  poo tǎ mfē. Pum káá pə́ kwə́tə́ ī nā, á poo má Shīna nə 31, tʉ mʉʉt tǒn lʉ̄m, tʉ lʉm 2019. Rǐ shí púa'  ŋgʉə́ŋgʉ̄ə̄ yiekâ yí fūfū'  mbí yetnə̌ ŋɔ́'  mʉʉn  fʉ́'  yie yāā fāām a. Yírə yāā sǎm tʉ sááŋgu rɛ̌ní tʉ nzhʉmáánsyē. Ntwə́ mee ndyɛ̂' shîí, pə́ mâ mbə́ yî ŋá yʉ̄ə̄ yírə̄ yi yāā lɔ̄' na.   M̀kpara’ mʉʉn  Ŋgaayāā tʉ lámntʉ̄ʉ̄m Pwə́tkêt pʉəən   Tǎ  myenə pʉəə́n nā mvê ŋguu pʉəən mə́ntén, kpárá'’pʉəən, pǒŋkʉ̄ə̄'. Í nā ndíshə̄  ndóōnə̄ ŋwər i pǒ ŋkwən pwə́tkêt pʉəən yíe kpárá'pʉəən ke pʉəən pʉ́ə́ mǒ'nshyē yáá mbí te mbə́ ŋkwə́n pūə̄ (yiekáá fúfú' ŋkʉ́két,yaa shúkaa, yaa lámntʉ̄ʉ̄m nə yaa tansyóōŋ).    - M̀fʉ́ə̄ - Kɛ́ɛ́nə́  - Kʉəə nzhʉ́mshə́ - Yaa nzhǎpŋwə̄t Rǐ yāā   Rǐ yaa koróná nā mfēēnə̄ púa'yí fūfū'tʉtʉʉn a púa': mfʉ́ə́, kʉəə nzhʉ́mshə́, yaa nzhǎpŋwə̄t nə kɛ́ɛ́nə́. Yáá nā mbə̄ ve shímǒ'pʉəən, ŋwərǎp nzhāā, yi sháp ndɔ́' mbə́ mbíīt nshǖǖrə̄, loorə yǎp nzhāā, shee pit mbə́ ŋáām āp. Mbə́ shī twə mə shimǒ' ghāāyaa na, nshyeshə rǐ yāā pə ndí'ŋkwə̌n pwə̄, pə́ pə́ nə kʉ́ŋwə̄t. Pə́sa'kʉə mbookét púā mii yaam ghǎ yāā nā mfʉ̄ə̄shə̄ shi pə́ mbí yüür áp nə nshyeshə fu.  Ŋgaa yiŋkʉ́ə́ə́ Nshyeerə yāā   Tǎ KOVÎD-19 nā ndǒ' ŋkwən pʉəən pʉ́ə́ pə́ te mbə́ nzháá ná, ńshryeerə̌ shímo'. Ŋgaa yáá nā mbə̄ kʉəə, ke yʉ́ə́ í nshʉ́ʉ́nə́ náā, pə́tāp ŋkyē ntʉ̄m mə yi shí ŋgáāŋgâ mə nshǔr í. Nshye mʉʉn ʉ́ə́ í yīēēnə̄ shírə̄ pə́tāp ŋkye nā, pye'yáá ŋɛ̂rə. A pə yʉ́ə́ mʉ̌n mbáám shírə̄ pə́tāp ŋkye, mánzhəm í sha'mii mí, ke yʉ́ə́ í nto'rě yi shí náā púa' yʉ́ə́ í nswə́ pwə í mə nshur í náā, mbú í pyě’ yāā ŋɛ̂rə.     Tʉ́ə́’shə́ ŋwə̄t 1. Ú ma pə́ nswə̂ mbwə mú mə mii mú púa’ yi shú nə nshǔr ú.  2. U pə́ ŋkwə̂mə̄ sūū mbwə mú nə ŋkwə̌t ŋkye púa’ saambúru’. Mánzhəm u ỳùèeshə mbwə mú nə táwarə̌ nzɛ́ɛ́ŋkét.  3. U pə́ ŋkʉ̄ə̄ə̄ mbíīt nshʉ̄ʉ̄nə̄ tʉ kʉ́ət puə ú.  4. Ú ma pə́ ŋkwə́t nzháp mbǘ, shi pit mbáám pə́nyaam ŋgumkét.      5. U pə́ ndéé ŋwər u mə ndii mééta mə ŋgʉ́ʉ́nə́ nshye mʉʉn  ʉ́ə́  rǐ yāā púa' ŋkwə̌n mí nā.   6. Ú ma pə́ nsháā'shə̄  pʉəən  nə̄  mbwə  mú, u pə́  nshá'shə̄  pʉəən  pǒ  nə  mʉ̌'tū  púa'  píshə́ pə̄sa' kʉ̄ə̄.  7. U pə́ ntéé  lí’ mbōōnə  pʉəən.  8. Ú ma  pə́  nyíi  rɛ̌ní.  9. U pə́ mbíshə́ pə̄sa’kʉ́ə́  tʉ  ŋgǎ  yāā  mbit  mbə́ ntúú nyít  shírə̄  pə́sa’kʉ̄ə̄. Yáá kə mvé ū, u ghet nāā nə?  Rǐ yāā kə mbə́ ŋkwə́n mu: - Ú ma pit mbə́  mkpá’shə́  ŋwər  u  púa’ shímǒ' pʉəən. - U pə́ nshú tʉ ndāp. - U fúú yíi nōōmba 1510 nzhú’ ntʉ̄bə̄ yʉə palô'ta' téē mfā nā. Shímǒ' nōōmba  shʉ̄ə̄ pə́ yetnə yi mbit mfúú nā:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Pə́ kâ' nǎ  shi kwə́tə́ nshye fu yʉ́ə́ á nzhǘǖt yaa KOVÎD- 19 nā. Pa ŋɛ̂rə, ghǎ fʉ'shə̌ fú nā ŋkúū'shə̄  yi  ntǎ'. Á púú nā mi nshye mʉʉn pə́ ŋgúm tʉ sǎppē, mbə̄ nwɛ̄ɛ̄ntə̄ nə ŋwər i, ŋɛ̂rə̌ mīī i ghúmə̄ tuŋwər í  mbit  mfɛ́ɛ́t  shímǒ'  pʉəən.   ","Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19  Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation  Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19 Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home   Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                                                     SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  Yulerə́ yʉ̄ə̄ á ntâ' pʉəən yí mfá nduun yaa tǎ KORÓNA ŋgáāŋgâ COVID-19 © CABTAL, 2020"
