eng,bce,fra
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Mǝ́ntyamé   Mǝ́ntya koloná vilʉsǝ fi ndú pǝ́ cywítyǝ́ : Ghʉ́nǝ, Nkwɛ́ nzomǝ, Mǝ́zhʉ́ mbǝ̌ nzɔ́’nǝ, nkǎ. Pǝcyǝ pǝghyéghɔ̌ zhwo mǝzɔnǝ, mǝlwí nanǝ, mǝlwí tsǝnǝ́, mwolwo’ nzɔ́’nǝ kɛ́ nǝpófa’nǝ. Pǝcyǝ, mba ka pǒ wé ghɔ̌ mǝntyamé ma kǝ nǝt mbǝ pǒ pó pǝ shʉ́’nǝ. Nǝzé pǝ̂ ponǝ kǝ nkwɛt’ fwǝ̂. ","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
Person with a cough,Nó wá á nkwɛ’nǝ,Personne qui tousse
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Mǝntya lɔ́ ndɛ’mǝ kɔlɔ́na vilʉsǝ  COVID-19 lɛ’mǝ pǝ̂ pa pǒ wé vilʉsǝ. Ta’ ghɔ̌ nkwɛ kɛ́ ntsɛ’nǝ, á fě mǝtwǝ nǝ mǝlwí mé kɛ́ nǝ tsǝt’ wǝ́. Ŋó njwɛnǝ mǝtwǝ mǝwó mbí á wé kolona vilʉsǝ. Nó kɔ̂ yɔ̌ yá mǝtwǝ mǝwó nǒ lǝ mbɛnǝ ndɔ̂ kɔ̂ mǐ mé, mǝlwí mé kɛ́ tsǝt’ wǝ́, mbí á ntɛ̌ ghɔ̌. ","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Pǝ mpǎ ghɔ̌ nga’kǝ ?,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1. Mǝpǎnǝ mǝkɔ̂nǝ mǐ, mǝlwí, tsǝt’.","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,2. Mǝsónǝ mbwǎ nǝ nkǐ po ntsǐ. Ngut lǝ nzǐ mbwǎ nǝ yɔ̌njwǐ lǎnǝ.,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
3. Cough and sneeze into the crook of your arm. ,3. Mǝkwɛ’nǝ po mǝtsɛ’nǝ fwo ghǝ́ pwǎ yó.,3. Tousser et éternuer dans le creux de son bras.
4. Avoid eating raw meat and touching live animals.,4. Mǝpǎnǝ mǝkunǝ na’ pʉ̌ mbɛnǝ kɔ̂ mǝnɛ̌ ŋǎnǝ.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5. Má mbanǝ ŋó wá á nkwɛ’nɛ kɛ́ á ntsɛ’nǝ. ,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Mpǎ mǝntsɛ’nǝ nǝ mpwǎ. Ntsɛ’nɛ ŋó nǝ ntyǝ kɛ́ lɔ́ ntsǝt’ ntsɛ’nǝ. ,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
7. Avoid gatherings. ,7. Mǝpǎnǝ mǝ́cu’nǝ.,7. Eviter les rassemblements.
8. Restrict movement.,8. Mbǎ wá nkǝmǝ mǝnǐnǝ mé.,8. Limiter ses déplacements.
9. Keep informed and verify the source of information.,9. Ntǝ nzhwo’ mǝnǝ́ má á lénǝ mnenǝ nzǐ nǝfɛ’ yé.,9. Se tenir informé et vérifier la source de ses informations.
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,Ŋó ngwé á wut lyé ?   Mǝntyamé fɛ’ nǒ pɔ̂ :  - Pɔ̂ mpǎ mǝpanǝ pǝcyǝpǝ̂. - Cyǝnǝ́ nzyé’ pɔ̂. - Mɛ́nǝ́ 1510 lǝ zhwɛ’nǝ ntʉ́ pa ndɔ’ta. Pǝcyǝ pá nɔmba pa mbí pǝ mɛ́ nǒ :,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Sǝ́, fywǝ̂ lɔ ncwó kolona ká pǝ mbá ghó lá ngomna tǝ́ nye fywǝ̂ shʉ́’nǝ nǒ ghɔ̌.  Wǎwǎ ghyǝ̌ ntét tyǝ̂ yé mbénǝ́ ngut yɔ̌ yá á pɛ́nǝ́ lɔ mbép mbǝ yé nǝ́ pǝ̂ ndǒ.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Mǝkɛnǝ mǝdítsáp tǝ̌nǝ   Asthmǝ : ghɔ̌ zhɛ’nǝ yá á pǝ ncyǝ́ Ɔ́dá : mǝghyǝ̌nǝ nǝ́ mǝkwónǝ Ghɔ̌ sǝ́ká : ghɔ̌ yá á nǝ̌ nǝ́ sǝ́ká zénǝ́ fwo mǝtsǐ ŋó Mǝlwǐ tsǝ́t’nǝ́ : ká nkǐ kwó’nǝ́ fwo mǝlwǐ Ntɛ̌ ghɔ̌ : ghɔ̌ mǝ́ wénǝ ŋó Cywítyǝ̂ : ghɔ̌, mǝlwǐ ntsǝ́t’nǝ́ Ghɔ̌ mǝ́shʉ́ : ká mǝtsǐ kinǝ́ fwo mǝ́shʉ́ nǝ́ mǝndǝ́t Nó ghɔ̌nǝ́ : ŋó wá ghɔ̌ nǒ yé Ghɔ̌ lɛ́mǝ́ : ghɔ̌ yá á wɛ́’nǝ́ pǝ́ ná Gǒ : ŋó wá á ghɔ̌nǝ́ Mǝntyamé : ntyá ghɔ̌ Yɔ́ lɔ̌ ncwó : fywǝ̂ Vilʉsǝ : ntǝ̌t, ghɔ̌ Ŋó pɔ́t’nǝ́: ŋó zaŋǝ́ ","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
,,"Yɔ́ yá pɔ̂ wé mǝ́ zínǝ́ nǒ koloná vilʉsǝ kɛ́ COVID-19 © CABTAL, 2020"
"What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                           SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  ","Yɔ́ yá pɔ̂ wé mǝ́ zínǝ́ nǒ kolona vilʉsǝ kɛ́ COVID-19  Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation  Yɔ́ yá pɔ̂ wé mǝ́ zínǝ́ nǒ kolona vilʉsǝ kɛ́ COVID-19                           Tsét'tsét'wě - Kolona vilʉsǝ - Pǝ pɔ́t’nǝ́ - Mǝntyamé - Ntya lɔndɛ́mǝ - Ntya lɔ̌ mba’ ? - Ntya lɔ̌ mba’ ? - Á wé ŋó pǝ́ wút lyé ? - Mǝkɛnǝ mǝdítsáp tǝ̌nǝ     p.2 p.3 p.4 p.5 p.6 p.7 p.8 p.9 Kolona vilʉsǝ kɛ́ COVID tsópnǝpú á ghǒ fí, á ta’ vilʉsǝ fǐ. Pǝ nǝ ndɛnǝ wé nǒ mbíshʉ̂ nǝshu sɩ́nǝ nǒ lyé’mbí tsopmǒ nǝ mǒmǝ ntyénǝ́ fwo syé kǝt’sǝmét. Mǝ́ntya mé ndǔ cwétyǝ́ lǝ̂ mbí á ghyǝ́ tǝ́ njwé ŋó nǒ mǝcyǝ mǝ́ntya gha’nǝ. Á fwo nǝghá mǝtɔmbí. Pǝ nká zí nǝfɛ’ ghɔ̌.   Ntǝ́nkyé ŋó  Ŋó nzɔ’ zónǝ kɛ́ mba ghyé ghɔ̌ Pǝ́ pɔ́t’nǝ   Mbí pǝ́ na wé ghɔ̌ fǐ ghywǝ. Pǝ ntǝ́nkyé nǝ pǝghyéghɔ̌ pa pǒ nǝ mbǝ́nǝ ngwé ghɔ̌ (ndǔ nghǝ̌nǝ, ghɔ̌ sǝ́ka, ghɔ̌ nzɔ’, ghɔ̌ mǝ́shʉ́) fí ndú mǝ́nkwɛnǝ ghá ǒ mvǝ ghɔ̌ gha’nǝ ntya vilʉsǝ ghywǝlyé.   Ghʉ́nǝ Nkǎ   Nkwɛ́ nzomǝ Mǝ́zhʉ́ mbê nzɔ́’nǝ Mǝ́ntyamé   Mǝ́ntya koloná vilʉsǝ fi ndú pǝ́ cywítyǝ́ : Ghʉ́nǝ, Nkwɛ́ nzomǝ, Mǝ́zhʉ́ mbǝ̌ nzɔ́’nǝ, nkǎ. Pǝcyǝ pǝghyéghɔ̌ zhwo mǝzɔnǝ, mǝlwí nanǝ, mǝlwí tsǝnǝ́, mwolwo’ nzɔ́’nǝ kɛ́ nǝpófa’nǝ. Pǝcyǝ, mba ka pǒ wé ghɔ̌ mǝntyamé ma kǝ nǝt mbǝ pǒ pó pǝ shʉ́’nǝ. Nǝzé pǝ̂ ponǝ kǝ nkwɛt’ fwǝ̂.   Nó wá á nkwɛ’nǝ Mǝntya lɔ́ ndɛ’mǝ kɔlɔ́na vilʉsǝ  COVID-19 lɛ’mǝ pǝ̂ pa pǒ wé vilʉsǝ. Ta’ ghɔ̌ nkwɛ kɛ́ ntsɛ’nǝ, á fě mǝtwǝ nǝ mǝlwí mé kɛ́ nǝ tsǝt’ wǝ́. Ŋó njwɛnǝ mǝtwǝ mǝwó mbí á wé kolona vilʉsǝ. Nó kɔ̂ yɔ̌ yá mǝtwǝ mǝwó nǒ lǝ mbɛnǝ ndɔ̂ kɔ̂ mǐ mé, mǝlwí mé kɛ́ tsǝt’ wǝ́, mbí á ntɛ̌ ghɔ̌.      Pǝ mpǎ ghɔ̌ nga’kǝ ? 1. Mǝpǎnǝ mǝkɔ̂nǝ mǐ, mǝlwí, tsǝt’.  2. Mǝsónǝ mbwǎ nǝ nkǐ po ntsǐ. Ngut lǝ nzǐ mbwǎ nǝ yɔ̌njwǐ lǎnǝ.  3. Mǝkwɛ’nǝ po mǝtsɛ’nǝ fwo ghǝ́ pwǎ yó.  4. Mǝpǎnǝ mǝkunǝ na’ pʉ̌ mbɛnǝ kɔ̂ mǝnɛ̌ ŋǎnǝ.     5. Má mbanǝ ŋó wá á nkwɛ’nɛ kɛ́ á ntsɛ’nǝ.   6. Mpǎ mǝntsɛ’nǝ nǝ mpwǎ. Ntsɛ’nɛ ŋó nǝ ntyǝ kɛ́ lɔ́ ntsǝt’ ntsɛ’nǝ.   7. Mǝpǎnǝ mǝ́cu’nǝ.  8. Mbǎ wá nkǝmǝ mǝnǐnǝ mé.  9. Ntǝ nzhwo’ mǝnǝ́ má á lénǝ mnenǝ nzǐ nǝfɛ’ yé. Ŋó ngwé á wut lyé ?   Mǝntyamé fɛ’ nǒ pɔ̂ :  - Pɔ̂ mpǎ mǝpanǝ pǝcyǝpǝ̂. - Cyǝnǝ́ nzyé’ pɔ̂. - Mɛ́nǝ́ 1510 lǝ zhwɛ’nǝ ntʉ́ pa ndɔ’ta. Pǝcyǝ pá nɔmba pa mbí pǝ mɛ́ nǒ :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979   699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Sǝ́, fywǝ̂ lɔ ncwó kolona ká pǝ mbá ghó lá ngomna tǝ́ nye fywǝ̂ shʉ́’nǝ nǒ ghɔ̌.  Wǎwǎ ghyǝ̌ ntét tyǝ̂ yé mbénǝ́ ngut yɔ̌ yá á pɛ́nǝ́ lɔ mbép mbǝ yé nǝ́ pǝ̂ ndǒ. Mǝkɛnǝ mǝdítsáp tǝ̌nǝ   Asthmǝ : ghɔ̌ zhɛ’nǝ yá á pǝ ncyǝ́ Ɔ́dá : mǝghyǝ̌nǝ nǝ́ mǝkwónǝ Ghɔ̌ sǝ́ká : ghɔ̌ yá á nǝ̌ nǝ́ sǝ́ká zénǝ́ fwo mǝtsǐ ŋó Mǝlwǐ tsǝ́t’nǝ́ : ká nkǐ kwó’nǝ́ fwo mǝlwǐ Ntɛ̌ ghɔ̌ : ghɔ̌ mǝ́ wénǝ ŋó Cywítyǝ̂ : ghɔ̌, mǝlwǐ ntsǝ́t’nǝ́ Ghɔ̌ mǝ́shʉ́ : ká mǝtsǐ kinǝ́ fwo mǝ́shʉ́ nǝ́ mǝndǝ́t Nó ghɔ̌nǝ́ : ŋó wá ghɔ̌ nǒ yé Ghɔ̌ lɛ́mǝ́ : ghɔ̌ yá á wɛ́’nǝ́ pǝ́ ná Gǒ : ŋó wá á ghɔ̌nǝ́ Mǝntyamé : ntyá ghɔ̌ Yɔ́ lɔ̌ ncwó : fywǝ̂ Vilʉsǝ : ntǝ̌t, ghɔ̌ Ŋó pɔ́t’nǝ́: ŋó zaŋǝ́   ","Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19  Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation  Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19 Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home   Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                                                     SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  Yɔ́ yá pɔ̂ wé mǝ́ zínǝ́ nǒ koloná vilʉsǝ kɛ́ COVID-19 © CABTAL, 2020"
