fra,lmp,eng
,"Rtuusèe  Yaŋ anà yi ke lò tuusee ba à njɛ̀ enɛ: Ŋwɛ̀ ce e tʉr yaŋ ca kaꞌ kose kɛ cese ɛ̀, ba enɛ mce ba fashifashì vi be tane ye e kù cùu ba ku mntonto dù ye à mmbò. Mme ka tane waꞌ du ŋwɛ ce e tɛɛ ku yìi ntombì kù cùu, laŋlaŋ kù mntonto, kɛ̀ njep mmèr ɛ̀, ba enɛ ŋgàŋ be koo yaŋ anà foŋ. Wɛ̀ kaꞌ caꞌne ŋwɛ̀ ce e tʉr yaŋ anà ne bo ker lor bo anà joo mo mmer àgho ce wɛ̀ bee suꞌse mbo kaꞌ, kàtà à koo yaŋ ca à tɛ̀r sê.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
,Kàtà à fiisè à njɛ̌ nɛ,How to protect yourself
,"1. Fa ce jòo mo mmer, laŋlaŋ mntonto, ba cùu nè mmbo kaꞌ.","1. Avoid touching eyes, nose, mouth."
,"2. Ce suꞌsi mmbo àfo-àfo nè sàbulu ba mdip mmrara ce me ce sùusùu. Wɛ̌ sùꞌsi wɛɛ, à sor nè yoo bàtàri càꞌcàꞌ.",2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
,3. Fa kèr kose kɛ cese à mmbò kaꞌ. Bʉʉ lo rkoo à njɛ̀ enɛ kaꞌ cese mbǎ.,3. Cough and sneeze into the crook of your arm. 
,4. Laa nyàa tɛ e bi bòŋboŋ tɛ à kaꞌ ye. Fa ce joo mnyàa jɛɛjɛ̀ɛjɛɛ ce sèe à màꞌshi à mndàp nà nè mmbo kaꞌ.,4. Avoid eating raw meat and touching live animals.
,"5. Tɛɛ à njìsàp efa gee bèe kaꞌ kose, kɛ̀ cese ɛ̀. ",5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
,"6. Fa ce càꞌne bèe nè mmbo kaꞌ. Ku na bo nà, ker caꞌne bèe e kù cùu. ",6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
,"7. Fa ce tɛɛtee sèe kɛ̀ cuutee ɛ̀, à ma kʉr kaꞌ.",7. Avoid gatherings. 
,8. Fa ce jɛ̀r sèe àfo-àfo kaꞌ.,8. Restrict movement.
,"9. Jàꞌne sèe nsuŋ àmbò yaŋ ca, keꞌ ce cap ba ŋgòŋ kaꞌ.",9. Keep informed and verify the source of information.
,"Yuu ce yi kaꞌ koo wɛ̀ à gee  Yaŋ ca yi kaꞌ koo wɛ̀, yuu e ntombì ce à be gèe yi yu enɛ: - Cite yoo cùu ba mntonto nè nloꞌ. - Fa wɛp kaꞌ. - Fa bèe dù à mʉ̀ʉ bèe kaꞌ. Kɛꞌ mbʉ̀ʉ rbèꞌ ca (1510) a cicì. Kàtà à kɛꞌ bca foŋ:",What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
,"Mcɛ̀p yaŋ ca mme bee ba àgho sê kaꞌ, gee waꞌa bàràꞌ ce fàꞌ tatap sê, tɛ sèe bo kone mcɛ̀p efa gho nfèꞌ mʉcàr, à ŋger Nyʉ̀. Ŋwɛ̀ Mbùm wɛɛwɛ à tʉr à lòr nfèꞌ. Tɛꞌshi yoo tu kèr tɛꞌshi bfʉr woo foŋ.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
,,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
,,"Nsuŋ Àmbò Yaŋ Kòronà kɛ̀ COVID-19 Ɛ̀  © CABTAL, 2020 "
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ,"Nsuŋ Àmbò Yaŋ Kòronà kɛ̀ COVID-19 Ɛ̀  Cameroon Association for Bible Translation and Literacy  Nsuŋ Àmbò Yaŋ Kòronà kɛ̀ COVID-19 Ɛ̀                                    BTU LÀA - Yaŋ Kòronà - Bèe ce kàtà yi koo woowèe jòr - Mncoò Yaŋ Kor̀ona - Rtuusèe - Kàtà à fiisè à njɛ̌ nɛ - Yuu ce yi kaꞌ koo wɛ̀ à gee     p.2 p.3 p.4 p.5 p.6 p.8  Yaŋ kòronà  Yaŋ ce a too enɛ kòronà na, yu yaŋ bebep moꞌ ce yi ko kɛꞌkɛ̀ꞌɛ. Yi m kɛ̀ꞌ waꞌŋgàane, (2019) mbe mnòŋ 31 e mbe ŋwɛɛ ŋkàꞌ, nje Cainà. Yi ke lò kɛꞌ ba ne kosɛ̀ ba fashifashì. Kàtà yaŋ anà yi yʉ ŋwɛ̀ àtɛ̀r sê. Yi tuuse a neŋ à btoꞌ jɛɛjɛ̀ɛjɛɛ e njep ŋgòŋ na. Bèe a bee reŋ nè meni ŋwɛ̀ yuu ce yi vʉ̀ nè njɛ̀ɛ yaŋ bebep ca kaꞌ. Bèe ce a kweŋger efa yaŋ ca njep ŋgòŋ na bìi, a tɛɛtɛɛ, laŋlaŋ bèe bbʉʉ.   Nliŋwɛ̀  Ŋwɛ̀ yaŋ ntee Bèe ce kàtà yi koo woowèe jòr  Ŋwɛ̌ kaꞌ tɛ lòr nfèꞌ kaꞌ, kɛ̀ à yu nda, kɛ̀ à yu nda, kàtà à koo yaŋ ca à tɛ̀r sê. Blee bèe, ker ba bèe ce a tʉr byaŋ jɛɛjɛ̀ɛjɛɛ àmbò kosè ryòŋ ker ba byaŋ ce vi ke kòŋ mgwaŋ ba shugà ka nàꞌ, yaŋ ca yi kaꞌ koo woowèe, ba enɛ nlùpnì be ba àgho.   -Mbɛp fivà -Bsɛ̀  -Kosè yuur -Nyor nyayaŋ Mncòo Yaŋ Kòronà  Mncòo yaŋ kòronà ca vi ko ba àmbò vi mbɛp fivà waꞌa: ŋgàŋ be tʉr kosè, ce yuꞌ nyor nyayaŋ ker ba bsɛ̀. Bèe mòꞌ be yuꞌ yap ba àmbò rkàkàr lii yaŋ wowèe, tɛ wèemoꞌ a tʉr yap ba rbʉ̀ʉrtoꞌ. Bèe moꞌ a be yuꞌ a byu yuu kaꞌ, gèe waꞌa, kù tʉr yaŋ ca. Yaŋ ca yii koo bèe moꞌ wowèe a kʉtì ku luŋ à ŋger Nyʉ̀, laŋlaŋ bèe bsii, àmbò Wèmbùm na.  Ŋwɛ̀ yaŋ kosè Rtuusèe  Yaŋ anà yi ke lò tuusee ba à njɛ̀ enɛ: Ŋwɛ̀ ce e tʉr yaŋ ca kaꞌ kose kɛ cese ɛ̀, ba enɛ mce ba fashifashì vi be tane ye e kù cùu ba ku mntonto dù ye à mmbò. Mme ka tane waꞌ du ŋwɛ ce e tɛɛ ku yìi ntombì kù cùu, laŋlaŋ kù mntonto, kɛ̀ njep mmèr ɛ̀, ba enɛ ŋgàŋ be koo yaŋ anà foŋ. Wɛ̀ kaꞌ caꞌne ŋwɛ̀ ce e tʉr yaŋ anà ne bo ker lor bo anà joo mo mmer àgho ce wɛ̀ bee suꞌse mbo kaꞌ, kàtà à koo yaŋ ca à tɛ̀r sê.     Kàtà à fiisè à njɛ̌ nɛ 1. Fa ce jòo mo mmer, laŋlaŋ mntonto, ba cùu nè mmbo kaꞌ.  2. Ce suꞌsi mmbo àfo-àfo nè sàbulu ba mdip mmrara ce me ce sùusùu. Wɛ̌ sùꞌsi wɛɛ, à sor nè yoo bàtàri càꞌcàꞌ.  3. Fa kèr kose kɛ cese à mmbò kaꞌ. Bʉʉ lo rkoo à njɛ̀ enɛ kaꞌ cese mbǎ.  4. Laa nyàa tɛ e bi bòŋboŋ tɛ à kaꞌ ye. Fa ce joo mnyàa jɛɛjɛ̀ɛjɛɛ ce sèe à màꞌshi à mndàp nà nè mmbo kaꞌ.     5. Tɛɛ à njìsàp efa gee bèe kaꞌ kose, kɛ̀ cese ɛ̀.   6. Fa ce càꞌne bèe nè mmbo kaꞌ. Ku na bo nà, ker caꞌne bèe e kù cùu.   7. Fa ce tɛɛtee sèe kɛ̀ cuutee ɛ̀, à ma kʉr kaꞌ.  8. Fa ce jɛ̀r sèe àfo-àfo kaꞌ.  9. Jàꞌne sèe nsuŋ àmbò yaŋ ca, keꞌ ce cap ba ŋgòŋ kaꞌ. Yuu ce yi kaꞌ koo wɛ̀ à gee  Yaŋ ca yi kaꞌ koo wɛ̀, yuu e ntombì ce à be gèe yi yu enɛ: - Cite yoo cùu ba mntonto nè nloꞌ. - Fa wɛp kaꞌ. - Fa bèe dù à mʉ̀ʉ bèe kaꞌ. Kɛꞌ mbʉ̀ʉ rbèꞌ ca (1510) a cicì. Kàtà à kɛꞌ bca foŋ:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Mcɛ̀p yaŋ ca mme bee ba àgho sê kaꞌ, gee waꞌa bàràꞌ ce fàꞌ tatap sê, tɛ sèe bo kone mcɛ̀p efa gho nfèꞌ mʉcàr, à ŋger Nyʉ̀. Ŋwɛ̀ Mbùm wɛɛwɛ à tʉr à lòr nfèꞌ. Tɛꞌshi yoo tu kèr tɛꞌshi bfʉr woo foŋ.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Nsuŋ Àmbò Yaŋ Kòronà kɛ̀ COVID-19 Ɛ̀  © CABTAL, 2020 "
