,eng,ybb,fra
20,Elderly person,Epuɔ pīi pɔ́ é tswhi,Personne âgée
22,Person with a heart condition or disease,Epuɔ pīi pɔ́ wɛɛ̄ agɔ ntē mbɔɔ emɔ̄ʼ megɔ,Personne cardiaque ou souffrant de maladie
23,"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Epuɔ pīi agɔ jʉɔ mɛ́t á gákneé ŋkó ánɛ pɔ́p  Acʉchʉ zīi á yáa agɔ jʉɔ mɛ́t á gɔ kó ánɛ ŋiŋ ntsem. Táʼ epuɔ pīi pɔ́ tswhí, mbɔɔ epuɔ pīi emɔ̄ʼ megɔ é ánɛ pɔ́p, páʼ afʉʼ mbʉp, páʼ diabɛt, páʼ megɔ ntē, pá taŋsíɔŋ lā, acʉchʉ zīi á ya agɔ jʉɔ mɛ́t á gákne ŋkó ánɛ pɔ́p.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,Fever Fatigue,-Nnɛ̄t -Lekā,- Fièvre - Fatigue
28,Dry cough Muscle aches and pains,-Letswīk azō á letó -Ejʉʼ nnɛ̄t á lezāŋ,- Toux sèche - Douleurs musculaires
29,"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Metswitɛ́ agɔ Agɔ zīi mɛ́ tɔ́ŋɔ lɛ Kolonavilwis á ziī páʼ afaʼte lā : Nnɛ̄t á lekɔʼ á ŋiŋ, á ŋiŋ letswik, ŋké ntswík páʼa azō á letó. Ejʉʼ  nnɛ̄t á letsite, á ŋiŋ lekā.  Ejʉʼ nnɛ̄t mmɔ̄ʼ epuɔ é zaáŋ, mezhō mmɔ̄ʼ epuɔ é toó, mezhō mmɔ̄ʼ epuɔ é tsóh, agāk mmɔ̄ʼ ŋiŋ á záŋ, levem é khu mmɔ̄ʼ epuɔ. Acʉchʉ agɔ jʉɔ mɛ́t á kó ánɛ mmɔ̄ʼ epuɔ, pɔ́ piŋ mbú te mmɔ̄ʼ metsyate agɔ mɛ́t tswi, pɔ́ naŋ ŋgɔ́ áa meteté.  Agɔ jʉɔ á koó ánɛ mmɔ̄ʼ epuɔ, pɔ́ gakne ntē té gɔ́ yīi mɛ́ tswhi mbɛ́t á wɔ́p.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
31,Person with a cough,Ŋiŋ yīi a á si ntswíkɛ,Personne qui tousse
32,"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Kolonavilwis a koó ánɛ ŋiŋ lɛ akɔ̄ ?  Ŋiŋ yīi acʉchʉ agɔ jʉɔ mɛ́t ánɛ yí, a gɔ nnéŋ  agɔ jʉɔ mɛ́t ánɛ ŋiŋ. Ŋiŋ yīi agɔ jʉɔ mɛ́t ánɛ yí, á lɛ ntswík, ká ntswákne, mekī é fhó á nchu yí ŋkyɛ́t, ká mezhō á lefhō á lezhō yí ŋkyɛ́t, ŋ́gɔ́ yi é kyɛte épúp, ŋkó á nnɛ̄t ŋiŋ, agɔ jʉɔ mɛ́t á lɛ ŋkó ánɛ ŋgaŋ. Ŋ́gɔ́ yīi ŋiŋ a pfeŋɛ aju mīi mekī mɛ́t ká mezhō mɛ́t é kyɛ́t nnáŋ éwú, ḿbiŋ ndɔ̄k mbū mí mpfēŋ menēk mí, ká nchu yí, ká mezhō mí, agɔ jʉɔ mɛ́t á lɛ ŋkó ánɛ yí.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
37,How to protect yourself,Mɛ́ gɔ lʉɔʼte agɔ jʉɔ mɛ́t lɛ akɔ̄ ? ,Comment se protéger ?
38,"1. Avoid touching eyes, nose, mouth.","1. Páʼ á wú á lepfeŋ menēk mú, mbɔɔ mezhō mú, mbɔ nchu wú.","1. Eviter de se toucher les yeux, le nez, la bouche."
40,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2. Sok mbū mú efʉʼ metsem mé ntshi yīi é si ncúu mbɔɔ mé asōk. Ńdɔ̄k á tɛ́wɛlɛ yīi a á si ndánɛ, tɛ́ ntsíʼne.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
42,3. Cough and sneeze into the crook of your arm. ,3. Tswíkɛ kɛ́ á letswakne á ntē atswiʼté apū jú. ,3. Tousser et éternuer dans le creux de son bras.
44,4. Avoid eating raw meat and touching live animals.,4. Páʼ á wú á lepfɛt mbap mbēk mbɔɔ á lepfeŋ mena pīi é nte.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
49,5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,"5. Ndɛʼ o tshi mbáte á ŋiŋ yīi a á si ntswíkɛ ká ŋiŋ yīi a á si ntswáknɛ, á mbɔŋ ŋgɛ́ tɛ míta a á fakne á wɛ yí. ",5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
51,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,"6. Ndɛʼ o tsaʼte á ŋiŋ tɛ ntswí á apū zí. O nɔŋ ŋgɔ á tsaʼté ŋiŋ, o lɔk nchu ntsáʼte á yí, ká á wú á lekɔʼne apū, ká á wú á lemʉʼte athū.",6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
53,7. Avoid gatherings. ,7. Lʉɔʼte á ajʉʼ zīi epuɔ menɔŋ é wú tɛ nza.,7. Eviter les rassemblements.
55,8. Restrict movement.,8. Ndɛʼ o zeŋ ŋgʉ̄ɔ á ajʉʼ efʉʼ metsem.,8. Limiter ses déplacements.
57,9. Keep informed and verify the source of information.,9. Zwíʼtɛ njúʼ páʼ mɛ́ si eshúŋɔ páʼ agɔ jʉɔ mɛ́t á si nziŋɛ épúp.,9. Se tenir informé et vérifier la source de ses informations.
58,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,"Agɔ jʉɔ mɛ́t á pikɛ tɛ ŋkó ánɛ ŋiŋ ŋgaŋ á ghʉ páʼ lā ? Ŋiŋ a júʼɔ mentswitɛ́ agɔ jʉɔ mɛ́t : -Á pá á yí á legɔ̄ á ajʉʼ zīi epuɔ menɔŋ é éwú. -Á náŋ á mba yí. -Á tɔ́ŋ ánɛ nzwiŋ atɔŋɔ-mvéŋ wuɔ 1510, ńjúʼ páʼ medɔkta é shúŋ á yí épúp. Emɔ̄ʼ menzwiŋ atɔŋɔ-mvéŋ mīi a gɔ tɔ́ŋ éwú emuɔ páʼa :",Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
60,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Tɛ ntshí ánɛ ayaʼa, mɛ́ zɛ́t te wɛ afhɔ á lelɔk mbɛ́t agɔ jʉɔ mɛ́t, táʼ mɛ́ ke ŋgɔ́ á si efāʼa meshhʉ̄ páʼ mɛ́ gɔ ghʉ épúp tɛ́ mbɛ́t. Tɛ mbɔ awɔ́ lɛ a pɔŋteé á lewɛ atswhī mbɔŋ, ńdɔk mba á athū nnɛ̄t zi, ńzéŋ ntswíte ŋgʉ̄ŋ zi á lelʉ̄ɔʼte agɔ jʉɔ mɛ́t.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
65,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed",Lekyakte menu  Afʉʼ mbʉp : Á si ŋgɔ agɔ zīi á vɛne á ŋiŋ á lezwakne á mbɔŋɔ́. Diabɛt : A si ŋgɔ́ páʼa súka a á ntē metshi ŋiŋ tɛ nzá ntsīa. ,"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
67,,,"Aju mīi mpɛ epɔŋtée á lezhɛ̄ ánɛ agɔ zīi mɛ́ tɔ́ŋɔ lɛ Kolonavilwis ká Kovid-19 © CABTAL, 2020"
68,"What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                           SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  ","Aju mīi mpɛ epɔŋtée á lezhɛ̄ ánɛ agɔ zīi mɛ́ tɔ́ŋɔ lɛ Kolonavilwis ká Kovid-19  Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation  Aju mīi mpɛ epɔŋtée á lezhɛ̄ ánɛ agɔ zīi mɛ́ tɔ́ŋɔ lɛ Kolonavilwis ká Kovid-19                             METHŪ MENU -Agɔ zīI mɛ́ tɔ́ŋɔ lɛ Kolonavilwis -Epuɔ pīi agɔ mɛ́t á gákne ŋkó ánɛ pɔ́p -Metswitɛ́ agɔ -Kolonavilwis a koó ánɛ ŋiŋ lɛ akɔ̄ ? - Ŋiŋ a gɔ lʉɔʼte agɔ mɛ́t é lɛ akɔ̄ ? -Agɔ mɛ́t á pikɛ te ŋkó ánɛ ŋiŋ ŋgaŋ á ghʉ lɛ akɔ̄ ? -Lekyakte mekem ashuŋe    p.2 p.3 p.4 p.5 p.6  p.8 p.9 Agɔ zīI mɛ́ tɔ́ŋɔ lɛ Kolonavilwis Kolonavilwis, ká lɛ Kovid-19 á si ŋgɔ́ agɔ mmɔʼ meŋ agá acʉchʉ lɛ, tɛ ŋgɔ yīi mɛ́ zi ŋgɔ lelɔk menēk njʉ́ɔ mɛ wɛ. Mɛ́ ke zi á lejʉ́ɔ agɔ jʉɔ mɛ́t ánɛ nzoknzem aleʼé ánɛ saŋ aklísimi ánɛ ŋguʼ zīi e ke tɔɔ́k lɛ (2019), á alāʼ zīi mɛ́ tɔɔ́ŋ lɛ Shʉ́ne. Agɔ jʉɔ mɛ́t á zitē páʼ afaʼte lā, ḿbiŋ nzyɛ́tte tɛ ŋgɔ́ yīi á gɔ zwhí á ŋiŋ. Agɔ jʉɔ mɛ́t á ndáʼ ŋkó ánɛ epuɔ ánɛ melāʼ tɛ nzáne á ntē ŋgɔŋ. Mɛ́ zɛɛ́t te zhɛ́ á ajuʼ zīi agɔ jʉɔ mɛ́t á fhɔɔ éwú.   Epuɔ pīi pɔ́ é tswhi  Epuɔ pīi pɔ́ wɛɛ̄ agɔ ntē mbɔɔ emɔ̄ʼ megɔ Epuɔ pīi agɔ jʉɔ mɛ́t á gákneé ŋkó ánɛ pɔ́p  Acʉchʉ zīi á yáa agɔ jʉɔ mɛ́t á gɔ kó ánɛ ŋiŋ ntsem. Táʼ epuɔ pīi pɔ́ tswhí, mbɔɔ epuɔ pīi emɔ̄ʼ megɔ é ánɛ pɔ́p, páʼ afʉʼ mbʉp, páʼ diabɛt, páʼ megɔ ntē, pá taŋsíɔŋ lā, acʉchʉ zīi á ya agɔ jʉɔ mɛ́t á gákne ŋkó ánɛ pɔ́p.   -Nnɛ̄t -Lekā  -Letswīk azō á letó -Ejʉʼ nnɛ̄t á lezāŋ Metswitɛ́ agɔ Agɔ zīi mɛ́ tɔ́ŋɔ lɛ Kolonavilwis á ziī páʼ afaʼte lā : Nnɛ̄t á lekɔʼ á ŋiŋ, á ŋiŋ letswik, ŋké ntswík páʼa azō á letó. Ejʉʼ  nnɛ̄t á letsite, á ŋiŋ lekā.  Ejʉʼ nnɛ̄t mmɔ̄ʼ epuɔ é zaáŋ, mezhō mmɔ̄ʼ epuɔ é toó, mezhō mmɔ̄ʼ epuɔ é tsóh, agāk mmɔ̄ʼ ŋiŋ á záŋ, levem é khu mmɔ̄ʼ epuɔ. Acʉchʉ agɔ jʉɔ mɛ́t á kó ánɛ mmɔ̄ʼ epuɔ, pɔ́ piŋ mbú te mmɔ̄ʼ metsyate agɔ mɛ́t tswi, pɔ́ naŋ ŋgɔ́ áa meteté.  Agɔ jʉɔ á koó ánɛ mmɔ̄ʼ epuɔ, pɔ́ gakne ntē té gɔ́ yīi mɛ́ tswhi mbɛ́t á wɔ́p.  Ŋiŋ yīi a á si ntswíkɛ Kolonavilwis a koó ánɛ ŋiŋ lɛ akɔ̄ ?  Ŋiŋ yīi acʉchʉ agɔ jʉɔ mɛ́t ánɛ yí, a gɔ nnéŋ  agɔ jʉɔ mɛ́t ánɛ ŋiŋ. Ŋiŋ yīi agɔ jʉɔ mɛ́t ánɛ yí, á lɛ ntswík, ká ntswákne, mekī é fhó á nchu yí ŋkyɛ́t, ká mezhō á lefhō á lezhō yí ŋkyɛ́t, ŋ́gɔ́ yi é kyɛte épúp, ŋkó á nnɛ̄t ŋiŋ, agɔ jʉɔ mɛ́t á lɛ ŋkó ánɛ ŋgaŋ. Ŋ́gɔ́ yīi ŋiŋ a pfeŋɛ aju mīi mekī mɛ́t ká mezhō mɛ́t é kyɛ́t nnáŋ éwú, ḿbiŋ ndɔ̄k mbū mí mpfēŋ menēk mí, ká nchu yí, ká mezhō mí, agɔ jʉɔ mɛ́t á lɛ ŋkó ánɛ yí.     Mɛ́ gɔ lʉɔʼte agɔ jʉɔ mɛ́t lɛ akɔ̄ ?  1. Páʼ á wú á lepfeŋ menēk mú, mbɔɔ mezhō mú, mbɔ nchu wú.  2. Sok mbū mú efʉʼ metsem mé ntshi yīi é si ncúu mbɔɔ mé asōk. Ńdɔ̄k á tɛ́wɛlɛ yīi a á si ndánɛ, tɛ́ ntsíʼne.  3. Tswíkɛ kɛ́ á letswakne á ntē atswiʼté apū jú.   4. Páʼ á wú á lepfɛt mbap mbēk mbɔɔ á lepfeŋ mena pīi é nte.     5. Ndɛʼ o tshi mbáte á ŋiŋ yīi a á si ntswíkɛ ká ŋiŋ yīi a á si ntswáknɛ, á mbɔŋ ŋgɛ́ tɛ míta a á fakne á wɛ yí.   6. Ndɛʼ o tsaʼte á ŋiŋ tɛ ntswí á apū zí. O nɔŋ ŋgɔ á tsaʼté ŋiŋ, o lɔk nchu ntsáʼte á yí, ká á wú á lekɔʼne apū, ká á wú á lemʉʼte athū.  7. Lʉɔʼte á ajʉʼ zīi epuɔ menɔŋ é wú tɛ nza.  8. Ndɛʼ o zeŋ ŋgʉ̄ɔ á ajʉʼ efʉʼ metsem.  9. Zwíʼtɛ njúʼ páʼ mɛ́ si eshúŋɔ páʼ agɔ jʉɔ mɛ́t á si nziŋɛ épúp. Agɔ jʉɔ mɛ́t á pikɛ tɛ ŋkó ánɛ ŋiŋ ŋgaŋ á ghʉ páʼ lā ? Ŋiŋ a júʼɔ mentswitɛ́ agɔ jʉɔ mɛ́t : -Á pá á yí á legɔ̄ á ajʉʼ zīi epuɔ menɔŋ é éwú. -Á náŋ á mba yí. -Á tɔ́ŋ ánɛ nzwiŋ atɔŋɔ-mvéŋ wuɔ 1510, ńjúʼ páʼ medɔkta é shúŋ á yí épúp. Emɔ̄ʼ menzwiŋ atɔŋɔ-mvéŋ mīi a gɔ tɔ́ŋ éwú emuɔ páʼa :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Tɛ ntshí ánɛ ayaʼa, mɛ́ zɛ́t te wɛ afhɔ á lelɔk mbɛ́t agɔ jʉɔ mɛ́t, táʼ mɛ́ ke ŋgɔ́ á si efāʼa meshhʉ̄ páʼ mɛ́ gɔ ghʉ épúp tɛ́ mbɛ́t. Tɛ mbɔ awɔ́ lɛ a pɔŋteé á lewɛ atswhī mbɔŋ, ńdɔk mba á athū nnɛ̄t zi, ńzéŋ ntswíte ŋgʉ̄ŋ zi á lelʉ̄ɔʼte agɔ jʉɔ mɛ́t. Lekyakte menu  Afʉʼ mbʉp : Á si ŋgɔ agɔ zīi á vɛne á ŋiŋ á lezwakne á mbɔŋɔ́. Diabɛt : A si ŋgɔ́ páʼa súka a á ntē metshi ŋiŋ tɛ nzá ntsīa.   ","Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19  Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation  Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19 Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home   Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                                                     SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  Aju mīi mpɛ epɔŋtée á lezhɛ̄ ánɛ agɔ zīi mɛ́ tɔ́ŋɔ lɛ Kolonavilwis ká Kovid-19 © CABTAL, 2020"
