eng,yas,fra
Dry cough Muscle aches and pains,-Ɛkócona -Nnyɔ́dɔ ya goyúume,- Toux sèche - Douleurs musculaires
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Monóógío  Monóógío má kolónafilúsu má fóanɛna na máama má gɛnɔ́nɔ́ : nnyɔ́dɔ ya gobólɛgana, ɛkócona, nnyɔ́dɔ ya goyúume, gɛdɔmbɔ.  Nɛnamá ná bɛgɔnɔ́gɔnɔ bíncodío bɛ́ kánya nnyɔ́dɔ, bɛ́ débe nyɔɔ́nɔ, ukelú goyáŋka, ɛ́na bá nóma gadɛ́ɛ gá gogosonyo. Kanɛ́ bóncodío gɔnɔ́ bá lɛ́ hɔ́ɔ báaba bá lɔ́mɔ́ na kolónafilúsu naá nnyɔ́dɔ, gɔ́ɔ bá dɛ nómáa. Bɛgɔnɔ́gɔnɔ bíncodío bɛ́ éŋugene ogɔnɔ́ yɔ́ɔyɔ kanɛ nɛnamá ná kóódínyóomú.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
Person with a cough,Mɔtɔ mɔ́ɔnyɔ a kóconamɔ́,Personne qui tousse
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Godómbanɛna gá kolónafilúsu Batɔ báaba bá dúmbeninyemú basɔ́gɔ́ɔ KOFÍD-19 bá lɔ́mɔ́ báaba bá lɔ́mɔ́ na yɛ́ naá nnyɔ́dɔ. Aŋa gɛgɔnɔ́gɔnɔ gɛ́ kóconamɔ́ ɛ́na gɛ́ kécimemú, gɛ́ fáma moɔ́lɔŋgɔ́lɔ naá nyɔɔ́nɔ ɛ́na pumbú sá moɛ́dɛŋgɛ́dɛ naá nyuudé. Mɔtɔ a amɔ́ a hɛ́lɛmɛdamɔ́ moɔ́lɔŋgɔ́lɔ ɛ́na pumbú sá  moɛdɛ́ŋgɛdɛ́ mɔ́ɔmɔ, a lɛ́ ba go haga ogɔnɔ́ yá ndiemi. Mɔtɔ tɔ́nɔ a  amɔ́ a bádáfɛnamɔ́ na ɛmbɔ́gɔ yɛhɛ́ boóma bɔ́ɔbɔ bó lɔ́mɔ́ na moɔ́lɔŋgɔ́lɔ ɛ́na na moɛdɛ́ŋgɛdɛ́ mɔ́ɔmɔ́, a amɔ́ a bábádáfɛnamɔ́ gɔnɔ́ oŋgíso, nyɔɔ́nɔ ɛ́na nyuudé, a lɛ́ tɔ́nɔ ba go haga ogɔnɔ́ yá ndiemi.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Gobébeŋebeŋe go kolónafilúsu,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1. No do ɛ́dá, gátáanɔ, o bábádáfa oŋgíso, nyɔɔ́nɔ, nyuudé.","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,2. No básoga ɛmbɔ́gɔ gɛcamɛna giimée na miimpo má osɔmbɔ na sɔ́bɔ. No lo go yibe go béfúune na táwola ya kanɛ biílo.,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
3. Cough and sneeze into the crook of your arm. ,3. O kócona ɛ́na o kécime naá kadɛ́gadɛ́ɛ ya kéndúgéndu ya ombɔ́gɔ yáhɔ.,3. Tousser et éternuer dans le creux de son bras.
4. Avoid eating raw meat and touching live animals.,"4. O do ɛ́dá go nyáanana busugé kanɛ go bɛ́na, o gɔnɔ bádáfa nnyama sɛ́ɛsɛ sɛ́ ɔƴɔmɔ́.",4. Eviter de manger de la viande crue et de toucher des animaux vivants.
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5. Yáŋɛ́mɛ́dɛ́na mɔtɔ mɔ́ɔnyɔ a kóconamɔ́ ɛ́na a kécimemú go mɛ́da akɛ́ mémmue. ,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. No do ɛ́dá go gɔnɔ bédíigeninye na ombɔ́gɔ. Goana na nyuudé ɛ́na na bieninye bá odóɛ.,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
7. Avoid gatherings. ,7. No do ɛ́dá go gɔnɔ bábánda bitúu bitúu.,7. Eviter les rassemblements.
8. Restrict movement.,8. Go une ɛŋɛndɔ yahɔ.,8. Limiter ses déplacements.
9. Keep informed and verify the source of information.,9. No bódólonyo cɔ́mɔ no gɔnɔ fúmbe go íyime mbɔ́gɔ́ ya sɛ́. ,9. Se tenir informé et vérifier la source de ses informations.
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,"O bɔ́gɔ́lɔ nɛɛ́nɛ go amɔ́ haagamɔ́ ogɔnɔ́ ?  Go amɔ́ bɛ́ɛ́na na monóógío má kolónafilúsu: - O dɔmbɔ go gɛ́ga na batɔ bóncodío. - O lɔbɛnɔ anáa o gɛ́gamɔ́. - Dɔ́ŋɛ́nɔ naá gidodí gá ntáŋáa (telefóne) 1510, go ɔ́bɛnɔ bicele bá badɔ́bɛ́dɔ. Bɛdɔ́ŋɔ́nɛ́nɔ́ bíncodío bɛ́ lɔ́mɔ́ :",Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","A nco húme ínoni, ondɔ yá go gɔ́ɔdɛnɔ mammana go COVID-19 (KOFÍD-19) yó gá lɛ́ yó do ɛ́nɛ́gá, kanɛ́ bagɔ́nɔ́ɔ bá bɛdɔŋɔ bá fúumbe go go ɛ́na mammana ya kóódínyóomú. Kɔ́ɔ na onyɔɔ́ moánɛ a háanana na gobɔ́gɔ́lɔnɔ aŋa mɔtɔ, a bɔ́gɔ́lɔnɔ tɔ́nɔ bese go go bébeŋebeŋe mɔ́ɔ moatɛ́ na go beŋebeŋe tɔ́nɔ basɔ́gɔ́ɔ bɛ́hɛ́.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Gofalona gá bɛbana bá ndɔlɛ  Gihélume (Ogɔnɔ́ yá ihélume) : yó lɛ́ aŋa mɔtɔ o obamɔ́, a dómba go ɛ́da go hélume na bogaaga. Mɔtɔ mɔ́ɔnyɔ a lɔ́mɔ́ na gihélume, a líhe na yɔ́ gɛɔyɔ gɛ́hɛ́ giimée. Sókasóka (ogɔnɔ́ yá sókasóka) : yó lɛ́ ogɔnɔ́ yɔ́ɔyɔ sóka ɛ dómbɛdanamɔ́ naá manɔ́ŋɔ, yó lɛ́ gɛbɛ́ gá ogɔnɔ́ makɔ́nɔ́. Áyɛnamɔ́ : gɛcamɛna gɛ́ɛgɛ ogɔnɔ́ yó dómbɛdanamɔ́ mɔtɔ naá nnyɔ́dɔ na bogaaga, a lɛ́ moánɛ ba go gúe. Monóógío : nɛnamá nɛ́ɛnɛ mɔtɔ ɔ ɔ́bɛgɔnɔmɔ́ na ogɔnɔ́ naá nnyɔ́dɔ. Gadɛ́ɛ gá gogosonyo : ogɔnɔ́ yá mɔtɔ go bányaanana dubíi miimpo aá miimpo, gɛbɛ́ akɛ́báamɔ́. Yáŋɛ́mɛ́dɛ́na : o dɛ́lɛmɛna halaháláa, kanɛ go bɛ́ɛmba mekúígíi. Moɛdɛ́ŋgɛdɛ́ : baaná bá bɛdɛ́ gɛcamɛna gɛ́ɛgɛ mɔtɔ a kécimemú. Gátáanɔ : nɔ́ɔnɔ gó lɛ́ aá bɛcamɛna biimée. Mbɔ́gɔ́ : anáa cɔ́mɔ yɛ ɛ́damɔ́ go úlene.","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
,,"BƆ́ƆBƆ NO HÁANANAMƆ́ GO ÍYIME NAÁ OGƆNƆ́ YƆ́ƆYƆ KOLÓNAFILÚSU Ɛ́NA COVID-19 © CABTAL, 2020"
