,fra,nwe,eng
29,"Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.","Bənu mî échɨ ányɛ́ go le go be bɔ́ŋ mɛ̂ legwɔ  Agwɔ júnɛ́ a kwɔ ányɛ́ go, ŋ fyá go chú, ŋ fyá mbúʼakwíʼi, ŋ fyá nyɛ́tnjâŋ ma lekɛ́. Emɔʼ-begwɔ bɔ́ŋ búʼ, mbɔ́ŋ meʼte ma nchə́ŋ. Emɔʼ-byɔ bɔ́ŋ legwɔ gwɔ ányɛ́ bó tɛ́ʼ agɛ chɨ́. Emɔʼ-byɔ se tyɔ́ te tsɔʼ ndɔʼɔ amɔʼɔ afu.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,Personne qui tousse,Ngaŋ akwíʼi,Person with a cough
32,"Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.","Bə-nza mî corona-virus a bə lɔk nkwɔ ányɛ́ nwɔ  Nwɔ-gi a bɔ́ŋ agwɔ júnɛ́ (Covid-19) a bə fyá nwɔ. Nwɔ-gi a bɔ́ŋ agwɔ júnɛ́ á chiʼi, nkwíʼi a nfɛ́n esa go mbə a kwɔ́ ányɛ́ go. Nwɔ-gi a lɔk mbo mi ndɔʼ nfɛ́n ájɛ́m za agwɔ júnɛ́ amə́, mbin nfɛ́n esa gi á bə kwɔ́ ányɛ́ jɨ sâ.  ","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,Comment se protéger ?,Bə nza á lé lɔk mbyɛ́p nyɛ́t,How to protect yourself
38,"1. Eviter de se toucher les yeux, le nez, la bouche.","1.  Byɛ́p a lé fɛn émɨk mó, bó bərɔ mó, ma nchu gó;","1. Avoid touching eyes, nose, mouth."
40,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.,"2.  Lɔ́k ntsa lɛ̂ ma asok, ŋ sók mbo-mó, ndɔ́k  alɨʼ-ndrɔ ndɛ̂ nchwat;",2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,3. Tousser et éternuer dans le creux de son bras.,"3.  Kwíʼi, nchíʼi mâ ati-ngəʼə abo go; ",3. Cough and sneeze into the crook of your arm. 
44,4. Eviter de manger de la viande crue et de toucher des animaux vivants.,4.  Bɛʼ fɛt mbap-mbʉk. Bɛʼ fɛn bénya; ,4. Avoid eating raw meat and touching live animals.
49,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.,"5.  Chɔ́ʼ nyɛ́t chɔ̂ bətâ mbya ányɛ́ nwɔ gi a sé kwíʼa, nchíʼa;",5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.,6.  Bɛʼ kwí abó nwɔ. Jware nwɔ té fɛn a gi;,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53,7. Eviter les rassemblements.,7.  Byɔnyɔŋ bɛʼ nyokté nyɛ́t;,7. Avoid gatherings. 
55,8. Limiter ses déplacements.,8.  Bə bɛʼ laŋte;,8. Restrict movement.
57,9. Se tenir informé et vérifier la source de ses informations.,9.  Lɔ́k mə nkrɔ gi túŋɔ́ alɨ a bɔ́ŋ.,9. Keep informed and verify the source of information.
58,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :,Nwɔ gi a bɔ́ŋ a bə gâlɛ?  Go bɔ́ŋ bənu mî échɨ le agwɔ júnɛ́ ányɛ́ go: -      Bɛʼ fɛn byɔnyɔŋ; -      Ŋáŋá a ndya go; -      Tɔ́ŋɔ́ nkrə-toŋə́ 1510 mbin zɔre bənu mi bə́ dyɔ.  Bi mɔʼ bə nkrə-toŋe le:,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 844 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 767 466 797 670 113 761 ,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.",Tɛ̂ ntɛn legɔlyɔ afu Covid-19 a kə́ bə́. Bə bílá fɛ́ʼɛ afu. Nwɔ nchɛm á byɛ́p nyɛ́t-za bó bí mɔʼbyɔ. ,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque",Akiʼta ngǎ asoŋə   Asthma: agwɔ fufuʼ-ntí Contamination: legwɔ á lé kwɔ́ ányɛ́ ajɛ́m ma nwɔ-nyɔŋ Diabeties: agwɔ ngwáŋ bó shúga Flu: akwíʼi bó búʼ Infected: nwɔ gi abɔ́ŋ legwɔ Affected: nwɔ gi betát-gî a bɔ́ŋ legwɔ bó nwɔ gi á sé jyɔ́ ngə́ʼ anu  legwɔ nwɔ Infection: legwɔ le kwɔ́ amɔʼalɨ-ányɛt  Intruction: á le gíté lé ghə bənu Patient: ngwɔ Pre-existing condition: ndɛn agwɔ Runny nose: bərɔ-tsɔ̂ Symptoms: bənu mi échɨ le nwɔ bɔ́ŋ legwɔ Treatment: lébú Virus: ajɛm za a fyá legwɔ Vulnerable: Byɔbi ébə́ ngɛ́ʼ mbɔ́ŋ,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,,"BƏNU MI GO BƆ́ŊƆ́ LÉ ZÁ NDƆʼ NDÁTÉ CORONA-VIRUS  CONVID-19  © CABTAL, 2020 "
68,"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                         SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  ","BƏNU MI GO BƆ́ŊƆ́ LÉ ZÁ NDƆʼ NDÁTÉ CORONA-VIRUS  CONVID-19  Cameroon Association for Bible Translation and Literacy  BƏNU MI GO BƆ́ŊƆ́ LÉ ZÁ NDƆʼ NDÁTÉ CORONA-VIRUS  CONVID-19                      ATU SOŊƏ - Corona-virus (Convid-19) - Byɔ bi ébə ngɛ́ʼ mbɔ́ŋ           - Bənu mî échɨ ányɛ́ go le go be bɔ́ŋ mɛ̂ legwɔ                             - Bə-nza mî Corona-virus a bə lɔk nkwɔ ányɛ́ nwɔ     - Bə-nza á lé lɔk mbyɛ́p nyɛ́t      - Nwɔ gi a bɔ́ŋ a bə gâlɛ?    - Akiʼta ngǎ asoŋə                               lepap bya (2) lepap tat (3) lepap lekwɔ (4)  lepap ntɛ (5)  lepap nturi (6) lepap sâmbya (8) lepap lefɔ̌ (9)  CORONA-VIRUS (COVID-19)  Corona-virus gi bə́ za ntɔ́ŋ le Convid-19, á sé mbə́ légwɔ sɔ́. A le jí a China ányɛ́ eléʼe begəm-ntat mə̂ nchap-mɔʼfí ányɛ́ bə fwɔtʉ́ nchap-byá ányɛ́ nguʼ begəm-byá mə̂ nchap-lebrəʼɔ. Búʼ bo akwiʼi-atyɔ́ ésé mbə́ ébúŋ bí échɨ́ le go bə́ bɔ́ŋ mɛ̂ legwɔ. Agwɔ júnɛ́ a tyɔ́ ányɛ́ go leghâ, á zɔ́ go.  Ásaŋ mə̂ achɛʼɛka elɛ́ʼ. Bə kɛ̂ ntúŋɔ legwɔ júnɛ́ zá.   Nwɔ-ntyɔ (elderly person)  Nwɔ-gi a bɔ́ŋ legwɔ atá-nti Byɔ bi ébə gɛ́ʼ mb́ɔ́ŋ mɛ̂ legwɔ  Nwɔ-nchɛm a bə bɔ́ŋ mɛ̂ legwɔ. Byɔ bi lɛn mə̂  bó ma byɔ bi ebɔŋ emɔʼ egwɔ bɛ́ʼ (agwɔ fufuʼ-ntí, agwɔ̌ ngwáŋ bo shúga, agwɔ̌ atá-ntí, agwɔ̌ ali-nkɔʼɔ), ése mbə́ nkó gi legwɔ  gwɔ á bə tyɔ́ ányɛ́ bó.   -Chú -Lekɛ́  -Mbúʼakwíʼi -Nyɛt-njâŋ Bənu mî échɨ ányɛ́ go le go be bɔ́ŋ mɛ̂ legwɔ  Agwɔ júnɛ́ a kwɔ ányɛ́ go, ŋ fyá go chú, ŋ fyá mbúʼakwíʼi, ŋ fyá nyɛ́tnjâŋ ma lekɛ́. Emɔʼ-begwɔ bɔ́ŋ búʼ, mbɔ́ŋ meʼte ma nchə́ŋ. Emɔʼ-byɔ bɔ́ŋ legwɔ gwɔ ányɛ́ bó tɛ́ʼ agɛ chɨ́. Emɔʼ-byɔ se tyɔ́ te tsɔʼ ndɔʼɔ amɔʼɔ afu.  Ngaŋ akwíʼi Bə-nza mî corona-virus a bə lɔk nkwɔ ányɛ́ nwɔ  Nwɔ-gi a bɔ́ŋ agwɔ júnɛ́ (Covid-19) a bə fyá nwɔ. Nwɔ-gi a bɔ́ŋ agwɔ júnɛ́ á chiʼi, nkwíʼi a nfɛ́n esa go mbə a kwɔ́ ányɛ́ go. Nwɔ-gi a lɔk mbo mi ndɔʼ nfɛ́n ájɛ́m za agwɔ júnɛ́ amə́, mbin nfɛ́n esa gi á bə kwɔ́ ányɛ́ jɨ sâ.       Bə nza á lé lɔk mbyɛ́p nyɛ́t 1.  Byɛ́p a lé fɛn émɨk mó, bó bərɔ mó, ma nchu gó;  2.  Lɔ́k ntsa lɛ̂ ma asok, ŋ sók mbo-mó, ndɔ́k  alɨʼ-ndrɔ ndɛ̂ nchwat;  3.  Kwíʼi, nchíʼi mâ ati-ngəʼə abo go;   4.  Bɛʼ fɛt mbap-mbʉk. Bɛʼ fɛn bénya;      5.  Chɔ́ʼ nyɛ́t chɔ̂ bətâ mbya ányɛ́ nwɔ gi a sé kwíʼa, nchíʼa;  6.  Bɛʼ kwí abó nwɔ. Jware nwɔ té fɛn a gi;  7.  Byɔnyɔŋ bɛʼ nyokté nyɛ́t;  8.  Bə bɛʼ laŋte;  9.  Lɔ́k mə nkrɔ gi túŋɔ́ alɨ a bɔ́ŋ. Nwɔ gi a bɔ́ŋ a bə gâlɛ?  Go bɔ́ŋ bənu mî échɨ le agwɔ júnɛ́ ányɛ́ go: -      Bɛʼ fɛn byɔnyɔŋ; -      Ŋáŋá a ndya go; -      Tɔ́ŋɔ́ nkrə-toŋə́ 1510 mbin zɔre bənu mi bə́ dyɔ.  Bi mɔʼ bə nkrə-toŋe le:  699 279 622 675 308 373 698 423 929 655 728 844 670 713 979   699 933 725 677 429 357 699 986 740 767 466 797 670 113 761   Tɛ̂ ntɛn legɔlyɔ afu Covid-19 a kə́ bə́. Bə bílá fɛ́ʼɛ afu. Nwɔ nchɛm á byɛ́p nyɛ́t-za bó bí mɔʼbyɔ.  Akiʼta ngǎ asoŋə   Asthma: agwɔ fufuʼ-ntí Contamination: legwɔ á lé kwɔ́ ányɛ́ ajɛ́m ma nwɔ-nyɔŋ Diabeties: agwɔ ngwáŋ bó shúga Flu: akwíʼi bó búʼ Infected: nwɔ gi abɔ́ŋ legwɔ Affected: nwɔ gi betát-gî a bɔ́ŋ legwɔ bó nwɔ gi á sé jyɔ́ ngə́ʼ anu  legwɔ nwɔ Infection: legwɔ le kwɔ́ amɔʼalɨ-ányɛt  Intruction: á le gíté lé ghə bənu Patient: ngwɔ Pre-existing condition: ndɛn agwɔ Runny nose: bərɔ-tsɔ̂ Symptoms: bənu mi échɨ le nwɔ bɔ́ŋ legwɔ Treatment: lébú Virus: ajɛm za a fyá legwɔ Vulnerable: Byɔbi ébə́ ngɛ́ʼ mbɔ́ŋ  ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  BƏNU MI GO BƆ́ŊƆ́ LÉ ZÁ NDƆʼ NDÁTÉ CORONA-VIRUS  CONVID-19  © CABTAL, 2020 "
