spa,nst,eng
,Vàtarü maicmiix phaxcyet langx raongx läq. ,
,"Phaq àsia, tashaongx khaok langx cyängz hupsam thunx, khuz kaok kham kaok naix phaxcyet tiim kä naq tàrawx langx raongx kiq. ",
,Yaqlaok mäq kä maicmiix thiaphix nä m’khäx tàmänz thänxshänx maix mäk khamäq.,
,Kixlü di raüyäq yaqlaok (ràmäk raü) phaqläm mäq thu länxtä di raongx läq. Yaq mäq di mäk raükä àhia punzthum. ,
,Yäm ,
,Cyiiz mäq yängz vaz raüyäq,
,Phaqsia mi phaqsiq shaq nä ,
,Yaq kàrä sazbon mäq hezhiiq lizliz raongx läq. ,
,Yaitàsup nä ,
,Sazbon,
,Vàtarü hanzsängx mäq si raongx! ,
,,"Created by Weiman Kow, instagram: weimankow"
Sobre el Coronavirus                                                                                       Sobre el Coronavirus        ,"Korona Vairas’ Dfisix Thfax     Korona Vairas’ dfisix thfax kä yamlai phan väx ràtäq kàrä säp thüx cyängz.  Àràngaüx ràtàlawx   Nü        Khüz  Mäk  Maicmiix phänä àrä tiim mäq ràlüz raütä mi ngaüx vanx kàphaü.  Hanzsängx àhia ti  Dfisix thfax si ti  Àrä àshäng àmüz sez tiim raok kiz raüyäq ràngaüx tàlawx.  Fut 6 tàluz nä cyapngax kä dfisix thfax kaü tiim chitlit vaz lawt mäk mi räq. 1  Fut 6      Hatchü  Kàkhäx khamäq, maic vez shiz saw khaok, hatchü chü, kàmäq àdfisix chiz haüxyäq àrä lamkiq väx àkhäx kàlawz maix tàlawx.  Tsängxshiq mäx khüzpängx cyängz mask kuq läq. Kàrä khüzpängx cyängz kàyäq hatchü chü, saw saw khamäq phaix àphax tàrawri nä si tàläq ti tiim mäx mi tawz lawt. 2  Kecyu àyaong (hatchü ti)   Ràmäk raü  Maic vez shiz raz kä àdfisix àhüz li nguzraü mänz maicmiix naix maicmiix tàchiixvinx lam mawz räq. Dfisix thfax li ngaüx raü mänz dfisix lam yaqlaw tàsäp lawt mäk shaq mawz yax. Liyàmänz, dfisix thfax kä àhinx nä hali mi ràlüz mi ràngaüx naongz.  Yu phänä dfisix thfax si tàläq kä ràkhaq liz säp lawt maix khamäq maicphaongx maicphii nä khumxshiimx kaivax kä àpyen ràraongx läq.  Hawxrixkiiz (chopstick)  Hanzsängx àhia ti Renx/noztoz yaqranx  Cyak hiqkhu  Tätcyezyaq (tissue)   Khuz kaok kham kaok  Lairäp cyak hupsam thunx  -     Khüzpängx cyängz àkii nüx  Hiqkhu yaqranx  Maos’ (Mouse)  Laizkiiz (Bawpenz)  Kixlü yaqranx  Tsängxshiq yaq  Kàmäq, dfisix ti saw naix thfaw tiim kä yiiqshizshiz laihinx hup àsam tiim nä mawz chit hawx. Bawmxthi -   Vàtarü mawz dfi kai/vàtarü räq dfisix thfax mawz ngaüx baic Maicmiix raix rànap haixngax ti thiaphix nä thänxlänx baic  Mäk nä tätyät    M’khäx mäq väx kàrä hupsam phan shizshiz kàrä thänxshäm laüx läx nguz raükä  Kàrä dfisix thfax kàrä tawz lawt mäx läx nguz raüyäq kä yaq kàrä sazbon mäq (ràmäk raü) louxngix (spirit) lawmx tàläq tsiqkham tiim mäq samhia hezhiiq raongx läq. Àrä dfisix thfax kä lairäp hupsam thaq nä àkhyingx naxrix lux hiax àsak tàra lawt tàlawx  -      Sazbon  Tàluz nä tàtaongvaong tawzlawz cyängz lamz 5  Kàrä tiim kàrä taiphan raüyäq kä hiax hiax mi räq.  Àrä yäq nä saüx liz sazbon mäq hezhiiq läq.      Sazbon  Yaqlaok Thiaphix nä naq thänxshäm kiq. Àthänxshämx cyängz daongxdiix nguz raükä yaq kàrä sazbon mäq kaongzkhu samhia hezhiiq läq.  ‘Happy Birthday’ shix tàràthaongz naix khawn lawt liz cyax nä saüx liz hezhiiq läq.  Yaqsänx khü maong nyängz nä tiim  Sekkanz 20  Yaqshiz hiazviaz nä tiim  Yaqphix raikhü kàrä hezhiiq läq.   Tàkhämxrümx liz ngawx kä yamlai väx?  Thänxshäm rat raü mänz naq tàmaz kiq. Yaq kàrä li sazbon mäq samhia hezhiiq läq.  Khüzpängx cyängz àkii nüx kàmänz naq thänxshäm kiq.  Khamdfiz Khüzpängx cyängz kàrä àkhyingx lux hiax pängx siq raükä dfisix thfax kaü tiim kä kàrä maong nä mawz ràtämda vax li.  Khüzpängx cyängz mask kàrä ranaic shiz mäq liaz raütä naq langx kiq, àtànawtshawt nungz baizbaiz nawx nguz raükä àbaic nawx ràläq.  Viashaü tsawq cyängz làkaongx langxraongx läq.     Nawnaw  Vezvez       Nyungznyungz Vàtarü maicmiix phaxcyet langx raongx läq.  Phaq àsia, tashaongx khaok langx cyängz hupsam thunx, khuz kaok kham kaok naix phaxcyet tiim kä naq tàrawx langx raongx kiq.  Yaqlaok mäq kä maicmiix thiaphix nä m’khäx tàmänz thänxshänx maix mäk khamäq. Kixlü di raüyäq yaqlaok (ràmäk raü) phaqläm mäq thu länxtä di raongx läq. Yaq mäq di mäk raükä àhia punzthum.  Yäm  Cyiiz mäq yängz vaz raüyäq Phaqsia mi phaqsiq shaq nä  Yaq kàrä sazbon mäq hezhiiq lizliz raongx läq.  Yaitàsup nä  Sazbon Vàtarü hanzsängx mäq si raongx!   Sazbon       Korona Vairas’ Dfisix Thfax        ","About Coronavirus                                                                                       About Coronavirus    Created by Weiman Kow, instagram: weimankow    "
