fra,mgo,eng
- Fièvre - Fatigue,-Ifə -Akwe zɔbi,Fever Fatigue
- Toux sèche - Douleurs musculaires,-Nyɔd ne bɔ̀rɔ -Isiŋi nyɔd ne se,Dry cough Muscle aches and pains
"Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.","Ineni Kòronavayirɔ̀s  Ineni ane aghɔn kòronavayirɔ̀s ya kwàʼ icheg ìmbi jwed. Ane ya; ifə, akwe zɔbi, isiŋi nyɔd ne se, tì isiŋi nyɔd ne bɔ̀rɔ. Bəd mɔ̀ʼɔ ne beri aghɔn kòronavayirɔ̀s azo̰ ya bère nyɔd ne se, kə̀ zə̰ ngəʼ ni zwèg,  kə̀ ajweg ne dùyə̀ kɔ̀ŋɔ, kə̀ fèmètè kə̀ bə̀ nyḭ̀yè kwà. Àsi bəd mɔ̀ʼɔ mbe angu ne bèrè aghɔn azo̰ si ya gha mbi ya yàʼa awɔb icheg chɔm ne chəyi aneni mɔ̀ʼɔ. Atog ndàn bəd ya ghɔ̰ bɔ̀tɔ awɔb ne chəyi mbi taŋ niŋ ijiʼi ifuʼ mɔ̀ʼɔ.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
Personne qui tousse,Bəd ne kwe kə̀ chə̀mə,Person with a cough
"Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.","Icheg ne aghɔn kòronavayirɔ̀s ze dènè  Bəd ne kwe kə̀ chə̀mə ya bəd  ne taŋ dènè kòronavayirɔ̀s. Wə̀d ijìm ne bèri kòronavayirɔ̀s we tì  wì dènì ane bəd ndəŋ. Anyumə̀ ne wə̀d ne ghɔ̰̀ kòronavayirɔ̀s we kwe kə̀ chə̀mə, vayirɔ̀s we ya dùyə̀ ibo inga ichug kə̀ inga ajweg sàkà inga ifə se fènde. Wə̀d ndəŋ mə̀ zwèg, vayirɔ̀s we chè nyi inga ìwi məd tì ijweg kə̀ ichug, wì ya bèʼè kòronavayirɔ̀s. Vayirɔ̀s we mə bə̀ fen igun aghi mɔ̀ʼɔ, wə̀d ndəŋ chè bètì bə̀ ywìrì chè bètì ìwi ichug, kə̀ ìwi ighə kə̀ ìwi ijweg, tengàŋ we tì wì bə bèʼè aghɔn azo̰.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
Comment se protéger ?,Icheg ni kyèʼì ìwe nyɔd,How to protect yourself
"1. Eviter de se toucher les yeux, le nez, la bouche.",1. Imbə̀ʼ àghò bete awe àze aghə kə̀ ìwe ijweg kə̀ ìwe ichug ane ìmbe ibo ne chəyi àghò kə so ibo. ,"1. Avoid touching eyes, nose, mouth."
2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.,"2. Kə zàmbà sò ibo ane ichi tì mənib ne chè kɔ̀ŋɔ (icheg pɔm kə̀ mənib ne mbe kwèbe kwebi). Anyumə̀ ne àghò so ibo, fug ane aba ndwi zḛ zḛ.",2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
3. Tousser et éternuer dans le creux de son bras.,"3. Anyumə̀ ne àghò we kwe kə̀ chə̀mə, gwiʼri àze abo si kwe kə̀ chəm inga ngə̀ŋ abo.",3. Cough and sneeze into the crook of your arm. 
4. Eviter de manger de la viande crue et de toucher des animaux vivants.,4. Imbə̀ʼ àghò kùrə awe nyam ghɔ. Imbə̀ʼ àghò bete awe nyam izɔm ne chəyi àghò so ibo.,4. Avoid eating raw meat and touching live animals.
5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.,5. Imbə̀ʼ àghò tə̀mə awe kwàʼ iban wə̀d ne kwe kə̀ chə̀mə. Tì  ya nàʼà icheg ibɔʼi ighog ikwe ane bəd. ,5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.,"6. Imbə̀ʼ àghò te awe abo abə wə̀d. Ya bòʼo ibo, kə̀ mə̀ʼ abo kə̀ ghàmì ghami wən abə bəd.",6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
7. Eviter les rassemblements.,7. Imbə̀ʼ àghò gho awe ane asiŋi ne inɔ̰ bəd yaʼi angu icheg iywin kə̀ ane inug jəghi.,7. Avoid gatherings. 
8. Limiter ses déplacements.,8. Imbə̀ʼ àghò yḛ awe abu abu.,8. Restrict movement.
9. Se tenir informé et vérifier la source de ses informations.,9. Zìye atog ni nani inug imbə̀ʼ aghɔn azo̰ bə̀ kyèri iku wə̀d ne tì àghò nàni inug ibo imbə̀ʼ KOVID-19.,9. Keep informed and verify the source of information.
Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :,"Aghi ni ghì anyumə̀ ne àghò che bèrì Kòronavayirɔ̀s - Àghò mə bèrì ineni koronavayirɔ̀s: - Imbə̀ʼ àghò ywìrì bete awe nyɔd tì wə̀d ndəŋ. - Chughi məyi ine inga nəb. Kàra iwaŋ ngam gho̰ 1510, fàʼ inug mbe ne dɔgtà biri ghà ine. Tiwaŋ ngam ndəŋ ne tì àghò karì ite angu:",What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.","Tèchɔ̀ŋ, chəyi kiri ifuʼ mɔ̀ʼɔ ane aghɔn Kòronavayirɔ̀s kə̀ KOVID-19. Si ya gha, itog bəd mbe fàʼà ni kəb ifuʼ məd.  Wə̀d ijìm kirə ika ni kyèʼì ìwi nyɔd bə̀ kyèʼì bəd mbe ne yaʼi iban məd.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque",,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
,,"Aŋa ya inug ne àghò bèri ni kyeri imbə̀ʼ  Kòronavayirɔ̀s kə̀ Kovid-19  © CABTAL, 2020 "
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                         SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  ","Aŋa ya inug ne àghò bèri ni kyeri imbə̀ʼ  Kòronavayirɔ̀s kə̀ Kovid-19  Cameroon Association for Bible Translation and Literacy  Aŋa ya inug ne àghò bèri ni kyeri imbə̀ʼ  Kòronavayirɔ̀s kə̀ Kovid-19                                 ITOG INUG  1) Kòronavayirɔ̀s kə aghə? 2) Bəd ne tì mbi bèrì aghɔn azọ kə mə̀we? 3) Ineni Kòronavayirɔ̀s 4) Icheg ne aghɔn kòronavayirɔ̀s ze dènè 5) Icheg ni kyèʼì ìwe nyɔd 6) Aghi ni ghì anyumə̀ ne àghò che bèrì Kòronavayirɔ̀s      p.2 p.3 p.4 p.5 p.6  p.8  Kòronavayirɔ̀s kə aghə?  Kòronavayirɔ̀s ya aghɔn mɔ̀ʼɔ ne mbe bə̀ kàrà ane KOVID-19. À ya vayirɔ̀s feg kə̀ aghɔn feg mɔ̀ʼɔ ne ko a Chayinà igun aneg 31 inga Iməg Krismed inga fituʼ 2019. Ze ya ghìyə̀ wə̀d icheg ìjwed. Ze ya mə̀ kà igun wə̀d wì ku. À ya aghɔn ne fə sàkà nyi inga iben ndan ndàn igun isəg. Chəyi mbi kiri kyeri asiŋi ne aghɔn azo̰ nɔʼi angu  kə̀ aghi ne ko aghɔn azo̰. Chəyi mbi bə kiri kyeri ifuʼ məd.   Bəd ne tì mbi zàmbà bèrì aghɔn azo̰ ya inun bəd  Bəd ne beri aghɔn inga fìŋ kə̀ bəd ne ghɔ̰ fìŋ Bəd ne tì mbi bèrì aghɔn azọ kə mə̀we?  Aku bəd ajìm ze tì ze bèrì aghɔn feg azo̰ kə̀ vayirɔ̀s feg gho̰. Si ya gha bəd ne ze ya taŋ kà igun inɔb ya inun bəd tì bəd ne kə bi bèrì aghɔn icheg akwe ze ne ghìyə̀ wə̀d se kə̀b fum, kə̀ Aghɔn Sugà, kə̀ aghɔn fìŋ, kə̀ anəm ne kɔʼi chè.   -Ifə -Akwe zɔbi  -Nyɔd ne bɔ̀rɔ -Isiŋi nyɔd ne se Ineni Kòronavayirɔ̀s  Ineni ane aghɔn kòronavayirɔ̀s ya kwàʼ icheg ìmbi jwed. Ane ya; ifə, akwe zɔbi, isiŋi nyɔd ne se, tì isiŋi nyɔd ne bɔ̀rɔ. Bəd mɔ̀ʼɔ ne beri aghɔn kòronavayirɔ̀s azo̰ ya bère nyɔd ne se, kə̀ zə̰ ngəʼ ni zwèg,  kə̀ ajweg ne dùyə̀ kɔ̀ŋɔ, kə̀ fèmètè kə̀ bə̀ nyḭ̀yè kwà. Àsi bəd mɔ̀ʼɔ mbe angu ne bèrè aghɔn azo̰ si ya gha mbi ya yàʼa awɔb icheg chɔm ne chəyi aneni mɔ̀ʼɔ. Atog ndàn bəd ya ghɔ̰ bɔ̀tɔ awɔb ne chəyi mbi taŋ niŋ ijiʼi ifuʼ mɔ̀ʼɔ.  Bəd ne kwe kə̀ chə̀mə Icheg ne aghɔn kòronavayirɔ̀s ze dènè  Bəd ne kwe kə̀ chə̀mə ya bəd  ne taŋ dènè kòronavayirɔ̀s. Wə̀d ijìm ne bèri kòronavayirɔ̀s we tì  wì dènì ane bəd ndəŋ. Anyumə̀ ne wə̀d ne ghɔ̰̀ kòronavayirɔ̀s we kwe kə̀ chə̀mə, vayirɔ̀s we ya dùyə̀ ibo inga ichug kə̀ inga ajweg sàkà inga ifə se fènde. Wə̀d ndəŋ mə̀ zwèg, vayirɔ̀s we chè nyi inga ìwi məd tì ijweg kə̀ ichug, wì ya bèʼè kòronavayirɔ̀s. Vayirɔ̀s we mə bə̀ fen igun aghi mɔ̀ʼɔ, wə̀d ndəŋ chè bètì bə̀ ywìrì chè bètì ìwi ichug, kə̀ ìwi ighə kə̀ ìwi ijweg, tengàŋ we tì wì bə bèʼè aghɔn azo̰.     Icheg ni kyèʼì ìwe nyɔd 1. Imbə̀ʼ àghò bete awe àze aghə kə̀ ìwe ijweg kə̀ ìwe ichug ane ìmbe ibo ne chəyi àghò kə so ibo.   2. Kə zàmbà sò ibo ane ichi tì mənib ne chè kɔ̀ŋɔ (icheg pɔm kə̀ mənib ne mbe kwèbe kwebi). Anyumə̀ ne àghò so ibo, fug ane aba ndwi zḛ zḛ.  3. Anyumə̀ ne àghò we kwe kə̀ chə̀mə, gwiʼri àze abo si kwe kə̀ chəm inga ngə̀ŋ abo.  4. Imbə̀ʼ àghò kùrə awe nyam ghɔ. Imbə̀ʼ àghò bete awe nyam izɔm ne chəyi àghò so ibo.     5. Imbə̀ʼ àghò tə̀mə awe kwàʼ iban wə̀d ne kwe kə̀ chə̀mə. Tì  ya nàʼà icheg ibɔʼi ighog ikwe ane bəd.   6. Imbə̀ʼ àghò te awe abo abə wə̀d. Ya bòʼo ibo, kə̀ mə̀ʼ abo kə̀ ghàmì ghami wən abə bəd.  7. Imbə̀ʼ àghò gho awe ane asiŋi ne inɔ̰ bəd yaʼi angu icheg iywin kə̀ ane inug jəghi.  8. Imbə̀ʼ àghò yḛ awe abu abu.  9. Zìye atog ni nani inug imbə̀ʼ aghɔn azo̰ bə̀ kyèri iku wə̀d ne tì àghò nàni inug ibo imbə̀ʼ KOVID-19. Aghi ni ghì anyumə̀ ne àghò che bèrì Kòronavayirɔ̀s - Àghò mə bèrì ineni koronavayirɔ̀s: - Imbə̀ʼ àghò ywìrì bete awe nyɔd tì wə̀d ndəŋ. - Chughi məyi ine inga nəb. Kàra iwaŋ ngam gho̰ 1510, fàʼ inug mbe ne dɔgtà biri ghà ine. Tiwaŋ ngam ndəŋ ne tì àghò karì ite angu:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Tèchɔ̀ŋ, chəyi kiri ifuʼ mɔ̀ʼɔ ane aghɔn Kòronavayirɔ̀s kə̀ KOVID-19. Si ya gha, itog bəd mbe fàʼà ni kəb ifuʼ məd.  Wə̀d ijìm kirə ika ni kyèʼì ìwi nyɔd bə̀ kyèʼì bəd mbe ne yaʼi iban məd.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Aŋa ya inug ne àghò bèri ni kyeri imbə̀ʼ  Kòronavayirɔ̀s kə̀ Kovid-19  © CABTAL, 2020 "
