,agq,eng
22,Ghî ghəla ghe ki tsû wò am fə̂ŋ,Person with a heart condition or disease
23,"Ghî ghəla ghe lô alembaā kwu  Dzâŋ zən lo alembaā kwu ndughō? - Dzâŋ  zən kwuu àghì a dzə̀m, wɛ̂ɛtùghu ŋkāa wìnoo. - E kuuwn fɛ̀nlò, ŋgee boo aŋ ghulô ghì ā dwəlā gho, ā ghì ghəla ghe ki kâŋ tə̀ kɔʼɔ to, zɔ̀ʼ kə̀ zwiī kō, utsû am fə̂ŋ. ","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
26,- Ughue - Ghue ū bughuu wo,Fever Fatigue
28, - Luʼū tə ughùe tə̀ fɔɔn to ,Dry cough Muscle aches and pains
29,"Tə̀tsə̌a  Ghù lò alekele ênzə̂n enyəā ghùw kì dzâŋ zə̄n a? - ughue. - ghue ū bughuu wo. - luʼū tə ughùe tə̀ fɔɔn to. - abugho ū kuɛɛ̄ zɔ̀ʼ kə̀ zum ko. - ghī ali a bugho ghe ŋ̄ ki zɔ̀ʼ tsoo ko, kuŋu sùghò alo ewī, bəghaa kə atɔ̄ŋ, nyʉ̂kəfətɔ̀e. - ghî ā li a buʼù dèe yò enyəa ghe ki nû. - ghî à li a buʼù dzàŋà tùghu mo ghe kâa nì sam e twii zo, mo ghe kâa ghe baŋlo.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,Dziī təlā ghùu lò alebòʼò kòlonà,Person with a cough
32,"Ghəa ghù lò alekele a tē - À dzāŋ zən dzughù ghì ghəla ghe bûʼ ki zîi dzə. - Abugho ghùw wəla ù ki kuɛɛ̄ kɔʼ ŋkāa tsom tsughu zɔ̀ʼ kò, tə̀ghà mə̀ n səghaan sə̀ wò an dzughu e wə̄n à mùghù mò aŋ mùghù mò aŋ wī e wə̄n. - Abugho ghù zwìi nyə nduw tə̀ghà mì è mì ŋkāa mùghù n te mò, ghù fi boʼò dzə̀ kòlonà. - Abugho ghùw mɔ̀m tsughu fəgha ko mò ghùw ù lì ŋ kūɛɛ naŋa zɔ̀ʼ kə̀ è chì ŋkāa mùghù mì è mi, vʉ̀ ù lɛnlō nì kɔ̀ʼ ghu ā wən gho kɔʼ foʼ kɔʼ esə, mɔ̀m ndùw èdzughu ŋkāa bɛ̀ʼɛ̀ nyə̄ ndùw mbuw tə ewī, ù m bòʼò kòlonà.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,Ghù lò alekə̀əŋ dzàŋ e tē zō an dzǐi tə ghɛ tō?,How to protect yourself
38,"1. Kà è mɔɔ̄ sə ghə̀a ghò, wi zə̀ghà à dzughu zə̀ghà zò. ","1. Avoid touching eyes, nose, mouth."
40,2. E tsoʼn̄ suūw zee ghu gho alo kəsùw à mùghù mò. Ghù n zè tsughu an bàtɛ̀lɛ (tawə̀n) è zɔ̀lɔ.,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,"3. Abugho ghù so e kuɛɛ kə̀zɔ̀ʼ ŋkāa ghù so e tsom, ghù ŋ gwən koʼ tsə̂nèkəkwe tsom tsughu ŋkāa kuɛɛ tsughu a tē.",3. Cough and sneeze into the crook of your arm. 
44,4. Kǎ nyòm è kwu pfʉ.Kà bûʼ mɔ̀m sùghò nyòm tə̀ tughu to.,4. Avoid eating raw meat and touching live animals.
49,"5. Kà kuʼso tee ghàa ghùw wəla ù kuɛɛ̄, tsoō zɔ̀ʼkò, e fughuu tsughu fòʼ e mɔ̀ʼ abugho ghù lǒ ghāa ghê ghì ghò.Kà kuʼn̄ tēe.",5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51,"6. Kǎ ghùw aŋ ghū tɔɔŋ zūw, e noʼo kɔʼɔ ko tuw kō ŋkāa ghù n tɔɔŋ ndùw ko alo edzughu.",6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53,"7. Kà è nyəa an sāʼ kə aghì, kà tee an lùʼu kəlā ndə̀m è àghì ŋge lo.",7. Avoid gatherings. 
55,"8. Kà è laŋā bwiī kaŋlo, e doʼn̄ tsughuu alo ghù an ndūghū.",8. Restrict movement.
57,"9. Tsʉ kɔ̄ʼ tuūŋ wo aletɔʼɔ̄ zəən tsughu ghəa zō, kà è maʼn kaaŋ fom tō, kà ghəa e kə̂a mò ghù kwò yo chi zō.",9. Keep informed and verify the source of information.
58,"Ghəa ghù ki aleghəŋlo abugho dzâŋ e te e kpaʼ kwu tsughu ghû Abugho ghù mɔ̀m kê tsughu ghue wʉ̀a wò enyəa ghù m kpàʼ bòʼò. - Kà è koōm bughō avʉ̀a ghì ghò à tom ghə̀a ghò ghù lò dzughū. - Kà sə abeē , dòʼo tsughu alô ghù, dzʉ̌a naŋā kɔʼ ghue wʉ̀a wò an ndūghū. - Nǐi kɔʼ tee fəghà fò ghù tɔŋɔ tsughu taŋ zən: 1510, mbɔɔm bwǐi ko an shwāʼ u ghûwŋgàŋ wəla u so kweēn kɔʼɔ̄. Ghe gbôo yò kʉa wō. To ghù tɔŋɔ sugho :",What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,- 699 279 622 - 675 308 373 - 698 423 929 - 655 728 884 - 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,- 699 933 725 - 677 429 357 - 699 986 740 - 676 466 797 - 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"Aŋ ghə̄a sɛ̀ kə̂aa ghəa ghō, ghe kaām kôʼ twii wəlā u lô alebaaŋ kòlonà, ghiītəŋgàŋ à naam fūʼū nù. Kə̀chìa kì alebɔɔm diī tsughu ko tuw kə wə̄n ko, bwìi ko an lwàŋ e kwo ghùw è boʼo. Ū bəlā dzughù fughu â tom ghō.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,"What you need to know about the CORONAVIRUS or COVID-19  © CABTAL, 2020 "
68,"Ghəa ghə̄la ghùki alekele kùu ndùw Fə̀ŋgôʼ fə wàatɔ̄ŋ tɔɔŋ Kòlonavaelù ŋkāa Kovid-19  Cameroon Association for Bible Translation and Literacy  Ghəa ghə̄la ghùki alekele kùu ndùw Fə̀ŋgôʼ fə wàatɔ̄ŋ tɔɔŋ Kòlonavaelù ŋkāa Kovid-19       Ǹ SÔ KƏ̀AA ÀGHƏA AN TUW WOAGHƏ̄A SƏ̀GHÀMBƏ̄GHĀ 1) Fə̀ŋgôʼ fə kòlonà 2) Ghî ghəla ghe lô alembaā kwu 3) Tə̀tsə̌a 4) Ghəa ghù lò alekele a tē 5) Ghù lò alekə̀əŋ dzàŋ e tē zō an dzǐi tə ghɛ tō? 6) Ghəa ghù ki aleghəŋlo abugho dzâŋ e te e kpaʼ kwu tsughu ghû      p.2 p.3 p.4 p.5   p.6  p.8  Fə̀ŋgôʼ fə wàatɔ̄ŋ tɔɔŋ kòlonavaelu ŋkāa kovid-19 fə lo fə̀ŋgôʼ fə̀ fughu fō. Fə kaʼa nùghùun wò tò kəzɔ̀ʼ, mo to fə bəla bughò â vʉ zō an ndə̀mà to tədzǐi. Fə̀ŋgôʼ fə te fə n ndzā mbī edzə̀m. Fə mò kaʼ nughū tsughu an Chainà alo ntsuʼ ŋghəm n təgha à tsuʼ fo fə mɔ̀ʼ an ndzɔ̄ŋ è fwòo alo tənùu təkam təbə̀ghà à nùu tǒ tɛ̀ndzūghū (31 December 2019). Ghî à naam kəŋɔ kətuw kùu ndùw sa e fə̀ŋgôʼ fə̀ è fì; luʼū kəlā fə gbən sə kɔ̄ʼ ā tē.   Ghì ā dwəlā gho  Ghî ghəla ghe ki tsû wò am fə̂ŋ Ghî ghəla ghe lô alembaā kwu  Dzâŋ zən lo alembaā kwu ndughō? - Dzâŋ  zən kwuu àghì a dzə̀m, wɛ̂ɛtùghu ŋkāa wìnoo. - E kuuwn fɛ̀nlò, ŋgee boo aŋ ghulô ghì ā dwəlā gho, ā ghì ghəla ghe ki kâŋ tə̀ kɔʼɔ to, zɔ̀ʼ kə̀ zwiī kō, utsû am fə̂ŋ.    - Ughue - Ghue ū bughuu wo   - Luʼū tə ughùe tə̀ fɔɔn to  Tə̀tsə̌a  Ghù lò alekele ênzə̂n enyəā ghùw kì dzâŋ zə̄n a? - ughue. - ghue ū bughuu wo. - luʼū tə ughùe tə̀ fɔɔn to. - abugho ū kuɛɛ̄ zɔ̀ʼ kə̀ zum ko. - ghī ali a bugho ghe ŋ̄ ki zɔ̀ʼ tsoo ko, kuŋu sùghò alo ewī, bəghaa kə atɔ̄ŋ, nyʉ̂kəfətɔ̀e. - ghî ā li a buʼù dèe yò enyəa ghe ki nû. - ghî à li a buʼù dzàŋà tùghu mo ghe kâa nì sam e twii zo, mo ghe kâa ghe baŋlo.  Dziī təlā ghùu lò alebòʼò kòlonà Ghəa ghù lò alekele a tē - À dzāŋ zən dzughù ghì ghəla ghe bûʼ ki zîi dzə. - Abugho ghùw wəla ù ki kuɛɛ̄ kɔʼ ŋkāa tsom tsughu zɔ̀ʼ kò, tə̀ghà mə̀ n səghaan sə̀ wò an dzughu e wə̄n à mùghù mò aŋ mùghù mò aŋ wī e wə̄n. - Abugho ghù zwìi nyə nduw tə̀ghà mì è mì ŋkāa mùghù n te mò, ghù fi boʼò dzə̀ kòlonà. - Abugho ghùw mɔ̀m tsughu fəgha ko mò ghùw ù lì ŋ kūɛɛ naŋa zɔ̀ʼ kə̀ è chì ŋkāa mùghù mì è mi, vʉ̀ ù lɛnlō nì kɔ̀ʼ ghu ā wən gho kɔʼ foʼ kɔʼ esə, mɔ̀m ndùw èdzughu ŋkāa bɛ̀ʼɛ̀ nyə̄ ndùw mbuw tə ewī, ù m bòʼò kòlonà.     Ghù lò alekə̀əŋ dzàŋ e tē zō an dzǐi tə ghɛ tō? 1. Kà è mɔɔ̄ sə ghə̀a ghò, wi zə̀ghà à dzughu zə̀ghà zò.   2. E tsoʼn̄ suūw zee ghu gho alo kəsùw à mùghù mò. Ghù n zè tsughu an bàtɛ̀lɛ (tawə̀n) è zɔ̀lɔ.  3. Abugho ghù so e kuɛɛ kə̀zɔ̀ʼ ŋkāa ghù so e tsom, ghù ŋ gwən koʼ tsə̂nèkəkwe tsom tsughu ŋkāa kuɛɛ tsughu a tē.  4. Kǎ nyòm è kwu pfʉ.Kà bûʼ mɔ̀m sùghò nyòm tə̀ tughu to.     5. Kà kuʼso tee ghàa ghùw wəla ù kuɛɛ̄, tsoō zɔ̀ʼkò, e fughuu tsughu fòʼ e mɔ̀ʼ abugho ghù lǒ ghāa ghê ghì ghò.Kà kuʼn̄ tēe.  6. Kǎ ghùw aŋ ghū tɔɔŋ zūw, e noʼo kɔʼɔ ko tuw kō ŋkāa ghù n tɔɔŋ ndùw ko alo edzughu.  7. Kà è nyəa an sāʼ kə aghì, kà tee an lùʼu kəlā ndə̀m è àghì ŋge lo.  8. Kà è laŋā bwiī kaŋlo, e doʼn̄ tsughuu alo ghù an ndūghū.  9. Tsʉ kɔ̄ʼ tuūŋ wo aletɔʼɔ̄ zəən tsughu ghəa zō, kà è maʼn kaaŋ fom tō, kà ghəa e kə̂a mò ghù kwò yo chi zō. Ghəa ghù ki aleghəŋlo abugho dzâŋ e te e kpaʼ kwu tsughu ghû Abugho ghù mɔ̀m kê tsughu ghue wʉ̀a wò enyəa ghù m kpàʼ bòʼò. - Kà è koōm bughō avʉ̀a ghì ghò à tom ghə̀a ghò ghù lò dzughū. - Kà sə abeē , dòʼo tsughu alô ghù, dzʉ̌a naŋā kɔʼ ghue wʉ̀a wò an ndūghū. - Nǐi kɔʼ tee fəghà fò ghù tɔŋɔ tsughu taŋ zən: 1510, mbɔɔm bwǐi ko an shwāʼ u ghûwŋgàŋ wəla u so kweēn kɔʼɔ̄. Ghe gbôo yò kʉa wō. To ghù tɔŋɔ sugho :  - 699 279 622 - 675 308 373 - 698 423 929 - 655 728 884 - 670 713 979  - 699 933 725 - 677 429 357 - 699 986 740 - 676 466 797 - 670 113 761  Aŋ ghə̄a sɛ̀ kə̂aa ghəa ghō, ghe kaām kôʼ twii wəlā u lô alebaaŋ kòlonà, ghiītəŋgàŋ à naam fūʼū nù. Kə̀chìa kì alebɔɔm diī tsughu ko tuw kə wə̄n ko, bwìi ko an lwàŋ e kwo ghùw è boʼo. Ū bəlā dzughù fughu â tom ghō.   ","What you need to know about CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)   CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659 P.O. Box : 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  What you need to know about the CORONAVIRUS or COVID-19  © CABTAL, 2020 "
