fra,nge,eng
"Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.","Ɨlisɨ nɨghɔ nɨŋə   Ɨlisɨ nɨghɔ nɨ korona fíə tsɨ sáŋə́: mbé fibâ, akwəgə zə zobɨnɨ, ɨnye zɨ ndzáŋnɨ bo nɨkə̂. Ngaŋ nɨghɔ tsɨ mɔʼɔ chɛnɨ ɨlisɨ tso mɨlwí mə fənɨ́nɨ́, mɨlwi mə chwúnɨ, atáʼá kə nɨkûə. Bə mɔʼɔ ɨben báʼatɨ tsi bé nɨghɔ nénə lá Ɨ nye zá kéʼe alisɨ zə tse a ndíʼə. Nɨgháʼa ɨben a shwétə́ tɨkâ bɨ lánɨ ndzɨ̂ə nchɨgə afúə tsě a ntsúʼu bǒ wuə.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
Personne qui tousse,Ŋwon Akwə́gə́ Ghé,Person with a cough
"Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.","Mɨndomɨnji mɨ ngyɛbɨtɨ nɨghɔ nɨ korona.  Nɨghɔ Kovid-19 lá yɛbɨtə ɨben ba bɨ tsinɨ nɨ nɛrɛ ghé. Be ŋwon nɨghɔ a kwəgɨ́ kə njɨ́gɨ́nɨ́ lá, ajɨ́gɨ́nɨ́ɨ  kə mɨtwé fúə ntsu zɨ̌ kə a nɨlwi zɨ̌ə. Be ŋwon a zhwí mɨtwé má kə̂ ajígɨ́nɨ́ zá buŋ a tsǐ byɛ́ʼɛ a korona wuə. Be ŋwon a mɔmtɨ azum a tse za mbáʼa mɨtwé ma ke ajígɨ́nɨ́ zá tsəmnɨ wú mbə nkɔ́ʼɔ mɔmtɨ ɨmɨgɨ myi, nɨlwí nyi kə ntsu yi, muŋ a tsi byɛ́ʼɛ nɨghɔ na.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
Comment se protéger ?,Ndomnji nkyɛ́mə atúəmbəmə zo,How to protect yourself
"1. Eviter de se toucher les yeux, le nez, la bouche.","1. Kóʼo mɔmtɨ ɨmɨgɨ mó, nɨlwí no kə ntsû gho.","1. Avoid touching eyes, nose, mouth."
2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.,2. A ngáʼa sugɨ mbó mó nɨ asugɨ a nye nkyi wa ɨshíʼinə ghe. Tíʼi nchíʼi a mɛrɛ nɨ achíʼə zə fɛmnə.,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
3. Tousser et éternuer dans le creux de son bras.,3. O tɨnɨ kwəgə kə Ɨ jígɨ́nɨ́ O ŋə̂mtɨ nɨkwɛ́nə abó no nghɨ wuə.,3. Cough and sneeze into the crook of your arm. 
4. Eviter de manger de la viande crue et de toucher des animaux vivants.,4. Kóʼo nyam zɨ mbɨ́gɨ́ kfurə kə Ɨ mɔmtə mɨnyamə.,4. Avoid eating raw meat and touching live animals.
5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.,5. O tsinɨ máʼá tso mɨkú mɨmbâ mbɔŋ tɛm a mbye ŋwon wa a kwəgɨnə kə njígɨ́nə ghe. ,5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.,6. Kéʼe abó a ŋwon kwíʼi ntsáʼatə. A ɨben tíʼə ntsáʼanə tsɛ́ʼɛ nɨ ntsu kə tsɛ́ʼɛ ntsû-ntsûə.,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
7. Eviter les rassemblements.,7. A ɨben kéʼe a ngôtə táʼá adíʼə.,7. Avoid gatherings. 
8. Limiter ses déplacements.,8. A ɨben kɨ́ʼɨ a númə ntɛ́bɨrə ghe.,8. Restrict movement.
9. Se tenir informé et vérifier la source de ses informations.,9. Á ntsɔ́ʼɔ́nə́ akúə mɨkɨ̂ŋ nkɨ ndzen ngə mɨ soŋ nkənuə.,9. Keep informed and verify the source of information.
Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :,Bé O byɛ́ʼɛ́ nɨghɔ O ghɨ nə̂?  Be O zé ɨlisɨ: - Kéʼe ɨben bə adáŋ bə mɔmtə. - Tsiə ɨmu ndá. - Tɔŋə 1510 nkɨ ndzɔŋ ntɨ́gə ŋwon ngaŋə. ,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.","Ɨ kɔ́ʼɔ kúʼu sɨŋə ká afú a ntsúʼu KOVID-19 a be yi wuə, lá ngaŋ azhɛ buru tsi afáʼa ndô afú za a mɨ fáʼa. Ŋwon ntsumə zágɨ ntsinɨ ndə̂ atúƗ kɨ zɔ̂ŋ mɨndômɨnjí mə ɨshíʼinə nkyɛm ɨtǔmbəm tsâ nɨ ɨbɛn bə mɔ́ʼɔ ghé.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque",,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
,,"Anu Za MbáꞋa O Tsinɨ Nɨ Njɛ Mbɨ́Ꞌɨ Nɨghɔ Nɨ KoronaKə KOVID-19  © CABTAL, 2020 "
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                         SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  ","Anu Za MbáꞋa O Tsinɨ Nɨ Njɛ Mbɨ́Ꞌɨ Nɨghɔ Nɨ Korona Kə KOVID-19  Cameroon Association for Bible Translation and Literacy  Anu Za MbáꞋa O Tsinɨ Nɨ Njɛ Mbɨ́Ꞌɨ Nɨghɔ Nɨ Korona Kə KOVID-19          ƗTÚ ƗNU A ƗMU AŊWÁꞋANƗ ZƗŊƏ                ƗTÚ ƗNU TSUMƏ - Nɨghɔ Nɨ korona - Ɨbɔrɨkɨ ɨben - Ɨlísə - Mɨdomɨnji mɨ mbyɛ́ʼɛ nɨghɔ nɨ korona - Mɨdomɨnji mɨ nkyɛ́m atúəmbəm zo - Be O byɛ́ʼɛ nɨghɔ nénə O ghɨ lə̂?                                                  p.2 p.3 p.4 p.5 p.6 p.8  Nɨghɔ nɨ korona  Nɨghɔ nɨ korona mbáʼa bɨ kɨnə ntɔŋə ngə Kovid-19 lá, a nɨ nɨghɔ nə afíə. Ntsámbyi nkfu a ndzúʼə mbɨ́ʼɨ nɨghɔ nénə á bé lá a ɨmu sáŋ Abɨŋafɔ 31st, 2019 aláʼa China ghé. Ɨlisɨ nɨghɔ nénə tsi tso tsɨ sáŋə́, nɨ tsi kɨ zhwîtɨ ɨben bá nɨ tənɨ a nye bó ghé. Nɨ lámnɨ ɨláʼa tsɨ gháʼanɨ a ɨmu mbyi zɨŋə. Nkásɨ adɨ́ʼí zá mbáʼa a jwînɨ nɨghɔ nénə bɨ bvurɨ tɨ zhɛ́.    Tənkáŋ ŋwon  Ngâŋ nɨghɔ nɨ ntəmə Bɨ mbɔrɨkɨnɨ  Nɨghɔ nə fí nenə tsi kon a nye nkaŋ ntsumə. Ɨben bá nɨghɔ nɨŋ tsi yáŋnɨ chwá wa Ɨ kɨ tən a nye bó a nɨ bɨtənkáŋ bɨ ɨben abɔ́ʼɔnɨ ɨben ba bɨ kwɛ̂nə ntsi nɨ mɨghɔ tsǒ (azhwîtɨ, nɨghɔ nɨ sə́ŋsə́ŋ, nɨghɔ nɨ ntəm bo nɨghɔ nɨ alɛmə).   -Fíbâ -Nɨkə̂  -Akwəgə zə zobɨnə -Ɨ ndzáŋnɨ́nɨ́ ɨnye Ɨlisɨ nɨghɔ nɨŋə   Ɨlisɨ nɨghɔ nɨ korona fíə tsɨ sáŋə́: mbé fibâ, akwəgə zə zobɨnɨ, ɨnye zɨ ndzáŋnɨ bo nɨkə̂. Ngaŋ nɨghɔ tsɨ mɔʼɔ chɛnɨ ɨlisɨ tso mɨlwí mə fənɨ́nɨ́, mɨlwi mə chwúnɨ, atáʼá kə nɨkûə. Bə mɔʼɔ ɨben báʼatɨ tsi bé nɨghɔ nénə lá Ɨ nye zá kéʼe alisɨ zə tse a ndíʼə. Nɨgháʼa ɨben a shwétə́ tɨkâ bɨ lánɨ ndzɨ̂ə nchɨgə afúə tsě a ntsúʼu bǒ wuə.  Ŋwon Akwə́gə́ Ghé Mɨndomɨnji mɨ ngyɛbɨtɨ nɨghɔ nɨ korona.  Nɨghɔ Kovid-19 lá yɛbɨtə ɨben ba bɨ tsinɨ nɨ nɛrɛ ghé. Be ŋwon nɨghɔ a kwəgɨ́ kə njɨ́gɨ́nɨ́ lá, ajɨ́gɨ́nɨ́ɨ  kə mɨtwé fúə ntsu zɨ̌ kə a nɨlwi zɨ̌ə. Be ŋwon a zhwí mɨtwé má kə̂ ajígɨ́nɨ́ zá buŋ a tsǐ byɛ́ʼɛ a korona wuə. Be ŋwon a mɔmtɨ azum a tse za mbáʼa mɨtwé ma ke ajígɨ́nɨ́ zá tsəmnɨ wú mbə nkɔ́ʼɔ mɔmtɨ ɨmɨgɨ myi, nɨlwí nyi kə ntsu yi, muŋ a tsi byɛ́ʼɛ nɨghɔ na.     Ndomnji nkyɛ́mə atúəmbəmə zo 1. Kóʼo mɔmtɨ ɨmɨgɨ mó, nɨlwí no kə ntsû gho.  2. A ngáʼa sugɨ mbó mó nɨ asugɨ a nye nkyi wa ɨshíʼinə ghe. Tíʼi nchíʼi a mɛrɛ nɨ achíʼə zə fɛmnə.  3. O tɨnɨ kwəgə kə Ɨ jígɨ́nɨ́ O ŋə̂mtɨ nɨkwɛ́nə abó no nghɨ wuə.  4. Kóʼo nyam zɨ mbɨ́gɨ́ kfurə kə Ɨ mɔmtə mɨnyamə.     5. O tsinɨ máʼá tso mɨkú mɨmbâ mbɔŋ tɛm a mbye ŋwon wa a kwəgɨnə kə njígɨ́nə ghe.   6. Kéʼe abó a ŋwon kwíʼi ntsáʼatə. A ɨben tíʼə ntsáʼanə tsɛ́ʼɛ nɨ ntsu kə tsɛ́ʼɛ ntsû-ntsûə.  7. A ɨben kéʼe a ngôtə táʼá adíʼə.  8. A ɨben kɨ́ʼɨ a númə ntɛ́bɨrə ghe.  9. Á ntsɔ́ʼɔ́nə́ akúə mɨkɨ̂ŋ nkɨ ndzen ngə mɨ soŋ nkənuə. Bé O byɛ́ʼɛ́ nɨghɔ O ghɨ nə̂?  Be O zé ɨlisɨ: - Kéʼe ɨben bə adáŋ bə mɔmtə. - Tsiə ɨmu ndá. - Tɔŋə 1510 nkɨ ndzɔŋ ntɨ́gə ŋwon ngaŋə.   699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Ɨ kɔ́ʼɔ kúʼu sɨŋə ká afú a ntsúʼu KOVID-19 a be yi wuə, lá ngaŋ azhɛ buru tsi afáʼa ndô afú za a mɨ fáʼa. Ŋwon ntsumə zágɨ ntsinɨ ndə̂ atúƗ kɨ zɔ̂ŋ mɨndômɨnjí mə ɨshíʼinə nkyɛm ɨtǔmbəm tsâ nɨ ɨbɛn bə mɔ́ʼɔ ghé.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Anu Za MbáꞋa O Tsinɨ Nɨ Njɛ Mbɨ́Ꞌɨ Nɨghɔ Nɨ KoronaKə KOVID-19  © CABTAL, 2020 "
