,fra,bkm,eng
26,,-Agvɨl -Ibol,Fever Fatigue
28,,-Akesi a yuma -Ɨwuyn ɨyafɨnɨ,Dry cough Muscle aches and pains
29,,"Nchwaesɨ ikoʼi  Ikoʼi nâ yèynì nɨn ku wul, wù kâʼ a wù keli ànfyèmtɨ̀, wù kâʼ a wù keli àgvɨl nɨ̀ àkesi-a. A nî a nà ghɨ ɨlvɨ nâ ghè, ma wù kàʼ a wù na ku kɨ ta wù bòl bolɨ. Ɨwuyn ɨ ŋweyn nî wu nà yafɨ kɨ ɨ̀jɨ̀m. A nî a nà ghɨ tì, ma ɨlvâ ɨ ŋweyn kàʼ a wu na chwô, lvɨ fɨli ɨtoŋ ŋweyn ɨ yafa antêynɨ̀. Mɨtì, ghelɨ ghɨli nɨn ghɨ  kɨmɨ ghɨ ma ghɨ kèli ikòʼi ateyn, a ghɨ na ghesî kêʼ kɨ tèyn, afo ali-a dyêyn wì na ghɨ n-kelɨ-a. Ati iwo zɨ̀-ì a wul ɨ̂lvɨ̀ nɨn n-keli, wu lae jèl ɨ to bula wù nyvɨ àfɨ nô sakos.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,,Akesi,Person with a cough
32,,"Ànfyèmtɨ̀ nâ kèynà nɨn dyâŋ ti a?   Wùl kae sɨ nà kelɨ ànfyèmtɨ̀ a kòronà ɨ̀ kèsi kèsa wù chèm chem a wa a ngùŋ, fɨlêʼnɨ̀ fɨ mɨ̂nchyafɨ fvɨ̂ a ŋweyn ɨchvɨ̀ kèsa à fvɨ̀ azue ɨ̀ gvì zɨ a wa ɨchvɨ kèsa a wa azue, a kɨ dyaŋ kɨ̀ dyaŋ. Kɨ kâʼ a kɨ dyaŋ kɨ̀mɨ sɨ̂ wùl ɨlvɨ ta wù kùm afo, kèsa wù kùm alêʼma wùl ɨ koʼinɨ ni meyn boŋ kùm ɨ̀ fì  kàsî ndù kùm a kɨ ŋweyn azue-a kèsa wù kùm ìsɨ.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,,Wà kàʼ a wà kɨŋtɨ ti ngêŋ zya a?,How to protect yourself
38,,1. Ka wùl fî lì àwu ɨ̀ kòʼ chyeʼ isɨ; ka wùl fî lì baŋ àwu ɨ̀ bòʼlɨ̀ àzue kèsa tuŋ ɨchvɨ̀ a bu na wù faytɨ meyn sù kɨ̀ nô su nɨ̀ àsu-a. ,"1. Avoid touching eyes, nose, mouth."
40,,"2. Ghesɨ̀nà na sesɨ sù ɨ̀wu, ghɨ nà sû nɨ̀ àsu-a fî teʼa, ghɨ chyatɨ̂ chyàtɨ ghesɨ̀nà. Ghelɨ nɨn sesɨ sù ɨwu akaŋ àmòʼ, ghɨli nà kasi nuʼ kɨ nuʼ ɨwu àŋena. Wa sû ɨwu ɨ̀va, wa yès nɨ̀ abas afo-a kɨ layna.",2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,,"3. Wà sesɨ kesi, kèsa wà n-chem chem, wa kɨ̀ŋtɨ̀ ɨ̀chvɨ̂ ɨ va nɨ̀ ɨ̀koe, kèsa wà n-kɨ̂ŋtɨ̀ nɨ̀ abâs afo a. ",3. Cough and sneeze into the crook of your arm. 
44,,"4. Ka wà na duʼa yâŋsɨ̀ kûmlɨ̀ nyamsɨ. Wa lî nyam sɨ kfɨl, wa faytɨ kfè. ",4. Avoid eating raw meat and touching live animals.
49,,"5. Wa na sesɨ taŋi kesa wà n-kesî kesî, kèsa wà n-chem chem, wa fu aghaf sɨ̂ ghelɨ. Ka wùl na sesɨ bè iwo wu nà taŋî zɨtɨ̂ ndû a wùl ɨkèʼ. ",5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51,,6. Ghesɨ̀nà maʼi awu afunɨ-a sa lvɨ̂yn ɨ̀ nà toŋtɨ̂ kɨ nɨ̀ ɨ̀chvɨ̂. Jisɨ itoŋtɨ sɨ nɨn dvɨ̂ kɨ tèyn.,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53,,7. Ka ghesɨ̀nà fɨ̂ dùʼì ɨ̀ yvɨ̀ŋtɨ̀ alêʼ àmòʼ sɨ nà fyes ɨwuyn.,7. Avoid gatherings. 
55,,"8. Yi na boynɨ-à, wa nà duʼ kɨ a wa ndo, fvɨ̂ kɨ abe ma à n-lutɨ̂ sû to ìwo.",8. Restrict movement.
57,,"9. Ghesɨ̀nà na faytɨ̂ yvɨtɨ̂ ìtebtɨ zɨ̀-ì a ghɨ n-fu kûm ìkoʼi nâ yènɨ̀, teytɨ̂ màʼì àwo ali-a kì a ghelɨ  ghɨli nɨn bê sɨ ànkaŋ.",9. Keep informed and verify the source of information.
58,,"Sɨ chuʼ ikoʼi nâ yènì  Wà chɨ̂yn ma wà keli meyn ìkoʼi ateyn: - Wa jàŋ ghelɨ ndô àfɨ̀ a 1510, ghɨ feʼtɨ iwo zɨ̀ a ka wà ni. - Ka wa n-fì dùʼì bàsɨ sɨ̂ ghelɨ.  Ɨwêyn nɨn ghɨ ɨ̀lwêʼ ɨlvɨ vzɨ̀ a wà kà a wà jaŋ ateyn sɨ keli igyâmtɨ.",What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,,    Ghɨ bu kɨŋ kɨ kɨŋ afvɨ a kòronà. Nômɨ ndà toʼnɨ̀ nɨ̀ ngêŋ ŋweynfì tòʼnɨ̀ nɨ̀ ghelɨ ghɨli. ,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,,,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,,"Iwo Zɨ̀-ì a Wà N-kelɨ sɨ nà Kya Kûm Ànfyèmtɨ̀ a Kòronà a?  © CABTAL, 2020 "
68,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ,"Iwo Zɨ̀-ì a Wà N-kelɨ sɨ nà Kya Kûm Ànfyèmtɨ̀ a Kòronà a?  Cameroon Association for Bible Translation and Literacy  Iwo Zɨ̀-ì a Wà N-kelɨ sɨ nà Kya Kûm Ànfyèmtɨ̀ a Kòronà a?        -Ànfyèmtɨ̀ a kòronà -Ghelɨ fem ibol -Nchwaesɨ ikoʼi -Dzɨ sìsɨ̀ a ikoʼi ateyni nɨn dyâŋ ateyn -Sɨ kɨ̀ŋtɨ ngêŋ zyâ -Sɨ chuʼ ikoʼi nâ yènì     p.2 p.3 p.4 p.5 p.6 p.8  Ànfyèmtɨ̀ a kòronà  Ghɨ n-toŋtɨ̂ kɨmɨ ànfyèmtɨ̀ a kòronà nâ kèynà na covid bèŋ 19. A n-ghɨ ìkoʼi ifɨ-i ta yi gvì, fɨsɨ̂  ànfyèmtɨ̀, mɨtì ma yi kù wul sɨ a ŋaŋ, yi kâʼ a yi zue. Yi n-lae fvɨ̀ ilaʼ i Chaynà sɨ asɨ a bêŋ 2019, nà sɨ ghɨ lvɨ̂yn ma yi jelɨ meyn tɨlaʼ a mbzɨ tɨ dvɨ̂ kɨ tèyn. Ghɨ n-kya wi na ikoʼi nâ yènì lù nô wo a.    Chyeʼwù  Wùl vzɨ̀ a wù sɨ kelɨ ngeʼ a ŋweyn item Ghelɨ fem ibol  Ànfyèmtɨ a kòronà nɨn ku kɨ ghelɨ ghɨ̀jɨ̀m, ku woynda, ku ghɨ̀lema, mɨtɨ̀ ndù sɨ̂ wùl vzɨ̀ a wù lum sɨ chi kelɨ akesi a zwaenɨ-a, kèsa wù sɨ̀ kelɨ àfo ichɨ ibɨ nɨ̀ mɨ̀lûŋ ɨ̀nkòʼnɨ̂, kɨ gvɨ kɨ sɨ ito.       -Agvɨl -Ibol  -Akesi a yuma -Ɨwuyn ɨyafɨnɨ Nchwaesɨ ikoʼi  Ikoʼi nâ yèynì nɨn ku wul, wù kâʼ a wù keli ànfyèmtɨ̀, wù kâʼ a wù keli àgvɨl nɨ̀ àkesi-a. A nî a nà ghɨ ɨlvɨ nâ ghè, ma wù kàʼ a wù na ku kɨ ta wù bòl bolɨ. Ɨwuyn ɨ ŋweyn nî wu nà yafɨ kɨ ɨ̀jɨ̀m. A nî a nà ghɨ tì, ma ɨlvâ ɨ ŋweyn kàʼ a wu na chwô, lvɨ fɨli ɨtoŋ ŋweyn ɨ yafa antêynɨ̀. Mɨtì, ghelɨ ghɨli nɨn ghɨ  kɨmɨ ghɨ ma ghɨ kèli ikòʼi ateyn, a ghɨ na ghesî kêʼ kɨ tèyn, afo ali-a dyêyn wì na ghɨ n-kelɨ-a. Ati iwo zɨ̀-ì a wul ɨ̂lvɨ̀ nɨn n-keli, wu lae jèl ɨ to bula wù nyvɨ àfɨ nô sakos.  Akesi Ànfyèmtɨ̀ nâ kèynà nɨn dyâŋ ti a?   Wùl kae sɨ nà kelɨ ànfyèmtɨ̀ a kòronà ɨ̀ kèsi kèsa wù chèm chem a wa a ngùŋ, fɨlêʼnɨ̀ fɨ mɨ̂nchyafɨ fvɨ̂ a ŋweyn ɨchvɨ̀ kèsa à fvɨ̀ azue ɨ̀ gvì zɨ a wa ɨchvɨ kèsa a wa azue, a kɨ dyaŋ kɨ̀ dyaŋ. Kɨ kâʼ a kɨ dyaŋ kɨ̀mɨ sɨ̂ wùl ɨlvɨ ta wù kùm afo, kèsa wù kùm alêʼma wùl ɨ koʼinɨ ni meyn boŋ kùm ɨ̀ fì  kàsî ndù kùm a kɨ ŋweyn azue-a kèsa wù kùm ìsɨ.     Wà kàʼ a wà kɨŋtɨ ti ngêŋ zya a? 1. Ka wùl fî lì àwu ɨ̀ kòʼ chyeʼ isɨ; ka wùl fî lì baŋ àwu ɨ̀ bòʼlɨ̀ àzue kèsa tuŋ ɨchvɨ̀ a bu na wù faytɨ meyn sù kɨ̀ nô su nɨ̀ àsu-a.   2. Ghesɨ̀nà na sesɨ sù ɨ̀wu, ghɨ nà sû nɨ̀ àsu-a fî teʼa, ghɨ chyatɨ̂ chyàtɨ ghesɨ̀nà. Ghelɨ nɨn sesɨ sù ɨwu akaŋ àmòʼ, ghɨli nà kasi nuʼ kɨ nuʼ ɨwu àŋena. Wa sû ɨwu ɨ̀va, wa yès nɨ̀ abas afo-a kɨ layna.  3. Wà sesɨ kesi, kèsa wà n-chem chem, wa kɨ̀ŋtɨ̀ ɨ̀chvɨ̂ ɨ va nɨ̀ ɨ̀koe, kèsa wà n-kɨ̂ŋtɨ̀ nɨ̀ abâs afo a.   4. Ka wà na duʼa yâŋsɨ̀ kûmlɨ̀ nyamsɨ. Wa lî nyam sɨ kfɨl, wa faytɨ kfè.      5. Wa na sesɨ taŋi kesa wà n-kesî kesî, kèsa wà n-chem chem, wa fu aghaf sɨ̂ ghelɨ. Ka wùl na sesɨ bè iwo wu nà taŋî zɨtɨ̂ ndû a wùl ɨkèʼ.   6. Ghesɨ̀nà maʼi awu afunɨ-a sa lvɨ̂yn ɨ̀ nà toŋtɨ̂ kɨ nɨ̀ ɨ̀chvɨ̂. Jisɨ itoŋtɨ sɨ nɨn dvɨ̂ kɨ tèyn.  7. Ka ghesɨ̀nà fɨ̂ dùʼì ɨ̀ yvɨ̀ŋtɨ̀ alêʼ àmòʼ sɨ nà fyes ɨwuyn.  8. Yi na boynɨ-à, wa nà duʼ kɨ a wa ndo, fvɨ̂ kɨ abe ma à n-lutɨ̂ sû to ìwo.  9. Ghesɨ̀nà na faytɨ̂ yvɨtɨ̂ ìtebtɨ zɨ̀-ì a ghɨ n-fu kûm ìkoʼi nâ yènɨ̀, teytɨ̂ màʼì àwo ali-a kì a ghelɨ  ghɨli nɨn bê sɨ ànkaŋ. Sɨ chuʼ ikoʼi nâ yènì  Wà chɨ̂yn ma wà keli meyn ìkoʼi ateyn: - Wa jàŋ ghelɨ ndô àfɨ̀ a 1510, ghɨ feʼtɨ iwo zɨ̀ a ka wà ni. - Ka wa n-fì dùʼì bàsɨ sɨ̂ ghelɨ.  Ɨwêyn nɨn ghɨ ɨ̀lwêʼ ɨlvɨ vzɨ̀ a wà kà a wà jaŋ ateyn sɨ keli igyâmtɨ.  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979   699 933 725 677 429 357 699 986 740 676 466 797 670 113 761      Ghɨ bu kɨŋ kɨ kɨŋ afvɨ a kòronà. Nômɨ ndà toʼnɨ̀ nɨ̀ ngêŋ ŋweynfì tòʼnɨ̀ nɨ̀ ghelɨ ghɨli.    ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Iwo Zɨ̀-ì a Wà N-kelɨ sɨ nà Kya Kûm Ànfyèmtɨ̀ a Kòronà a?  © CABTAL, 2020 "
