,fra,bqm,eng
29,,"Wembaneli  Wembaneli weya ene nyambɛ, Corona virus we a ɛkɛnɛkɛ ya ngɔ, mowonji, ekɔseli e sa fumaka ekɔwɛ, wokangi o nyamanyama na, li ɔ̌tɔ. Wato wa wa okakɛ ene nyambɛ, wɔkɔkɔ wa wekaka wowali, mefeke me umbi, mefeke me ɔndɔkɔ mawɔmbɔ, wokangi o kingo tɔ liwunga la linya. Wato wɔkɔkɔ eke wa lɛmbeya, wa sa wekaka weni wembaneli ndenga wa wɛkɛ gbamu. Wato sayi sayi wa salaka ya wa sa tunawi.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,,Moto na ekɔseli,Person with a cough
32,,"Wato wa ma fayeya ene nyambɛ  Corona virus, Covid 19 si wa e a akakɛlɛ. Wɛnitɛ mokěli a kɔseli tɔ a asimɛ, imbumbu ya enge nyambɛ I fumakeya o mofeke  tɔ o wana. Wɛnitɛ moto a siwo o ekili  ya ini mbumbu I eyɔ, a ko lɛmbeya ene nyambɛ. Wɛnitɛ moto a siki yala ya e ma lɛmbɛ ini mbumbu, si a sika misɔ, mofeke tɔ e wana, a ko lɛmbeya ene nyambɛ. ","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,,Nɔ o wɛli li a kenjeya owa iti?,How to protect yourself
38,,"1. Jɛlɛ li sika misɔ mawɛ, mofeke na e wana.","1. Avoid touching eyes, nose, mouth."
40,,2. A atuwanaka e sɔfi o ituwa fonda tɛ ndenga o ma singuwanake  mbɔmi.,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,,3. Wanda e wana na liwunga la ikɔkisa wɛnitɛ o kɔsɔkeya tɔ o asimɛkɛ.,3. Cough and sneeze into the crook of your arm. 
44,,4. O sa laka nyama fenya ndenga o jɛlɛ li sika welembe.,4. Avoid eating raw meat and touching live animals.
49,,5. Lika foka ya ekawa yɔkɔ na moto wa a kɔsɔkeya tɔ wa a asimɛkɛ. ,5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51,,6. Jɛlɛ li watɛ. Lo a kɔmɔne na li ɔndɛlɛ la molofo tɔ na e wana. ,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53,,7. Lo jɛlɛ li a sɛngɛnɛ.,7. Avoid gatherings. 
55,,8. Lo jɛlɛ lo kɛndɛ. ,8. Restrict movement.
57,,9. Lo wɛ li wekalana meyɛndi ndenga lo ijowe mwili menge meyɛndi me ɔmɔkeya.,9. Keep informed and verify the source of information.
58,,Jani owa o wɛli li wola wɛnitɛ o lɛmbeli.  Wɛnitɛ o wɛli wembaneli weya wewoteli weya ene nyambɛ: -         Jɛlɛ li kombɛnɛ wafɛfɛ wato. -         Ja o ndawo. -         Kumba 1510 si o fale malewa ma nganga. -         Mefɛfɛ mesɔngi o kanɛ li kumba me eyɔ si:,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,,,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,,"Natɛ̌ jɔni, o sa enje etuna ya ene nyambɛ Covid 19, si wanɛnɛ wa elanaka wesɔleli ya li kusa etuna ya e ko kanɛ ene nyambɛ o woso. Moto tɛ a wɛli li kenja na li wola wewoleli ya gbamu li a kenjeya. Si li kenjeya lifɛ wanga wato wa wa mo alomɛnɛ. Ene nyambɛ, Corona virus ya I ijowawi fɛ na Covid 19, e eyɔ si nyambɛ fenya. E ma toma li owawa o ekome ya China o welu 31 la ngɔndɛ ya Likoko lisalɛ o momwa mwa 2019. E wɛli wewoteli na, mawɔmbɔ, si e owɛnɛkɛ wɛnitɛ e leti. Ene nyambɛ e kanjeli o cha wekome ya e se. Wefayeleli weya ene nyambɛ wesi ijowawi. ","Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,,"Jani owa o wɛli li ijowa litɛngɛnɛ ene nyambɛ e wɛlɛwɛkɛ Corona virus tɔ Covid 19  © CABTAL, 2020 "
68,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ,"Jani owa o wɛli li ijowa litɛngɛnɛ ene nyambɛ e wɛlɛwɛkɛ Corona virus tɔ Covid 19  Cameroon Association for Bible Translation and Literacy  Jani owa o wɛli li ijowa litɛngɛnɛ ene nyambɛ e wɛlɛwɛkɛ Corona virus tɔ Covid 19                          JANI OWA O WƐLI  - Corona virus - Ene nyambɛ - Wembaneli - Wato wa ma fayeya ene nyambɛ - Nɔ o wɛli li a kenjeya owa iti? - Jani owa o wɛli li wola wɛnitɛ o lɛmbeli    p.2 p.3 p.4 p.5 p.6 p.8  Corona virus  Ene nyambɛ, Corona virus ya I ijowawi fɛ na Covid 19, e eyɔ si nyambɛ fenya. E ma toma li owawa o ekome ya China o welu 31 la ngɔndɛ ya Likoko lisalɛ o momwa mwa 2019. E wɛli wewoteli na, mawɔmbɔ, si e owɛnɛkɛ wɛnitɛ e leti. Ene nyambɛ e kanjeli o eha wekome ya e se. Wefayeleli weya ene nyambɛ wesi ijowawi.   Munani  Munani na nyambɛ o ndongo Ene nyambɛ  Ene nyambɛ fenya e lɛmbɛkɛ wato wa memba meyasɛ. Miyunani ma me okakɛ wokɛlɛ, nyambɛ ya mokɔnɔ mo a makoko, mosiyo o ndongo tɔ macha ma agbakɛ wa ɛnɛkeya li lɛmbeya ene nyambɛ kasikasi.   -Mowonji -Li ɔ̌tɔ  -Ekɔseli e sa fumaka ekɔwɛ, wokangi o nyamanyama na wowali Wembaneli  Wembaneli weya ene nyambɛ, Corona virus we a ɛkɛnɛkɛ ya ngɔ, mowonji, ekɔseli e sa fumaka ekɔwɛ, wokangi o nyamanyama na, li ɔ̌tɔ. Wato wa wa okakɛ ene nyambɛ, wɔkɔkɔ wa wekaka wowali, mefeke me umbi, mefeke me ɔndɔkɔ mawɔmbɔ, wokangi o kingo tɔ liwunga la linya. Wato wɔkɔkɔ eke wa lɛmbeya, wa sa wekaka weni wembaneli ndenga wa wɛkɛ gbamu. Wato sayi sayi wa salaka ya wa sa tunawi.  Moto na ekɔseli Wato wa ma fayeya ene nyambɛ  Corona virus, Covid 19 si wa e a akakɛlɛ. Wɛnitɛ mokěli a kɔseli tɔ a asimɛ, imbumbu ya enge nyambɛ I fumakeya o mofeke  tɔ o wana. Wɛnitɛ moto a siwo o ekili  ya ini mbumbu I eyɔ, a ko lɛmbeya ene nyambɛ. Wɛnitɛ moto a siki yala ya e ma lɛmbɛ ini mbumbu, si a sika misɔ, mofeke tɔ e wana, a ko lɛmbeya ene nyambɛ.      Nɔ o wɛli li a kenjeya owa iti? 1. Jɛlɛ li sika misɔ mawɛ, mofeke na e wana.  2. A atuwanaka e sɔfi o ituwa fonda tɛ ndenga o ma singuwanake  mbɔmi.  3. Wanda e wana na liwunga la ikɔkisa wɛnitɛ o kɔsɔkeya tɔ o asimɛkɛ.  4. O sa laka nyama fenya ndenga o jɛlɛ li sika welembe.     5. Lika foka ya ekawa yɔkɔ na moto wa a kɔsɔkeya tɔ wa a asimɛkɛ.   6. Jɛlɛ li watɛ. Lo a kɔmɔne na li ɔndɛlɛ la molofo tɔ na e wana.   7. Lo jɛlɛ li a sɛngɛnɛ.  8. Lo jɛlɛ lo kɛndɛ.   9. Lo wɛ li wekalana meyɛndi ndenga lo ijowe mwili menge meyɛndi me ɔmɔkeya. Jani owa o wɛli li wola wɛnitɛ o lɛmbeli.  Wɛnitɛ o wɛli wembaneli weya wewoteli weya ene nyambɛ: -         Jɛlɛ li kombɛnɛ wafɛfɛ wato. -         Ja o ndawo. -         Kumba 1510 si o fale malewa ma nganga. -         Mefɛfɛ mesɔngi o kanɛ li kumba me eyɔ si:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761   Natɛ̌ jɔni, o sa enje etuna ya ene nyambɛ Covid 19, si wanɛnɛ wa elanaka wesɔleli ya li kusa etuna ya e ko kanɛ ene nyambɛ o woso. Moto tɛ a wɛli li kenja na li wola wewoleli ya gbamu li a kenjeya. Si li kenjeya lifɛ wanga wato wa wa mo alomɛnɛ. Ene nyambɛ, Corona virus ya I ijowawi fɛ na Covid 19, e eyɔ si nyambɛ fenya. E ma toma li owawa o ekome ya China o welu 31 la ngɔndɛ ya Likoko lisalɛ o momwa mwa 2019. E wɛli wewoteli na, mawɔmbɔ, si e owɛnɛkɛ wɛnitɛ e leti. Ene nyambɛ e kanjeli o cha wekome ya e se. Wefayeleli weya ene nyambɛ wesi ijowawi.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home   All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  Jani owa o wɛli li ijowa litɛngɛnɛ ene nyambɛ e wɛlɛwɛkɛ Corona virus tɔ Covid 19  © CABTAL, 2020 "
